MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GARR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVL;SUB;NSUB;TRA;X
ATT_SWAMP;-50;-55;-55;-55;-75;-75;-35;-25;-35;-50;-50;-40;-10;-10;-10;-10;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;X
ATT_URBAN;-40;-55;-50;-55;-65;-65;-30;-30;-30;-40;-55;-40;-15;-15;-15;-15;-15;-15;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;X
ATT_RIVER;-30;-30;-40;-40;-40;-40;-20;-10;-10;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_SHORE;-30;-50;-40;-40;-50;-50;-20;-10;-20;-40;-50;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_FORT;-10;-20;-20;-20;-30;-30;-10;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_PLAINS;-20;-15;-15;-10;-5;-10;-15;-15;-15;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_BLIZZARD;-20;-20;-20;-30;-35;-35;-20;-20;-5;-20;-30;-20;-100;-100;-100;-100;-100;-100;-100;0;0;-80;-80;-80;-80;-80;-100;-100;-80;-80;-80;X
DEF_SNOW;-25;-30;-30;-35;-40;-40;-25;-25;0;-25;-30;-25;-50;-50;-50;-50;-50;-50;-50;0;0;-25;-25;-25;-25;-25;-80;-80;-10;-10;-25;X
DEF_FROZEN;-15;-25;-25;-25;-25;-25;-15;-15;0;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_RAIN;0;0;0;0;0;0;0;0;0;0;0;0;-30;-30;-30;-30;-30;-30;-30;0;0;-10;-10;-10;-10;-10;-80;-80;-5;-5;-10;X
DEF_STORM;-5;-5;-5;-10;-15;-15;-5;-5;-5;-5;-10;-5;-100;-100;-100;-100;-100;-100;-100;0;0;-50;-50;-50;-50;-50;-100;-100;-50;-50;-50;X
DEF_MUDDY;0;0;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_NIGHT;-30;-30;-30;-35;-40;-40;-20;-20;-30;-30;-40;-20;-50;-50;-50;-50;-50;-50;-50;0;0;-10;-10;-10;-10;-10;-10;-10;0;0;-10;X
DEF_DESERT;-10;-5;-5;-5;-5;-5;-5;-5;-5;-10;-5;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_MOUNTAIN;-10;-15;-15;-15;-25;-25;-10;-10;0;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_HILL;-5;-5;-5;-5;-10;-10;-5;-5;0;-10;-10;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_FOREST;0;-10;-5;-5;-15;-15;0;0;0;0;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_JUNGLE;-25;-30;-40;-45;-50;-50;-20;-15;-20;-20;-30;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_SWAMP;-10;-15;-25;-25;-50;-50;-5;0;-5;-10;-15;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_URBAN;0;-10;-10;-10;-20;-20;0;0;0;-5;-5;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_PLAINS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_BLIZZARD;-70;-70;-70;-70;-70;-70;-70;-70;-60;-70;-70;-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_SNOW;-35;-35;-35;-35;-35;-35;-35;-35;0;-35;-35;-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_FROZEN;-60;-60;-60;-60;-60;-60;-60;-60;0;-60;-60;-60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_RAIN;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_STORM;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_MUDDY;-50;-50;-80;-80;-80;-80;-50;-50;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_NIGHT;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_DESERT;-33;-70;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_MOUNTAIN;-33;-33;-50;-50;-50;-50;-33;-33;0;-33;-33;-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_HILL;-15;-15;-15;-15;-15;-15;-15;-15;0;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_FOREST;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_JUNGLE;-33;-33;-70;-70;-70;-70;-33;-15;-33;-33;-33;-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_SWAMP;-33;-33;-70;-70;-70;-70;-33;-15;-33;-33;-33;-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_URBAN;10;-30;-30;-30;-30;-30;10;10;10;10;-30;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_PLAINS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
