ARG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
35040;Head of State;朱利奥 A 罗卡 ;40;SC;Autocratic Charmer;high;M35040;x
35041;Head of State;埃德尔米罗 法雷尔 ;44;SC;Resigned Generalissimo;high;M35041;x
35042;Head of State;切萨尔 阿梅格希诺 ;44;PA;Autocratic Charmer;high;M35042;x
35043;Head of State;卡洛斯 阿尔贝托 普埃伦东 ;36;FA;Ruthless Powermonger;high;M35011;x
35044;Head of State;胡安 多明戈 庇隆 ;45;LWR;Autocratic Charmer;high;M35021;x
35045;Head of Government;阿古斯丁 P 胡斯托 ;36;SC;Old General;high;M35001;x
35046;Head of Government;路易斯 波德斯塔 科斯塔 ;38;SC;Backroom Backstabber;high;M35014;x
35047;Head of Government;拉蒙 卡斯蒂略 ;40;PA;Old General;high;M35005;x
35048;Head of Government;曼努埃尔 马里亚 德 伊里翁多 ;46;SC;Silent Workhorse;high;M35034;x
35049;Head of Government;马塞洛 T 阿尔韦亚尔 ;36;SL;Naive Optimist;high;M35035;x
35050;Head of Government;罗武斯蒂亚诺 帕特龙 科斯塔斯 ;42;SL;Smiling Oilman;high;M35036;x
35051;Head of Government;巴尔达萨雷 巴尔迪 希门尼斯 ;36;SD;Political Protege;high;M35037;x
35052;Head of Government;古斯塔沃 门多萨 柯廷 ;40;SD;Corporate Suit;high;M35038;x
35053;Head of Government;罗伯托 M 奥尔蒂斯 ;36;PA;Flamboyant Tough Guy;high;M35039;x
35054;Head of Government;朱利奥 A 罗卡 ;40;SC;Happy Amateur;high;M35040;x
35055;Head of Government;佩德罗 巴勃罗 拉米雷斯 ;43;PA;Old General;high;M35055;x
35056;Head of Government;切萨尔 阿梅格希诺 ;44;PA;Ambitious Union Boss;high;M35042;x
35057;Head of Government;卡洛斯 阿尔贝托 普埃伦东 ;36;FA;Flamboyant Tough Guy;high;M35011;x
35058;Head of Government;胡安 多明戈 庇隆 ;45;LWR;Naive Optimist;high;M35021;x
35060;Foreign Minister;阿尔贝托 许约 ;38;SC;Apologetic Clerk;high;M35004;x
35061;Foreign Minister;阿尔贝托 吉尔伯特 ;40;SC;Ideological Crusader;high;M35061;x
35062;Foreign Minister;佩德罗 阿兰布鲁 ;44;SC;General Staffer;high;M35062;x
35063;Foreign Minister;丹尼尔 卡波 罗德里格斯 ;46;SC;The Cloak N Dagger Schemer;high;M35063;x
35064;Foreign Minister;奥拉西奥 奥亚 圣 阿特 ;36;SL;Ideological Crusader;high;M35064;x
35065;Foreign Minister;曼努埃尔 拉蒙 阿尔瓦拉多 ;38;SL;Iron Fisted Brute;high;M35065;x
35066;Foreign Minister;马塞洛 T 阿尔韦亚尔 ;40;SL;Great Compromiser;high;M35035;x
35067;Foreign Minister;罗武斯蒂亚诺 帕特龙 科斯塔斯 ;44;SL;Iron Fisted Brute;high;M35036;x
35068;Foreign Minister;吉尔伯特 A 佩茨 ;46;SL;Biased Intellectual;high;M35068;x
35069;Foreign Minister;劳尔 维森西奥 古斯曼 ;36;SD;Great Compromiser;high;M35069;x
35070;Foreign Minister;爱德华多 米亚 贝穆德斯 ;38;SD;Apologetic Clerk;high;M35070;x
35071;Foreign Minister;丹尼尔 卡波 罗德里格斯 ;40;SD;The Cloak N Dagger Schemer;high;M35063;x
35072;Foreign Minister;若泽 马里亚 坎蒂洛 ;38;PA;Biased Intellectual;high;M35072;x
35073;Foreign Minister;朱利奥 A 罗卡 ;40;PA;Apologetic Clerk;high;M35040;x
35074;Foreign Minister;吉耶尔莫 罗特 ;41;PA;Iron Fisted Brute;high;M35074;x
35075;Foreign Minister;阿方索 鲁伊斯 吉尼亚苏 ;40;PA;The Cloak N Dagger Schemer;high;M35075;x
35076;Foreign Minister;奥兰多 佩卢福 ;44;PA;General Staffer;high;M35076;x
35077;Foreign Minister;赫克托 贝尔嫩戈 利马 ;45;PA;Ideological Crusader;high;M35023;x
35078;Foreign Minister;切萨尔 阿梅格希诺 ;46;PA;Great Compromiser;high;M35042;x
35079;Foreign Minister;卡洛斯 阿尔贝托 普埃伦东 ;36;FA;Apologetic Clerk;high;M35011;x
35081;Foreign Minister;胡安 布拉穆利亚 ;45;LWR;Great Compromiser;high;M35081;x
35082;Foreign Minister;胡安 伊萨克 库克 ;47;LWR;Iron Fisted Brute;high;M35082;x
35084;Minister of Armament;利桑德罗 德 拉 托雷 ;37;SC;Resource Industrialist;high;M35084;x
35085;Minister of Armament;路易斯 波德斯塔 科斯塔 ;38;SC;Air To Ground Proponent;high;M35014;x
35086;Minister of Armament;佩德罗 阿兰布鲁 ;40;SC;Tank Proponent;high;M35062;x
35087;Minister of Armament;阿古斯丁 罗德里格斯 ;44;SC;Administrative Genius;high;M35087;x
35088;Minister of Armament;埃尔皮迪奥 冈萨雷斯 ;36;SL;Resource Industrialist;high;M35088;x
35089;Minister of Armament;乔斯 坦博尼 ;38;SL;Administrative Genius;high;M35089;x
35090;Minister of Armament;奥滕西奥 基哈诺 ;39;SL;Strategic Air Proponent;high;M35015;x
35091;Minister of Armament;恩里克 马丁内斯 ;41;SL;Military Entrepreneur;high;M35091;x
35092;Minister of Armament;乔治 德 拉 托雷 ;40;SL;Submarine Proponent;high;M35006;x
35093;Minister of Armament;曼努埃尔 A 罗德里格斯 ;43;SL;Infantry Proponent;high;M35007;x
35094;Minister of Armament;胡安 多明戈 庇隆 ;44;SL;Tank Proponent;high;M35021;x
35095;Minister of Armament;巴托洛梅奥 德 拉 科利纳 ;46;SL;Air to Sea Proponent;high;M35095;x
35096;Minister of Armament;温贝托 德 塞哈斯 韦尔达 ;36;SD;Theoretical Scientist;high;M35096;x
35097;Minister of Armament;胡安 厄兹泰罗 梅迪纳 ;40;SD;Resource Industrialist;high;M35097;x
35098;Minister of Armament;吉耶尔莫 罗特 ;38;PA;Corrupt Kleptocrat;high;M35074;x
35099;Minister of Armament;费代里科 皮内多 ;39;PA;Laissez Faires Capitalist;high;M35099;x
35100;Minister of Armament;朱利奥 A 罗卡 ;40;PA;Battle Fleet Proponent;high;M35040;x
35101;Minister of Armament;奥古斯托 迪亚兹 布斯坦 ;41;PA;Military Entrepreneur;high;M35101;x
35102;Minister of Armament;安东尼奥 帕罗迪 ;40;PA;Air Superiority Proponent;high;M35010;x
35103;Minister of Armament;埃德尔米罗 法雷尔 ;43;PA;Infantry Proponent;high;M35041;x
35104;Minister of Armament;若泽 马里亚 坎蒂洛 ;44;PA;Submarine Proponent;high;M35072;x
35105;Minister of Armament;胡安 厄兹泰罗 梅迪纳 ;46;PA;Resource Industrialist;high;M35097;x
35108;Minister of Armament;奥滕西奥 基哈诺 ;45;LWR;Strategic Air Proponent;high;M35015;x
35109;Minister of Armament;弗朗西斯科 洛佩斯 梅尔廷 ;47;LWR;Air to Sea Proponent;high;M35109;x
35110;Minister of Armament;阿尔贝托 瓦莱 ;47;LWR;Theoretical Scientist;high;M35110;x
35111;Minister of Security;曼努埃尔 马里亚 德 伊里翁多 ;36;SC;Prince of Terror;high;M35034;x
35112;Minister of Security;莱奥波尔多 梅洛 ;38;SC;Compassionate Gentleman;high;M35112;x
35113;Minister of Security;乔治 埃斯科巴尔 科尔 ;40;SC;Prince of Terror;high;M35113;x
35114;Minister of Security;阿尔贝托 吉尔伯特 ;44;SC;Crooked Kleptocrat;high;M35061;x
35116;Minister of Security;恩里克 马丁内斯 ;36;SL;Man of the People;high;M35091;x
35117;Minister of Security;奥拉西奥 奥亚 圣 阿特 ;37;SL;Silent Lawyer;high;M35064;x
35118;Minister of Security;阿古斯丁 罗德里格斯 ;38;SL;Compassionate Gentleman;high;M35087;x
35119;Minister of Security;乔斯 坦博尼 ;41;SL;Crime Fighter;high;M35089;x
35120;Minister of Security;吉耶尔莫 罗特 ;40;SL;Crooked Kleptocrat;high;M35074;x
35121;Minister of Security;奥滕西奥 基哈诺 ;44;SL;Efficient Sociopath;high;M35015;x
35122;Minister of Security;阿尔贝托 吉尔伯特 ;46;SL;Crooked Kleptocrat;high;M35061;x
35123;Minister of Security;罗伯托 铁托 斯基亚韦扎 ;36;SD;Compassionate Gentleman;high;M35123;x
35124;Minister of Security;古斯塔沃 门多萨 柯廷 ;40;SD;Man of the People;high;M35038;x
35125;Minister of Security;托马斯 阿尔贝托 列 布雷顿 ;38;PA;Man of the People;high;M35125;x
35126;Minister of Security;佩德罗 巴勃罗 拉米雷斯 ;39;PA;Efficient Sociopath;high;M35126;x
35127;Minister of Security;吉耶尔莫 罗特 ;44;PA;Crooked Kleptocrat;high;M35074;x
35129;Minister of Security;爱德华多 米亚 贝穆德斯 ;47;PA;Efficient Sociopath;high;M35070;x
35130;Minister of Security;罗伯托 M 奥尔蒂斯 ;36;FA;Back Stabber;high;M35039;x
35131;Minister of Security;奥滕西奥 基哈诺 ;38;FA;Efficient Sociopath;high;M35015;x
35132;Minister of Security;奥古斯托 迪亚兹 布斯坦 ;40;FA;Silent Lawyer;high;M35101;x
35133;Minister of Security;安东尼奥 鲁伊斯 迪亚兹 ;45;LWR;Crooked Kleptocrat;high;M35025;x
35134;Minister of Security;埃娃 佩龙 ;47;LWR;Man of the People;high;M35134;x
35135;Head of Military Intelligence;迪奥热内斯 塔沃阿达 ;36;SC;Industrial Specialist;high;M35135;x
35136;Head of Military Intelligence;曼努埃尔 马里亚 德 伊里翁多 ;40;SC;Political Specialist;high;M35034;x
35137;Head of Military Intelligence;拉蒙 卡斯蒂略 ;42;SC;Dismal Enigma;high;M35005;x
35139;Head of Military Intelligence;阿古斯丁 罗德里格斯 ;36;SL;Political Specialist;high;M35087;x
35140;Head of Military Intelligence;乔治 德 拉 托雷 ;38;SL;Dismal Enigma;high;M35006;x
35141;Head of Military Intelligence;埃尔皮迪奥 冈萨雷斯 ;40;SL;Technical Specialist;high;M35088;x
35142;Head of Military Intelligence;阿尔贝托 吉尔伯特 ;44;SL;Logistics Specialist;high;M35061;x
35143;Head of Military Intelligence;巴托洛梅奥 德 拉 科利纳 ;46;SL;Industrial Specialist;high;M35095;x
35144;Head of Military Intelligence;巴尔达萨雷 巴尔迪 希门尼斯 ;36;SD;Logistics Specialist;high;M35037;x
35145;Head of Military Intelligence;奥斯卡 贝纳维德 佩雷斯 ;38;SD;Dismal Enigma;high;M35145;x
35146;Head of Military Intelligence;温贝托 雅辛托 瓦斯克斯 ;40;SD;Industrial Specialist;high;M35138;x
35147;Head of Military Intelligence;乌里巴尔迪 迪亚兹 布里滕贝格 ;40;SD;Technical Specialist;high;M35147;x
35148;Head of Military Intelligence;费利佩 乌达皮列塔 ;38;PA;Logistics Specialist;high;M35148;x
35149;Head of Military Intelligence;罗伯托 M 奥尔蒂斯 ;39;PA;Industrial Specialist;high;M35039;x
35150;Head of Military Intelligence;阿道夫 罗森 巴斯塔曼特 ;40;PA;Naval Intelligence Specialist;high;M35150;x
35151;Head of Military Intelligence;温贝托 雅辛托 瓦斯克斯 ;43;PA;Industrial Specialist;high;M35138;x
35152;Head of Military Intelligence;佩德罗 格罗索 索托 ;36;FA;Dismal Enigma;high;M35016;x
35153;Head of Military Intelligence;佩德罗 S 卡萨尔 ;45;LWR;Naval Intelligence Specialist;high;M35009;x
35154;Head of Military Intelligence;乔治 迪 帕斯夸莱 ;47;LWR;Dismal Enigma;high;M35154;x
35155;Head of Military Intelligence;古斯塔沃 门多萨 柯廷 ;47;LWR;Industrial Specialist;high;M35038;x
35156;Chief of Staff;乔斯 马里亚 萨罗韦 ;36;SC;School of Fire Support;high;M35156;x
35157;Chief of Staff;费利佩 乌达皮列塔 ;40;SC;School of Psychology;high;M35148;x
35158;Chief of Staff;佩德罗 巴勃罗 拉米雷斯 ;43;SC;School of Manoeuvre;high;M35055;x
35160;Chief of Staff;弗朗西斯科 M 韦莱兹 ;36;SL;School of Fire Support;high;M35160;x
35161;Chief of Staff;托马斯 马丁内斯 ;38;SL;School of Manoeuvre;high;M35161;x
35164;Chief of Staff;胡安 布兰科 卡雷拉 ;46;SL;School of Defence;high;M35164;x
35165;Chief of Staff;胡安 多明戈 庇隆 ;36;SD;School of Psychology;high;M35162;x
35166;Chief of Staff;乔治 曼尼 ;40;SD;School of Mass Combat;high;M35159;x
35167;Chief of Staff;卡洛斯 O 马克斯 ;38;PA;School of Mass Combat;high;M35017;x
35168;Chief of Staff;埃德尔米罗 法雷尔 ;43;SC;School of Psychology;high;M35041;x
35169;Chief of Staff;卡洛斯 冯 德尔 贝克 ;46;PA;School of Defence;high;M35169;x
35171;Chief of Staff;巴勃罗 圣 梅尔廷 ;45;LWR;School of Defence;high;M35027;x
35172;Chief of Staff;保罗 卡斯泰 莱恩福德 ;47;LWR;School of Psychology;high;M35172;x
35173;Chief of Army;阿古斯丁 P 胡斯托 ;36;SC;Elastic Defence Doctrine;high;M35001;x
35174;Chief of Army;劳雷亚诺 安纳亚 ;38;SC;Armoured Spearhead Doctrine;high;M35174;x
35178;Chief of Army;托马斯 马丁内斯 ;38;SL;Guns and Butter Doctrine;high;M35161;x
35179;Chief of Army;胡安 多明戈 庇隆 ;40;SL;Decisive Battle Doctrine;high;M35028;x
35180;Chief of Army;胡安 布兰科 卡雷拉 ;44;SL;Static Defence Doctrine;high;M35164;x
35182;Chief of Army;埃里韦托 拉 加利纳 ;36;SD;Static Defence Doctrine;high;M35029;x
35183;Chief of Army;弗朗西斯科 M 韦莱兹 ;40;SD;Elastic Defence Doctrine;high;M35160;x
35184;Chief of Army;曼努埃尔 萨维奥 ;38;PA;Static Defence Doctrine;high;M35176;x
35185;Chief of Army;卡洛斯 O 马克斯 ;40;PA;Decisive Battle Doctrine;high;M35017;x
35186;Chief of Army;佩德罗 巴勃罗 拉米雷斯 ;42;PA;Guns and Butter Doctrine;high;M35055;x
35187;Chief of Army;恩里克 莫斯科尼 ;44;PA;Armoured Spearhead Doctrine;high;M35187;x
35189;Chief of Army;胡安 多明戈 庇隆 ;45;LWR;Armoured Spearhead Doctrine;high;M35028;x
35190;Chief of Navy;埃利埃泽 魏地拉 ;36;SC;Decisive Naval Battle Doctrine;high;M35190;x
35192;Chief of Navy;路易斯 席尔瓦 卡拉斯科 ;44;SC;Power Projection Doctrine;high;M35192;x
35193;Chief of Navy;埃尔皮迪奥 冈萨雷斯 ;36;SL;Base Control Doctrine;high;M35088;x
35195;Chief of Navy;埃里韦托 拉 加利纳 ;40;SL;Indirect Approach Doctrine;high;M35029;x
35196;Chief of Navy;胡安 P 佩德蒙特 ;44;SL;Power Projection Doctrine;high;M35196;x
35197;Chief of Navy;卡洛斯 普塔拉 维尼奥洛 ;46;SL;Open Seas Doctrine;high;M35197;x
35198;Chief of Navy;卢奥戈 卡瓦列里 ;36;SD;Base Control Doctrine;high;M35198;x
35200;Chief of Navy;利昂 桑切斯 斯卡索 ;38;PA;Open Seas Doctrine;high;M35200;x
35201;Chief of Navy;佩德罗 巴勃罗 拉米雷斯 ;40;PA;Base Control Doctrine;high;M35126;x
35202;Chief of Navy;佩德罗 格罗索 索托 ;44;PA;Indirect Approach Doctrine;high;M35016;x
35207;Chief of Air Force;莱奥波尔多 梅洛 ;38;SC;Naval Aviation Doctrine;high;M35112;x
35208;Chief of Air Force;奥斯卡 穆拉托里奥 ;40;SC;Vertical Envelopment Doctrine;high;M35208;x
35210;Chief of Air Force;乔斯 坦博尼 ;36;SL;Army Aviation Doctrine;high;M35089;x
35211;Chief of Air Force;乔治 曼尼 ;38;SL;Air Superiority Doctrine;high;M35159;x
35212;Chief of Air Force;赫克托 德尔 里瓦 ;40;SL;Naval Aviation Doctrine;high;M35030;x
35214;Chief of Air Force;巴托洛梅奥 德 拉 科利纳 ;46;SL;Vertical Envelopment Doctrine;high;M35095;x
35215;Chief of Air Force;奥斯卡 贝纳维德 佩雷斯 ;36;SD;Naval Aviation Doctrine;high;M35145;x
35216;Chief of Air Force;乌里巴尔迪 迪亚兹 布里滕贝格 ;40;SD;Army Aviation Doctrine;high;M35147;x
35217;Chief of Air Force;阿尔贝托 贝达克尔 ;38;PA;Carpet Bombing Doctrine;high;M35213;x
35218;Chief of Air Force;卡洛斯 O 马克斯 ;40;PA;Vertical Envelopment Doctrine;high;M35017;x
35219;Chief of Air Force;卡洛斯 毛里诺 ;44;PA;Army Aviation Doctrine;high;M35020;x
35220;Chief of Air Force;加布里埃尔 A 赫尔曼松 ;46;PA;Air Superiority Doctrine;high;M35220;x
35223;Head of State;阿道夫 罗森 巴斯塔曼特 ;43;SC;Barking Buffoon;high;M35150;x
35224;Head of Government;阿道夫 罗森 巴斯塔曼特 ;43;SC;Old Admiral;high;M35150;x
35225;Foreign Minister;塞贡多 R 斯托尔尼 ;43;SC;Iron Fisted Brute;high;M35225;x
35226;Minister of Armament;贝尼托 苏埃罗 ;43;SC;Laissez Faires Capitalist;high;M35226;x
35227;Minister of Security;迭戈 伊西德罗 梅森 ;43;SC;Silent Lawyer;high;M35227;x
35228;Head of Military Intelligence;维森特 胡伊德拉巴拉 乌里贝 ;43;SC;Technical Specialist;high;M35228;x
35229;Chief of Army;阿道夫 罗森 巴斯塔曼特 ;41;SC;Decisive Battle Doctrine;high;M35150;x
35230;Chief of Navy;塞贡多 R 斯托尔尼 ;43;SC;Open Seas Doctrine;high;M35225;x
35231;Head of State;佩德罗 巴勃罗 拉米雷斯 ;43;PA;Stern Imperialist;high;M35055;x
35232;Foreign Minister;伊波利托 热苏斯 帕斯 ;49;LWR;Apologetic Clerk;high;M35232;x
35233;Foreign Minister;热罗尼莫 雷莫里诺 ;51;LWR;The Cloak N Dagger Schemer;high;M35233;x
35234;Head of Military Intelligence;热罗尼莫 雷莫里诺 ;49;LWR;Political Specialist;high;M35233;x
35235;Head of Government;阿尔贝托 波德斯塔 卡斯特罗 ;49;SC;Corporate Suit;high;M35235;x
35236;Foreign Minister;阿尔贝托 波德斯塔 卡斯特罗 ;49;SC;Biased Intellectual;high;M35235;x
35237;Chief of Army;乔斯 莫利纳 戈梅 ;50;LWR;Decisive Battle Doctrine;high;L120020;x
35238;Minister of Security;兰多夫 阿米尔顿 塞纳;59;FA;Crooked Kleptocrat;high;M_ARG_Rodolf_Almiron_Sena;x
35239;Head of Government;尼米奥;40;FA;Naive Optimist;high;M_ARG_Nimio_de_Anqu韓;x
35240;Foreign Minister;尼米奥;34;FA;Biased Intellectual;high;M_ARG_Nimio_de_Anqu韓;x
35241;Minister of Security;胡里奥 梅维勒;34;NS;Prince of Terror;high;M_ARG_Julio_Meinvielle;x
35242;Minister of Armament;阿尔弗雷多 胡兹;56;PA;Laissez Faires Capitalist;high;M_ARG_Jose_Alfredo_M_de_Hoz;x
35273;Minister of Security;乔塞 阿隆索;46;LWR;Back Stabber;High;M_ARG_JoseAlonso;x
35274;Minister of Security;乔塞 伊格纳西奥;44;LWR;Man of the People;High;M_ARG_JoseIgnacioRucci;x
35275;Chief of Staff;胡安 卡洛斯 昂尼亚;53;PA;School of Manoeuvre;Medium;M_ARG_JuanCOngania;x
35276;Chief of Army;胡安 卡洛斯 昂尼亚;58;PA;Elastic Defence Doctrine;Medium;M_ARG_JuanCOngania;x
35277;Head of State;胡安 卡洛斯 昂尼亚;61;PA;Resigned Generalissimo;High;M_ARG_JuanCOngania;x
