NOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
14049;Foreign Minister;阿达曼 艾格德 尼森 ;41;ST;Iron Fisted Brute;Low;M14021;x
14050;Minister of Armament;芬 哈格鲁普 ;37;SD;Submarine Proponent;Medium;M14050;x
14051;Minister of Armament;奥斯卡 F 特洛普 ;39;SD;Resource Industrialist;Medium;M14051;x
14052;Minister of Armament;弗瑞德克 蒙森 ;40;SD;Tank Proponent;Medium;M14052;x
14053;Minister of Armament;吉恩斯 克里斯汀 哈格 ;40;SD;Military Entrepreneur;High;M14053;x
14054;Minister of Armament;艾瑞克 博罗弗斯 ;45;SD;Air Superiority Proponent;High;M14054;x
14055;Minister of Armament;弗瑞德瑞克 贝彻汉姆 ;36;SL;Infantry Proponent;Medium;M14055;x
14056;Minister of Armament;约汉 H 安德森 ;38;ML;Resource Industrialist;Medium;M14056;x
14057;Minister of Armament;本加明 沃格特 ;40;ML;Battle Fleet Proponent;Medium;M14057;x
14058;Minister of Armament;米歇尔 汉森 ;41;SL;Strategic Air Proponent;Medium;M14058;x
14059;Minister of Armament;艾尔宁 萨登贝格 ;43;SL;Infantry Proponent;Very low;M14014;x
14060;Minister of Armament;古纳 加赫 ;45;SL;Laissez Faires Capitalist;Medium;M14060;x
14061;Minister of Armament;阿尔贝特 维拉加姆 哈格宁 ;41;FA;Tank Proponent;Low;M14048;x
14062;Minister of Armament;弗瑞德瑞克 皮兹 ;42;FA;Submarine Proponent;Medium;M14062;x
14063;Minister of Armament;卡尔 弗瑞德里希 汉森 ;43;FA;Military Entrepreneur;Low;M14063;x
14064;Minister of Armament;艾米尔 拉利恩 ;45;ST;Military Entrepreneur;Low;M14022;x
14065;Minister of Security;特瑞杰 沃德 ;39;SD;Silent Lawyer;Medium;M14065;x
14066;Minister of Security;阿斯贝吉恩 布伊赫 ;43;SD;Crime Fighter;Low;M14066;x
14067;Minister of Security;哈克 李 ;45;SD;Prince of Terror;High;M14067;x
14068;Minister of Security;阿瑞恩 苏恩德 ;37;SL;Silent Lawyer;High;M14068;x
14069;Minister of Security;艾尔宁 萨登贝格 ;43;SL;Compassionate Gentleman;Very low;M14014;x
14070;Minister of Security;罗尔夫 弗格勒桑 ;42;FA;Efficient Sociopath;Very Low;M14070;x
14071;Head of Military Intelligence;贝特拉姆 德伊比瓦德 博彻汉姆 ;36;ML;Dismal Enigma;Medium;M14071;x
14072;Head of Military Intelligence;维廉汉姆 艾旺 ;43;SD;Political Specialist;Medium;M14072;x
14073;Head of Military Intelligence;古纳 加赫 ;45;SL;Industrial Specialist;Medium;M14060;x
14074;Head of Military Intelligence;卡尔 A 曼森 ;44;NS;Dismal Enigma;Low;M14074;x
14075;Chief of Staff;比瑞格 利居恩贝格 ;36;SD;School of Defence;High;M14007;x
14076;Chief of Staff;比瑞格 弗瑞德瑞克 莫特泽菲德 ;44;SD;School of Manoeuvre;Medium;M14076;x
14077;Chief of Staff;约汉 贝彻汉姆 ;42;ML;School of Mass Combat;Very High;M14077;x
14078;Chief of Staff;威廉汉姆 冯 坦根-汉斯特恩 ;46;ML;School of Fire Support;Very High;M14078;x
14079;Chief of Staff;哈尔沃 汉森 ;46;ML;School of Psychology;Very High;M14079;x
14080;Chief of Army;奥托 路格 ;40;SD;Guns and Butter Doctrine;Medium;M14075;x
14081;Chief of Army;奥拉夫 乌 诺格 ;43;SD;Elastic Defence Doctrine;Very High;M14081;x
14082;Chief of Army;吉根 巴克 ;42;NS;Decisive Battle Doctrine;Medium;M14082;x
14083;Chief of Navy;亨瑞 迪森 ;37;SD;Open Seas Doctrine;Medium;M14083;x
14084;Chief of Navy;古恩 霍夫德纳克 ;41;SD;Decisive Naval Battle Doctrine;Medium;M14084;x
14085;Chief of Navy;克瑞斯托夫 梅伊 ;38;ML;Base Control Doctrine;Medium;M14085;x
14086;Chief of Navy;汉斯 克瑞留森 ;41;ML;Indirect Approach Doctrine;Medium;M14086;x
14087;Chief of Navy;托雷弗 费尔德斯塔德 ;41;FA;Indirect Approach Doctrine;Medium;M14087;x
14088;Chief of Navy;克吉尔德 斯图布 伊瑞根斯 ;42;FA;Decisive Naval Battle Doctrine;Medium;M14088;x
14089;Chief of Air Force;哈加尔玛 瑞瑟尔-拉森 ;37;SD;Army Aviation Doctrine;Medium;M14089;x
14090;Chief of Air Force;贝加恩 卡恩 ;45;SD;Vertical Envelopment Doctrine;Medium;M14090;x
14091;Chief of Air Force;哈拉德 贝鲁斯加登 ;36;SL;Naval Aviation Doctrine;Medium;M14091;x
14092;Chief of Air Force;卡尔 古利斯克森 ;37;SL;Air Superiority Doctrine;Medium;M14092;x
14093;Chief of Air Force;屈格夫 克宁根贝格 ;37;SL;Army Aviation Doctrine;Medium;M14093;x
14094;Chief of Air Force;奥勒 瑞斯塔德 ;39;SL;Carpet Bombing Doctrine;Medium;M14094;x
14095;Head of Military Intelligence;卡尔 弗瑞德里希 汉森 ;45;FA;Industrial Specialist;Low;M14063;x
14011;Head of State;约瑟夫 特瑞博温 ;36;FA;Resigned Generalissimo;High;M14011;x
14012;Head of Government;维德孔 吉斯林 ;36;FA;Corporate Suit;High;M14012;x
14013;Foreign Minister;维德孔 吉斯林 ;36;FA;The Cloak N Dagger Schemer;High;M14012;x
14015;Minister of Security;乔纳斯 李 ;36;NS;Crime Fighter;High;M14015;x
14016;Head of Military Intelligence;奥利弗 马斯塔德 ;36;FA;Dismal Enigma;High;M14016;x
14017;Chief of Staff;斯维瑞 利斯恩 ;36;FA;School of Defence;High;M14017;x
14018;Chief of Army;康拉德 苏德罗 ;36;FA;Static Defence Doctrine;High;M14018;x
14019;Chief of Navy;贝瑞特尔 布恩 ;36;FA;Open Seas Doctrine;Medium;M14019;x
14020;Chief of Air Force;屈格夫 加安 ;36;FA;Air Superiority Doctrine;High;M14020;x
14021;Head of State;阿达曼 艾格德 尼森 ;36;ST;Insignificant Layman;High;M14021;x
14022;Head of Government;艾米尔 拉利恩 ;36;ST;Smiling Oilman;High;M14022;x
14023;Foreign Minister;皮德 弗瑞博特恩 ;36;LE;Ideological Crusader;Medium;M14023;x
14024;Minister of Armament;亨瑞 威廉汉姆 克利斯坦森 ;36;ST;Military Entrepreneur;High;M14024;x
14025;Minister of Security;萨姆勒 悌勒斯塔德 ;36;LE;Prince of Terror;High;M14025;x
14026;Head of Military Intelligence;阿斯贝吉恩 苏恩德 ;36;ST;Political Specialist;Very High;M14026;x
14027;Chief of Staff;阿瑞恩 加斯尔 ;36;LE;School of Defence;High;M14027;x
14028;Chief of Army;阿瑞恩 加斯尔 ;36;LE;Elastic Defence Doctrine;Medium;M14027;x
14029;Chief of Navy;斯库勒 斯托瑞赫尔 ;36;LWR;Decisive Naval Battle Doctrine;Medium;M14029;x
14030;Chief of Air Force;亨瑞克 诺比 ;36;LWR;Carpet Bombing Doctrine;Medium;M14030;x
14096;Head of Government;奥斯卡 F 特洛普 ;51;SD;Smiling Oilman;High;M14051;x
14097;Minister of Armament;尼尔斯 兰格赫勒 ;51;SD;Resource Industrialist;High;M14097;x
14098;Minister of Security;奥斯卡 C 古德森 ;46;SD;Silent Lawyer;High;M14098;x
14099;Head of Government;延斯 洪塞德;30;SD;Silent Workhorse;Medium;M14099;x
14100;Head of Government;约翰 莫文克;30;SD;Silent Workhorse;Medium;M14100;x
14101;Minister of Security;卡尔 A 曼森 ;41;NS;Prince of Terror;Medium;M_NOR_Karl_A_Marthinsen;x
14102;Minister of Security;斯韦勒 P. 瑞森;39;FA;Silent Lawyer;Medium;M_NOR_Sverre P_Riisn鎠;x
14103;Foreign Minister;约翰 S. 约翰森;44;LE;Ideological Crusader;Medium;M_NOR_Johan_S_Johansen;x
14104;Minister of Security;享利 奥立弗 瑞南;43;NS;Efficient Sociopath;Low;M_NOR_HenryRinnan;x
