MON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
94048;Foreign Minister;尤睦佳 泽登巴尔 ;41;ST;Iron Fisted Brute;high;M94041;x
94049;Foreign Minister;霍尔洛 乔巴山 ;44;ST;General Staffer;high;M94049;x
94050;Minister of Armament;策沃勒索德诺姆 ;37;PA;Military Entrepreneur;high;M94014;x
94052;Minister of Armament;曾古巴尔 巴德拉赫 ;37;LE;Air to Ground Proponent;high;M94023;x
94053;Minister of Armament;策沃勒索德诺姆 ;37;LWR;Military Entrepreneur;high;M94014;x
94054;Minister of Armament;扎勒本格 色热特尔 ;38;LWR;Theoretical Scientist;high;M94024;x
94055;Minister of Armament;巴特尔 ;40;ST;Air to Sea Proponent;high;M94055;x
94056;Minister of Armament;霍尔洛 乔巴山 ;42;ST;Resource Industrialist;high;M94006;x
94057;Minister of Armament;扎木斯朗 桑布 ;44;ST;Laissez Faires Capitalist;high;M94057;x
94058;Minister of Armament;冈其格 布曼曾德 ;46;ST;Military Entrepreneur;high;M94034;x
94059;Minister of Armament;苏赫巴托尔 扬吉玛 ;47;ST;Administrative Genius;high;M94020;x
94060;Minister of Security;博彦满都 ;37;PA;Prince of Terror;high;M94015;x
94062;Minister of Security;达格瓦 ;37;LE;Prince of Terror;high;M94028;x
94063;Minister of Security;丹斯朗毕力格 道格索木 ;37;LWR;Compassionate Gentleman;high;M94025;x
94064;Minister of Security;布彦讷莫赫 ;38;LWR;Silent Lawyer;high;M94064;x
94065;Minister of Security;达希道洛布 ;40;ST;Crooked Kleptocrat;high;M94065;x
94066;Minister of Security;扎木斯朗 桑布 ;42;ST;Back Stabber;high;M94057;x
94067;Minister of Security;亚历山德拉 米哈伊洛夫娜 柯伦泰 ;44;ST;Man of the People;high;M94067;x
94068;Minister of Security;宁布 ;46;ST;Crime Fighter;high;M94068;x
94069;Head of Military Intelligence;伊青浩尔罗 ;37;PA;Logistics Specialist;high;M94016;x
94070;Head of Military Intelligence;道尔给扎布 鲁布桑沙拉布 ;37;SD;Logistics Specialist;high;M94002;x
94071;Head of Military Intelligence;道尔给扎布 鲁布桑桑布 ;37;LE;Political Specialist;high;M94071;x
94072;Head of Military Intelligence;伊青浩尔罗 ;37;LWR;Logistics Specialist;high;M94016;x
94073;Head of Military Intelligence;达希尼雅木 ;38;LWR;Logistics Specialist;high;M94073;x
94074;Head of Military Intelligence;宁布 ;40;ST;Industrial Specialist;high;M94068;x
94075;Head of Military Intelligence;达希道尔吉 ;42;ST;Political Specialist;high;M94075;x
94076;Head of Military Intelligence;达希哲格布 ;44;ST;Logistics Specialist;high;M94076;x
94077;Head of Military Intelligence;布彦讷莫赫 ;46;ST;Naval Intelligence Specialist;high;M94064;x
94078;Chief of Staff;李守信 ;37;PA;School of Mass Combat;high;M94017;x
94079;Chief of Staff;白云梯 ;37;SD;School of Defence;high;M94021;x
94081;Chief of Staff;霍尔洛 乔巴山 ;37;LWR;School of Manoeuvre;high;M94081;x
94082;Chief of Staff;偶尔兹卓艮 巴扎克;38;LWR;School of Defence;high;M94082;x
94083;Chief of Staff;布玛 曾德 ;40;ST;School of Defence;high;M94035;x
94085;Chief of Army;李守信 ;37;PA;Guns and Butter Doctrine;high;M94017;x
94086;Chief of Army;达格瓦 ;37;SD;Guns and Butter Doctrine;high;M94028;x
94088;Chief of Army;偶尔兹卓艮 巴扎克;37;LWR;Static Defence Doctrine;high;M94082;x
94089;Chief of Army;霍尔洛 乔巴山 ;38;LWR;Guns and Butter Doctrine;high;M94049;x
94091;Chief of Navy;云端旺楚克 ;37;PA;Open Seas Doctrine;high;M94011;x
94093;Chief of Navy;海达布 ;37;LE;Power Projection Doctrine;high;M94093;x
94094;Chief of Navy;冈巴塔尔 ;37;LWR;Base Control Doctrine;high;M94029;x
94095;Chief of Navy;冈其格 布曼曾德 ;40;ST;Base Control Doctrine;high;M94034;x
94096;Chief of Navy;达希道尔吉 ;42;ST;Indirect Approach Doctrine;high;M94075;x
94098;Chief of Air Force;苏赫巴托尔 扬吉玛 ;37;PA;Naval Aviation Doctrine;high;M94020;x
94100;Chief of Air Force;海达布 ;37;LE;Naval Aviation Doctrine;high;M94093;x
94101;Chief of Air Force;冈巴塔尔 ;37;LWR;Vertical Envelopment Doctrine;high;M94029;x
94102;Chief of Air Force;苏赫巴托尔 扬吉玛 ;40;ST;Naval Aviation Doctrine;high;M94020;x
94103;Chief of Air Force;冈其格 布曼曾德 ;42;ST;Vertical Envelopment Doctrine;high;M94034;x
94104;Chief of Air Force;布彦讷莫赫 ;44;ST;Carpet Bombing Doctrine;high;M94064;x
94105;Chief of Staff;乌兰夫 ;42;LE;School of Mass Combat;high;M94010;x
94106;Chief of Army;乌兰夫 ;50;LE;Static Defence Doctrine;High;M94010;x
