GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
18044;Head of State;乔治斯 希安托斯 ;36;ST;Popular Figurehead;High;M18021;x
18045;Head of State;尼科斯 扎哈里亚迪斯 ;44;ST;Autocratic Charmer;High;M18022;x
18046;Head of Government;塞米斯托克利斯 索富利斯 ;36;SL;Flamboyant Tough Guy;High;M18014;x
18047;Head of Government;乔治斯 帕潘德里欧 ;44;SL;Silent Workhorse;High;M18015;x
18048;Head of Government;帕纳约利斯 普利萨斯 ;46;SL;Smiling Oilman;High;M18048;x
18049;Head of Government;扬尼斯 梅塔克萨斯 ;36;SC;Old General;High;M18049;x
18050;Head of Government;亚历山德罗斯 科里济斯 ;41;SC;Political Protege;High;M18050;x
18051;Head of Government;埃马努埃尔 楚泽罗斯 ;41;SC;Happy Amateur;High;M18051;x
18052;Head of Government;索福克莱斯 韦尼泽洛斯 ;44;SC;Naive Optimist;High;M18012;x
18053;Head of Government;康斯坦丁诺斯 察尔扎里斯 ;46;SC;Old General;High;M18053;x
18054;Head of Government;迪米特里奥斯 马克西莫斯 ;47;SC;Political Protege;High;M18054;x
18055;Head of Government;帕纳伊斯 察尔扎里斯 ;36;FA;Flamboyant Tough Guy;High;M18055;x
18056;Head of Government;乔治亚斯 措拉科格洛 ;41;NS;Old General;High;M18056;x
18057;Head of Government;康斯坦丁诺斯 洛戈塞托普洛斯 ;42;NS;Corporate Suit;High;M18057;x
18058;Head of Government;扬尼斯 拉利斯 ;43;NS;Naive Optimist;High;M18058;x
18059;Head of Government;达马斯基诺斯 大主教 ;45;PA;Flamboyant Tough Guy;High;M18032;x
18060;Head of Government;尼古劳斯 普拉斯蒂拉斯 ;45;PA;Old General;High;M18060;x
18061;Head of Government;彼得罗斯 武尔加里斯 ;45;PA;Naive Optimist;High;M18061;x
18062;Head of Government;帕纳约蒂斯 卡内洛普洛斯 ;45;PA;Smiling Oilman;High;M18062;x
18063;Head of Government;米利蒂亚季斯 波尔菲罗金斯 ;36;ST;Ambitious Union Boss;High;M18029;x
18064;Head of Government;尼科斯 扎哈里亚迪斯 ;41;ST;Smiling Oilman;High;M18022;x
18065;Head of Government;埃夫里皮蒂斯 巴克特里斯 ;44;ST;Happy Amateur;High;M18065;x
18066;Head of Government;马科斯 瓦菲亚蒂斯 ;46;ST;Backroom Backstabber;High;M18066;x
18067;Foreign Minister;乔治斯 帕潘德里欧 ;44;SL;Biased Intellectual;Very High;M18015;x
18068;Foreign Minister;扬尼斯 萨菲亚诺普洛斯 ;45;SL;Great Compromiser;Medium;M18068;x
18069;Foreign Minister;康斯坦丁诺斯 伦蒂斯 ;46;SL;Apologetic Clerk;Medium;M18069;x
18070;Foreign Minister;扬尼斯 梅塔克萨斯 ;36;SC;General Staffer;Very High;M18049;x
18071;Foreign Minister;亚历山德罗斯 科里济斯 ;41;SC;Great Compromiser;Medium;M18050;x
18072;Foreign Minister;埃马努埃尔 楚泽罗斯 ;41;SC;Apologetic Clerk;Medium;M18051;x
18073;Foreign Minister;索福克莱斯 韦尼泽洛斯 ;44;SC;Great Compromiser;Very High;M18012;x
18074;Foreign Minister;康斯坦丁诺斯 察尔扎里斯 ;46;ML;The Cloak N Dagger Schemer;Very High;M18053;x
18075;Foreign Minister;德莫斯特内斯 尼古拉迪斯 ;36;FA;Ideological Crusader;Very High;M18075;x
18076;Foreign Minister;乔治亚斯 措拉科格洛 ;41;NS;General Staffer;Very High;M18056;x
18077;Foreign Minister;康斯坦丁诺斯 洛戈塞托普洛斯 ;42;NS;Biased Intellectual;High;M18057;x
18078;Foreign Minister;扬尼斯 拉利斯 ;43;NS;The Cloak N Dagger Schemer;Very High;M18058;x
18079;Foreign Minister;乔治斯 帕潘德里欧 ;45;PA;Biased Intellectual;Very High;M18015;x
18080;Foreign Minister;约安尼斯 苏格拉底 波利蒂斯 ;45;PA;Apologetic Clerk;Very High;M18080;x
18081;Foreign Minister;帕纳约蒂斯 卡内洛普洛斯 ;45;PA;Great Compromiser;Medium;M18062;x
18082;Foreign Minister;帕纳约蒂奥斯 德梅斯迪查斯 ;46;PA;General Staffer;Very High;M18082;x
18083;Foreign Minister;尼科斯 扎哈里亚迪斯 ;36;ST;Ideological Crusader;Very High;M18022;x
18084;Foreign Minister;米利蒂亚季斯 波尔菲罗金斯 ;46;ST;General Staffer;Very High;M18029;x
18085;Foreign Minister;彼得罗斯 劳索斯 ;47;ST;Biased Intellectual;Very High;M18085;x
18086;Minister of Armament;马科斯 阿加诺索斯 ;36;SL;Corrupt Kleptocrat;Medium;M18086;x
18087;Minister of Armament;塞奥佐罗斯 马萨尔 ;37;SL;Resource Industrialist;Medium;M18087;x
18088;Minister of Armament;塞米斯托克利斯 索富利斯 ;41;SL;Administrative Genius;High;M18014;x
18089;Minister of Armament;亚历山德罗斯 斯沃洛斯 ;44;SL;Resource Industrialist;High;M18089;x
18090;Minister of Armament;季米特里奥斯 古西斯 ;45;SL;Battle Fleet Proponent;High;M18090;x
18091;Minister of Armament;亚历克西乌 察莫托斯 ;36;SC;Submarine Proponent;High;M18091;x
18092;Minister of Armament;安托万 弗朗居里斯 ;38;SC;Air Superiority Proponent;Medium;M18092;x
18093;Minister of Armament;萨纳索斯 埃克萨哈里斯 ;39;SC;Laissez Faires Capitalist;Medium;M18093;x
18094;Minister of Armament;塔基斯 皮佩内利斯 ;40;SC;Theoretical Scientist;Medium;M18094;x
18095;Minister of Armament;埃莱夫塞里奥斯 韦尼泽洛斯 ;41;SC;Air to Ground Proponent;Medium;M18010;x
18096;Minister of Armament;盖西亚 让多斯 ;42;SC;Strategic Air Proponent;Medium;M18096;x
18097;Minister of Armament;阿纳斯塔西奥斯 巴尔迪维里亚斯 ;43;SC;Air to Sea Proponent;Medium;M18097;x
18098;Minister of Armament;阿纳塔西奥斯 卡内洛普洛斯 ;44;SC;Administrative Genius;Very High;M18098;x
18099;Minister of Armament;焦尔焦斯 拉夫达斯 ;45;SC;Tank Proponent;Very High;M18099;x
18100;Minister of Armament;阿尔齐比亚德斯 斯特凡诺普洛斯 ;46;SC;Laissez Faires Capitalist;Medium;M18100;x
18102;Minister of Armament;帕纳伊斯 察尔扎里斯 ;38;FA;Air to Sea Proponent;High;M18055;x
18103;Minister of Armament;帕夫洛斯 米尔齐亚迪斯 ;41;NS;Resource Industrialist;Medium;M18103;x
18104;Minister of Armament;克里斯托 齐甘特斯 ;42;NS;Resource Industrialist;Medium;M18104;x
18105;Minister of Armament;尼古劳斯 武齐纳里斯 ;43;NS;Theoretical Scientist;High;M18105;x
18106;Minister of Armament;扬尼斯 韦尼泽洛斯 ;44;PA;Military Entrepreneur;Medium;M18106;x
18107;Minister of Armament;尼古劳斯 普拉斯蒂拉斯 ;45;PA;Infantry Proponent;Very High;M18060;x
18108;Minister of Armament;乔治斯 希安托斯 ;36;ST;Resource Industrialist;High;M18021;x
18109;Minister of Security;乔治斯 帕潘德里欧 ;36;SL;Efficient Sociopath;High;M18015;x
18110;Minister of Security;马科斯 阿加诺索斯 ;41;SL;Silent Lawyer;Medium;M18086;x
18111;Minister of Security;伊莱亚斯 帕纳基利斯 ;44;SL;Crime Fighter;Medium;M18111;x
18112;Minister of Security;埃万盖洛斯 帕帕努佐斯 ;45;SL;Compassionate Gentleman;Medium;M18112;x
18113;Minister of Security;帕纳约利斯 普利萨斯 ;46;SL;Prince of Terror;High;M18048;x
18114;Minister of Security;焦尔焦斯 尼古拉迪斯 ;36;SC;Back Stabber;Medium;M18114;x
18115;Minister of Security;劳尔 比比卡 罗塞蒂 ;41;SC;Compassionate Gentleman;Medium;M18115;x
18116;Minister of Security;迪米特里奥斯 马克西莫斯 ;44;SC;Crime Fighter;High;M18054;x
18117;Minister of Security;康斯坦丁诺斯 察尔扎里斯 ;44;SC;Man of the People;Medium;M18117;x
18118;Minister of Security;萨纳西斯 阿格尼德 ;45;SC;Efficient Sociopath;Medium;M18118;x
18119;Minister of Security;帕纳约蒂斯 卡凡塔里斯 ;46;SC;Silent Lawyer;Medium;M18119;x
18120;Minister of Security;斯特凡诺斯 拉基安托斯 ;47;SC;Crooked Kleptocrat;Medium;M18120;x
18122;Minister of Security;克里斯托 齐甘特斯 ;38;FA;Prince of Terror;Medium;M18104;x
18123;Minister of Security;格里戈里耶夫 穆尔诺夫 ;41;NS;Crime Fighter;Low;M18040;x
18124;Minister of Security;马里奥 韦尔切利诺 ;42;NS;Back Stabber;Low;M18041;x
18125;Minister of Security;莱因哈德 阿尔滕贝格 ;43;NS;Crooked Kleptocrat;High;M18042;x
18126;Minister of Security;达马斯基诺斯 大主教 ;44;PA;Efficient Sociopath;Very High;M18032;x
18127;Minister of Security;阿尔齐比亚德斯 斯特凡诺普洛斯 ;44;PA;Compassionate Gentleman;Medium;M18100;x
18128;Minister of Security;克里斯托 特里安塔菲利迪斯 ;46;PA;Man of the People;Medium;M18128;x
18129;Minister of Security;詹内斯 约安尼德斯 ;36;ST;Prince of Terror;High;M18025;x
18130;Minister of Security;马科斯 瓦菲亚蒂斯 ;41;ST;Silent Lawyer;High;M18066;x
18131;Minister of Security;斯特拉托斯 帕伊欧姆齐斯 ;45;ST;Efficient Sociopath;Medium;M18131;x
18132;Head of Military Intelligence;乔治斯 帕潘德里欧 ;36;SL;Political Specialist;High;M18015;x
18133;Head of Military Intelligence;科斯塔斯 穆拉斯 ;44;SL;Naval Intelligence Specialist;Medium;M18133;x
18134;Head of Military Intelligence;阿纳斯塔西奥斯 巴尔迪维里亚斯 ;36;SC;Naval Intelligence Specialist;Medium;M18097;x
18135;Head of Military Intelligence;乔治斯 兹罗索普洛斯 ;41;SC;Technical Specialist;High;M18135;x
18136;Head of Military Intelligence;乔治斯 施特赖特 ;44;SC;Industrial Specialist;High;M18136;x
18137;Head of Military Intelligence;阿纳塔西奥斯 卡内洛普洛斯 ;46;SC;Dismal Enigma;Very High;M18098;x
18138;Head of Military Intelligence;亚历山德罗斯 普罗帕尼斯 ;47;SC;Logistics Specialist;Medium;M18138;x
18139;Head of Military Intelligence;克里斯托 特里安塔菲利迪斯 ;36;FA;Dismal Enigma;Medium;M18128;x
18140;Head of Military Intelligence;阿尔齐比亚德斯 斯特凡诺普洛斯 ;37;FA;Industrial Specialist;Medium;M18100;x
18141;Head of Military Intelligence;克里斯托 齐甘特斯 ;41;NS;Industrial Specialist;Medium;M18104;x
18142;Head of Military Intelligence;塞瓦斯蒂亚诺斯 富利迪斯 ;42;NS;Logistics Specialist;High;M18142;x
18143;Head of Military Intelligence;拿破仑 泽尔瓦斯 ;44;PA;Logistics Specialist;Low;M18143;x
18145;Head of Military Intelligence;詹内斯 约安尼德斯 ;36;ST;Political Specialist;High;M18025;x
18146;Head of Military Intelligence;埃夫里皮蒂斯 巴克特里斯 ;41;ST;Industrial Specialist;High;M18065;x
18150;Chief of Staff;亚历山德罗斯 帕帕戈斯 ;36;SC;School of Defence;Medium;M18007;x
18151;Chief of Staff;焦尔焦斯 拉夫达斯 ;39;SC;School of Manoeuvre;Medium;M18099;x
18152;Chief of Staff;帕拉斯科斯 梅利西诺 ;40;SC;School of Mass Combat;Medium;M18152;x
18153;Chief of Staff;瓦西利奥斯 楚诺乌卡斯 ;44;SC;School of Fire Support;Medium;M18153;x
18154;Chief of Staff;阿纳斯塔西奥斯 萨克拉里乌 ;46;SC;School of Psychology;Medium;M18009;x
18155;Chief of Staff;焦尔焦斯 孔季利斯 ;36;FA;School of Manoeuvre;Medium;M18155;x
18157;Chief of Staff;乔治亚斯 措拉科格洛 ;41;NS;School of Manoeuvre;Very High;M18056;x
18158;Chief of Staff;尼古劳斯 普拉斯蒂拉斯 ;44;PA;School of Psychology;Very High;M18060;x
18159;Chief of Staff;利奥尼达斯 帕拉斯基沃普洛斯 ;46;PA;School of Mass Combat;Medium;M18159;x
18160;Chief of Staff;斯特凡诺斯 萨拉菲斯 ;36;ST;School of Mass Combat;High;M18027;x
18162;Chief of Army;焦尔焦斯 鲁索普洛斯 ;41;SL;Elastic Defence Doctrine;Low;M18162;x
18165;Chief of Army;瓦西利奥斯 楚诺乌卡斯 ;41;SC;Decisive Battle Doctrine;Low;M18153;x
18166;Chief of Army;乔治斯 施特赖特 ;44;SC;Guns and Butter Doctrine;Low;M18136;x
18167;Chief of Army;焦尔焦斯 拉夫达斯 ;45;SC;Armoured Spearhead Doctrine;Low;M18099;x
18169;Chief of Army;特奥多尔 潘加洛斯 ;38;FA;Static Defence Doctrine;Low;M18008;x
18170;Chief of Army;乔治亚斯 措拉科格洛 ;41;NS;Decisive Battle Doctrine;Very High;M18056;x
18171;Chief of Army;尼古劳斯 普拉斯蒂拉斯 ;44;PA;Guns and Butter Doctrine;Very High;M18060;x
18172;Chief of Army;阿里斯 韦劳基奥蒂斯 ;36;ST;Decisive Battle Doctrine;High;M18028;x
18173;Chief of Navy;尼古劳斯 沃齐斯 ;36;SL;Base Control Doctrine;High;M18019;x
18174;Chief of Navy;季米特里奥斯 古西斯 ;41;SL;Decisive Naval Battle Doctrine;High;M18090;x
18176;Chief of Navy;亚历克西乌 察莫托斯 ;41;SC;Decisive Naval Battle Doctrine;High;M18091;x
18177;Chief of Navy;彼得罗斯 武尔加里斯 ;44;SC;Indirect Approach Doctrine;Low;M18061;x
18179;Chief of Navy;亚历山德罗斯 奥伊科诺穆 ;41;NS;Open Seas Doctrine;Very Low;M18179;x
18181;Chief of Navy;米利蒂亚季斯 波尔菲罗金斯 ;36;ST;Decisive Naval Battle Doctrine;High;M18029;x
18183;Chief of Air Force;盖西亚 让多斯 ;41;SL;Carpet Bombing Doctrine;Medium;M18096;x
18184;Chief of Air Force;欧萨纳索斯 佩里科斯 ;44;SL;Vertical Envelopment Doctrine;Medium;M18184;x
18185;Chief of Air Force;帕纳戈蒂斯 帕帕尼古拉乌 ;36;SC;Carpet Bombing Doctrine;Medium;M18182;x
18186;Chief of Air Force;安托万 弗朗居里斯 ;41;SC;Air Superiority Doctrine;Medium;M18092;x
18187;Chief of Air Force;阿纳斯塔西奥斯 巴尔迪维里亚斯 ;44;SC;Naval Aviation Doctrine;Medium;M18097;x
18191;Chief of Air Force;尼科斯 贝洛扬尼斯 ;36;ST;Naval Aviation Doctrine;High;M18030;x
18192;Foreign Minister;塞米斯托克利斯 索富利斯 ;36;SL;The Cloak N Dagger Schemer;high;M18014;x
18194;Head of State;达马斯基诺斯 大主教 ;46;SL;Barking Buffoon;High;M18032;x
18195;Head of State;达马斯基诺斯 大主教 ;46;SC;Barking Buffoon;High;M18032;x
18196;Head of State;乔治斯二世 ;46;SL;Insignificant Layman;High;M18001;x
18197;Head of State;乔治斯二世 ;46;SC;Insignificant Layman;High;M18001;x
18198;Head of Government;塞米斯托克利斯 索富利斯 ;46;SL;Flamboyant Tough Guy;High;M18014;x
18199;Head of Government;康斯坦丁诺斯 察尔扎里斯 ;47;SC;Corporate Suit;NA;M18053;x
18200;Foreign Minister;扬尼斯 萨菲亚诺普洛斯 ;45;PA;The Cloak N Dagger Schemer;Medium;M18068;x
18201;Foreign Minister;彼得罗斯 武尔加里斯 ;45;PA;Biased Intellectual;High;M18061;x
18202;Head of Government;亚历山德罗斯 季奥米季斯 ;49;SL;Political Protege;High;M18202;x
18203;Head of Government;扬尼斯 塞奥托基斯 ;50;SL;Happy Amateur;High;M18203;x
18204;Head of Government;迪米特里奥斯 基奥索普洛斯 ;52;SC;Smiling Oilman;High;M18204;x
18205;Head of Government;亚历山德罗斯 帕帕戈斯 ;52;SC;Old General;High;M18007;x
18206;Foreign Minister;帕纳约蒂斯 皮佩内利斯 ;50;SC;Apologetic Clerk;Very High;M18206;x
18207;Foreign Minister;斯特凡诺斯 斯特凡诺普洛斯 ;52;SC;Biased Intellectual;Very High;M18207;x
