CHC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
51037;Head of Military Intelligence;叶剑英 ;30;ST;Logistics Specialist;High;MC_CHC_51007;x
51038;Head of Military Intelligence;陈云 ;37;ST;Industrial Specialist;High;MC_CHC_51004;x
51039;Head of Military Intelligence;周恩来 ;30;ST;Technical Specialist;High;MC_CHC_51002;x
51040;Chief of Staff;林彪 ;43;ST;School of Manoeuvre;High;MC_CHC_51040;x
51041;Chief of Staff;刘伯承 ;39;ST;School of Psychology;High;MC_CHC_51034;x
51042;Chief of Staff;毛泽东 ;30;ST;School of Mass Combat;High;MC_CHC_51001;x
51043;Chief of Staff;粟裕 ;45;ST;School of Fire Support;High;MC_CHC_51043;x
51044;Chief of Staff;朱瑞 ;42;ST;School of Fire Support;High;MC_CHC_51028;x
51045;Chief of Staff;聂荣臻  ;43;ST;School of Defence;High;MC_CHC_51045;x
51046;Chief of Army;林彪 ;43;ST;Decisive Battle Doctrine;High;MC_CHC_51040;x
51047;Chief of Army;刘伯承 ;39;ST;Elastic Defence Doctrine;High;MC_CHC_51034;x
51048;Chief of Army;彭德怀 ;33;ST;Decisive Battle Doctrine;High;MC_CHC_51027;x
51049;Chief of Army;陈赓 ;47;ST;Elastic Defence Doctrine;High;MC_CHC_51049;x
51050;Head of State;王明 ;38;ST;Weary Stiff Neck;High;MC_CHC_51021;x
51051;Head of Government;博古 ;33;ST;Political Protege;High;MC_CHC_51051;x
51052;Chief of Army;聂荣臻  ;43;ST;Static Defence Doctrine;High;MC_CHC_51045;x
51053;Chief of Army;李德 ;33;ST;Static Defence Doctrine;High;MC_CHC_51053;x
51054;Chief of Army;叶剑英 ;30;ST;Guns And Butter Doctrine;High;MC_CHC_51007;x
51055;Chief of Army;徐向前 ;30;ST;Guns And Butter Doctrine;High;MC_CHC_51055;x
51056;Chief of Navy;张爱萍 ;30;ST;Indirect Approach Doctrine;High;MC_CHC_51056;x
51057;Chief of Air Force;聂凤智 ;40;ST;Army Aviation Doctrine;High;MC_CHC_51057;x
51058;Head of Government;林伯渠 ;35;LWR;Corporate Suit;High;MC_CHC_51020;x
51059;Head of Government;邓小平 ;40;LE;Silent Workhorse;High;MC_CHC_51026;x
51060;Foreign Minister;陈毅 ;41;ST;General Staffer;High;MC_CHC_51060;x
51061;Head of State;周恩来 ;30;ST;Benevolent Gentleman;High;MC_CHC_51002;x
