UTL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
63137;Head of Military Intelligence;阿德马尔 德 卡瓦略 戈麦斯 ;36;ST;Naval Intelligence Specialist;High;M34119;x
63138;Chief of Staff;马加良斯 巴兰塔 德 阿塞韦多 ;36;ST;School of Manoeuvre;Medium;M34037;x
63139;Chief of Staff;曼努埃尔 T 阿蓬特 ;36;ST;School of Fire Support;Medium;M42008;x
63140;Chief of Staff;路易斯 卡洛斯 普雷斯特斯 ;36;ST;School of Mass Combat;Undying;M34051;x
63141;Chief of Staff;巴勃罗 圣 梅尔廷 ;36;ST;School of Defence;Medium;M35027;x
63142;Chief of Staff;保罗 卡斯泰 莱恩福德 ;36;ST;School of Psychology;Medium;M35172;x
63143;Chief of Army;西洛 梅雷莱斯 ;36;ST;Elastic Defence Doctrine;Very Low;M34058;x
63144;Chief of Army;加斯帕 杜特拉 ;36;ST;Static Defence Doctrine;Medium;M34011;x
63145;Chief of Army;恩里克 特谢拉 洛特 ;36;ST;Decisive Battle Doctrine;Medium;M34027;x
63146;Chief of Army;托马斯 蒙耶 古铁雷斯 ;36;ST;Armoured Spearhead Doctrine;Very High;M43039;x
63147;Chief of Army;马里奥 达 席尔瓦 卡马戈 ;36;ST;Guns and Butter Doctrine;High;M34165;x
63148;Chief of Navy;阿尔贝托 迪茨 德 梅迪纳 ;36;ST;Open Seas Doctrine;Medium;M43086;x
63149;Chief of Navy;弗洛里亚诺 佩肖托 ;36;ST;Decisive Naval Battle Doctrine;High;M34182;x
63150;Chief of Navy;胡安 斯特法尼奇 ;36;ST;Power Projection Doctrine;Medium;M42049;x
63151;Chief of Navy;阿尔瓦罗 德 苏扎 ;36;ST;Indirect Approach Doctrine;Very Low;M34059;x
63152;Chief of Navy;耶苏 G 阿拉扎 ;36;ST;Base Control Doctrine;Medium;M42119;x
63153;Chief of Air Force;伊巴密浓达 多斯 桑托斯 ;36;ST;Air Superiority Doctrine;Medium;M34040;x
63154;Chief of Air Force;阿利贝托 维埃拉 ;36;ST;Naval Aviation Doctrine;Very High;M34060;x
63155;Chief of Air Force;古斯塔沃 席尔瓦 ;36;ST;Army Aviation Doctrine;Medium;M44027;x
63156;Chief of Air Force;若泽 路易斯 桑切斯 贝萨 ;36;ST;Carpet Bombing Doctrine;High;M44076;x
63157;Chief of Air Force;莱昂内尔 贝内维德斯 德 雷森德 ;36;ST;Vertical Envelopment Doctrine;Very High;M34187;x
