USA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
6157;Chief of Navy;威廉 C 布利特 ;47;SL;Base Control Doctrine;High;M6157;x
6158;Chief of Navy;威廉 H 斯坦德利 ;36;SL;Base Control Doctrine;High;M6158;x
6159;Chief of Navy;哈罗德 R 斯塔克 ;39;SL;Open Seas Doctrine;High;M6159;x
6160;Chief of Navy;安德鲁 J 希金斯 ;43;ML;Base Control Doctrine;High;M6160;x
6161;Chief of Navy;亨利 J 凯撒 ;40;ML;Open Seas Doctrine;High;M6082;x
6162;Chief of Navy;威廉 D 莱希 ;36;ML;Decisive Naval Battle Doctrine;Very High;M6162;x
6163;Chief of Navy;欧内斯特 J 金 ;41;ML;Power Projection Doctrine;High;M6163;x
6164;Chief of Navy;詹姆斯 A 科司考特 ;36;NS;Open Seas Doctrine;High;M6016;x
6165;Chief of Navy;约翰 艾布特 ;36;ST;Base Control Doctrine;Medium;M6029;x
6167;Chief of Air Force;亨利 H 阿诺德 ;38;ML;Carpet Bombing Doctrine;High;M6167;x
6171;Chief of Air Force;勒罗伊 鲁曼 ;44;ML;Naval Aviation Doctrine;High;M6080;x
6172;Chief of Air Force;查尔斯 林白 ;36;FA;Air Superiority Doctrine;High;M6020;x
6173;Chief of Air Force;内森 B 福雷斯特 三世 ;40;NS;Army Aviation Doctrine;High;M6173;x
6174;Chief of Air Force;马丁 J 蒙蒂 ;43;FA;Naval Aviation Doctrine;High;M6174;x
6175;Chief of Air Force;约翰 艾布特 ;36;ST;Army Aviation Doctrine;Medium;M6029;x
6176;Chief of Staff;威廉 D 莱希 ;41;ML;School of Manoeuvre;Very High;M6162;x
6177;Minister of Armament;艾夫里尔 H 哈里曼 ;46;SD;Resource Industrialist;High;M6177;x
6178;Chief of Navy;托马斯 C 哈特 ;40;ML;Decisive Naval Battle Doctrine;Medium;L60417;x
6179;Chief of Air Force;卡尔 A 斯帕茨 ;42;ML;Army Aviation Doctrine;Very High;L60557;x
6180;Chief of Air Force;艾拉 C 埃克 ;44;SL;Carpet Bombing Doctrine;Very High;L60506;x
6181;Chief of Staff;道格拉斯 麦克阿瑟 ;36;ML;School of Psychology;High;L60250;x
6182;Chief of Army;道格拉斯 麦克阿瑟 ;36;ML;Elastic Defence Doctrine;High;L60250;x
6183;Chief of Navy;罗伯特 L 戈姆利 ;36;ML;Open Seas Doctrine;Very High;L60406;x
6184;Head of Military Intelligence;弗兰克 B 罗利特 ;36;SL;Naval Intelligence Specialist;High;M6184;x
6024;Minister of Armament;约瑟夫 P 拉希 ;36;LWR;Resource Industrialist;Very High;M6024;x
6185;Head of Government;弗里茨 库恩 ;36;FA;Naive Optimist;High;M6011;x
6186;Head of State;威廉 F 莱姆基 ;36;PA;Barking Buffoon;Medium;M6097;x 
6187;Head of Government;丹尼斯 劳伦斯 ;36;SC;Happy Amateur;Medium;M6187;x
6188;Minister of Security;杰拉尔德 K 史密斯 ;36;PA;Back Stabber;Low;M6040;x
6189;Head of State;查尔斯 林白 ;40;PA;Pig-headed Isolationist;Very High;M6020;x
6190;Head of Government;罗伯特 E 伍德 ;40;PA;Silent Workhorse;Very High;M6190;x
6191;Minister of Security;杰拉尔德 B 温罗德 ;40;PA;Efficient Sociopath;Very High;M6191;x
6192;Chief of Staff;罗伯特 E 伍德 ;36;PA;School of Defence;High;M6190;x
6193;Chief of Staff;瓦尔特 比德尔-史密斯 ;42;SL;School of Fire Support;Very High;L60031;x
6194;Chief of Army;马克 克拉克 ;45;SL;Decisive Battle Doctrine;Very High;L60098;x
6195;Chief of Staff;乔 L 科林斯 ;45;SL;School of Manoeuvre;Very High;L60105;x
6196;Chief of Army;约瑟夫 史迪威 ;44;SL;Decisive Battle Doctrine;Very High;L60341;x
6197;Chief of Navy;威廉 哈尔西 ;44;SL;Power Projection Doctrine;Very High;L60414;x
6198;Minister of Armament;迪安 艾奇逊 ;44;SL;Laissez Faires Capitalist;Very High;M6198;x
6199;Minister of Armament;哈罗德 伊克斯 ;36;SL;Resource Industrialist;Very High;M6199;x
6200;Minister of Security;阿奇博尔德 麦克利什 ;39;LWR;Man of the People;Medium;M6200;x
6201;Foreign Minister;阿奇博尔德 麦克利什 ;39;LWR;Biased Intellectual;Medium;M6200;x
6202;Minister of Security;伯顿 K 惠勒 ;36;PA;Efficient Sociopath;Medium;M6202;x
6203;Foreign Minister;托马斯 康纳利 ;41;SL;Ideological Crusader;High;M6203;x
6204;Minister of Security;查尔斯 E 休斯 ;36;SC;Efficient Sociopath;Medium;M6204;x
6205;Minister of Security;雨果 布莱克 ;37;SL;Compassionate Gentleman;High;M6205;x
6206;Minister of Armament;罗伯特 F 瓦格纳 ;36;SL;Laissez Faires Capitalist;Very High;M6206;x
6207;Minister of Armament;亨利 L 斯廷森 ;40;SL;Infantry Proponent;Very High;M6061;x
6208;Head of State;德怀特 D 艾森豪威尔 ;52;ML;Resigned Generalissimo;High;M6208;x
6209;Head of State;阿德莱 斯蒂文森 ;52;SL;Benevolent Gentleman;High;M6209;x
6210;Head of Government;艾尔 沃伦 ;48;ML;Naive Optimist;High;M6210;x
6211;Head of Government;理查德 M 尼克松 ;52;ML;Backroom Backstabber;High;M6211;x
6212;Head of Government;约翰 斯帕克曼 ;52;SL;Corporate Suit;High;M6212;x
6213;Foreign Minister;迪安 艾奇逊 ;49;SL;Biased Intellectual;High;M6072;x
6214;Foreign Minister;阿伦 塔特 ;48;ML;Apologetic Clerk;High;M6214;x
6215;Foreign Minister;约翰 福斯特 杜勒斯 ;52;ML;Iron Fisted Brute;High;M6215;x
6216;Foreign Minister;卡伯特 利维 奥松 ;52;SL;Great Compromiser;High;M6216;x
6217;Minister of Armament;约翰 W 斯奈德 ;48;SL;Theoretical Scientist;High;M6217;x
6218;Minister of Armament;约瑟夫 布雷肯 李 ;48;ML;Infantry Proponent;High;M6218;x
6219;Minister of Armament;乔治 M 汉弗莱 ;52;ML;Administrative Genius;High;M6219;x
6220;Minister of Armament;赫伯特 R 奥康纳 ;52;SL;Submarine Proponent;High;M6220;x
6221;Minister of Security;朱利叶斯 A 克鲁格 ;48;SL;Silent Lawyer;Very High;M6221;x
6222;Minister of Security;奥斯卡 L 查普曼 ;51;SL;Man of the People;Very High;M6222;x
6223;Minister of Security;戈登 J 奈特 ;48;ML;Back Stabber;Very High;M6223;x
6224;Minister of Security;道德拉斯 麦基 ;52;ML;Prince of Terror;Very High;M6224;x
6225;Minister of Security;弗兰克 J 劳希 ;52;SL;Compassionate Gentleman;Very High;M6225;x
6226;Head of Military Intelligence;瓦尔特 比德尔-史密斯 ;50;SL;Logistics Specialist;Very High;L60031;x
6227;Head of Military Intelligence;约翰 霍华德 派尔 ;48;ML;Industrial Specialist;Very High;M6227;x
6228;Head of Military Intelligence;阿伦 W 杜勒斯 ;52;ML;Dismal Enigma;Very High;M6228;x
6229;Head of Military Intelligence;威廉 普雷斯顿 莱恩 ;52;SL;Industrial Specialist;Very High;M6229;x
6230;Chief of Staff;奥马尔 N 布莱德雷 ;48;ML;School of Mass Combat;High;M6145;x
6231;Chief of Army;J 劳顿 科林斯 ;48;ML;Decisive Battle Doctrine;High;L60105;x
6232;Chief of Navy;路易斯 E 丹菲尔德 ;48;ML;Open Seas Doctrine;High;M6232;x
6233;Chief of Navy;福雷斯特 P 谢尔曼 ;49;ML;Indirect Approach Doctrine;High;L60464;x
6234;Chief of Navy;威廉 R 费克特勒 ;51;ML;Power Projection Doctrine;High;L60402;x
6235;Chief of Air Force;霍伊特 范登堡 ;48;ML;Vertical Envelopment Doctrine;Medium;M6235;x
6236;Head of State;道格拉斯 麦克阿瑟 ;52;SC;Resigned Generalissimo;Medium;L60250;x
6237;Head of Military Intelligence;查尔斯 威洛比 ;52;PA;Dismal Enigma;High;M6237;x
6238;Minister of Security;约瑟夫 麦卡锡 ;52;ML;Man of the People;High;M6238;x
6239;Head of Government;约瑟夫 麦卡锡 ;52;ML;Political Protege;High;M6238;x
6240;Foreign Minister;克里斯蒂安 A 赫脱 ;59;ML;Apologetic Clerk;High;M6240;x
6241;Head of State;理查德 M 尼克松 ;60;ML;Ruthless Powermonger;High;M6211;x
6242;Head of State;约翰 F 肯尼迪 ;60;SL;Autocratic Charmer;High;M6242;x
6243;Head of Government;小亨利 卡伯特 洛奇 ;60;ML;Political Protege;High;M6243;x
6244;Head of Government;林登 B 约翰逊 ;60;SL;Ambitious Union Boss;High;M6244;x
6245;Head of Government;埃斯蒂斯 基福弗 ;56;SL;Backroom Backstabber;High;M6245;x
6246;Foreign Minister;斯特罗姆 瑟蒙德 ;60;SC;Iron Fisted Brute;High;M6051;x
6247;Foreign Minister;迪安 腊斯克 ;60;SL;Ideological Crusader;High;M6247;x
6248;Minister of Armament;罗伯特 B 安德森 ;56;ML;Resource Industrialist;High;M6248;x
6249;Minister of Armament;罗伯特 A 洛维特 ;56;SL;Military Entrepreneur;High;M6249;x
6250;Minister of Armament;C 道格拉斯 狄龙 ;60;SL;Submarine Proponent;High;M6250;x
6251;Minister of Armament;内尔森 A 洛克菲勒 ;60;ML;Laissez Faires Capitalist;High;M6251;x
6252;Head of Military Intelligence;彼得 C 赖利 ;56;SL;Political Specialist;Very High;M6252;x
6253;Head of Military Intelligence;约翰 A 麦科恩 ;60;SL;Technical Specialist;Very High;M6253;x
6254;Head of State;林登 B 约翰逊 ;63;SL;Stern Imperialist;High;M6244;x
6255;Head of Government;胡贝特 汉弗莱 ;63;SL;Silent Workhorse;High;M6255;x
6256;Chief of Staff;亚瑟 W 拉德福德 ;54;ML;School of Psychology;High;M6256;x
6257;Chief of Staff;纳坦 F 特文宁 ;57;ML;School of Fire Support;High;L60560;x
6258;Chief of Staff;莱曼 L 莱姆尼策 ;60;SL;School of Mass Combat;High;L60244;x
6259;Chief of Staff;马克斯韦尔 D 泰勒 ;62;SL;School of Manoeuvre;High;L60348;x
6260;Chief of Army;马修 B 里奇韦 ;53;ML;Guns and Butter Doctrine;High;L60311;x
6261;Chief of Army;马克斯韦尔 D 泰勒 ;55;ML;Elastic Defence Doctrine;High;L60348;x
6262;Chief of Army;莱曼 L 莱姆尼策 ;59;ML;Armoured Spearhead Doctrine;High;L60244;x
6263;Chief of Army;乔治 H 德克尔 ;60;SL;Decisive Battle Doctrine;High;L60127;x
6264;Chief of Army;厄尔 G 惠勒 ;62;SL;Static Defence Doctrine;High;L60368;x
6265;Chief of Navy;罗伯特 B 卡尼 ;53;ML;Indirect Approach Doctrine;High;M6265;x
6266;Chief of Navy;阿莱格 A 布尔克 ;55;ML;Decisive Naval Battle Doctrine;High;L60386;x
6267;Chief of Navy;乔治 W 安德森 ;61;SL;Open Seas Doctrine;High;L60380;x
6268;Chief of Navy;大卫 L 麦克唐纳 ;63;SL;Power Projection Doctrine;High;M6268;x
6269;Chief of Air Force;纳坦 F 特文宁 ;53;ML;Air Superiority Doctrine;Medium;L60560;x
6270;Chief of Air Force;托马斯 D 怀特 ;57;ML;Army Aviation Doctrine;Medium;L60370;x
6271;Chief of Air Force;柯蒂斯 勒梅 ;61;SC;Carpet Bombing Doctrine;Medium;L60532;x
6272;Chief of Staff;乔治 范霍恩 莫斯利 ;36;FA;School of Fire Support;High;M_USA_George_Van_Horn_Moseley;x
6273;Chief of Army;乔治 范霍恩 莫斯利 ;36;FA;Elastic Defence Doctrine;High;M_USA_George_Van_Horn_Moseley;x
6274;Foreign Minister;威廉 杜德利 佩利 ;33;NS;Ideological Crusader;Very high;M_USA_William_Dudley_Pelley;x
6275;Minister of Security;威廉 杜德利 佩利 ;40;NS;Crooked Kleptocrat;High;M_USA_William_Dudley_Pelley;x
6276;Head of Military Intelligence;劳伦斯 丹尼斯 ;30;FA;Ideological Crusader;High;M_USA_Lawrence_Dennis;x
6277;Foreign Minister;弗朗西斯 帕克 约基 ;45;FA;Biased Intellectual;High;M_USA_Francis_Parker_Yockey;x
6278;Head of Military Intelligence;弗朗西斯 帕克 约基 ;46;FA;Political Specialist;High;M_USA_Francis_Parker_Yockey;x
6279;Head of State;乔治 林肯 洛克威尔 ;50;NS;Ruthless Powermonger;Medium;M_USA_George_Lincoln_Rockwell;x
6280;Head of Government;乔治 林肯 洛克威尔 ;48;NS;Flamboyant Tough Guy;Medium;M_USA_George_Lincoln_Rockwell;x
6281;Foreign Minister;瑞威尔 P. 奥利弗 ;37;FA;Biased Intellectual;Medium;M_USA_Revilo_P_Oliver;M_USA_Revilo_P_Oliverx
6282;Foreign Minister;米尔德丽德 E. 盖勒丝 ;43;NS;Iron Fisted Brute;Low;M_USA_MildredEGillars;x
6283;Minister of Security;马蒂亚斯 凯尔 ;55;NS;Back Stabber;Low;USA_M_MatthiasKoehl;x
6284;Head of Government;马蒂亚斯 凯尔 ;60;NS;Political Protege;Low;USA_M_MatthiasKoehl;x
6285;Head of State;马蒂亚斯 凯尔 ;61;NS;Pig-headed Isolationist;Low;USA_M_MatthiasKoehl;x
6286;Chief of Staff;马修 B 里奇韦 ;50;ML;School of Fire Support;High;L60311;x
6287;Chief of Staff;理查德 K. 萨瑟兰 ;43;ML;School of Defence;High;M_RichardK.Sutherland;x
