ITA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
3049;Head of Government;费鲁乔 帕里 ;45;SL;Naive Optimist;High;Parri_Ferruccio_ita;x
3050;Head of Government;路易吉 隆哥 ;36;LWR;Political Protege;High;Longo_Luigi_ita;x
3053;Foreign Minister;朱塞佩 巴斯蒂亚尼尼 ;45;NS;Iron Fisted Brute;High;Bastianini_Giuseppe_ita;x
3054;Foreign Minister;彼得罗 康特 阿夸罗内 ;43;PA;The Cloak N Dagger Schemer;High;Acquarone_Pietro_de_ita;x
3055;Foreign Minister;彼得罗 巴多利奥 ;44;PA;General Staffer;High;Badoglio_Pietro1_ita;x
3056;Foreign Minister;迪诺 格兰迪 ;45;PA;Great Compromiser;High;Grandi_Dino_ita;x
3057;Foreign Minister;皮尔 费代里科 马丁内蒂 ;36;SC;Apologetic Clerk;High;Martinetti_Piero_ita;x
3058;Foreign Minister;伯纳多 阿托利科 ;43;SC;Biased Intellectual;High;Attolico_Bernardo_ita;x
3059;Foreign Minister;阿尔奇德 德 加斯佩里 ;45;SC;Ideological Crusader;High;Gasperi_Alcide_de_ita;x
3060;Foreign Minister;卡洛 斯福尔扎 ;47;SC;The Cloak N Dagger Schemer;High;Sforza_Carlo_ita;x
3061;Foreign Minister;伊万诺伊 博诺米 ;44;SL;Apologetic Clerk;High;Bonomi_Ivanoe_ita;x
3062;Foreign Minister;彼得罗 南尼 ;45;SL;The Cloak N Dagger Schemer;High;Nenni_Pietro_ita;x
3063;Foreign Minister;帕尔米罗 陶里亚蒂 ;36;LE;Ideological Crusader;High;Togliatti_Palmiro_ita;x
3064;Minister of Armament;费代里科 巴伊斯特罗基 ;36;FA;Infantry Proponent;High;Baistrocchi_Federico_ita;x
3065;Minister of Armament;阿尔贝托 帕里亚尼 ;37;FA;Air Superiority Proponent;High;Pariani_Alberto_ita;x
3066;Minister of Armament;乌尔巴多 索杜 ;39;FA;Military Entrepreneur;Medium;Soddu_Ubaldo_ita;x
3067;Minister of Armament;阿尔弗雷多 古佐尼 ;40;FA;Infantry Proponent;Low;Guzzoni_Alfredo1_ita;x
3068;Minister of Armament;安东尼奥 索里切 ;43;FA;Corrupt Kleptocrat;High;M3068;x
3070;Minister of Armament;保罗 塔翁 迪 雷韦尔 ;44;NS;Battle Fleet Proponent;Very High;Thaon_di_Revel_Paolo_ita;x
3071;Minister of Armament;G 因佩里亚利 德 富兰卡里洛 ;45;NS;Administrative Genius;High;M3071;x
3072;Minister of Armament;罗慕洛 帕拉迪尼 ;47;NS;Tank Proponent;High;M3072;x
3073;Minister of Armament;贾科莫 阿切尔博 ;40;NS;Resource Industrialist;High;Acerbo_Giacomo_ita;x
3075;Minister of Armament;多梅尼科 巴尔托利尼 ;44;PA;Theoretical Scientist;High;M3075;x
3076;Minister of Armament;吉多 容 ;36;PA;Administrative Genius;High;M3076;x
3077;Minister of Armament;阿尔贝托 特奥多利 ;36;SC;Infantry Proponent;High;M3077;x
3078;Minister of Armament;弗朗切斯科 奥雷斯塔诺 ;39;SC;Military Entrepreneur;High;M3078;x
3079;Minister of Armament;菲尔贝托 维瓦尔迪 ;41;SC;Air to Ground Proponent;High;M3079;x
3080;Minister of Armament;塔代奥 奥兰多 ;44;SC;Infantry Proponent;High;Orlando_Taddeo1_ita;x
3081;Minister of Armament;亚历山德罗 马尔凯塞 卡萨蒂 ;44;SL;Tank Proponent;Medium;Casati_Alessandro_ita;x
3082;Minister of Armament;曼利奥 布罗西奥 ;46;SC;Infantry Proponent;High;Brosio_Manlio_ita;x
3083;Minister of Armament;西普里亚诺 法基内蒂 ;47;SC;Resource Industrialist;High;Facchinetti_Cipriano_ita;x
3084;Minister of Armament;乔瓦尼 奇劳洛 ;44;SL;Administrative Genius;High;Corbino_Epicarmo_ita;x
3085;Minister of Armament;路易吉 艾瑙迪 ;45;SL;Strategic Air Proponent;High;Einaudi_Luigi_ita;x
3086;Minister of Armament;G 巴龙 保卢奇 迪 卡尔博利 ;47;SL;Laissez Faires Capitalist;High;M3086;x
3087;Minister of Armament;维托里奥 维达利 ;36;LE;Infantry Proponent;High;Vidali_Vittorio_ita;x
3088;Minister of Armament;毛罗 斯科奇马罗 ;41;LE;Air to Sea Proponent;High;Scoccimarro_Mauro_ita;x
3089;Minister of Armament;安东尼奥 佩森蒂 ;45;LWR;Resource Industrialist;High;Pesenti_Antonio_ita;x
3091;Minister of Security;翁贝托 阿尔比尼 ;40;FA;Prince of Terror;High;Albini_Umberto_ita;x
3092;Minister of Security;安东尼奥 斯库埃罗 ;40;FA;Back Stabber;High;Bottai_Giuseppe_ita;x
3094;Minister of Security;皮耶罗 布兰迪马尔特 ;45;NS;Efficient Sociopath;High;Brandimarte_Piero_ita;x
3095;Minister of Security;翁贝托 里奇 ;43;PA;Silent Lawyer;High;Ricci_Umberto_ita;x
3096;Minister of Security;罗伯特 法里纳奇 ;40;PA;Back Stabber;High;Farinacci_Roberto_ita;x
3097;Minister of Security;恩里科 德 妮古拉 ;36;SC;Man of the People;High;Nicola_Enrico_de_ita;x
3098;Minister of Security;康德 斯特凡诺 亚奇尼 ;39;SC;Silent Lawyer;High;Jacini_Stefano_ita;x
3099;Minister of Security;阿尔奇德 德 加斯佩里 ;43;SC;Compassionate Gentleman;High;Gasperi_Alcide_de_ita;x
3100;Minister of Security;维托 雷亚莱 ;44;SC;Crime Fighter;High;M3100;x
3101;Minister of Security;马里奥 谢尔巴 ;47;SC;Back Stabber;High;Scelba_Mario_ita;x
3102;Minister of Security;萨尔瓦托雷 阿尔迪西奥 ;44;SL;Prince of Terror;High;Aldisio_Salvatore_ita;x
3103;Minister of Security;伊万诺伊 博诺米 ;45;SL;Efficient Sociopath;High;Bonomi_Ivanoe_ita;x
3104;Minister of Security;费鲁乔 帕里 ;47;SL;Man of the People;High;Parri_Ferruccio_ita;x
3105;Minister of Security;朱塞佩 罗米塔 ;36;LWR;Compassionate Gentleman;High;Romita_Giuseppe_ita;x
3106;Minister of Security;帕尔米罗 陶里亚蒂 ;41;LWR;Crime Fighter;High;Togliatti_Palmiro_ita;x
3107;Minister of Security;朱利安 苏加萨戈伊蒂亚 门迭塔 ;43;ST;Efficient Sociopath;High;M3107;x
3108;Head of Military Intelligence;恩佐 埃米利奥 加比亚蒂;36;FA;Political Specialist;Very High;Galbiati_Enzo_ita;x
3109;Head of Military Intelligence;迪诺 格兰迪 ;39;FA;Logistics Specialist;High;Grandi_Dino_ita;x
3110;Head of Military Intelligence;阿尔弗雷多 德 马希奥 ;43;FA;Dismal Enigma;Low;M3110;x
3112;Head of Military Intelligence;贾科莫 卡尔博尼 ;45;NS;Industrial Specialist;Low;Carboni_Giacomo_ita;x
3115;Head of Military Intelligence;马焦尔诺 费拉里斯 ;36;SC;Political Specialist;Very High;M3115;x
3116;Head of Military Intelligence;朱塞佩 佩拉 ;45;SC;Logistics Specialist;High;Pella_Giuseppe_ita;x
3117;Head of Military Intelligence;埃吉奥 瓦诺尼 ;46;SC;Naval Intelligence Specialist;High;Vanoni_Ezio_ita;x
3118;Head of Military Intelligence;埃米利奥 帕利亚诺 ;44;SL;Industrial Specialist;High;M3118;x
3119;Head of Military Intelligence;A 德 马里尼斯 德 里西亚 ;46;SL;Technical Specialist;High;M3014;x
3120;Head of Military Intelligence;吉塞佩 迪 维托里奥 ;36;LE;Political Specialist;High;Vittorio_Giuseppe_di_ita;x
3121;Head of Military Intelligence;帕尔米罗 陶里亚蒂 ;41;LWR;Technical Specialist;High;Togliatti_Palmiro_ita;x
3122;Head of Military Intelligence;安东尼奥 佩森蒂 ;44;LWR;Technical Specialist;High;Pesenti_Antonio_ita;x
3124;Chief of Staff;乌戈 卡瓦莱罗 ;39;FA;School of Manoeuvre;High;Cavallero_Ugo1_ita;x
3125;Chief of Staff;彼得罗 巴多利奥 ;41;PA;School of Mass Combat;Medium;Badoglio_Pietro1_ita;x
3126;Chief of Staff;阿希尔 斯塔拉切 ;43;NS;School of Mass Combat;High;Starace_Achille_ita;x
3127;Chief of Staff;维托 卡塔斯蒂尼 ;45;NS;School of Manoeuvre;High;Roatta_Mario_ita;x
3128;Chief of Staff;维托里奥 安布罗西奥 ;43;PA;School of Psychology;Low;Ambrosio_Vittorio1_ita;x
3130;Chief of Staff;马里奥 钦戈拉尼 ;36;SC;School of Fire Support;High;Cingolani_Mario_ita;x
3132;Chief of Staff;埃托雷 康蒂 ;45;SC;School of Manoeuvre;High;Conti_Ettore_ita;x
3133;Chief of Staff;兰多尔福 帕恰尔迪 ;46;SC;School of Defence;High;Pacciardi_Randolfo_ita;x
3134;Chief of Staff;亚历山德罗 马尔凯塞 卡萨蒂 ;44;SL;School of Defence;High;Casati_Alessandro_ita;x
3135;Chief of Staff;西普里亚诺 法基内蒂 ;45;SL;School of Mass Combat;High;Facchinetti_Cipriano_ita;x
3136;Chief of Staff;路易吉 加斯帕罗托 ;47;SL;School of Manoeuvre;High;Gasparotto_Luigi_ita;x
3137;Chief of Staff;路易吉 隆哥 ;36;LWR;School of Mass Combat;High;Longo_Luigi_ita;x
3139;Chief of Army;鲁道夫 格拉齐亚尼 ;39;FA;Decisive Battle Doctrine;High;Graziani_Rodolfo1_ita;x
3140;Chief of Army;维托 卡塔斯蒂尼 ;41;FA;Armoured Spearhead Doctrine;High;Roatta_Mario_ita;x
3141;Chief of Army;尤尼奥 博尔盖塞 ;43;NS;Decisive Battle Doctrine;High;Borghese_Junio_Valerio_ita;x
3143;Chief of Army;维托里奥 安布罗西奥 ;36;SC;Static Defence Doctrine;Low;Ambrosio_Vittorio1_ita;x
3144;Chief of Army;迪奥尼西奥 安瑟洛蒂 ;40;SC;Guns and Butter Doctrine;High;Anzilotti_Dionisio_ita;x
3145;Chief of Army;恩里科 马太 ;47;SC;Decisive Battle Doctrine;High;Mattei_Enrico_ita;x
3146;Chief of Army;A 德 马里尼斯 德 里西亚 ;44;SL;Elastic Defence Doctrine;High;M3014;x
3147;Chief of Army;贾恩卡洛 巴叶塔 ;36;LWR;Guns and Butter Doctrine;High;Pajetta_Giancarlo_ita;x
3149;Chief of Navy;阿图罗 里卡尔迪 ;40;FA;Indirect Approach Doctrine;Medium;Riccardi_Arturo1_ita;x
3150;Chief of Navy;保罗 塔翁 迪 雷韦尔 ;43;NS;Open Seas Doctrine;Medium;Thaon_di_Revel_Paolo_ita;x
3151;Chief of Navy;阿尔弗雷多 罗科 ;45;NS;Decisive Naval Battle Doctrine;Medium;Legnani_Antonio_ita;x
3153;Chief of Navy;迪诺 格兰迪 ;45;PA;Power Projection Doctrine;High;Grandi_Dino1_ita;x
3154;Chief of Navy;拉法埃莱 德 库尔唐 ;43;SC;Open Seas Doctrine;Medium;Courten_Raffaele_de_ita;x
3155;Chief of Navy;亚历山德里诺 塞雷萨 ;36;SC;Open Seas Doctrine;High;M3155;x
3157;Chief of Navy;维托里奥 夏洛亚 ;46;SL;Power Projection Doctrine;High;Girosi_Massimo_ita;x
3158;Chief of Navy;贾恩卡洛 巴叶塔 ;36;LWR;Open Seas Doctrine;High;Pajetta_Giancarlo_ita;x
3160;Chief of Air Force;弗朗切斯科 普里科洛 ;39;FA;Naval Aviation Doctrine;High;Pricolo_Francesco1_ita;x
3161;Chief of Air Force;里诺 科尔索 富日耶 ;41;FA;Air Superiority Doctrine;Low;Fougier_Rino_Corso_ita;x
3163;Chief of Air Force;雷纳托 圣达利 ;43;PA;Army Aviation Doctrine;High;Sandalli_Renato_ita;x
3164;Chief of Air Force;托马索 蒂托尼 ;36;SC;Army Aviation Doctrine;High;Tittoni_Tomasso_ita;x
3165;Chief of Air Force;彼得罗 皮亚琴蒂尼 ;44;SC;Naval Aviation Doctrine;High;Piacentini_Pietro_ita;x
3166;Chief of Air Force;安东尼奥 夏洛亚 ;44;SC;Vertical Envelopment Doctrine;High;Urbani_Aldo_ita;x
3167;Chief of Air Force;路易吉 加斯帕罗托 ;45;SL;Army Aviation Doctrine;High;Gasparotto_Luigi_ita;x
3014;Minister of Armament;A 德 马里尼斯 德 里西亚 ;36;SL;Administrative Genius;High;M3014;x
3016;Head of Military Intelligence;翁贝托 里奇 ;36;SC;Industrial Specialist;High;Ricci_Umberto_ita;x
3018;Chief of Army;恩里科 马太 ;36;SC;Decisive Battle Doctrine;High;Mattei_Enrico_ita;x
3168;Head of State;路易吉 艾瑙迪 ;48;SC;Insignificant Layman;High;Einaudi_Luigi_ita;x
3169;Head of State;路易吉 艾瑙迪 ;48;SL;Insignificant Layman;High;Einaudi_Luigi_ita;x
3170;Head of Government;朱塞佩 佩拉 ;53;SC;Silent Workhorse;High;Pella_Giuseppe_ita;x
3171;Foreign Minister;朱塞佩 佩拉 ;53;SC;Ideological Crusader;High;Pella_Giuseppe_ita;x
3172;Minister of Armament;兰多尔福 帕恰尔迪 ;48;SC;Military Entrepreneur;High;Pacciardi_Randolfo_ita;x
3173;Minister of Armament;埃米利奥 保罗 塔维亚尼 ;53;SC;Theoretical Scientist;High;Taviani_Emilio_Paolo_ita;x
3174;Minister of Security;阿明托尔 范范尼 ;53;SC;Compassionate Gentleman;High;Fanfani_Amitore_ita;x
3175;Minister of Security;亚历山德 罗帕沃利尼 ;39;FA;Man of the People;High;Pavolini_Alessandro_ita;x
3176;Minister of Security;亚提罗 特尔兹 ;36;FA;Prince of Terror;High;Teruzzi_Attillo_ita;x
3177;Minister of Armament;翁 索马 ;40;FA;Infantry Proponent;Medium;Somma_Umberto_ita;x
3178;Chief of Staff;埃齐 奥罗西 ;43;FA;School of Defence;Medium;Rosi_Ezio_ita;x
3179;Foreign Minister;迪诺 阿尔菲里 ;38;FA;Biased Intellectual;High;Alfieri_Dino_ita;x
3180;Head of Military Intelligence;佛朗哥 毛杰里 ;36;FA;Naval Intelligence Specialist;Low;Maugeri_Franco_ita;x
3181;Chief of Air Force;皮耶罗 奥皮兹 ;36;FA;Army Aviation Doctrine;High;Oppizzi_Piero_ita;x
3182;Minister of Security;阿基米德 米斯基 ;43;NS;Prince of Terror;High;Mischi_Archimede1_ita;x
3183;Foreign Minister;拉斐尔 瓜里利亚 ;38;PA;Apologetic Clerk;Medium;Guariglia_Raffaele_ita;x
3184;Minister of Security;阿图 博基尼 ;36;FA;Prince of Terror;Low;Bocchini_Arturo_ita;x
3185;Minister of Armament;阿图罗 米凯利尼;48;FA;Laissez Faires Capitalist;High;M_ITA_Arturo_Michelini;x
3186;Foreign Minister;奥古斯托 德 莫萨尼克;44;FA;Great Compromiser;High;M_ITA_Augusto_De_Marsanich;x
3187;Head of Government;奥古斯托 德 莫萨尼克;48;FA;Silent Workhorse;High;M_ITA_Augusto_De_Marsanich;x
3188;Minister of Security;希奥尔希奥 阿尔米兰特;46;NS;Back Stabber;High;M_ITA_Giorgio_Almirante;x
3189;Foreign Minister;希奥尔希奥 阿尔米兰特;45;NS;The Cloak N Dagger Schemer;High;M_ITA_Giorgio_Almirante;x
3190;Foreign Minister;皮诺 罗提;48;FA;Ideological Crusader;Medium;M_RSI_PinoRauti;x
3191;Minister of Security;皮诺 罗提;49;FA;Prince of Terror;Medium;M_RSI_PinoRauti;x
3192;Minister of Security;卡洛 皮部;43;FA;Crime Fighter;Very High;M_RSI_CarloScorza;x
3193;Foreign Minister;尼古拉 伯巴兹;30;LE;Biased Intellectual;High;M_RSI_NicolaBombacci;x
3194;Minister of Security;迪诺 阿尔菲里 ;35;FA;Efficient Sociopath;High;Alfieri_Dino_ita;x
3195;Chief of Staff;弗朗西斯科 贝尔蒂尼;36;PA;School of Fire Support;High;M_ITA_Bertini_Francesco;x
3196;Foreign Minister;弗朗西斯科 贝尔蒂尼;36;PA;General Staffer;High;M_ITA_Bertini_Francesco;x
3197;Chief of Staff;汉尼拔 伯根左立;38;PA;School of Manoeuvre;Medium;L6024;x
3198;Foreign Minister;皮诺 罗穆阿尔迪;47;FA;Iron Fisted Brute;High;M_RSI_Pino_Romualdi;x
3199;Minister of Security;皮诺 罗穆阿尔迪;48;FA;Back Stabber;High;M_RSI_Pino_Romualdi;x
3200;Head of State;奥古斯托 德 莫萨尼克;55;FA;Stern Imperialist;High;M_ITA_Augusto_De_Marsanich;x
3201;Head of Government;皮诺 罗穆阿尔迪;54;FA;Backroom Backstabber;High;M_RSI_Pino_Romualdi;x
3203;Head of Government;尼古拉 伯巴兹;40;LE;Ambitious Union Boss;High;M_RSI_NicolaBombacci;x
3204;Chief of Staff;恩佐 埃米利奥 加比亚蒂;43;FA;School of Mass Combat;High;M_ITA_EnzoEmilioGalbiati;x
3205;Chief of Staff;阿尔弗雷多 古佐尼 ;39;FA;School of Fire Support;Low;Guzzoni_Alfredo1_ita;x
3206;Minister of Security;乔瓦尼 庚笛勒;30;FA;Crime Fighter;High;M_ITA_GiovaniGentile;x
