EUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
580046;Foreign Minister;若泽 费利克斯 莱克里卡 ;36;PA;Biased Intellectual;High;M580044;x
580047;Minister of Armament;若泽 路易斯 阿雷斯 ;36;FA;Resource Industrialist;Medium;M580047;x
580048;Minister of Armament;亚历杭德罗 戈伊科切亚 ;36;PA;Administrative Genius;High;M580048;x
580049;Minister of Security;拉斐尔 桑切斯 马扎斯 ;36;FA;Compassionate Gentleman;High;M580049;x
580050;Minister of Security;佩德罗 穆兰 米切莱纳 ;36;FA;Man of the People;Very High;unknown;x
580051;Head of Military Intelligence;曼努埃尔 阿兹纳尔 ;36;PA;Political Specialist;Medium;M580051;x
580052;Head of Military Intelligence;亚历杭德罗 戈伊科切亚 ;36;PA;Logistics Specialist;High;M580048;x
580053;Chief of Staff;卡洛斯 十一世 德 哈布斯博戈 ;36;PA;School of Mass Combat;High;M580041;x
580054;Chief of Staff;卡洛斯 十二世 安东尼奥 德 哈布斯博戈 ;36;PA;School of Defence;Medium;M580042;x
580055;Chief of Army;亚历杭德罗 戈伊科切亚 ;36;PA;Static Defence Doctrine;High;M580048;x
580056;Chief of Army;恩里克 索托马约 ;36;FA;Decisive Battle Doctrine;Medium;unknown;x
580057;Chief of Navy;费利佩 阿瓦苏萨 ;36;PA;Power Projection Doctrine;High;unknown;x
580058;Chief of Navy;弗朗西斯科 努涅斯 德 奥拉涅塔 ;36;PA;Indirect Approach Doctrine;Very High;M580058;x
580059;Chief of Air Force;安杰尔 萨拉斯 ;36;PA;Vertical Envelopment Doctrine;High;M580059;x
580060;Chief of Air Force;埃斯特班 伊巴雷彻 ;36;PA;Carpet Bombing Doctrine;High;unknown;x
580061;Head of State;恩里克五世 德 博尔冯-帕尔马 ;36;PA;Weary Stiffneck;Medium;M580061;x
580062;Head of State;若泽一世 德 博尔冯-帕尔马 ;36;PA;Insignificant Layman;Medium;M580062;x
580063;Head of State;埃利亚斯一世 德 博尔冯-帕尔马 ;39;PA;Popular Figurehead;High;M580063;x
580064;Chief of Staff;恩里克五世 德 博尔冯-帕尔马 ;36;PA;School of Manoeuvre;Medium;M580061;x
580065;Chief of Staff;若泽一世 德 博尔冯-帕尔马 ;36;PA;School of Defence;Medium;M580062;x
580066;Chief of Staff;埃利亚斯一世 德 博尔冯-帕尔马 ;39;PA;School of Fire Support;High;M580063;x
