UGS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
63226;Minister of Security;K G 韦斯特曼 ;36;ML;Crime Fighter;Very High;M7003;x
63227;Minister of Security;理查德 J 桑德勒 ;36;ML;Prince of Terror;Very High;M7038;x
63228;Minister of Security;彼得 G A 维克曼 ;36;ML;Back Stabber;Very High;M7063;x
63229;Minister of Security;阿尔维德 G 里克特 ;36;ML;Man of the People;Very High;M7066;x
63230;Minister of Security;于尔约 K 莱伊诺 ;36;ML;Efficient Sociopath;Medium;M29025;x
63231;Minister of Security;奥古斯特 于里马 ;36;ML;Crooked Kleptocrat;Medium;M26066;x
63232;Head of Military Intelligence;贝恩特 R 冯 菲安特 ;36;ML;Technical Specialist;High;M29124;x
63233;Head of Military Intelligence;托伊沃 M 基维迈基 ;36;ML;Logistics Specialist;High;M29002;x
63234;Head of Military Intelligence;黑尔格 容 ;36;ML;Political Specialist;Low;M7006;x
63235;Head of Military Intelligence;奥克 哈默斯基奥德 ;36;ML;Dismal Enigma;High;M7070;x
63236;Head of Military Intelligence;格奥尔格 A 德 格里彭伯格 ;36;ML;Industrial Specialist;High;M29097;x
63237;Head of Military Intelligence;埃里克 帕姆斯蒂纳 ;36;ML;Naval Intelligence Specialist;Medium;M7050;x
63238;Chief of Staff;卡尔 古斯塔夫 埃伦斯韦德 ;36;ML;School of Manoeuvre;Medium;M7076;x
63239;Chief of Staff;莱昂纳德 格兰德尔 ;36;ML;School of Fire Support;Very High;M29093;x
63240;Chief of Staff;萨穆埃尔 奥克海姆 ;36;ML;School of Mass Combat;Medium;M7074;x
63241;Chief of Staff;卡尔 G 曼纳海姆 ;36;ML;School of Defence;Very High;M29034;x
63242;Chief of Staff;阿克塞尔 布雷德贝里 ;36;ML;School of Psychology;High;M7075;x
63243;Chief of Army;阿克塞尔 拉佩 ;36;ML;Elastic Defence Doctrine;Very Low;M7073;x
63244;Chief of Army;阿克塞尔 布雷德贝里 ;36;ML;Static Defence Doctrine;High;M7075;x
63245;Chief of Army;卡尔 G 曼纳海姆 ;36;ML;Decisive Battle Doctrine;Very High;M29034;x
63246;Chief of Army;黑尔格 容 ;36;ML;Armoured Spearhead Doctrine;Medium;M7006;x
63247;Chief of Army;奥洛夫 特内尔 ;36;ML;Guns and Butter Doctrine;Very High;M7072;x
63248;Chief of Navy;法比安 塔姆 ;36;ML;Open Seas Doctrine;High;M7088;x
63249;Chief of Navy;格斯塔 埃伦斯韦德 ;36;ML;Decisive Naval Battle Doctrine;Medium;M7087;x
63250;Chief of Navy;埃罗 拉霍拉 ;36;ML;Power Projection Doctrine;High;M29150;x
63251;Chief of Navy;黑尔格 斯特龙巴克 ;36;ML;Indirect Approach Doctrine;High;M7089;x
63252;Chief of Navy;埃里克 帕姆斯蒂纳 ;36;ML;Base Control Doctrine;Medium;M7050;x
63253;Chief of Air Force;本特 努登舍尔德 ;36;ML;Air Superiority Doctrine;High;M7070;x
63254;Chief of Air Force;哈拉尔德 布吕斯高 ;36;ML;Naval Aviation Doctrine;Medium;M14091;x
63255;Chief of Air Force;瓦利奥 波尔瓦里 ;36;ML;Army Aviation Doctrine;Very High;M29153;x
63256;Chief of Air Force;奥利 赖斯塔德 ;36;ML;Carpet Bombing Doctrine;Medium;M14094;x
63257;Chief of Air Force;阿克塞尔 永达尔 ;36;ML;Vertical Envelopment Doctrine;Very High;M7092;x
