BEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
533048;Head of Military Intelligence;罗伯特 若阿尼 ;36;PA;Naval Intelligence Specialist;Medium;M533048;x
533049;Head of Military Intelligence;哈马尼 迪奥里 ;36;LWR;Naval Intelligence Specialist;Medium;M533049;x
533050;Head of Military Intelligence;巴巴卡尔 巴 ;43;LWR;Industrial Specialist;Medium;M533050;x
533051;Chief of Staff;安德烈 拉特里耶 ;43;SL;School of Manoeuvre;Medium;M533024;x
533052;Chief of Staff;弗朗西斯 d'乌尔特雷 塞耶 ;36;PA;School of Defence;Medium;M533009;x
533053;Chief of Staff;阿基拉 乔莫 ;36;LWR;School of Psychology;Medium;M533053;x
533054;Chief of Staff;阿里 赛义布 ;41;LWR;School of Defence;Medium;M533054;x
533055;Chief of Army;皮埃尔 萨尔塞蒂 ;42;SL;Elastic Defence Doctrine;Medium;M533014;x
533056;Chief of Army;罗杰 波德尔 ;36;PA;Decisive Battle Doctrine;Medium;M533056;x
533057;Chief of Army;哈比卜 阿尔-阿齐兹 ;36;LWR;Elastic Defence Doctrine;Medium;M533057;x
533058;Chief of Army;约古伊 库利 ;41;LWR;Guns and Butter Doctrine;Medium;M533058;x
533059;Chief of Navy;埃德蒙 卢沃 ;42;SL;Base Control Doctrine;Medium;M533059;x
533060;Chief of Navy;让 拉塞尔 ;36;PA;Base Control Doctrine;Medium;M533060;x
533061;Chief of Navy;弗朗索瓦 托姆巴巴耶 ;36;LWR;Power Projection Doctrine;Medium;M533061;x
533062;Chief of Air Force;弗雷德 斯卡马罗尼 ;41;SL;Army Aviation Doctrine;Medium;M533062;x
533063;Chief of Air Force;奥古斯蒂诺 德 苏扎 ;36;PA;Naval Aviation Doctrine;Medium;M533063;x
533064;Chief of Air Force;奥古斯特 丹尼斯 ;36;LWR;Air Superiority Doctrine;Medium;M533064;x
