PER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
53067;Minister of Armament;×ô¿¨ µÀÀÕºÕ ;45;PA;Tank Proponent;Medium;M53065;x
53068;Minister of Armament;¼Ö·¨¶û Æ¤Ğ»ÍßÀû ;45;SC;Resource Industrialist;Medium;M53023;x
53069;Minister of Armament;°¢ÄÉÏ£¶û·² Ğ»ÅÁ²®µÏ ;46;SC;Administrative Genius;Medium;M53052;x
53070;Minister of Security;ËÕÀ³Âü Ã×¶ûÔú ;36;PA;Crime Fighter;Medium;M53022;x
53071;Minister of Security;Ã×¶ûÔú ÀñÈø °¢¶û·¨ µÀÀÕºÕ ;36;PA;Back Stabber;Medium;M53057;x
53072;Minister of Security;°¢Àï ÂüËÕ¶û ;38;PA;Man of the People;Medium;M53034;x
53073;Minister of Security;ºîÈüÒò º¹ °¢À­ ;39;FA;Silent Lawyer;Medium;M53073;x
53074;Minister of Security;ÄÂº±Ä¬µÂ °ÍºÕÀ­Ã× ;41;SC;Compassionate Gentleman;Medium;M53026;x
53075;Minister of Security;°£À­¼ª °£Ë¹¿µ´ïÀï ;42;SL;Prince of Terror;Medium;M53025;x
53076;Minister of Security;µÂ±´²®¾ô °®µÂ»ª G V S ;41;SC;Efficient Sociopath;Medium;M53076;x
53077;Minister of Security;ÂõºÕµÏ Âü¼ÖÀ­Äá ;45;PA;Prince of Terror;Medium;M53077;x
53078;Minister of Security;°¢²·¶û¹şÉ£ ¹ş»ùÃ× ;45;SC;Back Stabber;Medium;M53078;x
53079;Minister of Security;ºîÈüÒò °¢¶û·¨×ÈÄá ;46;SC;Silent Lawyer;Medium;M53079;x
53080;Head of Military Intelligence;ÄÂº±Ä¬µÂ ÀñÈø °ÍÁĞÎ¬ ;37;PA;Political Specialist;Medium;M53011;x
53081;Head of Military Intelligence;¶¡É³ºÕ ÒÁÀ¼Äá ;38;PA;Technical Specialist;Medium;M53021;x
53082;Head of Military Intelligence;°¢¶û¸¥À×µÂ Â³µÀ¶û·ò ×ÈÄ¬¶ûÂü ;39;FA;Industrial Specialist;Medium;M53014;x
53083;Head of Military Intelligence;°¬¹şÂõµÂ Âí¶¡-´ï·òËşÀï ;41;FA;Naval Intelligence Specialist;Medium;M53033;x
53084;Head of Military Intelligence;°¢Àï Ğ»ÅÁ²®µÏ ¿¨¼Ö¶û ;41;SC;Dismal Enigma;Medium;M53084;x
53085;Head of Military Intelligence;ÄÚÎ¬¶û ¸ñÀ¼ÌØÀû ¾ôÊ¿ ;41;SL;Industrial Specialist;Medium;M53085;x
53086;Head of Military Intelligence;°¢²·¶ÅÀÕ ºîÈüÒò Èø¶û´ïÀû ;45;PA;Dismal Enigma;Medium;M53086;x
53087;Head of Military Intelligence;°¢²·¶ÅÀ­ ÒòÌØÔúÄ· ;45;SC;Technical Specialist;Medium;M53087;x
53088;Head of Military Intelligence;°ÂÍßÈø¿Ë °¬¶û¶àÀÕ Å¬Àï ;45;SC;Naval Intelligence Specialist;Medium;M53088;x
53089;Head of Military Intelligence;ÄÂº±Ä¬µÂ Ä¦ÈøÌ¨ ;46;SL;Logistics Specialist;Medium;M53013;x
53090;Chief of Staff;°¢Àï °¢¿Ë°Í¶û ´úÍß ;39;PA;School of Psychology;Medium;M53005;x
53091;Chief of Staff;¹şÉ£ Âí¼ªµÂ ·ÆÂ³×È ;39;FA;School of Defence;Medium;M53028;x
53092;Chief of Staff;ÀñÈø Ã×ÔúÄá ;41;SC;School of Mass Combat;Medium;M53006;x
53093;Chief of Staff;°¢Àï º¹ ÄÉ¿Ë×ÈÑÇÄ· ;43;SL;School of Manoeuvre;Medium;M53027;x
53094;Chief of Staff;ÄÂº±Ä¬µÂ ÀñÈø °ÍÁĞÎ¬ ;45;PA;School of Defence;Medium;M53011;x
53095;Chief of Staff;ºîÈüÒò °¢·ò¹şÃ× ;45;SC;School of Fire Support;Medium;M53017;x
53096;Chief of Army;Ã×¶û °¢·ò¹şÃ× ;38;PA;Guns and Butter Doctrine;Medium;M53018;x
53097;Chief of Army;¹şÉ£ Âí¼ªµÂ ·ÆÂ³×È ;39;FA;Static Defence Doctrine;Medium;M53028;x
53098;Chief of Army;°¢×ÈÀ¼ Ã×¶û ¼ÖÄá ;41;SC;Elastic Defence Doctrine;Medium;M53098;x
53099;Chief of Army;ÄÂº±Ä¬µÂ ÄÉºÕ¼Ö·² ;45;PA;Armoured Spearhead Doctrine;Medium;M53062;x
53100;Chief of Army;¹ş´ïÑÇÌØ ¼ªÀ¼É³°¢ ;45;SC;Decisive Battle Doctrine;Medium;M53100;x
53101;Chief of Navy;ÀñÈø Ã×ÔúÄá ;38;PA;Base Control Doctrine;Medium;M53006;x
53102;Chief of Navy;É³ÆÕ¶û Ï£Ë¹À­°ÍµÏ ;39;FA;Open Seas Doctrine;Medium;M53102;x
53103;Chief of Navy;ÄÂº±Ä¬µÂ Ã×¶û ÄªººÄÉ ;41;SC;Power Projection Doctrine;Medium;M53029;x
53104;Chief of Navy;°¬¹şÂõµÂ º¹ ÄÉºÕ¼ÖÍú ;45;PA;Decisive Naval Battle Doctrine;Medium;M53004;x
53105;Chief of Navy;ÄÂº±Ä¬µÂ ÄªÒÁÄá ;45;SC;Indirect Approach Doctrine;Medium;M53020;x
53106;Chief of Air Force;ÈøµÂ¿Ë º¹ ¿âÅÁ¶û ;37;PA;Army Aviation Doctrine;High;M53106;x
53107;Chief of Air Force;ÄÂº±Ä¬µÂ ÄÉºÕ¼Ö·² ;39;FA;Air Superiority Doctrine;Medium;M53062;x
53108;Chief of Air Force;ÄÂº±Ä¬µÂ ÄªÒÁÄá ;41;SC;Vertical Envelopment Doctrine;Medium;M53020;x
53109;Chief of Air Force;ÄÂº±Ä¬µÂ Ã×¶û ÄªººÄÉ ;45;SC;Naval Aviation Doctrine;Medium;M53029;x
53110;Chief of Air Force;¹ş´ïÑÇÌØ ¼ªÀ¼É³°¢ ;46;PA;Carpet Bombing Doctrine;Medium;M53100;x
53015;Minister of Security;ÄÂº±Ä¬µÂ °¢Àï ¸£Â³»ù ;36;SC;Crime Fighter;Medium;M53015;x
53021;Head of State;¶¡É³ºÕ ÒÁÀ¼Äá ;36;ST;Stern Imperialist;High;M53021;x
53022;Head of Government;ËÕÀ³Âü Ã×¶ûÔú ;36;ST;Happy Amateur;High;M53022;x
53023;Foreign Minister;¼Ö·¨¶û Æ¤Ğ»ÍßÀû ;36;ST;Iron Fisted Brute;Medium;M53023;x
53026;Head of Military Intelligence;ÄÂº±Ä¬µÂ °ÍºÕÀ­Ã× ;36;ST;Political Specialist;Medium;M53026;x
53111;Head of Government;°¢²·¶ÅÀÕ ºîÈüÒò ¹ş¼ª¶û ;48;ML;Happy Amateur;High;M53111;x
53112;Head of Government;ÄÂº±Ä¬µÂ ÈüÒåµÂ ÂíÀ­¼ª ;48;ML;Flamboyant Tough Guy;High;M53038;x
53113;Head of Government;°¢Àï ÂüËÕ¶û ;50;SC;Political Protege;High;M53034;x
53114;Head of Government;°¢Àï À­×ÈÂíÀ­ ;50;PA;Old Air Marshal;High;M53114;x
53115;Head of Government;ºîÈüÒò º¹ °¢À­ ;51;PA;Backroom Backstabber;High;M53073;x
53116;Head of Government;ÄÂº±Ä¬µÂ Ä¦ÈøÌ¨ ;51;SL;Smiling Oilman;High;M53013;x
53117;Head of Government;·¨×æÀ­ ÔúºÕµÏ ;53;PA;Old General;High;M_PER_Fazlollah_Zahedi;x
53118;Foreign Minister;°¢²·¶ÅÀÕ ºîÈüÒò ¹ş¼ª¶û ;51;ML;Ideological Crusader;Medium;M53111;x
53119;Chief of Staff;°¢Àï À­×ÈÂíÀ­ ;53;PA;School of Psychology;Medium;M53114;x
53120;Chief of Air Force;°¢Àï À­×ÈÂíÀ­ ;49;PA;Army Aviation Doctrine;Medium;M53114;x
53121;Chief of Army;·¨×æÀ­ ÔúºÕµÏ ;51;PA;Guns and Butter Doctrine;Medium;M53117;x
53122;Head of Government;´ï·òµÂ ÂüÖ»ÔúµÂ;46;NS;Political Protege;Medium;M_PER_Davud_Monshizadeh;x
53123;Foreign Minister;´ï·òµÂ ÂüÖ»ÔúµÂ;46;NS;Biased Intellectual;Medium;M_PER_Davud_Monshizadeh;x
53124;Chief of Staff;´ï·òµÂ ÂüÖ»ÔúµÂ;47;NS;School of Defence;Medium;M_PER_Davud_Monshizadeh;x
53125;Minister of Security;Â³ºÕÀ­ »ôÃ·Äá;52;PA;Crime Fighter;High;M_PER_Ruhollah_Khomeini;x
