HOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyality;Picture Name;x
8112;Minister of Security;彼特 格布兰迪 ;39;ML;Crime Fighter;Very High;M8046;x
8113;Minister of Security;费德 许雷尔 ;46;ML;Man of the People;Medium;M8113;x
8114;Minister of Security;威廉默斯 安德里森 ;40;ML;Prince of Terror;Medium;M8114;x
8115;Minister of Security;约翰 劳登 ;42;ML;Compassionate Gentleman;Medium;M8115;x
8116;Minister of Security;伯纳德 C J 洛德 ;37;SC;Back Stabber;Medium;M8116;x
8117;Minister of Security;路易斯 艾因特霍芬 ;39;SC;Crime Fighter;Very High;M8117;x
8118;Minister of Security;格里特 范 赫芬 格德哈特 ;43;SC;Compassionate Gentleman;High;M8118;x
8119;Minister of Security;科内利斯 范 格尔科肯 ;37;NS;Prince of Terror;High;M8015;x
8121;Minister of Security;科内利斯 范 格尔科肯 ;45;PA;Prince of Terror;High;M8015;x
8122;Minister of Security;卡雷尔 古斯林 ;40;PA;Compassionate Gentleman;Medium;M8122;x
8123;Minister of Security;福克 博斯曼 ;37;ST;Compassionate Gentleman;High;M8123;x
8124;Minister of Security;亨德里克斯 斯尼夫利耶 ;39;ST;Man of the People;High;M8124;x
8125;Minister of Security;丹尼尔 古鲁兹 ;43;ST;Crime Fighter;Low;M8025;x
8126;Head of Military Intelligence;埃马努埃尔 伯克曼 ;37;SD;Dismal Enigma;Very High;M8126;x
8127;Head of Military Intelligence;哈尔门 德 博尔 ;39;SD;Political Specialist;Very High;M8127;x
8128;Head of Military Intelligence;查尔斯 纪尧姆 克拉默 ;40;SD;Technical Specialist;Very High;M8062;x
8129;Head of Military Intelligence;扬 兰伯特斯 法贝尔 ;43;SD;Political Specialist;Very High;M8129;x
8130;Head of Military Intelligence;威廉 德雷斯 ;45;SD;Logistics Specialist;Very High;M8130;x
8131;Head of Military Intelligence;H A 范卡梅比克 ;37;ML;Technical Specialist;Very High;M8131;x
8132;Head of Military Intelligence;扬 斯洛特马克 ;39;ML;Logistics Specialist;Very High;M8132;x
8133;Head of Military Intelligence;G J 萨斯 ;40;ML;Logistics Specialist;Very High;M8133;x
8134;Head of Military Intelligence;弗兰斯 富伊克斯科特 ;46;ML;Dismal Enigma;Very High;M8134;x
8136;Head of Military Intelligence;克里斯托弗尔 范 图伊宁 ;39;SC;Industrial Specialist;Very High;M8136;x
8137;Head of Military Intelligence;西蒙 斯普尔 ;42;SC;Naval Intelligence Specialist;Very High;M8137;x
8138;Head of Military Intelligence;亨克 费尔德梅杰尔 ;37;NS;Political Specialist;Low;M8016;x
8139;Head of Military Intelligence;米希尔 德 布鲁内 ;45;PA;Technical Specialist;Low;M8139;x
8140;Head of Military Intelligence;亚伯拉罕 梅尼斯特 ;37;LE;Political Specialist;High;M8026;x
8141;Head of Military Intelligence;伊纳 维勒克斯-麦克唐纳 ;43;ST;Dismal Enigma;Very High;M8141;x
8142;Chief of Staff;伯恩哈德 科尔托夫 ;37;SD;School of Psychology;High;M8142;x
8147;Chief of Staff;西蒙 斯普尔 ;43;SC;School of Psychology;High;M8137;x
8148;Chief of Staff;安东 米塞特 ;37;FA;School of Psychology;High;M8148;x
8149;Chief of Staff;亨德里克 塞法特 ;43;FA;School of Defence;Medium;M8017;x
8151;Chief of Staff;托马斯 斯特罗伊克 ;37;ST;School of Mass Combat;High;M8027;x
8152;Chief of Staff;格特 斯泰林加 ;40;ST;School of Defence;High;M8152;x
8153;Chief of Staff;雅各布斯 恩格斯 ;43;LE;School of Psychology;High;M8105;x
8155;Chief of Army;扬 范 伍尔斯特 托特 伍尔斯特 ;37;ML;Static Defence Doctrine;High;M8155;x
8156;Chief of Army;亨利 温克尔曼 ;40;ML;Elastic Defence Doctrine;High;M8154;x
8159;Chief of Army;阿德里安努斯 宗德万 ;37;NS;Decisive Battle Doctrine;Very Low;M8018;x
8160;Chief of Army;亨德里克 塞法特 ;43;FA;Guns and Butter Doctrine;Very High;M8017;x
8161;Chief of Army;赫尔曼 范 伍尔斯特 托特 伍尔斯特 ;45;PA;Elastic Defence Doctrine;Very High;M8161;x
8162;Chief of Army;亚历山大 德 莱乌 ;37;ST;Elastic Defence Doctrine;Very High;M8162;x
8163;Chief of Army;尼科 范 施特拉滕 ;43;LE;Armoured Spearhead Doctrine;Low;M8028;x
8164;Chief of Army;安东 克耶曼斯 ;45;ST;Guns and Butter Doctrine;Very High;M8164;x
8168;Chief of Navy;彼特 肯拉德 ;37;FA;Base Control Doctrine;Low;M8019;x
8170;Chief of Navy;克里斯蒂安 比克曼 ;37;LE;Base Control Doctrine;Low;M8170;x
8171;Chief of Navy;福克 博斯曼 ;40;ST;Open Seas Doctrine;High;M8123;x
8172;Chief of Air Force;彼得鲁斯 W 贝斯特 ;39;SD;Naval Aviation Doctrine;High;M8172;x
8177;Chief of Air Force;克莱斯 杜 范 德尔 克扎普 ;37;FA;Naval Aviation Doctrine;Low;M8020;x
8179;Chief of Air Force;扬 迪特斯 ;37;ST;Vertical Envelopment Doctrine;High;M8041;x
8180;Chief of Air Force;尤利乌斯 塞赫尔斯 ;43;LE;Air Superiority Doctrine;Low;M8030;x
8182;Chief of Army;伯恩哈德 科尔托夫 ;39;SD;Elastic Defence Doctrine;High;M8142;x
8183;Head of State;亚历山大 冯 法尔肯豪森 ;40;NS;Resigned Generalissimo;Very High;M510086;x
8184;Head of State;亚瑟 赛斯-因夸特 ;40;NS;Powerhungry Demagogue;Very High;M58;x
8029;Chief of Navy;卡雷尔 多尔曼 ;36;LWR;Open Seas Doctrine;Low;M8029;x
8185;Head of State;威廉明娜 ;36;SL;Stern Imperialist;Very High;M8001;x
8186;Head of State;朱丽安娜 ;48;SD;Popular Figurehead;High;M8186;x
8187;Head of State;朱丽安娜 ;48;SC;Popular Figurehead;High;M8186;x
8188;Head of Government;威廉 德雷斯 ;48;SD;Ambitious Union Boss;High;M8130;x
8189;Foreign Minister;德克 U. 斯蒂克 ;48;SL;Great Compromiser;Medium;M8189;x
8190;Foreign Minister;扬 威廉 拜恩 ;51;SL;Apologetic Clerk;Medium;M8190;x
8191;Minister of Armament;维姆 斯霍金 ;48;SD;Air to Ground Proponent;Medium;M8191;x
8192;Minister of Armament;路易斯 德 菲瑟 ;50;LWR;Theoretical Scientist;Medium;M8192;x
8193;Minister of Armament;谢斯 斯塔夫 ;51;SL;Resource Industrialist;Medium;M8193;x
8194;Minister of Security;约翰内斯 范 马尔塞文 ;46;ML;Silent Lawyer;Medium;M8194;x
8195;Minister of Security;托伊恩 斯特罗伊肯 ;48;SL;Back Stabber;Medium;M8195;x
8196;Minister of Security;亨里克 穆尔德里耶 ;51;SL;Crime Fighter;Medium;M8196;x
8197;Minister of Security;伦德特 A 东克尔 ;52;SD;Compassionate Gentleman;Medium;M8197;x
