SAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
800320;Head of Government;Wijeyananda Dahanayake;69;LWR;Ambitious Union Boss;Very High;Wijeyananda_Dahanayake;x
800321;Head of Government;Sirimavo Bandaranaike;60;SD;Happy Amateur;Very High;Sirimavo_Bandaranaike;x
800322;Head of Government;N. M. Perera;32;LWR;Backroom Backstabber;Very High;NM_Perera;x
800323;Head of Government;I.J. Wickrema;50;LWR;Ambitious Union Boss;Very High;IJ_Wickrema;x
800324;Foreign Minister;Don Philip Gunawardena;32;LWR;Ideological Crusader;Very High;Philip_Gunawardena;x
800325;Foreign Minister;Edmund Samarakkody;32;LWR;Biased Intellectual;Very High;Edmund_Samarakkody;x
800326;Minister of Armament;N. M. Perera;32;LWR;Resource Industrialist;Very High;NM_Perera;x
800327;Minister of Armament;Hedi Stadlen;40;LWR;Military Entrepreneur;Very High;Hedi_Stadlen;x
800328;Minister of Armament;Keuneman;40;LWR;Resource Industrialist;Very High;unknown;x
800329;Minister of Armament;Anil Moonesinghe;54;LWR;Administrative Genius;Very High;Anil_Moonesinghe;x
800330;Minister of Security;Sir Ernest De Silva;32;SL;Compassionate Gentleman;Medium;Sir_Ernest_De_Silva;x
800331;Minister of Security;Sirimavo Bandaranaike;60;SD;Prince of Terror;Medium;Sirimavo_Bandaranaike;x
800332;Minister of Security;Solomon Bandaranaike;32;SD;Efficient Sociopath;Medium;Solomon_Bandaranaike;x
800333;Minister of Security;Colvin R. de Silva;32;LWR;Crime Fighter;Medium;Colvin_de_Silva;x
800334;Minister of Security;Senaka Bibile;50;LWR;Man of the People;Medium;Senaka_Bibile;x
800335;Minister of Security;Junius Richard Jayewardene;32;SL;Silent Lawyer;Medium;Junius_Richard_Jayewardene;x
800336;Head of Military Intelligence;Doreen Wickremasinghe;32;LWR;Technical Specialist;Medium;unknown;x
800337;Head of Military Intelligence;James Somerville;41;ML;Naval Intelligence Specialist;Medium;James_Somerville;x
800338;Head of Military Intelligence;亨利 芒克-梅森 穆尔爵士 ;44;SL;Logistics Specialist;Medium;Sir_Henry_Monck-Mason_Moore;x
800339;Chief of Staff;Sir Harry Edward de Robillard Wetherall;43;ML;School of Psychology;Medium;unknown;x
800340;Chief of Navy;James Somerville;41;ML;Power Projection Doctrine;Medium;James_Somerville;x
800341;Chief of Army;Sir Harry Edward de Robillard Wetherall;43;ML;Guns and Butter Doctrine;Medium;unknown;x
800342;Chief of Navy;E.P. Wickremasinghe;32;LWR;Base Control Doctrine;Medium;EP_Wickremasinghe;x
800343;Foreign Minister;Patrick de Silva Kularatne;32;PA;Great Compromiser;Medium;Patrick_de_Silva_Kularatne;x
800344;Head of State;S. A. Wickremasinghe;41;LE;Die-hard Reformer;Medium;SA_Wickremasinghe;x
800345;Chief of Navy;Augustus Agar;32;PA;Open Seas Doctrine;Medium;Augustus_Agar;x
800346;Chief of Air Force;Graham Bladon;32;SD;Army Aviation Doctrine;Medium;Graham_Bladon;x
800347;Chief of Army;B. R. Heyn;48;SD;Elastic Defense Doctrine;Medium;BR_Heyn;x
800348;Chief of Air Force;E. Rohan Amarasekera;32;SC;Air Superiority Doctrine;Medium;E_Rohan_Amarasekera;x
800349;Chief of Air Force;John Lindsay Barker;48;ML;Army Aviation Doctrine;Medium;John_Lindsay_Barker;x
800350;Chief of Army;James Roderick Sinclair;48;ML;Armoured Spearhead Doctrine;Medium;James_Roderick_Sinclair;x
