SIA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
62063;Minister of Armament;ÅÁÒ® ËûÑÇÈ»±Ï¿µ ;44;PA;Air Superiority Proponent;Medium;M62063;x
62064;Minister of Armament;ÀïÂÌ ²ÂÒ®ÄÏ ;45;SC;Laissez Faires Capitalist;Low;M62014;x
62065;Minister of Armament;±ÈÀï ÅÁÙ¯ÈÙ ;45;SC;Air to Ground Proponent;Low;M62005;x
62066;Minister of Armament;¿í °¢ÅÉÍú ;46;ML;Infantry Proponent;Medium;M62036;x
62067;Minister of Armament;A G °£ÀûË¹ ;39;SC;Theoretical Scientist;Medium;M62016;x
62068;Minister of Armament;ÌìÁÁ »êËş¹Å ;46;PA;Tank Proponent;Medium;M62051;x
62069;Minister of Armament;öÇ ĞÅÍ½ËÌ¿°²Â ;46;PA;Air to Sea Proponent;Medium;M62069;x
62070;Minister of Armament;ÅÚ ÅûÀ­ÀÕ ;46;PA;Laissez Faires Capitalist;Medium;M62024;x
62072;Minister of Security;´Ş Âê¹şÎ¬ÆÕÀ­ÑÇ ;36;PA;Efficient Sociopath;Medium;M62072;x
62073;Minister of Security;öÇÅûãë ËÌ¿° ;38;FA;Efficient Sociopath;High;M62007;x
62074;Minister of Security;ÆÓ ÅÁºéÈôÍ¢ ;39;SC;Crime Fighter;Medium;M62002;x
62075;Minister of Security;Î÷ÈøÄá Èı°ÍµÙË¹Á¢ ;43;FA;Silent Lawyer;Medium;M62075;x
62076;Minister of Security;¹ş Èı°ÍµÙË¹Á¢ ;44;PA;Back Stabber;Medium;M62003;x
62077;Minister of Security;ÉçÄá °ÍÄª ;44;SC;Compassionate Gentleman;Medium;M62012;x
62078;Minister of Security;ËûÍş ãëÒ®¼ª ;45;SC;Man of the People;Medium;M62015;x
62079;Minister of Security;¼¯ Ã¢Î÷ÅÁ Î÷ÄÉµÂÔ¼µÂ¹şÀ­¿ÆÉ³ ;45;SC;Prince of Terror;Medium;M62079;x
62081;Minister of Security;´¨ ²îÓÀÉ£ËÌ¿° ;46;PA;Silent Lawyer;Medium;M62081;x
62082;Minister of Security;ËûÍú Ì½Â¡ÄÇÍßÉ³Íß ;46;PA;Crime Fighter;Medium;M62029;x
62083;Minister of Security;±¾ ËØÅÁ²îÀ­Èü ;46;PA;Compassionate Gentleman;Medium;M62083;x
62084;Head of Military Intelligence;A G °£ÀûË¹ ;37;SC;Technical Specialist;Medium;M62016;x
62085;Head of Military Intelligence;öÇÅûãë ËÌ¿° ;38;FA;Logistics Specialist;Medium;M62007;x
62086;Head of Military Intelligence;É³Íß ÆÓµÙÑÇÄÏ ;43;FA;Naval Intelligence Specialist;Medium;M62086;x
62087;Head of Military Intelligence;É­ ¹şÀïÉ³ÄÉÂíÀ­ ;44;PA;Industrial Specialist;Medium;M62057;x
62088;Head of Military Intelligence;ÅÁÒ® ¼¯ËşÄÉËÎ¿¨ß· ;45;SC;Political Specialist;Medium;M62026;x
62089;Head of Military Intelligence;´¨ ²îÓÀÉ£ËÌ¿° ;45;ML;Dismal Enigma;Medium;M62081;x
62091;Chief of Staff;Âü¿Õ ÅîÓÀµÙ ;38;FA;School of Mass Combat;Medium;M62025;x
62092;Chief of Staff;ĞÁÍ½ ¿¨ÂêÀ¼ÄÉÎÄ ;44;PA;School of Psychology;Low;M62017;x
62093;Chief of Staff;¼¯ Ã¢Î÷ÅÁ Î÷ÄÉµÂÔ¼µÂ¹şÀ­¿ÆÉ³ ;45;SC;School of Defence;Low;M62079;x
62094;Chief of Staff;¼ªÀû ÍşÆßËÌ¿° ;45;ML;School of Manoeuvre;Low;M62094;x
62095;Chief of Staff;Êù ÄÉÂå ;46;PA;School of Fire Support;Medium;M62095;x
62096;Chief of Staff;ËûÍú Ì½Â¡ÄÇÍßÉ³Íß ;46;PA;School of Manoeuvre;Medium;M62029;x
62097;Chief of Army;ÂüÅÁÒ® ¿µÅûÁú ;38;FA;Static Defence Doctrine;Medium;M62097;x
62098;Chief of Army;ËûÍş ãëÒ®¼ª ;44;PA;Guns and Butter Doctrine;Very High;M62098;x
62099;Chief of Army;ĞÁÍ½ ¿¨ÂêÀ¼ÄÉÎÄ ;45;SC;Elastic Defence Doctrine;Low;M62017;x
62100;Chief of Army;ÅÁÒ® ¼¯ËşÄÉËÎ¿¨ß· ;45;ML;Decisive Battle Doctrine;Low;M62026;x
62101;Chief of Army;ÌìÁÁ »êËş¹Å ;46;PA;Armoured Spearhead Doctrine;Medium;M62051;x
62102;Chief of Navy;É³Íß ÆÓµÙÑÇÄÏ ;38;FA;Power Projection Doctrine;Medium;M62086;x
62103;Chief of Navy;ÅÁÒ® ÍşÆß´ºÀ­Ì½ ;44;PA;Decisive Naval Battle Doctrine;Medium;M62055;x
62104;Chief of Navy;ÅÁÒ® ±È²î´ºÀ­Óı¹ş ;45;SC;Indirect Approach Doctrine;Medium;M62019;x
62105;Chief of Navy;öÇ ²ÎÄÏÄÇËûÓıËû ;45;ML;Base Control Doctrine;Medium;M62105;x
62106;Chief of Navy;ËûÍú Ì½Â¡ÄÇÍßÉ³Íß ;46;PA;Open Seas Doctrine;Medium;M62029;x
62107;Chief of Air Force;öÇ ĞÅÍ½ËÌ¿°²Â  ;38;FA;Naval Aviation Doctrine;Medium;M62069;x
62108;Chief of Air Force;ÅÁÒ® ²îÁÖ½Ü ;44;PA;Carpet Bombing Doctrine;Medium;M62061;x
62109;Chief of Air Force;ÅÁÒ® ËûÑÇÈ»±Ï¿µ ;45;SC;Air Superiority Doctrine;Medium;M62063;x
62110;Chief of Air Force;ÅÄ Î÷°ÍÉ³¿¨¿Õ ;45;ML;Vertical Envelopment Doctrine;Medium;M62110;x
62111;Chief of Air Force;öÇ ¿¨¼ªËÌ¿° ;46;PA;Army Aviation Doctrine;Medium;M62111;x
62113;Head of Government;öÇÅûãë ËÌ¿° ;48;SC;BAckroom Backstabber;High;M62007;x
62114;Foreign Minister;ÆÓ É³À­ĞÅ ;48;SC;Great Compromiser;Medium;M62114;x
