KYG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
521031;Minister of Security;阿列克西 瓦戈夫 ;36;LE;Efficient Sociopath;Medium;M521031;x
521032;Minister of Security;巴亚利 伊萨卡耶夫 ;36;LE;Crime Fighter;Medium;M521032;x
521033;Minister of Security;鲍里斯 沙普奇尔尼科夫 ;36;SD;Silent Lawyer;Medium;M521033;x
521034;Minister of Security;罗日拉 楚格尔 ;36;SD;Back Stabber;Medium;M521034;x
521035;Minister of Security;叶连纳 舍梅列瓦 ;36;ML;Prince of Terror;Medium;M521035;x
521036;Minister of Security;穆拉特 萨利霍夫 ;36;PA;Back Stabber;Medium;M521036;x
521037;Minister of Security;伊邦 普里亚季茨尼科夫 ;36;PA;Prince of Terror;Medium;M521037;x
521038;Head of Military Intelligence;米哈伊尔 乌斯 ;36;LE;Industrial Specialist;Medium;M521038;x
521039;Head of Military Intelligence;阿扎马特 肖尔彭贝 ;36;SD;Logistics Specialist;Medium;M521039;x
521040;Head of Military Intelligence;易卜拉欣 瓦利多夫 ;36;ML;Technical Specialist;Medium;M521040;x
521041;Head of Military Intelligence;于尔加鲁尔 阿迪利特 ;36;ML;Logistics Specialist;Medium;M521041;x
521042;Head of Military Intelligence;马里亚姆 图加姆巴耶瓦 ;36;PA;Political Specialist;Medium;M521042;x
521043;Head of Military Intelligence;阿齐兹 米鲁尔 ;36;PA;Technical Specialist;Medium;M521043;x
521044;Chief of Staff;伊萨米尔 阿布贾罗夫 ;36;LE;School of Manoeuvre;Medium;M521044;x
521045;Chief of Staff;伊万 雷德尼科夫 ;36;SD;School of Manoeuvre;Medium;M521045;x
521046;Chief of Staff;亚古尔 巴拉诺夫 ;36;ML;School of Mass Combat;Medium;M521046;x
521047;Chief of Staff;卡尔 冯 巴多尔夫 ;36;PA;School of Fire Support;Medium;M521047;x
521048;Chief of Army;马拉戈萨 塔哈巴耶夫 ;36;LE;Static Defence Doctrine;Medium;M521048;x
521049;Chief of Army;巴克提特 戈里亚申科 ;36;SD;Armoured Spearhead Doctrine;Medium;M521049;x
521050;Chief of Army;叶夫根尼 索科洛夫 ;36;ML;Elastic Defence Doctrine;Medium;M521050;x
521051;Chief of Army;乌拉兹 占多索夫 ;36;PA;Decisive Battle Doctrine;Medium;M521051;x
521052;Chief of Navy;阿斯马里 托卢别耶夫 ;36;LE;Base Control Doctrine;Medium;M521052;x
521053;Chief of Navy;吉尔纳拉 波波夫 ;36;SD;Decisive Naval Battle Doctrine;Medium;M521053;x
521054;Chief of Navy;库班 巴库尔贝克 ;36;ML;Base Control Doctrine;Medium;M521054;x
521055;Chief of Navy;米哈伊 德拉琴科 ;36;PA;Indirect Approach Doctrine;Medium;L500120;x
521056;Chief of Air Force;米哈伊尔 乌斯 ;36;LE;Naval Aviation Doctrine;Medium;M521038;x
521057;Chief of Air Force;米哈伊尔 V. 伏龙芝 ;36;SD;Vertical Envelopment Doctrine;Medium;M521008;x
521058;Chief of Air Force;帕维尔 沙马耶夫 ;36;ML;Army Aviation Doctrine;Medium;M521058;x
521059;Chief of Air Force;奥托 朗格迈尔 ;36;PA;Carpet Bombing Doctrine;Medium;M521059;x
