POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
13060;Foreign Minister;塔德乌什 罗默 ;43;ML;Apologetic Clerk;Medium;M13060;x
13061;Foreign Minister;亚当 塔尔诺夫斯基 ;44;SL;Iron Fisted Brute;High;M13061;x
13062;Foreign Minister;爱德华 奥萨卜卡-莫拉夫斯基 ;45;LWR;The Cloak N Dagger Schemer;Medium;M13022;x
13063;Foreign Minister;温森蒂 日莫夫斯基 ;45;SD;Great Compromiser;High;M13063;x
13064;Foreign Minister;齐格蒙特 莫泽莱夫斯基 ;47;ST;Biased Intellectual;High;M13064;x
13065;Foreign Minister;扬 皮耶卡基维茨 ;39;SD;Biased Intellectual;Medium;M13065;x
13066;Foreign Minister;亨里克 利昂 施特拉斯布格尔 ;38;SL;Biased Intellectual;High;M13066;x
13067;Foreign Minister;叶德热杰 吉蒂奇 ;36;FA;Ideological Crusader;Medium;M13067;x
13068;Foreign Minister;伊格纳齐 扬 帕代雷夫斯基 ;36;SD;General Staffer;High;M13036;x
13069;Foreign Minister;博列斯拉夫 德罗布纳 ;43;LWR;Ideological Crusader;Low;M13056;x
13070;Foreign Minister;亚当 普罗赫尼克 ;45;SD;Biased Intellectual;Low;M13070;x
13071;Foreign Minister;诺贝特 巴尔利基 ;43;LWR;Ideological Crusader;Medium;M13021;x
13072;Minister of Armament;欧根纽斯 克维亚特科夫斯基 ;36;PA;Administrative Genius;Very High;M13052;x
13073;Minister of Armament;卡齐米尔 埃伦贝格 ;39;SC;Laissez Faires Capitalist;Medium;M13073;x
13074;Minister of Armament;布罗尼斯拉夫 雷吉尔斯基 ;41;SC;Infantry Proponent;High;M13074;x
13075;Minister of Armament;卢德维克 W 赖赫曼 ;43;ML;Resource Industrialist;High;M13075;x
13076;Minister of Armament;沃伊切赫 科尔丰蒂 ;43;ML;Military Entrepreneur;Medium;M13042;x
13077;Minister of Armament;斯坦尼斯拉斯 A 内曼 ;44;SL;Administrative Genius;High;M13044;x
13078;Minister of Armament;赫尔曼 利伯曼 ;45;SD;Theoretical Scientist;Medium;M13027;x
13079;Minister of Armament;希拉里 明茨 ;47;ST;Air to Sea Proponent;Medium;M13079;x
13080;Minister of Armament;利昂 科兹洛夫斯基 ;37;NS;Infantry Proponent;Medium;M13080;x
13081;Minister of Armament;亨里克 利昂 施特拉斯布格尔 ;37;SD;Laissez Faires Capitalist;Medium;M13066;x
13082;Minister of Armament;亚当 戈 ;36;SL;Resource Industrialist;Medium;M13082;x
13083;Minister of Armament;斯坦尼斯瓦夫 格拉宾斯基 ;36;FA;Laissez Faires Capitalist;Medium;M13083;x
13084;Minister of Armament;扬 斯特凡 哈内曼 ;44;ST;Air to Ground Proponent;Medium;M13084;x
13085;Minister of Armament;约瑟夫 涅茨科 ;36;SD;Resource Industrialist;Medium;M13085;x
13086;Minister of Armament;迈克尔 罗拉-齐梅尔斯基 ;44;ST;Tank Proponent;Medium;M13086;x
13087;Minister of Armament;约瑟夫 哈勒尔 ;36;SL;Military Entrepreneur;Medium;M13087;x
13088;Minister of Armament;塔德乌什 雷乔夫斯基 ;39;SD;Administrative Genius;Medium;M13088;x
13089;Minister of Security;费利克扬 斯瓦沃伊 斯克拉德科夫斯基 ;36;PA;Efficient Sociopath;High;M13041;x
13090;Minister of Security;亚当 罗泽 ;39;SC;Crime Fighter;Medium;M13090;x
13091;Minister of Security;欧根纽斯 克维亚特科夫斯基 ;40;SC;Prince of Terror;Very High;M13052;x
13092;Minister of Security;马尔让 鲁津斯基 ;43;ML;Back Stabber;Medium;M13092;x
13093;Minister of Security;安东尼 罗曼 ;43;ML;Silent Lawyer;Low;M13093;x
13094;Minister of Security;温森蒂 维托斯 ;44;SL;Man of the People;High;M13094;x
13095;Minister of Security;米奇斯瓦夫 涅吉亚科夫斯基 ;45;SD;Crime Fighter;Medium;M13095;x
13096;Minister of Security;雅各布 贝尔曼 ;47;ST;Prince of Terror;Medium;M13096;x
13097;Minister of Security;斯坦尼斯瓦夫 米科瓦伊奇克 ;39;SD;Man of the People;Medium;M13046;x
13098;Minister of Security;卡罗尔 波皮耶 ;36;SL;Silent Lawyer;High;M13098;x
13099;Minister of Security;亚历山大 扎瓦兹基 ;43;ST;Compassionate Gentleman;Medium;M13099;x
13100;Minister of Security;瓦茨瓦夫 莫尔 ;40;PA;Compassionate Gentleman;Medium;M13100;x
13101;Minister of Security;米奇斯瓦夫 特拉伊多斯 ;38;FA;Silent Lawyer;Medium;M13101;x
13102;Minister of Security;卡齐米日 斯维塔尔斯基 ;36;PA;Efficient Sociopath;Medium;M13102;x
13103;Minister of Security;维托尔德 格拉博夫斯基 ;36;PA;Crime Fighter;Medium;M13103;x
13104;Minister of Security;雅努什 拉齐维尔 ;36;PA;Man of the People;Medium;M13104;x
13105;Minister of Security;卡齐米日 巴特尔 ;36;PA;Back Stabber;Medium;M13105;x
13107;Head of Military Intelligence;亚当 塔尔诺夫斯基 ;39;SC;Dismal Enigma;High;M13061;x
13108;Head of Military Intelligence;费利克斯 科内奇尼 ;43;ML;Technical Specialist;High;M13108;x
13109;Head of Military Intelligence;阿尔弗雷德 利昂 科诺普卡 ;44;SL;Political Specialist;High;M13109;x
13110;Head of Military Intelligence;米奇斯瓦夫 索科洛夫斯基 ;45;SD;Industrial Specialist;High;M13110;x
13111;Head of Military Intelligence;斯坦尼斯瓦夫 杜波依斯 ;45;ST;Political Specialist;Medium;M13026;x
13112;Head of Military Intelligence;伊格纳齐 马图谢夫斯基 ;37;SC;Logistics Specialist;Medium;M13112;x
13113;Head of Military Intelligence;扬 科瓦莱夫斯基 ;36;PA;Dismal Enigma;Medium;M13113;x
13114;Head of Military Intelligence;维斯瓦夫 多马涅夫斯基 ;38;SL;Technical Specialist;High;M13114;x
13115;Chief of Staff;瓦茨瓦夫 斯塔奇耶维奇 ;36;PA;School of Fire Support;Low;M13115;x
13116;Chief of Staff;瓦迪斯瓦夫 西科尔斯基 ;39;SC;School of Manoeuvre;Medium;M13043;x
13117;Chief of Staff;迈克尔 卡拉谢维茨 托卡热夫斯基 ;43;ML;School of Defence;Medium;M13117;x
13118;Chief of Staff;斯特凡 罗维茨基 ;43;ML;School of Psychology;Medium;M13118;x
13119;Chief of Staff;塔德乌什 博尔 科莫罗夫斯基 ;43;SL;School of Mass Combat;Medium;M13119;x
13120;Chief of Staff;斯坦尼斯瓦夫 科潘斯基 ;44;SL;School of Manoeuvre;High;M13120;x
13121;Chief of Staff;利奥波德 奥库利茨基 ;45;SD;School of Fire Support;Low;M13121;x
13122;Chief of Staff;米夏尔 罗拉 齐梅尔斯基 ;44;ST;School of Mass Combat;Medium;M13122;x
13124;Chief of Army;瓦迪斯瓦夫 西科尔斯基 ;39;SC;Guns and Butter Doctrine;Medium;M13043;x
13125;Chief of Army;瓦迪斯瓦夫 安德斯 ;43;ML;Elastic Defence Doctrine;Medium;M13125;x
13126;Chief of Army;塔德乌什 博尔 科莫罗夫斯基 ;44;SL;Guns and Butter Doctrine;Medium;M13119;x
13127;Chief of Army;米夏尔 罗拉 齐梅尔斯基 ;45;ST;Armoured Spearhead Doctrine;Medium;M13122;x
13128;Chief of Army;瓦迪斯瓦夫 格拉布斯基 ;45;SD;Guns and Butter Doctrine;Medium;M13128;x
13129;Chief of Army;扬 科瓦莱夫斯基 ;37;FA;Elastic Defence Doctrine;Low;M13113;x
13130;Chief of Navy;约瑟夫 昂鲁 ;36;PA;Indirect Approach Doctrine;Medium;M13130;x
13131;Chief of Navy;弗朗索瓦 索卡尔 ;39;SC;Open Seas Doctrine;Medium;M13131;x
13132;Chief of Navy;利昂 哈因 ;43;ML;Base Control Doctrine;Medium;M13132;x
13133;Chief of Navy;亚当 拉帕茨基 ;45;LE;Power Projection Doctrine;High;M13029;x
13134;Chief of Air Force;卢多米尔 拉伊斯基 ;36;PA;Army Aviation Doctrine;Medium;M13134;x
13135;Chief of Air Force;斯坦尼斯瓦夫 帕夫卢克 ;39;SC;Air Superiority Doctrine;Medium;M13135;x
13136;Chief of Air Force;瓦迪斯瓦夫 卡尔克斯 ;43;SL;Carpet Bombing Doctrine;Medium;M13136;x
13137;Chief of Air Force;切斯瓦夫 比耶兹扎德 ;45;ST;Army Aviation Doctrine;Very High;M13137;x
13011;Head of State;博列斯拉夫 皮亚塞茨基 ;36;PA;Barking Buffoon;High;M13011;x
13012;Head of Government;奥古斯特 扎列斯基 ;36;PA;Happy Amateur;High;M13012;x
13013;Foreign Minister;扬 赫. 申别克 ;36;PA;Apologetic Clerk;Low;M13013;x
13014;Minister of Armament;耶日 兹杰霍夫斯基 ;36;NS;Corrupt Kleptocrat;Medium;M13014;x
13015;Minister of Security;利昂 约瑟夫 巴兰斯基 ;36;PA;Back Stabber;Medium;M13015;x
13016;Head of Military Intelligence;雅努什 茹乌托夫斯基 ;36;FA;Dismal Enigma;Medium;M13016;x
13017;Chief of Staff;瓦迪斯瓦夫 莫恰尔 ;36;FA;School of Psychology;Medium;M13017;x
13018;Chief of Army;托米斯瓦夫 卢帕兹科 ;36;PA;Decisive Battle Doctrine;Low;M13018;x
13019;Chief of Navy;扬 基韦尔斯基 ;36;FA;Indirect Approach Doctrine;Low;M13019;x
13020;Chief of Air Force;阿尔弗雷德 赫拉波乌斯基 ;36;FA;Army Aviation Doctrine;Low;M13020;x
13021;Head of State;诺贝特 巴尔利基 ;36;ST;Ruthless Powermonger;High;M13021;x
13022;Head of Government;爱德华 奥萨卜卡-莫拉夫斯基 ;36;ST;Political Protege;High;M13022;x
13023;Foreign Minister;帕维尔 芬德 ;36;LE;The Cloak N Dagger Schemer;Low;M13023;x
13024;Minister of Armament;齐格蒙特 贝林 ;36;ST;Infantry Proponent;Medium;M13024;x
13025;Minister of Security;斯坦尼斯瓦夫 拉德凯维奇 ;36;ST;Efficient Sociopath;Medium;M13025;x
13027;Chief of Staff;赫尔曼 利伯曼 ;36;LWR;School of Psychology;Medium;M13027;x
13028;Chief of Army;卡罗尔 希维尔切夫斯基 ;36;ST;Decisive Battle Doctrine;Low;M13028;x
13030;Chief of Air Force;卢德维克 格罗斯费尔德 ;36;LWR;Carpet Bombing Doctrine;Very High;M13030;x
13138;Head of Government;博列斯拉夫 贝鲁特 ;52;ST;Flamboyant Tough Guy;High;M13033;x
13139;Foreign Minister;斯坦尼斯瓦夫 斯克热谢夫斯基 ;51;ST;Apologetic Clerk;High;M13139;x
13140;Minister of Armament;康斯坦蒂 东布罗夫斯基 ;45;ST;Resource Industrialist;Medium;M13140;x
13141;Head of Military Intelligence;亨里克 斯维亚特科夫斯基 ;47;ST;Dismal Enigma;Medium;M13141;x
13142;Chief of Staff;安东尼 扎克-达布罗夫斯基;43;PA;School of Mass Combat;High;M_POL_AntoniBohun;x
13143;Chief of Staff;坦尼斯瓦夫 卡扎尼克;42;ML;School of Psychology;Very high;M_POL_Stanisawkasznica;x
13144;Foreign Minister;坦尼斯瓦夫 卡扎尼克;44;ML;General Staffer;Very high;M_POL_Stanisawkasznica;x
13145;Chief of Staff;瓦迪斯瓦夫 马刺诺斯基;44;SC;School of Fire Support;High;M_POL_WladyslawMarcinkowski;x
13146;Chief of Army;瓦迪斯瓦夫 马刺诺斯基;44;SC;Guns and Butter Doctrine;High;M_POL_WladyslawMarcinkowski;x
13147;Chief of Staff;休伯特 汝拉;43;FA;School of Manoeuvre;High;M_POL_HubertJura;x
13148;Minister of Security;休伯特 汝拉;44;FA;Prince of Terror;High;M_POL_HubertJura;x
13149;Minister of Security;斯蒂芬 卡本斯基;40;SL;Crime Fighter;High;M_POL_Korbonski;x
13150;Foreign Minister;斯蒂芬 卡本斯基;42;SL;Ideological Crusader;High;M_POL_Korbonski;x
13151;Chief of Staff;伊格纳西 奥只维茨;42;PA;School of Psychology;High;L8093;x
