SCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
17050;Head of Government;爱德华 冯 施泰格尔 ;45;SL;Smiling Oilman;high;M17039;x
17051;Head of Government;卡尔 科贝尔特 ;46;ML;Happy Amateur;high;M17040;x
17053;Foreign Minister;马塞尔 皮莱-戈拉 ;40;ML;Great Compromiser;high;M17034;x
17054;Foreign Minister;马克斯 珀蒂皮埃尔 ;45;SL;Iron Fisted Brute;high;M17054;x
17055;Foreign Minister;鲁道夫 赫尔普克 ;36;LE;Ideological Crusader;high;M17055;x
17056;Foreign Minister;保罗 乌斯泰里 ;37;ML;Ideological Crusader;high;M17056;x
17057;Foreign Minister;雅各布 I 胡贝尔 ;39;SL;General Staffer;high;M17007;x
17058;Foreign Minister;尼古拉斯 勒热纳 ;40;SL;Apologetic Clerk;high;M17058;x
17059;Foreign Minister;奥托 比斯 ;41;SD;Iron Fisted Brute;high;M17059;x
17060;Foreign Minister;卡尔 策尔特纳 ;41;SL;The Cloak N Dagger Schemer;high;M17060;x
17061;Foreign Minister;贾斯特斯 施特克林 ;38;ML;Great Compromiser;high;M17061;x
17062;Foreign Minister;恩里科 切利奥 ;42;SD;Ideological Crusader;high;M17037;x
17063;Foreign Minister;瓦尔特 施滕普夫利 ;43;ML;Iron Fisted Brute;high;M17038;x
17064;Foreign Minister;马克斯 考夫曼 ;44;SL;Biased Intellectual;high;M17064;x
17065;Foreign Minister;保罗 曼茨 ;45;SL;Great Compromiser;high;M17065;x
17066;Minister of Armament;弗里德里克 特劳戈特-瓦伦 ;40;ML;Resource Industrialist;high;M17066;x
17067;Minister of Armament;阿尔伯特 爱因斯坦 ;36;SL;Theoretical Scientist;high;M17067;x
17068;Minister of Armament;海因里希 汉德申 ;37;SL;Laissez Faires Capitalist;high;M17068;x
17069;Minister of Armament;雅各布 莫西曼 ;37;SL;Military Entrepreneur;high;M17069;x
17070;Minister of Armament;雅各布 I 胡贝尔 ;38;SL;Infantry Proponent;high;M17007;x
17071;Minister of Armament;恩斯特 韦特尔 ;39;ML;Resource Industrialist;high;M17035;x
17072;Minister of Armament;恩斯特 韦伯 ;41;SL;Administrative Genius;high;M17072;x
17073;Minister of Armament;莱昂纳多 卡斯泰利 ;42;SL;Tank Proponent;high;M17073;x
17074;Minister of Armament;恩斯特 诺布斯 ;44;SD;Resource Industrialist;high;M17074;x
17075;Minister of Armament;奥托 加斯 ;38;SD;Air to Ground Proponent;high;M17075;x
17076;Minister of Armament;约翰 吉纽 ;42;ML;Resource Industrialist;high;M17076;x
17077;Minister of Armament;维尔纳 詹尼 ;40;SD;Tank Proponent;high;M17077;x
17078;Minister of Armament;利奥 施魏策尔 ;44;SD;Administrative Genius;high;M17078;x
17079;Minister of Armament;鲁道夫 明格尔 ;44;ML;Administrative Genius;high;M17079;x
17080;Minister of Security;克莱门斯 施特克利 ;44;ML;Silent Lawyer;high;M17080;x
17081;Minister of Security;恩斯特 洛利格 ;44;SD;Man of the People;high;M17081;x
17082;Minister of Security;海因里希 罗特蒙德 ;40;ML;Crime Fighter;high;M17082;x
17083;Minister of Security;汉斯 勒平 ;40;SD;Back Stabber;high;M17083;x
17084;Minister of Security;保罗 弗吕蒂格 ;42;ML;Silent Lawyer;high;M17084;x
17085;Minister of Security;吉多 米舍尔 ;38;SD;Prince of Terror;high;M17085;x
17086;Minister of Security;海因里希 阿贝格 ;36;ST;Crime Fighter;high;M17086;x
17087;Minister of Security;古斯塔夫 阿杜尔 ;36;ML;Man of the People;high;M17087;x
17088;Minister of Security;费利克 卡隆德尔 ;36;SL;Back Stabber;high;M17088;x
17089;Minister of Security;埃德蒙 舒尔特海斯 ;38;SL;Prince of Terror;high;M17089;x
17090;Minister of Security;贡扎贵 德 雷诺 ;37;SL;Compassionate Gentleman;high;M17090;x
17091;Minister of Security;胡戈 克施温德 ;39;SL;Crime Fighter;high;M17091;x
17092;Minister of Security;爱德华 冯 施泰格尔 ;41;SL;Silent Lawyer;high;M17039;x
17093;Minister of Security;马克斯 魏贝尔 ;42;SL;Efficient Sociopath;high;M17093;x
17094;Minister of Security;特劳戈特 迈尔 ;43;SD;Man of the People;high;M17025;x
17095;Head of Military Intelligence;阿尔伯特 爱因斯坦 ;37;SL;Technical Specialist;high;M17067;x
17096;Head of Military Intelligence;威廉 拉帕德 ;38;ML;Industrial Specialist;high;M17096;x
17097;Head of Military Intelligence;吉勒斯 列 皮埃尔 ;39;SL;Logistics Specialist;high;M17097;x
17098;Head of Military Intelligence;汉斯 康拉德 松德雷格 ;40;SD;Industrial Specialist;high;M17098;x
17099;Head of Military Intelligence;马克斯 魏贝尔 ;43;SL;Dismal Enigma;high;M17093;x
17100;Chief of Staff;汉斯 马克斯 胡贝尔 ;37;ML;School of Psychology;high;M17100;x
17101;Chief of Staff;亨利 吉桑 ;38;SL;School of Mass Combat;high;M17101;x
17102;Chief of Staff;保罗 居特勒 ;42;SD;School of Psychology;high;M17102;x
17103;Chief of Army;恩斯特 劳尔 ;36;ML;Guns and Butter Doctrine;high;M17103;x
17104;Chief of Army;亨利 吉桑 ;38;SL;Elastic Defence Doctrine;high;M17101;x
17105;Chief of Army;保罗 罗西 ;41;SD;Guns and Butter Doctrine;high;M17105;x
17106;Chief of Navy;汉斯 彼得 比克塞尔-佐恩 ;38;SL;Open Seas Doctrine;high;M17106;x
17107;Chief of Air Force;J D 德 蒙泰纳什 ;37;SD;Vertical Envelopment Doctrine;high;M17107;x
17108;Chief of Air Force;弗里茨 里赫纳 ;38;SL;Army Aviation Doctrine;high;M17108;x
17109;Chief of Air Force;卡尔 布尔克哈特 德 雷诺 ;41;ML;Vertical Envelopment Doctrine;high;M17109;x
17110;Chief of Air Force;艾蒂安 普里莫 ;44;SL;Air Superiority Doctrine;high;M17110;x
17011;Head of State;弗朗茨 布里 ;36;FA;Insignificant Layman;high;M17011;x
17012;Head of Government;弗朗茨 布里 ;36;FA;Old Admiral;high;M17011;x
17013;Foreign Minister;雅各布 洛伦茨 ;36;FA;Iron Fisted Brute;high;M17013;x
17014;Minister of Armament;汉斯 厄勒 ;36;FA;Military Entrepreneur;high;M17014;x
17015;Minister of Security;弗朗茨 布里 ;36;FA;Crooked Kleptocrat;high;M17011;x
17016;Head of Military Intelligence;阿尔弗雷德 萨拉赞 ;36;PA;Dismal Enigma;high;M17016;x
17017;Chief of Staff;欧根 比歇尔 ;36;FA;School of Psychology;high;M17017;x
17018;Chief of Army;欧根 比歇尔 ;36;FA;Guns and Butter Doctrine;high;M17017;x
17019;Chief of Navy;汉斯 厄勒 ;36;FA;Decisive Naval Battle Doctrine;high;M17014;x
17020;Chief of Air Force;阿尔弗雷德 萨拉赞 ;36;FA;Naval Aviation Doctrine;high;M17016;x
17021;Head of State;约瑟夫 维克托 威德曼 ;36;LWR;Weary Stiffneck;high;M17021;x
17022;Head of Government;约瑟夫 维克托 威德曼 ;36;LWR;Ambitious Union Boss;high;M17021;x
17023;Foreign Minister;赫尔曼 黑塞尔-洛伦茨 ;36;LWR;The Cloak N Dagger Schemer;high;M17023;x
17024;Minister of Armament;埃米尔 弗赖 ;36;LWR;Infantry Proponent;high;M17024;x
17026;Head of Military Intelligence;特奥 迈尔 ;36;LWR;Technical Specialist;high;M17026;x
17027;Chief of Staff;特劳戈特 迈尔 ;36;LWR;School of Fire Support;high;M17025;x
17028;Chief of Army;埃米尔 弗赖 ;36;LWR;Armoured Spearhead Doctrine;high;M17024;x
17029;Chief of Navy;赫尔曼 黑塞尔-洛伦茨 ;36;LWR;Indirect Approach Doctrine;high;M17023;x
17030;Chief of Air Force;约瑟夫 维克托 威德曼 ;36;LWR;Naval Aviation Doctrine;high;M17021;x
17111;Head of State;恩斯特 诺布斯 ;49;SD;Benevolent Gentleman;high;M17074;x
17112;Head of State;马克斯 珀蒂皮埃尔 ;50;SL;Popular Figurehead;high;M17054;x
17113;Head of Government;奥斯卡 莱姆格鲁伯 ;44;SC;Smiling Oilman;high;M17113;x
17114;Head of Government;查尔斯 奥泽 ;51;SL;Corporate Suit;high;M17114;x
17115;Minister of Armament;卡尔 科贝尔特 ;44;ML;Infantry Proponent;high;M17040;x
17116;Minister of Security;菲利普 埃特 ;39;SL;Crime Fighter;high;M17033;x
17117;Head of Government;恩斯特 诺布斯 ;49;SD;Happy Amateur;high;M17074;x
17118;Head of Government;马克斯 珀蒂皮埃尔 ;50;SL;Political Protege;high;M17054;x
17119;Head of Government;爱德华 冯 施泰格尔 ;51;SC;Corporate Suit;high;M17039;x
17120;Chief of Staff;亚瑟 丰雅拉;30;FA;School of Fire Support;High;M_SCH_ArthurFonjallaz;x
17121;Foreign Minister;亚瑟 丰雅拉;35;FA;General Staffer;High;M_SCH_ArthurFonjallaz;x
17122;Minister of Security;詹姆斯 施瓦岑巴赫;47;NS;Prince of Terror;Medium;M_SCH_J.Schwarzenbach;x
