CHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
52091;Chief of Staff;林蔚 ;43;PA;School of Manoeuvre;High;M52035;x
52093;Chief of Staff;傅作义 ;39;SC;School of Defence;High;M52093;x
52160;Chief of Staff;郭寄嶠;49;SC;Man Of Genius;High;;x
52149;Chief of Staff;徐永昌;48;SC;School of Defence;High;M52046;x
52095;Chief of Army;李宗仁 ;37;PA;Static Defence Doctrine;High;M52031;x
52097;Chief of Army;顾祝同 ;39;PA;Decisive Battle Doctrine;Low;M52097;x
52098;Chief of Army;徐庭瑶 ;44;PA;Armoured Spearhead Doctrine;High;M52098;x
52099;Chief of Army;何应钦 ;39;SC;Elastic Defence Doctrine;High;M52058;x
52146;Chief of Staff;何应钦 ;39;SC;School of Psychology;High;M52058;x
52152;Head of Government;何应钦 ;48;SC;Old General;High;M52058;x
52102;Chief of Navy;曾以鼎 ;39;PA;Base Control Doctrine;Medium;M52102;x
52104;Chief of Navy;桂永清 ;45;PA;Decisive Naval Battle Doctrine;Very High;M52104;x
52105;Chief of Navy;陈诚 ;45;PA;Power Projection Doctrine;Very High;M52105;x
52106;Chief of Navy;徐人寿 ;39;SC;Open Seas Doctrine;Low;M52106;x
52107;Chief of Navy;任援道 ;39;FA;Open Seas Doctrine;Low;M52019;x
52108;Chief of Air Force;黄镇球 ;37;PA;Air Superiority Doctrine;High;M52047;x
52109;Chief of Air Force;沈鸿烈 ;41;PA;Naval Aviation Doctrine;Very High;M52109;x
52111;Chief of Air Force;王叔铭 ;45;PA;Vertical Envelopment Doctrine;High;M52054;x
52112;Chief of Air Force;钱大钧 ;39;SC;Carpet Bombing Doctrine;Very High;M52090;x
52114;Head of Government;阎锡山 ;49;PA;Old General;High;M52004;x
52158;Chief of Staff;阎锡山 ;49;PA;School of Defence;High;M52004;x
52115;Head of Government;陈诚 ;50;PA;Political Protege;High;M52115;x
52116;Chief of Staff;陈诚 ;45;PA;School of Manoeuvre;Very High;M52105;x
52117;Chief of Army;陈诚 ;46;PA;Armoured Spearhead Doctrine;Very High;M52105;x
52118;Chief of Army;蒋介石 ;45;PA;Guns and Butter Doctrine;Very High;M_CHI_Kai-shek2;x
52119;Foreign Minister;陈诚 ;50;PA;General Staffer;High;M52105;x
52121;Minister of Security;刘志;35;PA;Man of the People;High;M_CHI_LiuZhi;x
52122;Chief of Staff;刘志;30;PA;School of Fire Support;High;M_CHI_LiuZhi;x
52123;Chief of Staff;杜聿明;35;SC;School of Mass Combat;Very High;L50298;x
52124;Chief of Army;杜聿明;42;SC;Elastic Defence Doctrine;Very High;L50298;x
52125;Minister of Armament;杜聿明;43;SC;Infantry Proponent;Very High;L50298;x
52156;Minister of Armament;劉攻芸;48;SC;Laissez Faires Capitalist;Very High;;x
52126;Chief of Staff;傅作义;36;PA;School of Defence;Medium;M_CHI_FuZuoyi;x
52127;Chief of Staff;薛岳;38;PA;School of Psychology;Very High;M_CHI_XueYue;x
52128;Chief of Army;薛岳;42;PA;Decisive Battle Doctrine;Very High;M_CHI_XueYue;x
52129;Chief of Staff;孙立人;37;SC;School of Manoeuvre;High;M_CHI_SunLi-jen;x
52130;Chief of Army;孙立人;46;SC;Armoured Spearhead Doctrine;High;M_CHI_SunLi-jen;x
52131;Head of Government;孙立人;48;SC;Flamboyant Tough Guy;High;M_CHI_SunLi-jen;x
52132;Foreign Minister;孙立人;46;SC;General Staffer;High;M_CHI_SunLi-jen;x
52133;Minister of Security;蒋经国;49;PA;Prince of Terror;High;M52055;x
52134;Minister of Armament;蒋经国;55;PA;Laissez Faires Capitalist;High;M_CHI_C.Ching-kuo;x
52135;Head of Government;蒋经国;55;PA;Backroom Backstabber;Very High;M52055;x
52136;Head of State;蒋经国;57;PA;Popular Figurehead;Very High;M52055;x
52022;Head of State;蒋介石 ;43;PA;Resigned Generalissimo;High;M52002;x
