COL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
37046;Head of Government;爱德华多 桑托斯 蒙特若 ;38;SL;Flamboyant Tough Guy;High;M37032;x
37047;Head of Government;阿尔贝托 列拉斯 卡马戈 ;42;SL;Political Protege;High;M37033;x
37048;Head of Government;加布里埃尔 图尔瓦伊 阿亚拉 ;46;SL;Ambitious Union Boss;High;M37034;x
37049;Head of Government;华金 费尔南德斯 ;38;SC;Corporate Suit;High;M37035;x
37050;Head of Government;卡洛斯 阿朗戈 贝莱斯 ;42;SC;Silent Workhorse;High;M37036;x
37051;Head of Government;乔治 埃列塞尔 盖坦 ;45;SC;Naive Optimist;High;M37037;x
37052;Head of Government;马里亚诺 奥斯皮纳 佩雷斯 ;46;SC;Happy Amateur;High;M37038;x
37053;Head of Government;朱利奥 瓦尔德斯 ;38;FA;Old General;High;M37011;x
37054;Head of Government;鲁本 彼德拉伊塔 阿朗戈 ;45;PA;Old General;High;M37017;x
37055;Head of Government;奎里斯塔 塞勒 ;38;LE;Backroom Backstabber;High;M37021;x
37056;Head of Government;乔治 埃列塞尔 盖坦 ;46;LWR;Naive Optimist;High;M37037;x
37057;Foreign Minister;乔治 索托 德尔 科拉尔 ;36;SD;The Cloak N Dagger Schemer;Medium;M37057;x
37058;Foreign Minister;加布里埃尔 图尔瓦伊 阿亚拉 ;37;SD;Iron Fisted Brute;Medium;M37034;x
37059;Foreign Minister;卡洛斯 洛扎诺-洛扎诺 ;42;SD;Great Compromiser;High;M37044;x
37060;Foreign Minister;阿尔贝托 列拉斯 卡马戈 ;44;SD;Biased Intellectual;Medium;M37033;x
37061;Foreign Minister;路易斯 洛佩斯 德 梅萨 ;38;SL;Ideological Crusader;Medium;M37061;x
37062;Foreign Minister;恩里克 奥拉亚 赫雷拉 ;40;SL;Apologetic Clerk;Medium;M37062;x
37063;Foreign Minister;费尔南多 隆多诺-隆多诺 ;43;SL;General Staffer;Medium;M37006;x
37064;Foreign Minister;爱德华多 朱利塔 卡斯蒂略 ;46;SL;Great Compromiser;Medium;M37064;x
37065;Foreign Minister;安东尼奥 若泽 雷斯特雷波 ;38;SC;General Staffer;Medium;M37065;x
37066;Foreign Minister;罗伯托 乌达内塔 阿韦拉埃斯 ;42;SC;Apologetic Clerk;High;M37066;x
37067;Foreign Minister;劳雷亚诺 戈麦斯 卡斯特罗 ;44;SC;The Cloak N Dagger Schemer;High;M37067;x
37068;Foreign Minister;弗朗西斯科 乌马纳 伯纳尔 ;46;SC;Biased Intellectual;High;M37068;x
37069;Foreign Minister;梅利顿 罗德里格斯 罗尔丹 ;38;FA;Biased Intellectual;Medium;M37013;x
37070;Foreign Minister;爱德华多 波里耶 埃斯科巴尔 ;39;PA;General Staffer;Medium;M37008;x
37071;Foreign Minister;巴尔多梅罗 萨宁 卡诺 ;45;PA;Iron Fisted Brute;Medium;M37071;x
37073;Minister of Armament;格雷戈里奥 奥夫雷贡 ;37;SD;Tank Proponent;Medium;M37073;x
37074;Minister of Armament;阿兰 阿代尔 阿里亚加 ;42;SD;Resource Industrialist;High;M37074;x
37075;Minister of Armament;阿方索 洛佩斯 普马雷霍 ;37;SD;Infantry Proponent;Medium;M37001;x
37076;Minister of Armament;弗朗西斯科 巴尔贝里 萨莫拉诺 ;44;SD;Laissez Faires Capitalist;Medium;M37076;x
37077;Minister of Armament;温贝托 希卡 平松 ;38;SL;Theoretical Scientist;Medium;M37077;x
37078;Minister of Armament;卡米洛 达萨 阿尔瓦雷兹 ;40;SL;Air Superiority Proponent;Medium;M37078;x
37079;Minister of Armament;亚历杭德罗 加尔维斯 ;42;SL;Corrupt Kleptocrat;Medium;M37079;x
37080;Minister of Armament;普利尼奥 门多萨 ;45;SL;Corrupt Kleptocrat;Medium;M37080;x
37081;Minister of Armament;毛里齐奥 索托 戈梅 ;46;SL;Submarine Proponent;Medium;M37081;x
37082;Minister of Armament;阿尔贝托 纳里诺 切恩 ;38;SC;Air to Sea Proponent;Medium;M37082;x
37083;Minister of Armament;威廉 马丁内斯 佩雷斯 ;39;SC;Tank Proponent;Medium;M37083;x
37084;Minister of Armament;华金 费尔南德斯 ;42;SC;Resource Industrialist;Medium;M37035;x
37085;Minister of Armament;马里亚诺 奥斯皮纳 佩雷斯 ;44;SC;Military Entrepreneur;Medium;M37038;x
37086;Minister of Armament;卡洛斯 阿朗戈 贝莱斯 ;43;SC;Battle Fleet Proponent;High;M37036;x
37087;Minister of Armament;卡米洛 奥斯皮纳 伯纳尔 ;46;SC;Resource Industrialist;High;M37087;x
37088;Minister of Armament;安东尼奥 阿塞韦多 埃斯科巴尔 ;38;FA;Corrupt Kleptocrat;Medium;M37014;x
37089;Minister of Armament;朱利奥 瓦尔德斯 ;47;PA;Theoretical Scientist;Medium;M37011;x
37090;Minister of Armament;乔治 罗亚 马丁内斯 ;38;LWR;Infantry Proponent;Medium;M37005;x
37091;Minister of Armament;加布里埃尔 金塔尼利亚 莫拉莱斯 ;46;LWR;Battle Fleet Proponent;Medium;M37029;x
37092;Minister of Armament;卡洛斯 洛扎诺-洛扎诺 ;47;LWR;Laissez Faires Capitalist;High;M37044;x
37093;Minister of Security;拉斐尔 吉拉尔多 瓦尔加斯 ;42;SD;Crooked Kleptocrat;Medium;M37093;x
37094;Minister of Security;拉斐尔 霍尔曼 ;43;SD;Compassionate Gentleman;Medium;M37094;x
37095;Minister of Security;阿尔贝托 列拉斯 卡马戈 ;39;SD;Silent Lawyer;High;M37033;x
37096;Minister of Security;弗朗切斯科 若泽 乌鲁蒂亚 ;38;SL;Man of the People;Medium;M37096;x
37098;Minister of Security;贝尼托 埃尔南斯 ;42;SL;Back Stabber;Medium;M37004;x
37099;Minister of Security;恩里克 戈梅 乌尔塔多 ;45;SL;Crime Fighter;Medium;M37099;x
37100;Minister of Security;爱德华多 朱利塔 卡斯蒂略 ;46;SL;Crooked Kleptocrat;High;M37064;x
37101;Minister of Security;凯撒 伯纳尔 古斯塔夫斯 ;38;SC;Crooked Kleptocrat;Medium;M37101;x
37102;Minister of Security;若泽 埃利斯 坎萨多 ;42;SC;Back Stabber;Medium;M37016;x
37103;Minister of Security;乌尔皮亚诺 伦希福 卡德纳斯 ;45;SC;Efficient Sociopath;Medium;M37103;x
37104;Minister of Security;弗朗切斯科 若泽 乌鲁蒂亚 ;47;SC;Man of the People;Medium;M37096;x
37105;Minister of Security;梅利顿 罗德里格斯 罗尔丹 ;38;FA;Efficient Sociopath;Low;M37013;x
37106;Minister of Security;古斯塔沃 罗雅斯 皮尼拉 ;45;PA;Prince of Terror;Medium;M37040;x
37107;Minister of Security;M.E. 罗雅斯 德 莫雷诺 ;47;PA;Man of the People;Medium;M37107;x
37108;Minister of Security;利昂 德 格赖夫 ;38;LWR;Man of the People;Very Low;M37025;x
37109;Minister of Security;乔治 洛佩斯 苏约 ;41;LWR;Prince of Terror;Low;M37109;x
37110;Minister of Security;达里奥 埃昌迪亚 ;46;LWR;Compassionate Gentleman;Medium;M37045;x
37111;Head of Military Intelligence;乔治 洛佩斯 苏约 ;42;SD;Political Specialist;Low;M37109;x
37112;Head of Military Intelligence;曼努埃尔 阿里赞 洛佩斯 ;44;SD;Technical Specialist;Low;M37112;x
37113;Head of Military Intelligence;爱德华多 桑托斯 蒙特若 ;38;SL;Technical Specialist;Medium;M37032;x
37114;Head of Military Intelligence;毛里齐奥 索托 戈梅 ;42;SL;Naval Intelligence Specialist;Medium;M37081;x
37116;Head of Military Intelligence;恩里科 迪亚兹 卡里亚 ;46;SL;Political Specialist;Low;M37116;x
37117;Head of Military Intelligence;爱德华多 波里耶 埃斯科巴尔 ;38;SC;Logistics Specialist;Medium;M37008;x
37118;Head of Military Intelligence;安东尼奥 阿塞韦多 埃斯科巴尔 ;42;SC;Dismal Enigma;Medium;M37014;x
37119;Head of Military Intelligence;吉耶尔莫 帕迪利亚 曼里克 ;45;SC;Dismal Enigma;Medium;M37119;x
37120;Head of Military Intelligence;若泽 埃利斯 坎萨多 ;38;FA;Logistics Specialist;Medium;M37016;x
37121;Head of Military Intelligence;梅利顿 罗德里格斯 罗尔丹 ;46;PA;Political Specialist;Low;M37013;x
37122;Head of Military Intelligence;恩里科 迪亚兹 卡里亚 ;47;PA;Dismal Enigma;Low;M37116;x
37123;Head of Military Intelligence;奎里斯塔 塞勒 ;38;ST;Dismal Enigma;Medium;M37021;x
37124;Head of Military Intelligence;利昂 德 格赖夫 ;46;LWR;Technical Specialist;Very Low;M37025;x
37126;Chief of Staff;路易斯 阿塞韦多 ;42;SD;School of Mass Combat;Medium;M37009;x
37127;Chief of Staff;若泽 吉萨-埃斯卡拉尔 ;43;SD;School of Defence;Medium;M37127;x
37128;Chief of Staff;卡米洛 达萨 阿尔瓦雷兹 ;38;SL;School of Psychology;Medium;M37078;x
37130;Chief of Staff;爱德华多 波里耶 埃斯科巴尔 ;38;SC;School of Fire Support;High;M37008;x
37131;Chief of Staff;萨尔瓦多 蒂亚加 冈萨雷斯 ;42;SC;School of Psychology;High;M37131;x
37132;Chief of Staff;鲁本 彼德拉伊塔 阿朗戈 ;38;PA;School of Manoeuvre;Medium;M37017;x
37133;Chief of Staff;古斯塔沃 罗雅斯 皮尼拉 ;46;PA;School of Psychology;Medium;M37133;x
37134;Chief of Staff;路易斯 伯纳多 安德拉德 ;38;ST;School of Psychology;Medium;M37027;x
37135;Chief of Staff;乔治 洛佩斯 苏约 ;46;LWR;School of Manoeuvre;Low;M37109;x
37136;Chief of Army;路易斯 阿塞韦多 ;38;SD;Armoured Spearhead Doctrine;Medium;M37009;x
37137;Chief of Army;古斯塔沃 罗雅斯 皮尼拉 ;44;SD;Static Defence Doctrine;Medium;M37133;x
37138;Chief of Army;曼努埃尔 基诺内斯 ;38;SL;Static Defence Doctrine;Medium;M37138;x
37139;Chief of Army;若泽 吉萨-埃斯卡拉尔 ;42;SL;Elastic Defence Doctrine;Medium;M37127;x
37140;Chief of Army;鲁本 彼德拉伊塔 阿朗戈 ;38;SC;Decisive Battle Doctrine;Medium;M37017;x
37141;Chief of Army;吉耶尔莫 帕迪利亚 曼里克 ;46;SC;Guns and Butter Doctrine;Medium;M37119;x
37143;Chief of Army;奎里斯塔 塞勒 ;38;ST;Guns and Butter Doctrine;Medium;M37021;x
37145;Chief of Navy;马里奥 埃斯皮诺萨 加西图瓦 ;38;SL;Decisive Naval Battle Doctrine;Medium;M37019;x
37146;Chief of Navy;毛里齐奥 索托 戈梅 ;45;SL;Open Seas Doctrine;Medium;M37081;x
37147;Chief of Navy;萨尔瓦多 蒂亚加 冈萨雷斯 ;38;SC;Base Control Doctrine;High;M37131;x
37149;Chief of Navy;加布里埃尔 金塔尼利亚 莫拉莱斯 ;38;LWR;Power Projection Doctrine;Medium;M37029;x
37150;Chief of Air Force;路易斯 阿塞韦多 ;42;SD;Naval Aviation Doctrine;Medium;M37009;x
37151;Chief of Air Force;萨尔瓦多 蒂亚加 冈萨雷斯 ;43;SD;Vertical Envelopment Doctrine;High;M37131;x
37152;Chief of Air Force;曼努埃尔 基诺内斯 ;38;SL;Carpet Bombing Doctrine;Medium;M37138;x
37153;Chief of Air Force;卡米洛 达萨 阿尔瓦雷兹 ;42;SL;Air Superiority Doctrine;Medium;M37078;x
37154;Chief of Air Force;阿图罗 莱马 帕萨达 ;45;SL;Vertical Envelopment Doctrine;Medium;M37154;x
37156;Chief of Air Force;费利克斯 梅尔卡多 ;38;SC;Army Aviation Doctrine;Medium;M37156;x
37157;Chief of Air Force;恩里科 迪亚兹 卡里亚 ;42;SC;Naval Aviation Doctrine;Low;M37116;x
37158;Chief of Air Force;路易斯 罗德里格斯 ;38;PA;Carpet Bombing Doctrine;Medium;M37020;x
37159;Chief of Air Force;格尔曼 奥拉诺 ;45;PA;Air Superiority Doctrine;Medium;M37010;x
37160;Chief of Air Force;路易斯 伯纳多 安德拉德 ;38;ST;Naval Aviation Doctrine;Medium;M37027;x
37161;Chief of Air Force;拉斐尔 霍尔曼 ;46;LWR;Vertical Envelopment Doctrine;Medium;M37094;x
37166;Head of State;阿方索 洛佩斯 普马雷霍 ;42;SD;Weary Stiffneck;High;M37001;x
37167;Head of State;古斯塔沃 罗雅斯 皮尼拉 ;45;SD;Resigned Generalissimo;High;M37040;x
37168;Head of State;劳雷亚诺 戈麦斯 卡斯特罗 ;50;SC;Barking Buffoon;High;M37067;x
37169;Chief of Army;加布里埃尔 帕里斯 戈迪略 ;52;SD;Elastic Defence Doctrine;Medium;M37169;x
