IND;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
59046;Foreign Minister;贾瓦哈尔 拉尔 尼赫鲁 ;41;SD;Ideological Crusader;High;M59046;x
59047;Foreign Minister;比姆拉奥 拉姆吉 安贝德卡 ;43;SD;Apologetic Clerk;Low;M59025;x
59048;Foreign Minister;霍奇巴胡尔的 巴哈杜尔 贾拉 ;36;SL;Apologetic Clerk;High;M59048;x
59049;Foreign Minister;穆罕默德 阿尤布 汗 ;43;SL;General Staffer;High;M59049;x
59050;Foreign Minister;阿利 汗四世 ;42;ML;Great Compromiser;High;M59050;x
59051;Foreign Minister;阿伽 汗三世 ;36;PA;Great Compromiser;Medium;M59051;x
59053;Foreign Minister;阿乔伊 库马尔 高希 ;43;PA;Biased Intellectual;Medium;M59023;x
59055;Foreign Minister;赫瓦贾 纳齐姆丁 ;47;PA;Apologetic Clerk;High;M59055;x
59056;Minister of Armament;萨达尔 瓦拉布巴伊 帕特尔 ;36;SD;Military Entrepreneur;High;M59056;x
59057;Minister of Armament;拉尔 巴哈杜尔 夏斯特里 ;44;SD;Administrative Genius;High;M59024;x
59058;Minister of Armament;迈克尔 莫里斯 ;36;SL;Laissez Faires Capitalist;Medium;M59038;x
59059;Minister of Armament;约翰 马塔伊博士 ;40;SL;Theoretical Scientist;Medium;M59039;x
59060;Minister of Armament;希滕德拉 德赛 ;45;SL;Resource Industrialist;Very High;M59060;x
59061;Minister of Armament;霍奇巴胡尔的 巴哈杜尔 贾拉 ;36;ML;Battle Fleet Proponent;Medium;M59048;x
59062;Minister of Armament;帕托迪的 纳瓦卜 贾戈尔 ;39;ML;Resource Industrialist;Medium;M59062;x
59063;Minister of Armament;伊斯坎德尔 米尔扎 ;36;PA;Infantry Proponent;Medium;M59014;x
59064;Minister of Armament;西尔 乔图 拉姆 ;38;PA;Air Superiority Proponent;High;M59026;x
59065;Minister of Armament;乔蒂 巴苏 ;39;PA;Administrative Genius;Very High;M59021;x
59067;Minister of Armament;穆罕默德 阿里 博格拉 ;44;PA;Air to Sea Proponent;Medium;M59067;x
59068;Minister of Security;拉菲 艾哈迈德 基德瓦伊 ;36;SD;Crime Fighter;Medium;M59068;x
59069;Minister of Security;比姆拉奥 拉姆吉 安贝德卡 ;41;SD;Man of the People;Very High;M59025;x
59070;Minister of Security;哈里拉尔 J 卡尼亚 ;36;SL;Silent Lawyer;Low;M59070;x
59071;Minister of Security;西尔 亨利 吉德尼 ;42;SL;Compassionate Gentleman;Very High;M59071;x
59072;Minister of Security;海德拉巴的 尼扎姆 奥斯曼 ;36;ML;Prince of Terror;Very High;M59015;x
59073;Minister of Security;穆罕默德 穆希布 ;38;ML;Back Stabber;Very High;M59073;x
59075;Minister of Security;阿乔伊 库马尔 高希 ;42;PA;Efficient Sociopath;Very High;M59023;x
59077;Head of Military Intelligence;什里 贾格吉凡 拉姆 ;36;SD;Political Specialist;Very High;M59077;x
59078;Head of Military Intelligence;拉菲 艾哈迈德 基德瓦伊 ;43;SD;Dismal Enigma;Medium;M59068;x
59080;Head of Military Intelligence;西尔 乔图 拉姆 ;36;SL;Industrial Specialist;High;M59026;x
59081;Head of Military Intelligence;杰汉吉尔 巴巴 霍米 ;43;SL;Technical Specialist;Very High;M59079;x
59082;Head of Military Intelligence;斯蒂芬 霍普-卡利尔 ;45;SL;Naval Intelligence Specialist;Medium;L1356;x
59083;Head of Military Intelligence;西尔 布瓦哈杜尔 孔德劳 ;36;ML;Industrial Specialist;Medium;M59083;x
59084;Head of Military Intelligence;林赛 斯蒂芬森 ;38;ML;Dismal Enigma;Medium;M59084;x
59086;Head of Military Intelligence;拉什贝哈里 巴苏 ;39;PA;Logistics Specialist;Very High;M59016;x
59087;Head of Military Intelligence;阿卜杜勒 马吉德 赫瓦贾 ;45;PA;Dismal Enigma;Medium;M59087;x
59088;Chief of Staff;苏巴斯 钱德拉 博斯 ;36;SD;School of Psychology;Medium;M59011;x
59089;Chief of Staff;阿南塔萨亚南 阿扬加尔 ;43;SD;School of Defence;High;M59044;x
59090;Chief of Staff;查尔斯 T M 派齐 ;46;SD;School of Manoeuvre;High;M59090;x
59091;Chief of Staff;莫汉 辛格 ;36;SL;School of Mass Combat;Very Low;M59028;x
59092;Chief of Staff;萨达尔 巴尔德夫 辛格 ;41;SL;School of Psychology;Medium;M59092;x
59093;Chief of Staff;科丹德拉 卡里阿帕 ;45;SL;School of Fire Support;High;M59093;x
59094;Chief of Staff;拉金德拉 普拉萨德 ;36;ML;School of Defence;Low;M59031;x
59095;Chief of Staff;科丹德拉 蒂迈雅 ;42;ML;School of Defence;Low;M59095;x
59097;Chief of Staff;沙阿 纳瓦兹 汗 ;43;PA;School of Manoeuvre;Very High;M59017;x
59099;Chief of Army;拉姆 辛格 塔库尔 ;36;SD;Guns and Butter Doctrine;Very High;M59099;x
59100;Chief of Army;莫汉 辛格 ;41;SD;Decisive Battle Doctrine;Very Low;M59028;x
59101;Chief of Army;科丹德拉 卡里阿帕 ;36;SL;Elastic Defence Doctrine;Low;M59093;x
59102;Chief of Army;西尔 弗兰克 梅瑟维 ;45;SL;Armoured Spearhead Doctrine;Very Low;M59102;x
59103;Chief of Army;阿齐博尔德 韦弗尔 ;42;ML;Elastic Defence Doctrine;High;M59034;x
59104;Chief of Army;巴瓦拉普的 库雷希 ;36;PA;Static Defence Doctrine;Medium;M59040;x
59107;Chief of Navy;巴斯卡尔 苏曼 ;36;SD;Decisive Naval Battle Doctrine;Medium;M59107;x
59109;Chief of Navy;拉姆 达斯 卡塔里 ;47;SL;Power Projection Doctrine;Medium;M59019;x
59110;Chief of Navy;W H 古尔德-布拉德福德 ;42;ML;Open Seas Doctrine;Medium;L1349;x
59112;Chief of Navy;哈林德尔 辛格 ;46;PA;Indirect Approach Doctrine;Medium;M59112;x
59113;Chief of Air Force;阿尔热 辛格 维布桑 ;36;SD;Air Superiority Doctrine;medium;M59113;x
59115;Chief of Air Force;苏布罗托 慕克吉 ;46;SD;Army Aviation Doctrine;medium;M59115;x
59116;Chief of Air Force;梅哈尔 辛格 ;36;SL;Army Aviation Doctrine;medium;M59114;x
59117;Chief of Air Force;阿斯派 梅尔万 ;43;SL;Naval Aviation Doctrine;medium;M59117;x
59119;Chief of Air Force;拉温德拉 达尔尚 辛格 ;36;PA;Carpet Bombing Doctrine;High;M59118;x
59121;Head of State;拉金德拉 普拉萨德 ;36;SL;Weary Stiffneck;High;M59031;x
59122;Foreign Minister;因多雷的 耶希万特拉奥 二世 ;41;PA;Iron Fisted Brute;Medium;M59122;x
59123;Minister of Armament;基山加尔的 布兰殿下 ;42;PA;Air to Ground Proponent;Very High;M59123;x
59124;Minister of Security;班加纳帕勒的 阿里 汗三世 ;36;PA;Prince of Terror;Very High;M59124;x
59125;Minister of Security;莫尔维的 瓦格希殿下 ;44;PA;Compassionate Gentleman;Very High;M59125;x
59126;Head of Military Intelligence;西基姆的 塔希殿下 ;36;PA;Political Specialist;Medium;M59126;x
59127;Head of State;查克拉瓦蒂 拉贾戈帕拉查里 ;48;SD;Die-hard Reformer;High;M59127;x
59128;Head of Government;贾瓦哈尔 拉尔 尼赫鲁 ;45;SD;Nehru;High;M59046;x
59129;Foreign Minister;加内什 马瓦兰卡 ;52;SD;Great Compromiser;High;M59129;x
59130;Minister of Security;萨韦帕利 拉达克里希南 ;51;SD;Compassionate Gentleman;Very High;M59130;x
