BOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
43155;Head of Military Intelligence;西蒙 I. 帕蒂诺 ;44;SC;Industrial Specialist;Medium;M43038;x
43156;Head of Military Intelligence;胡安 洛佩斯 洛佩斯 ;45;SC;Logistics Specialist;Medium;M43156;x
43157;Head of Military Intelligence;若泽 桑托斯 金特罗斯 ;40;PA;Dismal Enigma;High;M43005;x
43158;Head of Military Intelligence;胡安 圣希内斯 ;36;FA;Industrial Specialist;Medium;M43016;x
43159;Head of Military Intelligence;阿尔贝托 奥斯特里亚 古铁雷斯 ;43;FA;Dismal Enigma;Medium;M43075;x
43160;Head of Military Intelligence;法比安 巴卡 查维斯 ;43;PA;Naval Intelligence Specialist;Medium;M43082;x
43161;Head of Military Intelligence;阿尔贝托 迪茨 德 梅迪纳 ;43;LWR;Technical Specialist;Medium;M43086;x
43162;Head of Military Intelligence;瓦尔特 格韦拉 ;46;LWR;Technical Specialist;High;M43096;x
43163;Head of Military Intelligence;吉耶尔莫 洛拉 ;36;ST;Logistics Specialist;Very Low;M43021;x
43164;Head of Military Intelligence;维尔纳 古滕贝格 ;44;ST;Logistics Specialist;Medium;M43123;x
43165;Head of Military Intelligence;路易斯 瓜查利亚 索拉雷斯 ;46;LE;Political Specialist;High;M43066;x
43166;Chief of Staff;格尔曼 布施 贝塞拉 ;36;SD;School of Manoeuvre;Low;M43032;x
43168;Chief of Staff;瓦尔多 贝尔蒙德 普尔 ;36;SL;School of Psychology;Medium;M43034;x
43170;Chief of Staff;卡洛斯 金塔尼利亚 基罗加 ;36;SC;School of Defence;Medium;M43037;x
43171;Chief of Staff;拉斐尔 弗朗哥 拉菲尔 ;40;SC;School of Fire Support;Medium;M43033;x
43172;Chief of Staff;托马斯 蒙耶 古铁雷斯 ;47;SC;School of Mass Combat;Very High;M43039;x
43173;Chief of Staff;恩里克 佩纳兰达 卡斯蒂略 ;40;PA;School of Mass Combat;Medium;M43045;x
43174;Chief of Staff;卡洛斯 布兰科 加林多 ;42;PA;School of Psychology;Medium;M43134;x
43175;Chief of Staff;卡洛斯 阿尔塔米拉诺 ;36;FA;School of Fire Support;High;M43006;x
43176;Chief of Staff;若泽 帕斯托 巴尔迪维西奥 ;43;LWR;School of Mass Combat;Medium;M43167;x
43177;Chief of Staff;古斯塔沃 查孔 莫拉莱斯 ;45;LWR;School of Defence;Medium;M43090;x
43178;Chief of Staff;罗伯托 伊诺霍萨 ;36;LE;School of Psychology;High;M43024;x
43179;Chief of Staff;贡纳尔 门多萨 洛扎 ;44;ST;School of Mass Combat;Medium;M43146;x
43180;Chief of Army;大卫 托罗 鲁伊洛瓦 ;36;SD;Decisive Battle Doctrine;High;M43048;x
43181;Chief of Army;马梅尔托 乌里奥拉戈伊蒂亚 阿里亚格 ;37;SD;Guns and Butter Doctrine;Medium;M43129;x
43182;Chief of Army;鲁道夫 蒙塔尔沃 鲁伊斯 ;37;SL;Elastic Defence Doctrine;Medium;M43182;x
43185;Chief of Army;卡洛斯 布兰科 加林多 ;44;SC;Decisive Battle Doctrine;Medium;M43134;x
43187;Chief of Army;恩里克 佩纳兰达 卡斯蒂略 ;39;PA;Static Defence Doctrine;Medium;M43045;x
43188;Chief of Army;瓜尔贝托 比利亚罗埃尔 洛佩斯 ;43;PA;Elastic Defence Doctrine;Low;M43188;x
43189;Chief of Army;马里亚诺 巴普蒂斯塔 ;36;FA;Armoured Spearhead Doctrine;Medium;M43018;x
43190;Chief of Army;瓜尔贝托 比利亚罗埃尔 洛佩斯 ;43;LWR;Static Defence Doctrine;Low;M43188;x
43191;Chief of Army;托马斯 蒙耶 古铁雷斯 ;45;LWR;Armoured Spearhead Doctrine;Very High;M43039;x
43192;Chief of Army;恩里克 巴尔迪维索 阿帕里西奥 ;46;LWR;Guns and Butter Doctrine;Medium;M43067;x
43193;Chief of Army;罗伯托 伊诺霍萨 ;36;LE;Guns and Butter Doctrine;High;M43024;x
43195;Chief of Navy;欧塞比奥 阿亚拉 ;36;SL;Decisive Naval Battle Doctrine;Medium;M43040;x
43197;Chief of Navy;费利克斯 A 阿罗马约 ;46;SL;Indirect Approach Doctrine;Medium;M43127;x
43198;Chief of Navy;阿尔贝托 奥斯特里亚 古铁雷斯 ;36;SC;Power Projection Doctrine;Medium;M43075;x
43199;Chief of Navy;阿尼塞托 索拉雷斯 ;42;SC;Open Seas Doctrine;Medium;M43092;x
43200;Chief of Navy;吉耶尔莫 阿兰查 巴苏托 ;47;SC;Indirect Approach Doctrine;Medium;M43200;x
43201;Chief of Navy;路易斯 阿兰多斯 维拉 ;40;PA;Power Projection Doctrine;Medium;M43019;x
43202;Chief of Navy;胡安 米琴 ;36;FA;Base Control Doctrine;Low;M43013;x
43203;Chief of Navy;朱利安 蒙特拉诺 卡拉斯科 ;43;LWR;Base Control Doctrine;Medium;M43056;x
43204;Chief of Navy;阿尔贝托 迪茨 德 梅迪纳 ;46;LWR;Open Seas Doctrine;Medium;M43086;x
43205;Chief of Navy;丹尼尔 桑切斯 巴斯塔曼特 ;36;LE;Base Control Doctrine;High;M43023;x
43206;Chief of Navy;罗伯托 伊诺霍萨 ;44;LE;Open Seas Doctrine;High;M43024;x
43207;Chief of Air Force;大卫 托罗 鲁伊洛瓦 ;36;SD;Air Superiority Doctrine;Medium;M43048;x
43208;Chief of Air Force;瓦尔特 格韦拉 ;37;SD;Naval Aviation Doctrine;High;M43096;x
43209;Chief of Air Force;若泽 马里亚 古铁雷斯 ;36;SL;Army Aviation Doctrine;High;M43003;x
43210;Chief of Air Force;弗朗切斯科 皮耶里尼 ;43;SL;Naval Aviation Doctrine;Medium;M43071;x
43211;Chief of Air Force;朱利安 蒙特拉诺 卡拉斯科 ;46;SL;Air Superiority Doctrine;Medium;M43056;x
43212;Chief of Air Force;若泽 桑托斯 金特罗斯 ;36;SC;Army Aviation Doctrine;High;M43005;x
43213;Chief of Air Force;马里奥 托里斯 ;44;SC;Vertical Envelopment Doctrine;High;M43014;x
43214;Chief of Air Force;阿尔贝托 奥斯特里亚 古铁雷斯 ;47;SC;Air Superiority Doctrine;Medium;M43075;x
43215;Chief of Air Force;乔治 乔丹 ;40;PA;Carpet Bombing Doctrine;Low;M43020;x
43216;Chief of Air Force;法比安 巴卡 查维斯 ;36;FA;Naval Aviation Doctrine;Medium;M43082;x
43217;Chief of Air Force;恩里克 巴尔迪维索 阿帕里西奥 ;43;LWR;Army Aviation Doctrine;Medium;M43067;x
43218;Chief of Air Force;赫克托 毕尔巴鄂 罗亚 ;44;LWR;Army Aviation Doctrine;Medium;M43010;x
43219;Chief of Air Force;阿尔贝托 萨拉莱吉 桑谢斯 ;36;LE;Vertical Envelopment Doctrine;Medium;M43030;x
43220;Head of State;埃德温 默勒 ;44;PA;Popular Figurehead;High;M43015;x
43221;Chief of Army;托马斯 蒙耶 古铁雷斯 ;44;PA;Armoured Spearhead Doctrine;Very High;M43039;x
43222;Head of State;恩里克 赫佐格 加赖萨瓦尔 ;47;SC;Barking Buffoon;High;M43053;x
43223;Head of State;马梅尔托 乌里奥拉戈伊蒂亚 阿里亚格 ;49;ML;Autocratic Charmer;High;M43129;x
43224;Head of State;胡戈 巴利维安 罗雅斯 ;51;SL;Resigned Generalissimo;High;M43077;x
43225;Head of Government;埃尔南 西拉斯 苏亚索 ;52;SD;Ambitious Union Boss;High;M43225;x
43226;Foreign Minister;努夫洛 查维斯 奥尔蒂斯 ;52;SD;Iron Fisted Brute;Medium;M43226;x
43227;Head of Government;胡戈 巴利维安 罗雅斯 ;51;SL;Old General;Very High;M43077;x
