UIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
65632;Head of Military Intelligence;½ğ×Ó·áÖÎ ;36;NS;Technical Specialist;Medium;M563034;x
65633;Head of Military Intelligence;öÇÅûãë ËÌ¿° ;36;NS;Logistics Specialist;Medium;M62007;x
65634;Head of Military Intelligence;ÅË»ÔÀ¨ ;36;NS;Political Specialist;Medium;M542039;x
65635;Head of Military Intelligence;´¨ ²îÓÀÉ£ËÌ¿° ;36;NS;Dismal Enigma;Medium;M62081;x
65636;Head of Military Intelligence;Ç®µÂÀ­ Âí×æÄ·´ï¶û ;36;NS;Industrial Specialist;Medium;M563031;x
65637;Head of Military Intelligence;Åà ÈøÄÉÄá¿Õ ;36;NS;Naval Intelligence Specialist;Medium;M540031;x
65638;Chief of Staff;¼ªÀû ÍşÆßËÌ¿° ;36;NS;School of Manoeuvre;Low;M62094;x
65639;Chief of Staff;¹Å °¢ÅÉ ;36;NS;School of Fire Support;Medium;M540034;x
65640;Chief of Staff;Âü¿Õ ÅîÓÀµÙ ;36;NS;School of Mass Combat;Medium;M62025;x
65641;Chief of Staff;Î÷Ë÷Íß ÄªÄáÀÕ ;36;NS;School of Defence;Medium;M541046;x
65642;Chief of Staff;ĞÁÍ½ ¿¨ÂêÀ¼ÄÉÎÄ ;36;NS;School of Psychology;Low;M62017;x
65643;Chief of Army;ÎâËØ ;36;NS;Elastic Defence Doctrine;Medium;M563022;x
65644;Chief of Army;Íõ±¦ ;36;NS;Static Defence Doctrine;Medium;M540038;x
65645;Chief of Army;ÅÁÒ® ¼¯ËşÄÉËÎ¿¨ß· ;36;NS;Decisive Battle Doctrine;Low;M62026;x
65646;Chief of Army;ÈøÍú ·ë ;36;NS;Armoured Spearhead Doctrine;Medium;M540037;x
65647;Chief of Army;ËûÍş ãëÒ®¼ª ;36;NS;Guns and Butter Doctrine;Very High;M62098;x
65648;Chief of Navy;Ã²Ëó¿¨ ;36;NS;Open Seas Doctrine;Medium;M563048;x
65649;Chief of Navy;ºú½úÈ« ;36;NS;Decisive Naval Battle Doctrine;Medium;M542051;x
65650;Chief of Navy;É³Íß ÆÓµÙÑÇÄÏ ;36;NS;Power Projection Doctrine;Medium;M62086;x
65651;Chief of Navy;µÂÇÕËó²¼ ;36;NS;Indirect Approach Doctrine;Medium;M563015;x
65652;Chief of Navy;Î÷ÎÌ ;36;NS;Base Control Doctrine;Medium;M541041;x
65653;Chief of Air Force;ÅÁÒ® ËûÑÇÈ»±Ï¿µ ;36;NS;Air Superiority Doctrine;Medium;M62063;x
65654;Chief of Air Force;ÅµÊ¢ ;36;NS;Naval Aviation Doctrine;Medium;M563050;x
65655;Chief of Air Force;Íõ±¦ ;36;NS;Army Aviation Doctrine;Medium;M540038;x
65656;Chief of Air Force;ÅÁÒ® ²îÁÖ½Ü ;36;NS;Carpet Bombing Doctrine;Medium;M62061;x
65657;Chief of Air Force;µ¤¶« ;36;NS;Vertical Envelopment Doctrine;Medium;M563019;x
