VEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
38079;Chief of Air Force;托马斯 孔特雷拉斯 比利亚洛沃斯 ;46;LWR;Naval Aviation Doctrine;Medium;M38019;x
38080;Chief of Air Force;若泽 波拉雷斯 帕翁 ;47;SD;Air Superiority Doctrine;Medium;M38080;x
38081;Foreign Minister;佩德罗 伊特里亚戈 哈钦 ;36;PA;Biased Intellectual;Medium;M38081;x
38011;Head of State;伊西多罗 鲁伊斯 图埃罗 ;36;PA;Resigned Generalissimo;High;M38011;x
38012;Head of Government;伊西多罗 鲁伊斯 图埃罗 ;36;PA;Old General;High;M38011;x
38013;Foreign Minister;埃内斯托 迈斯 维拉内拉 ;36;PA;The Cloak N Dagger Schemer;Medium;M38013;x
38014;Minister of Armament;里卡多 门德斯 莫雷诺 ;36;PA;Infantry Proponent;Medium;M38014;x
38015;Minister of Security;热苏斯 阿尔坎塔拉 博雷戈 ;36;PA;Back Stabber;Medium;M38015;x
38016;Head of Military Intelligence;卡洛斯 卡萨诺瓦 莱亚尔 ;36;PA;Naval Intelligence Specialist;Medium;M38016;x
38017;Chief of Staff;伯纳多 乔斯 蒙蒂拉 ;36;PA;School of Fire Support;Medium;M38017;x
38018;Chief of Army;佩德罗 埃利亚斯 吉特雷斯 ;36;PA;Elastic Defence Doctrine;Medium;M38018;x
38019;Chief of Navy;托马斯 孔特雷拉斯 比利亚洛沃斯 ;36;FA;Indirect Approach Doctrine;Low;M38019;x
38021;Head of State;霍维托 比利亚尔瓦 ;36;LWR;Powerhungry Demagogue;High;M38021;x
38022;Head of Government;曼努埃尔 迪亚兹 罗德里格斯 ;36;LWR;Naive Optimist;High;M38022;x
38023;Foreign Minister;佩德罗 利昂 卡斯特罗 ;36;LWR;Biased Intellectual;Medium;M38023;x
38024;Minister of Armament;曼努埃尔 迪亚兹 罗德里格斯 ;36;LWR;Air to Sea Proponent;Medium;M38022;x
38025;Minister of Security;弗朗西斯科 佩利塞 ;36;LWR;Crime Fighter;Medium;M38025;x
38026;Head of Military Intelligence;佩德罗 利昂 卡斯特罗 ;36;LWR;Dismal Enigma;Medium;M38023;x
38030;Chief of Air Force;温贝托 S 托里斯 维莱拉 ;36;LWR;Naval Aviation Doctrine;Medium;M38030;x
38082;Head of State;罗慕洛 加莱戈斯 弗莱雷 ;48;SD;Popular Figurehead;Medium;M38051;x
38083;Head of State;卡洛斯 德尔加多 查尔沃德 ;48;SC;Resigned Generalissimo;Medium;L270004;x
38084;Head of State;格尔曼 苏亚雷斯 弗拉梅里奇 ;50;SC;Insignificant Layman;Medium;M38084;x
38085;Head of State;马科斯 佩雷斯 希门尼斯 ;52;PA;Barking Buffoon;Medium;L270021;x
38086;Head of Government;路易斯 费利佩 略韦拉 帕斯 ;48;SC;Old Air Marshal;High;M38086;x
38087;Head of Government;马科斯 佩雷斯 希门尼斯 ;48;PA;Old General;High;L270021;x
38088;Foreign Minister;格尔曼 苏亚雷斯 弗拉梅里奇 ;48;SC;Biased Intellectual;Medium;M38084;x
38089;Foreign Minister;安东尼奥 卡萨斯 冈萨雷斯 ;52;PA;General Staffer;Medium;M38057;x
38090;Chief of Army;马科斯 佩雷斯 希门尼斯 ;48;SC;Elastic Defence Doctrine;Medium;L270021;x
38091;Chief of Army;沃尔夫冈 拉腊萨瓦尔 乌格托 ;52;PA;Armoured Spearhead Doctrine;Medium;L270011;x
