HUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
21082;Minister of Security;巴奇 拉茨罗;45;PA;Crime Fighter;Medium;M_HUN_Baky_Laszlo;x
21083;Minister of Security;达然伊 卡尔曼;38;FA;Back Stabber;Medium;M_HUN_Daranyi_Kalman;x
21084;Minister of Security;纳吉·伊姆雷;45;LE;Back Stabber;Medium;M_HUN_Nagy_Imre;x
21085;Minister of Security;卡达尔·亚诺什;48;LE;Back Stabber;Very High;M_HUN_Kadar_Janos;x
21086;Minister of Security;葛洛 奥伦纳;39;ST;Prince of Terror;Medium;M_HUN_Gero_Erno;x
21091;Foreign Minister;凯基 伊什特万;39;PA;Iron Fisted Brute;Medium;M_HUN_Csaky_Istvan;x
21092;Foreign Minister;格西 耶诺;43;PA;Apologetic Clerk;High;M_HUN_Ghyczy_Jeno;x
21093;Foreign Minister;亨利耶伊 戈塔弗;44;PA;General Staffer;High;M_HUN_Hennyey_Gusztav;x
21094;Foreign Minister;凯梅尼 加博;44;NS;Great Compromiser;Medium;M_HUN_Kemeny_Gabor;x
21095;Foreign Minister;亚诺什 真哲希;44;SC;Great Compromiser;Medium;M_HUN_Gyongyosi_Janos;x
21096;Foreign Minister;米哈里弗 奥伦纳;45;LWR;Biased Intellectual;Medium;M_HUN_Mihalyfi_Erno;x
21097;Foreign Minister;埃里克·莫尔纳;36;LE;Ideological Crusader;Medium;M_HUN_Molnar_Erik;x
21098;Foreign Minister;凯莱 戈留亚;45;LE;The Cloak N Dagger Schemer;Medium;M_HUN_Kallai_Gyula;x
21099;Foreign Minister;科斯 克罗利;48;ST;Ideological Crusader;Medium;M_HUN_Kiss_Karoly;x
21100;Foreign Minister;拜泽西-斯林斯基 恩德雷;36;SC;General Staffer;Medium;M_HUN_Bajcsy-Zsilinszky_Endre;x
21101;Foreign Minister;恩莱迪 贝拉;38;PA;Ideological Crusader;Medium;M_HUN_Imredy_Bela;x
21102;Foreign Minister;帕尔 泰莱基;38;SC;Great Compromiser;High;M_HUN_Teleki_Pal;x
21103;Foreign Minister;巴多斯 拉斯洛;38;PA;Iron Fisted Brute;Medium;M_HUN_Bardossy_Laszlo;x
21104;Foreign Minister;克里茨-弗朗茨·菲舍尔;38;PA;Apologetic Clerk;High;M_HUN_Keresztes-Fischer_Ferenc;x
21105;Foreign Minister;凯雷 米克洛什;42;FA;General Staffer;High;M_HUN_Kallay_Miklos;x
21106;Foreign Minister;瓦杰 拉索;47;ST;Iron Fisted Brute;Medium;M_HUN_Rajk_Laszlo;x
21107;Foreign Minister;伊姆雷·霍瓦特;52;LE;Apologetic Clerk;Medium;M_HUN_Horvath_Imre;x
21108;Foreign Minister;斯图杰 多蒙;39;FA;General Staffer;Medium;M_HUN_Sztojay_Dome;x
21121;Chief of Staff;拉茨耶诺;36;NS;School of Psychology;High;M_HUN_Ratz_Jeno;x
21122;Chief of Staff;费伦茨松 博特海伊;39;PA;School of Manoeuvre;High;M_HUN_Szombathelyi_Ferenc;x
21123;Chief of Staff;瓦罗斯 亚诺什;44;PA;School of Fire Support;Medium;M_HUN_Voros_Janos;x
21124;Chief of Staff;波利格夫 卡洛里;44;NS;School of Defence;Medium;M_HUN_Beregfy_Karoly;x
21125;Chief of Staff;科斯 亚诺什;45;SD;School of Mass Combat;Medium;M_HUN_Kiss_Janos;x
21126;Chief of Staff;拉斯洛绍约姆;56;SD;School of Psychology;Low;M_HUN_Solyom_Laszlo;x
21127;Chief of Staff;塞塔伊 路易;43;PA;School of Manoeuvre;Medium;M_HUN_Csatay_Lajos;x
21128;Chief of Staff;巴塔·伊什特万;50;ST;School of Fire Support;Medium;M_HUN_Bata_Istvan;x
21129;Chief of Staff;亨里克·韦斯;38;FA;School of Mass Combat;Medium;M_HUN_Werth_Henrik;x
21140;Chief of Army;甘布斯 玖拉;36;FA;Guns and Butter Doctrine;High;M_HUN_Gombos_Gyula;x
21142;Chief of Army;罗德 威利莫斯;36;PA;Armoured Spearhead Doctrine;Medium;M_HUN_Roder_Vilmos;x
21143;Chief of Army;巴萨卡罗利;38;PA;Guns and Butter Doctrine;Medium;M_HUN_Bartha_Karaly;x
21144;Chief of Army;塞塔伊 路易;43;PA;Decisive Battle Doctrine;Medium;M_HUN_Csatay_Lajos;x
21145;Chief of Army;纳兹 威廉莫斯;42;PA;Static Defence Doctrine;Medium;M_HUN_Nagy_Vilmos;x
21146;Chief of Army;汤博 耶诺;36;SC;Decisive Battle Doctrine;Medium;M_HUN_Tombor_Jeno;x
21147;Chief of Army;巴萨 阿尔伯特;36;SC;Static Defence Doctrine;Medium;M_HUN_Bartha_Albert;x
21148;Chief of Army;维热斯 彼得;36;LE;Guns and Butter Doctrine;Medium;M_HUN_Veres_Peter;x
21149;Chief of Army;米哈里·法卡斯;45;ST;Decisive Battle Doctrine;High;M_HUN_Farkas_Mihaly;x
21150;Chief of Army;巴塔·伊什特万;50;ST;Static Defence Doctrine;Medium;M_HUN_Bata_Istvan;x
21151;Chief of Army;扬扎卡罗利;51;ST;Decisive Battle Doctrine;High;M_HUN_Janza_Karoly;x
21152;Chief of Army;马勒特 帕尔;56;LE;Elastic Defence Doctrine;Medium;M_HUN_Maleter_Pal;x
21153;Chief of Army;热维斯 格扎;56;ST;Static Defence Doctrine;Medium;M_HUN_Revesz_Geza;x
21154;Chief of Army;阿玛斯 帕尔;46;SC;Guns and Butter Doctrine;Medium;M_HUN_Almasy_Pal;x
21155;Chief of Army;亨里克·韦斯;38;FA;Static Defence Doctrine;Medium;M_HUN_Werth_Henrik;x
21156;Chief of Army;波利格 卡罗尼;44;NS;Guns and Butter Doctrine;Medium;M_HUN_Beregfy_Karoly;x
21157;Chief of Army;格扎拉卡托斯;44;PA;Elastic Defence Doctrine;High;M_HUN_Lakatos_Geza;x
21158;Chief of Army;贝拉·米克洛什;43;PA;Static Defence Doctrine;High;M_HUN_Miklos_Bela2;x
21159;Chief of Army;索尼 雨果;36;PA;Decisive Battle Doctrine;Medium;M_HUN_Sonyi_Hugo;x
21160;Chief of Army;拉茨耶诺;36;NS;Armoured Spearhead Doctrine;High;M_HUN_Ratz_Jeno;x
21161;Chief of Army;丁尼耶斯 拉约斯;47;LE;Guns and Butter Doctrine;High;M_HUN_Dinnyes_Lajos;x
21162;Chief of Army;瓦罗斯 亚诺什;44;PA;Elastic Defence Doctrine;Medium;M_HUN_Voros_Janos;x
21171;Chief of Air Force;肯西 瓦尔德马;36;PA;Air Superiority Doctrine;Medium;M_HUN_Kenese_Waldemar;x
21172;Chief of Air Force;拉科西 贝拉;36;SC;Vertical Envelopment Doctrine;Medium;M_HUN_Rakosi_Bela;x
21173;Chief of Air Force;马基雅罗斯 桑德尔;39;NS;Army Aviation Doctrine;Medium;M_HUN_Magyarosy_Sandor;x
21174;Chief of Air Force;班发里 伊什特万;39;PA;Air Superiority Doctrine;Medium;M_HUN_Banfalvy_Istvan;x
21175;Chief of Air Force;贾斯蒂 伊米;40;NS;Air Superiority Doctrine;Medium;M_HUN_Justy_Emil;x
21176;Chief of Air Force;特侬戈 卡尔曼;44;PA;Army Aviation Doctrine;Medium;M_HUN_Ternegg_Kalman;x
21177;Chief of Air Force;德波迪 捷尔吉;41;FA;Vertical Envelopment Doctrine;Medium;M_HUN_Debrody_Gyorgy;x
21178;Chief of Air Force;托莫尔拉斯洛;36;FA;Air Superiority Doctrine;Medium;M_HUN_Tomor_Laszlo;x
21179;Chief of Air Force;柯克斯 埃德加;45;FA;Air Superiority Doctrine;Medium;M_HUN_Keksz_Edgar;x
21180;Chief of Air Force;巴塔·伊什特万;50;ST;Vertical Envelopment Doctrine;Medium;M_HUN_Bata_Istvan;x
21191;Chief of Navy;哈卡尔曼;36;PA;Open Seas Doctrine;Medium;M_HUN_Hardy_Kalman;x
21201;Head of Military Intelligence;乌斯扎斯 伊什特万;39;PA;Logistics Specialist;Medium;M_HUN_Ujszaszy_Istvan;x
21202;Head of Military Intelligence;久洛 卡达尔 ;43;PA;Dismal Enigma;Medium;M_HUN_Kadar_Gyula;x
21203;Head of Military Intelligence;柯西 拉奇诺;44;PA;Political Specialist;Medium;M_HUN_Kuthy_Laszlo;x
21204;Head of Military Intelligence;扎科 安德拉什;44;PA;Technical Specialist;Medium;M_HUN_Zako_Andras;x
21205;Head of Military Intelligence;贾 桑德尔;39;NS;Industrial Specialist;Medium;M_HUN_Csia_Sandor;x
21206;Head of Military Intelligence;雷尼斯 弗朗西斯;44;NS;Dismal Enigma;Medium;M_HUN_Rajniss_Ferenc;x
21207;Head of Military Intelligence;斯托杰 多蒙;39;FA;Technical Specialist;Medium;M_HUN_Sztojay_Dome;x
21208;Head of Military Intelligence;克里茨-弗朗茨·菲舍尔;38;PA;Industrial Specialist;Medium;M_HUN_Keresztes-Fischer_Ferenc;x
21209;Head of Military Intelligence;塞尔约瑟夫;44;SC;Political Specialist;Medium;M_HUN_Szell_Jozsef;x
21210;Head of Military Intelligence;奥伦 纳利奥;36;ST;Logistics Specialist;Medium;M_HUN_Gero_Erno;x
21211;Head of Military Intelligence;瓦杰克 拉斯洛;46;ST;Political Specialist;Medium;M_HUN_Rajk_Laszlo;x
21212;Head of Military Intelligence;苏兹 奥伦纳;45;ST;Logistics Specialist;Medium;M_HUN_Szucs_Erno;x
21213;Head of Military Intelligence;皮洛士 拉斯洛;45;ST;Industrial Specialist;Medium;M_HUN_Piros_Laszlo;x
21214;Head of Military Intelligence;彼得 刚布尔;36;ST;Political Specialist;Medium;M_HUN_Peter_Gabor;x
21215;Head of Military Intelligence;派拉凡 捷尔吉;45;ST;Dismal Enigma;High;M_HUN_Palffy_Gyorgy;x
21216;Head of Military Intelligence;柯西 拉奇诺;44;LE;Dismal Enigma;Medium;M_HUN_Kuthy_Laszlo;x
21217;Chief of Staff;杰诺 汤博;43;PA;School of Fire Support;Medium;M_HUN_JenoTombor;x
21218;Chief of Staff;贝拉·基拉伊;50;SD;School of Manoeuvre;High;M_HUN_BelaKiraly;x
