SLO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
31043;Minister of Armament;雅罗斯拉夫 克拉托赫维尔 ;44;NS;Military Entrepreneur;High;M31006;x
31045;Minister of Armament;埃米尔 伦德沃伊 ;45;PA;Tank Proponent;High;M31045;x
31046;Minister of Armament;爱德华 巴斯-施密特 ;46;ML;Laissez Faires Capitalist;Medium;M31046;x
31047;Minister of Armament;英德日赫 洪兹尔 ;46;ST;Military Entrepreneur;Medium;M31029;x
31048;Minister of Security;扬科 耶森斯基 ;38;FA;Compassionate Gentleman;Low;M31048;x
31049;Minister of Security;弗里茨 盖扎 ;39;FA;Compassionate Gentleman;Low;M31010;x
31050;Minister of Security;亚历山大 马赫 ;40;NS;Efficient Sociopath;Low;M31050;x
31051;Minister of Security;蒂多 加斯帕 ;41;FA;Prince of Terror;Medium;M31051;x
31052;Minister of Security;卡罗尔 西多尔 ;43;FA;Back Stabber;High;M31033;x
31053;Minister of Security;弗季斯拉夫 赫鲁贝茨 ;45;PA;Silent Lawyer;High;M31053;x
31054;Head of Military Intelligence;奥古斯丁 马拉尔 ;38;FA;Naval Intelligence Specialist;High;L70010;x
31055;Head of Military Intelligence;汉斯 伯纳德 ;39;NS;Industrial Specialist;High;M31055;x
31056;Head of Military Intelligence;曼弗雷德 冯 基林格 ;40;NS;Logistics Specialist;High;M31056;x
31057;Head of Military Intelligence;汉斯 埃拉德 卢丁 ;41;NS;Political Specialist;High;M31057;x
31058;Head of Military Intelligence;维尔莫什 内耶德利 ;45;PA;Technical Specialist;High;M31058;x
31059;Head of Military Intelligence;雅罗斯拉夫 梅朗 ;46;SC;Industrial Specialist;High;M31059;x
31060;Chief of Staff;奥古斯丁 马拉尔 ;38;FA;School of Fire Support;High;L70010;x
31061;Chief of Staff;奥托马尔 库贝拉 ;44;NS;School of Mass Combat;Medium;M31061;x
31063;Chief of Army;费迪南德 卡特罗斯 ;38;FA;Guns and Butter Doctrine;Low;M31007;x
31064;Chief of Army;约瑟夫 什奈达雷克 ;44;NS;Decisive Battle Doctrine;High;M31064;x
31065;Chief of Army;埃米尔 伦德沃伊 ;45;PA;Armoured Spearhead Doctrine;High;M31045;x
31066;Chief of Navy;约瑟夫 图拉内克 ;38;FA;Open Seas Doctrine;Medium;L70016;x
31068;Chief of Navy;沃伊捷赫 道布纳 ;45;PA;Indirect Approach Doctrine;Medium;M31068;x
31069;Chief of Air Force;安东 普兰尼克;38;FA;Army Aviation Doctrine;Medium;M31069;x
31070;Chief of Air Force;弗兰蒂泽克 施特拉卡 ;44;NS;Vertical Envelopment Doctrine;Medium;M31070;x
31071;Chief of Air Force;沃伊捷赫 道布纳 ;45;PA;Air Superiority Doctrine;Medium;M31068;x
31011;Head of State;扬 斯罗巴 瓦夫罗 ;36;SC;Insignificant Layman;High;M31011;x
31012;Head of Government;丹尼尔 埃特尔 ;36;SC;Ambitious Union Boss;High;M31012;x
31013;Foreign Minister;拉季斯拉夫 斯科维拉 ;36;SC;Great Compromiser;Low;M31013;x
31014;Minister of Armament;弗兰蒂泽克 哈拉斯 ;36;ML;Infantry Proponent;Medium;M31014;x
31015;Minister of Security;乌利安 保利尼 ;36;SC;Man of the People;Low;M31015;x
31016;Head of Military Intelligence;爱德华 乌尔克斯 ;36;ML;Dismal Enigma;High;M31016;x
31017;Chief of Staff;鲁道夫 维耶斯特 ;36;PA;School of Fire Support;Low;M31017;x
31018;Chief of Army;鲁道夫 维耶斯特 ;36;PA;Decisive Battle Doctrine;High;M31017;x
31019;Chief of Navy;约瑟夫 库宾 ;36;SC;Power Projection Doctrine;Medium;M31019;x
31020;Chief of Air Force;约瑟夫 库宾 ;36;SC;Air Superiority Doctrine;Medium;M31019;x
31021;Head of State;鲁道夫 斯兰斯基 ;36;ST;Powerhungry Demagogue;High;M31021;x
31022;Head of Government;迈克尔 克诺斯科 ;36;ST;Happy Amateur;High;M31022;x
31023;Foreign Minister;古斯塔夫 胡萨克 ;36;ST;Ideological Crusader;Low;M31023;x
31024;Minister of Armament;卡雷尔 康拉德 ;36;LE;Tank Proponent;Medium;M31024;x
31025;Minister of Security;弗拉诺 克拉尔 ;36;ST;Man of the People;Low;M31025;x
31026;Head of Military Intelligence;弗兰蒂泽克 克拉利纳 ;36;LE;Technical Specialist;High;M31026;x
31027;Chief of Staff;尤利乌斯 诺斯科 ;36;ST;School of Psychology;Low;M31027;x
31028;Chief of Army;弗兰蒂泽克 萨德克 ;36;ST;Armoured Spearhead Doctrine;High;M31028;x
31029;Chief of Navy;英德日赫 洪兹尔 ;36;ST;Open Seas Doctrine;Medium;M31029;x
31030;Chief of Air Force;西里尔 库赫塔 ;36;ST;Air Superiority Doctrine;Medium;M31030;x
31072;Chief of Staff;扬 戈利安 ;44;SC;School of Mass Combat;Medium;L70004;x
31073;Chief of Army;扬 戈利安 ;44;SC;Decisive Battle Doctrine;Medium;L70004;x
31074;Chief of Staff;简 塔卡特;56;NS;School of Manoeuvre;Medium;L_SLO_Takac;x
