CAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
45150;Foreign Minister;霍华德 查尔斯 格林 ;57;SC;Ideological Crusader;High;M45150;x
45151;Foreign Minister;保罗 约瑟夫 马丁 sr. ;63;ML;Great Compromiser;High;M45151;x
45152;Minister of Armament;乔治 皮尔克斯 ;57;SC;Infantry Proponent;High;M45152;x
45153;Minister of Armament;道格 哈克尼斯 ;60;SC;Laissez Faires Capitalist;High;M45153;x
45154;Minister of Armament;戈登 M 丘吉尔 ;63;SC;Strategic Air Proponent;High;M45154;x
45155;Minister of Armament;保罗 赫利尔 ;63;ML;Military Entrepreneur;High;M45155;x
45156;Minister of Security;唐纳德 M 弗莱明 ;62;SC;Prince of Terror;Very High;M45156;x
45157;Minister of Security;利昂内尔 谢弗里耶 ;63;ML;Crime Fighter;Very High;M45157;x
45158;Head of Military Intelligence;道格拉斯 C 阿博特 ;49;ML;Political Specialist;High;M45158;x
45159;Head of Military Intelligence;唐纳德 M 弗莱明 ;57;SC;Dismal Enigma;High;M45156;x
45160;Head of Military Intelligence;乔治 诺兰 ;63;ML;Technical Specialist;High;M45160;x
45161;Chief of Staff;盖伊 西蒙兹 ;51;ML;School of Manoeuvre;High;L52065;x
45162;Chief of Staff;霍华德 格雷厄姆 ;55;ML;School of Fire Support;High;M45162;x
45163;Chief of Staff;杰弗里 沃尔什 ;58;SC;School of Mass Combat;High;M45163;x
45164;Chief of Army;拉尔夫 基夫勒 ;52;ML;Guns and Butter Doctrine;High;L52030;x
45165;Chief of Army;爱德华 普洛 ;56;ML;Static Defence Doctrine;High;L52054;x
45166;Chief of Army;克拉伦斯 哈尔佩尔 ;61;SC;Elastic Defence Doctrine;High;M45166;x
45167;Chief of Navy;丹尼尔 哈宁顿 ;57;SC;Open Seas Doctrine;Medium;M45167;x
45168;Chief of Air Force;劳埃德 布雷德纳 ;41;ML;Army Aviation Doctrine;Medium;M45168;x
45169;Chief of Air Force;罗伯特 莱基 ;53;ML;Naval Aviation Doctrine;Medium;M45169;x
