POR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
9076;Chief of Navy;亚美利哥 迪乌斯 托马斯 ;44;PA;Open Seas Doctrine;High;M9076;x
9077;Chief of Air Force;奥尔丁 贝滕科特 ;37;PA;Naval Aviation Doctrine;High;M9077;x
9078;Chief of Air Force;J M 萨尔蒙托 贝莱斯 ;43;SC;Carpet Bombing Doctrine;Low;M9020;x
9079;Chief of Air Force;亨伯托 德尔加多 ;47;SL;Air Superiority Doctrine;Medium;M9079;x
9011;Head of State;劳尔 布兰达奥 ;36;SL;Insignificant Layman;High;M9004;x
9012;Head of Government;海梅 科尔特桑 ;36;SD;Smiling Oilman;High;M9012;x
9015;Minister of Security;劳尔 普罗恩卡 ;36;SD;Back Stabber;Low;M9015;x
9017;Chief of Staff;劳尔 布兰达奥 ;36;SL;School of Defence;Medium;M9004;x
9018;Chief of Army;亨伯托 卡尔莫纳 ;36;SL;Static Defence Doctrine;Low;M9018;x
9019;Chief of Navy;何塞 萨尔蒙托 皮蒙特尔 ;36;SD;Base Control Doctrine;High;M9019;x
9020;Chief of Air Force;J M 萨尔蒙托 贝莱斯 ;36;SD;Naval Aviation Doctrine;High;M9020;x
9031;Head of State;本托 贡萨尔维斯 ;36;LE;Weary Stiffneck;High;M9031;x
9032;Head of Government;本托 贡萨尔维斯 ;36;LE;Happy Amateur;High;M9031;x
9033;Foreign Minister;H 瓦利劳 卢亚斯 ;36;LWR;Ideological Crusader;Very Low;M9033;x
9035;Minister of Security;阿尔瓦罗 库尼亚尔 ;36;LE;Man of the People;High;M9035;x
9036;Head of Military Intelligence;安东尼奥 谢尔哥 ;36;LWR;Industrial Specialist;Medium;M9036;x
9037;Chief of Staff;何塞 A P 里贝罗 ;36;LE;School of Psychology;Very High;M9037;x
9038;Chief of Army;何塞 A P 里贝罗 ;36;LWR;Guns and Butter Doctrine;Very High;M9037;x
9039;Chief of Navy;本托 贡萨尔维斯 ;36;LE;Power Projection Doctrine;Very High;M9031;x
9040;Chief of Air Force;安东尼奥 谢尔哥 ;36;LWR;Carpet Bombing Doctrine;Medium;M9036;x
9080;Head of State;弗朗西斯科 科拉瓦罗 洛佩斯 ;51;PA;Resigned Generalissimo;High;M9080;x
9081;Foreign Minister;保罗 库尼亚 ;50;PA;Apologetic Clerk;Very High;M9081;x
9082;Minister of Security;马塞洛 卡埃塔诺;44;PA;Man of the People;High;M_POR_Marcelo_Caetano;x 
9083;Minister of Security;阿尔贝托 蒙萨拉斯 ;33;FA;Prince of Terror;Medium;M_POR_Alberto_ Monsaraz;
9084;Head of Government;弗朗西斯科 罗老 普雷托;32;FA;Ambitious Union Boss;Medium;M_POR_Francisco_Rolao_ Preto;
9085;Foreign Minister;弗朗西斯科 约瑟 N. 格德斯;30;FA;Ideological Crusader;High;M_POR_FranciscoGuedes;x
9086;Minister of Security;弗朗西斯科 约瑟 N. 格德斯;34;FA;Man of the People;High;M_POR_FranciscoGuedes;x
9087;Minister of Armament;弗朗西斯科 约瑟 N. 格德斯;38;FA;Resource Industrialist;High;M_POR_FranciscoGuedes;x
9088;Chief of Staff;安东尼奥 德 弗拉哥萨 卡尔莫纳 ;30;PA;School of Defence;High;M9001;x
9089;Chief of Staff;弗朗西斯科 科拉瓦罗 洛佩斯 ;35;PA;School of Manoeuvre;High;M9080;x
