ISR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
559030;Minister of Security;伊斯列尔 罗卡赫 ;52;SD;Crime Fighter;Medium;M559030;x
559031;Minister of Security;摩西 卡茨涅尔森 ;41;LE;Prince of Terror;Medium;M559031;x
559032;Head of Military Intelligence;伊斯列尔 巴尔-耶胡达 ;36;PA;Political Specialist;Medium;M559032;x
559033;Head of Military Intelligence;梅纳赫姆 孟德尔 利普舒茨 ;37;PA;Dismal Enigma;Medium;M559033;x
559034;Head of Military Intelligence;平哈斯 沙皮尔 ;42;SL;Technical Specialist;Medium;M559034;x
559035;Head of Military Intelligence;伊扎克 格吕鲍姆 ;44;SL;Dismal Enigma;Medium;M559035;x
559036;Head of Military Intelligence;勒尔 卡茨涅尔森 ;36;LE;Industrial Specialist;Medium;M559036;x
559037;Head of Military Intelligence;梅纳赫姆 什尼尔森 ;37;LE;Naval Intelligence Specialist;Medium;M559037;x
559038;Chief of Staff;罗曼 扎哈里 ;36;PA;School of Defence;Medium;M559038;x
559039;Chief of Staff;吉洛沙哈夫特 哈卡比 ;42;PA;School of Psychology;Medium;M559039;x
559040;Chief of Staff;理查德 席尔瓦斯滕 ;36;LE;School of Mass Combat;Medium;M559040;x
559041;Chief of Army;平查斯 罗森加登 ;36;PA;Elastic Defence Doctrine;Medium;M559041;x
559042;Chief of Army;摩西 达扬 ;44;SL;Armoured Spearhead Doctrine;Medium;M559042;x
559043;Chief of Army;阿莫斯 佐列夫 ;36;LE;Decisive Battle Doctrine;Medium;M559043;x
559044;Chief of Navy;钱姆 格伦瓦尔德 ;36;PA;Base Control Doctrine;Medium;M559044;x
559045;Chief of Navy;摩西 克列利兹 ;36;LE;Indirect Approach Doctrine;Medium;M559045;x
559046;Chief of Air Force;克里斯 马吉 ;36;PA;Army Aviation Doctrine;Medium;M559046;x
559047;Chief of Air Force;柳文 伍尔夫 ;36;LE;Air Superiority Doctrine;Medium;M559047;x
559048;Head of State;伊扎克 本 兹维 ;52;SL;Ruthless Powermonger;High;M559017;x
559049;Minister of Security;伊扎克 格吕鲍姆 ;48;SL;Prince of Terror;Medium;M559035;x
559050;Head of Military Intelligence;约瑟夫 斯普林扎克 ;48;SL;Industrial Specialist;Medium;M559023;x
559051;Chief of Army;戴维 本-古里安 ;48;SL;Decisive Battle Doctrine;Medium;M559002;x
559052;Chief of Staff;阿里埃勒·沙龙;56;SC;School of Psychology;Very High;M_ISR_Sharon_Ariel;x  
559053;Chief of Staff;亚拉伯罕 约菲;55;SC;School of Mass Combat;High;M_ISR_Yoffe_Avraham;x
559054;Head of Government;乌里兹维格林贝格;44;FA;Silent Workhorse;High;M_ISR_UriGrinberg;x
559055;Foreign Minister;亚柏 艾希米亚;39;FA;Ideological Crusader;High;M_ISR_AbbaAhimeir;x
559056;Foreign Minister;约书亚 叶文;40;FA;Biased Intellectual;High;M_ISR_JoshuaYeivin;x
559057;Minister of Security;约书亚 叶文;40;FA;Back Stabber;High;M_ISR_JoshuaYeivin;x
