URO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
65144;Chief of Army;理查德 贝尔纳斯科特 ;36;ST;Static Defence Doctrine;Medium;M23038;x
65145;Chief of Army;尼古拉 伯津 ;36;ST;Decisive Battle Doctrine;Medium;M21038;x
65146;Chief of Army;马里奥 罗阿塔 ;36;ST;Armoured Spearhead Doctrine;High;M3140;x
65147;Chief of Army;贾恩卡洛 巴叶塔 ;36;ST;Guns and Butter Doctrine;High;M3028;x
65148;Chief of Navy;贾恩卡洛 巴叶塔 ;36;ST;Open Seas Doctrine;High;M3028;x
65149;Chief of Navy;米克洛什 霍尔蒂 德 纳吉巴尼奥 ;36;ST;Decisive Naval Battle Doctrine;Medium;M21001;x
65150;Chief of Navy;维托里奥 夏洛亚 ;36;ST;Power Projection Doctrine;High;M3157;x
65151;Chief of Navy;彼得拉 迪梅夫 ;36;ST;Indirect Approach Doctrine;High;M20085;x
65152;Chief of Navy;约瑟夫 托伊费尔 ;36;ST;Base Control Doctrine;Medium;M23047;x
65153;Chief of Air Force;伊万 里巴尔 ;36;ST;Air Superiority Doctrine;High;M20093;x
65154;Chief of Air Force;彼得罗 皮亚琴蒂尼 ;36;ST;Naval Aviation Doctrine;High;M3165;x
65155;Chief of Air Force;卡尔曼 特内格-拉茨 ;36;ST;Army Aviation Doctrine;Medium;M21163;x
65156;Chief of Air Force;约瑟夫 比克尔 ;36;ST;Carpet Bombing Doctrine;High;M23042;x
65157;Chief of Air Force;安东尼奥 夏洛亚 ;36;ST;Vertical Envelopment Doctrine;High;M3166;x
