ARA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
558026;Head of Military Intelligence;凯雷丁 阿尔-阿赫达卜 ;36;PA;Technical Specialist;high;M529006;x
558027;Head of Military Intelligence;拉斯特姆 海德尔 ;36;SD;Political Specialist;high;M556025;x
558028;Head of Military Intelligence;谢克 穆罕默德 阿尔-高齐 ;36;LE;Industrial Specialist;high;M528024;x
558029;Chief of Staff;安托万 哈尔卜 ;36;PA;School of Mass Combat;high;M529052;x
558030;Chief of Staff;哈达德 阿尔-瓦利 ;36;SD;School of Psychology;high;M556028;x
558031;Chief of Staff;谢克 穆罕默德 阿尔-高齐 ;36;LE;School of Fire Support;high;M528024;x
558032;Chief of Army;贾米勒 拉胡德 ;36;PA;Armoured Spearhead Doctrine;high;M529055;x
558033;Chief of Army;奈尔 阿尔-加法尔 ;36;SD;Guns and Butter Doctrine;high;M556031;x
558034;Chief of Army;阿迪卜 阿尔-施舍克里 ;36;LE;Elastic Defence Doctrine;high;M528051;x
558035;Chief of Navy;纳比尔 亚德 ;36;PA;Open Seas Doctrine;high;M529059;x
558036;Chief of Navy;希巴赫 阿布德-埃尔 阿迪尔 ;36;SD;Decisive Naval Battle Doctrine;high;M556034;x
558037;Chief of Navy;谢克 穆罕默德 阿尔-高齐 ;36;LE;Base Control Doctrine;high;M528024;x
558038;Chief of Air Force;苏莱曼 纳乌法伊 ;36;PA;Army Aviation Doctrine;high;M529045;x
558039;Chief of Air Force;萨米 阿尔-阿菲兹 ;36;SD;Vertical Envelopment Doctrine;high;M556035;x
558040;Chief of Air Force;侯赛因 阿尔-扎伊姆 ;36;LE;Carpet Bombing Doctrine;high;M528047;x
558041;Chief of Army;贾迈勒·阿卜杜·纳赛尔;52;SD;Armoured Spearhead Doctrine;High;L512001;x
558042;Chief of Air Force;贾迈勒·阿卜杜·纳赛尔;52;SD;Carpet Bombing Doctrine;Medium;L512001;x
558043;Chief of Staff;奥斯卡 孟泽尔;51;PA;School of Fire Support;High;M_EGY_Oskar_Munzel;x
558044;Head of State;哈西姆 阿穆尔;55;LE;Resigned Generalissimo;Medium;M_EGY_Abdel_Hakim_Amer;x
558045;Head of Government;哈西姆 阿穆尔;55;LE;Old General;Medium;M_EGY_Abdel_Hakim_Amer;x
558046;Chief of Army;哈西姆 阿穆尔;55;LE;Armoured Spearhead Doctrine;Medium;M_EGY_Abdel_Hakim_Amer;x
558047;Chief of Army;拉提法 巴哥迪;54;LWR;Static Defence Doctrine;Medium;M_EGY_Abdel_ Latif_Boghdadi;x
558048;Minister of Security;拉提法 巴哥迪;53;LWR;Man of the People;Medium;M_EGY_Abdel_ Latif_Boghdadi;x
558049;Head of Military Intelligence;阿里 萨布里;55;SD;Dismal Enigma;High;M_EGY_Ali_Sabri;x
558051;Foreign Minister;艾尔 撒的特;51;LWR;General Staffer;High;M_EGY_Anwar_El_Sadat;x
558052;Minister of Security;贾马尔 萨利姆;54;LWR;Prince of Terror;Medium;M_EGY_Gamal_Salem;x
558053;Minister of Armament;哈立德 蒙哈丁;52;LWR;Tank Proponent;Medium;M_EGY_Khaled_Mohieddin;x
558054;Chief of Staff;阿里 马萨里;37;FA;School of Manoeuvre;Very High;M_EGY_Aziz_Ali_Al-Masri;x
558056;Chief of Army;侯赛因 萨斐;54;SD;Decisive Battle Doctrine;High;M_EGY_El_Shafai_Hussein;x
558057;Chief of Staff;侯赛因 萨斐;44;SD;School of Manoeuvre;High;M_EGY_El_Shafai_Hussein;x
558058;Head of Government;贾马尔 纳赛尔;54;SD;Flamboyant Tough Guy;Very High;M_EGY_Gamal_Abdel_Nasser2;x
558059;Head of State;贾马尔 纳赛尔;56;SD;Die-hard Reformer;Very High;M_EGY_Gamal_Abdel_Nasser2;x
558060;Chief of Army;莫哈德 侯赛因;57;SD;Armoured Spearhead Doctrine;Very High;M_EGY_Mohamed_Hussein_Tantawi;x
558061;Chief of Staff;莫哈德 侯赛因;57;SD;School of Fire Support;Very High;M_EGY_Mohamed_Hussein_Tantawi;x
558062;Chief of Staff;扎卡利亚 莫哈丁;48;SD;School of Psychology;High;M_EGY_Zakaria_Mohieddin;x
558063;Minister of Security;扎卡利亚 莫哈丁;51;SD;Silent Lawyer;High;M_EGY_Zakaria_Mohieddin;x
558064;Head of Military Intelligence;扎卡利亚 莫哈丁;51;SD;Dismal Enigma;High;M_EGY_Zakaria_Mohieddin;x
558065;Head of State;穆罕默德 纳吉布;53;ML;Stern Imperialist;Very High;M_EGY_Muhammad_Naguib_president;x
558066;Head of Government;穆罕默德 纳吉布;48;ML;Old General;Very high;M_EGY_Muhammad_Naguib_president;x
558067;Chief of Staff;穆罕默德 纳吉布;44;ML;School of Defence;Very High;M_EGY_Muhammad_Naguib;x
558068;Minister of Armament;穆罕默德 纳吉布;52;ML;Infantry Proponent;Very High;M_EGY_Muhammad_Naguib_president;x
558069;Chief of Navy;穆罕默德 纳吉布;40;ML;Indirect Approach Doctrine;High;M_EGY_Muhammad_Naguib;x
558070;Minister of Security;萨拉哈 纳赛尔;57;SD;Crime Fighter;High;M_EGY_Salah_Nasr;x
558071;Foreign Minister;萨拉哈 萨利姆;53;LWR;The Cloak N Dagger Schemer;Medium;M_EGY_Salah_Salem;x
558072;Head of Government;萨斐亚 扎哈;30;LWR;Silent Workhorse;Medium;Safiya_Zaghlul;x
558073;Foreign Minister;萨斐亚 扎哈;30;LWR;Ideological Crusader;Medium;Safiya_Zaghlul;x
558074;Minister of Security;赛义德·库特布;52;FA;Silent Lawyer;High;M_EGY_Sayyid_Qutb;x
558075;Head of Government;赛义德·库特布;53;FA;Silent Workhorse;High;M_EGY_Sayyid_Qutb;x
558076;Head of State;哈桑·班纳;50;PA;Popular Figurehead;High;M_EGY_Hassan_al-Banna;x
558077;Minister of Security;哈桑·班纳;45;PA;Efficient Sociopath;High;M_EGY_Hassan_al-Banna;x
558078;Foreign Minister;阿齐兹·阿里·马斯里;40;FA;General Staffer;Very high;M_EGY_Aziz_Ali_Al-Masri;x
558079;Minister of Security;哈桑 胡达比;47;PA;Man of the People;High;M_EGY_HasanAl-Hudaybi;x
558080;Foreign Minister;哈桑 胡达比;49;PA;Great Compromiser;High;M_EGY_HasanAl-Hudaybi;x
