LIT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
28065;Foreign Minister;胡斯塔斯 帕莱奇基斯 ;38;ST;Ideological Crusader;Medium;M28021;x
28066;Foreign Minister;温卡斯 克雷韦-米克维修斯 ;40;ST;Biased Intellectual;Medium;M28053;x
28067;Foreign Minister;卡罗利斯 迪兹鲁斯-格罗斯马纳斯 ;41;ST;The Cloak N Dagger Schemer;Medium;M28067;x
28068;Foreign Minister;梅齐斯洛瓦斯 格德维拉斯 ;45;ST;Apologetic Clerk;Medium;M28024;x
28069;Minister of Armament;奥古斯丁纳斯 沃尔德马拉斯 ;38;NS;Resource Industrialist;Medium;M28031;x
28070;Minister of Armament;文森塔斯 拉托扎伊特 ;40;NS;Strategic Air Proponent;Medium;M28070;x
28071;Minister of Armament;彼得拉斯 普莱哈维修斯 ;41;NS;Military Entrepreneur;Medium;M28071;x
28072;Minister of Armament;弗拉达斯 尤尔古蒂斯 ;38;FA;Resource Industrialist;Medium;M28072;x
28073;Minister of Armament;安塔纳斯 斯梅托纳 ;39;FA;Air to Ground Proponent;Medium;M28001;x
28074;Minister of Armament;乔纳斯 切尔尼乌斯 ;40;PA;Battle Fleet Proponent;Medium;M28014;x
28075;Minister of Armament;阿拉斯 阿布鲁提斯 ;45;PA;Administrative Genius;Medium;M28075;x
28076;Minister of Armament;尤萨斯 普里基斯 ;38;SC;Administrative Genius;Medium;M28076;x
28077;Minister of Armament;列昂纳斯 比斯特拉斯 ;41;SC;Laissez Faires Capitalist;Medium;M28077;x
28078;Minister of Armament;金塔雷 克隆拜特 ;45;SC;Corrupt Kleptocrat;Medium;M28078;x
28079;Minister of Armament;维陶塔斯 马丁奈蒂斯 ;38;ST;Submarine Proponent;Medium;M28079;x
28080;Minister of Armament;梅齐斯洛瓦斯 格德维拉斯 ;40;ST;Theoretical Scientist;Medium;M28024;x
28081;Minister of Armament;伊奇卡斯 梅斯库帕斯-阿多马斯 ;41;ST;Corrupt Kleptocrat;Medium;M28081;x
28082;Minister of Armament;安东纳斯 桑尔基尔内 ;45;ST;Air to Sea Proponent;Medium;M28082;x
28083;Minister of Security;卡济斯 斯基尔帕 ;38;NS;Prince of Terror;Medium;M28032;x
28084;Minister of Security;威廉 库贝 ;41;NS;Man of the People;Medium;M28084;x
28085;Minister of Security;米科拉斯 斯莱泽维修斯 ;38;FA;Prince of Terror;Medium;M28085;x
28086;Minister of Security;弗拉达斯 米罗纳斯 ;39;FA;Efficient Sociopath;High;M28044;x
28087;Minister of Security;瓦尔德马拉斯 维陶塔斯-卡内基斯 ;39;FA;Crime Fighter;Medium;M28004;x
28088;Minister of Security;尤尔吉斯 温特莱崔特 ;40;PA;Crooked Kleptocrat;Medium;M28088;x
28089;Minister of Security;乔纳斯 恩德拉西乌斯 ;41;PA;Back Stabber;Medium;M28089;x
28090;Minister of Security;米奇斯洛瓦斯 赖尼斯 ;45;PA;Efficient Sociopath;Medium;M28090;x
28091;Minister of Security;普拉纳斯 多韦戴蒂斯 ;38;SC;Silent Lawyer;Medium;M28091;x
28092;Minister of Security;利纳斯 布罗多夫斯基斯 ;40;SC;Efficient Sociopath;Medium;M28015;x
28093;Minister of Security;米科拉斯 菲利帕维修斯 ;45;SC;Compassionate Gentleman;Medium;M28093;x
28094;Minister of Security;多马斯 罗丘斯 ;38;ST;Efficient Sociopath;Medium;M28094;x
28095;Minister of Security;波维拉斯 帕卡尔克利斯 ;40;ST;Silent Lawyer;Medium;M28025;x
28096;Minister of Security;安塔纳斯 斯尼埃库斯 ;41;ST;Crime Fighter;Medium;M28041;x
28097;Minister of Security;尤萨斯 库普辛卡斯 ;45;ST;Compassionate Gentleman;Medium;M28097;x
28098;Minister of Security;尤尔吉斯 特尔莱茨卡斯 ;46;ST;Prince of Terror;Medium;M28098;x
28099;Head of Military Intelligence;普兰西斯基斯 默休纳斯 ;38;NS;Logistics Specialist;Medium;M28042;x
28100;Head of Military Intelligence;特奥多尔 冯 伦特恩 ;41;NS;Dismal Enigma;High;M28033;x
28101;Head of Military Intelligence;尤萨斯 图贝利斯 ;38;FA;Logistics Specialist;Medium;M28002;x
28102;Head of Military Intelligence;尤萨斯 巴尔塔基斯 ;39;FA;Political Specialist;Medium;M28102;x
28103;Head of Military Intelligence;弗兰齐斯库斯 伊温斯基斯 ;40;PA;Logistics Specialist;High;M28103;x
28104;Head of Military Intelligence;卡西米拉斯 齐伦斯基恩 ;41;PA;Industrial Specialist;High;M28048;x
28105;Head of Military Intelligence;尤萨斯 阿尔萨乌斯卡 ;45;PA;Naval Intelligence Specialist;High;M28105;x
28106;Head of Military Intelligence;尤波扎斯 马修斯纳斯 ;38;SC;Political Specialist;Medium;M28011;x
28107;Head of Military Intelligence;尤尔吉斯 索利斯 ;41;SC;Technical Specialist;Medium;M28107;x
28108;Head of Military Intelligence;阿塔纳斯 切波尼斯 ;45;SC;Dismal Enigma;Medium;M28108;x
28109;Head of Military Intelligence;文森塔斯 莱斯金 ;38;ST;Industrial Specialist;Medium;M28109;x
28110;Head of Military Intelligence;维陶塔斯 安布拉扎 ;40;ST;Political Specialist;Medium;M28110;x
28111;Head of Military Intelligence;哈伊马斯 艾森纳斯 ;41;ST;Dismal Enigma;Medium;M28111;x
28112;Head of Military Intelligence;普拉纳斯 齐伯塔斯 ;45;ST;Technical Specialist;Medium;M28026;x
28113;Chief of Staff;彼得拉斯 库比柳纳斯 ;38;NS;School of Mass Combat;Medium;M28043;x
28114;Chief of Staff;乔纳斯 切尔尼乌斯 ;36;FA;School of Manoeuvre;High;M28014;x
28115;Chief of Staff;斯塔西斯 拉斯蒂基斯 ;38;FA;School of Fire Support;Medium;M28008;x
28117;Chief of Staff;乔纳斯 泽迈蒂斯 ;45;PA;School of Psychology;High;M28036;x
28118;Chief of Staff;尤萨 巴尔兹达-布拉道斯卡斯 ;38;SC;School of Psychology;Medium;M28017;x
28119;Chief of Staff;阿苏奥拉斯 亚库斯 ;45;SC;School of Mass Combat;Medium;M28119;x
28120;Chief of Staff;安塔纳斯 斯尼埃库斯 ;38;ST;School of Fire Support;Medium;M28027;x
28121;Chief of Staff;亚历山德拉斯 古泽维修斯 ;41;ST;School of Defence;Medium;M28030;x
28122;Chief of Army;阿尔比纳斯 塞帕斯-塞鲍斯卡斯 ;38;NS;Armoured Spearhead Doctrine;Medium;M28122;x
28123;Chief of Army;彼得拉斯 普莱哈维修斯 ;41;NS;Elastic Defence Doctrine;Medium;M28071;x
28124;Chief of Army;乔纳斯 加尔维迪斯-拜考斯卡斯 ;38;FA;Static Defence Doctrine;Medium;M28007;x
28126;Chief of Army;格德里维乌斯 帕利奥尼斯 ;45;PA;Decisive Battle Doctrine;Medium;M28126;x
28127;Chief of Army;卡济斯 穆斯泰基斯 ;38;SC;Guns and Butter Doctrine;Medium;M28125;x
28128;Chief of Army;阿纳托利乌斯 凯里斯 ;40;SC;Static Defence Doctrine;High;M28019;x
28129;Chief of Army;阿道法斯 拉马纳苏卡斯-瓦纳加斯 ;45;SC;Elastic Defence Doctrine;Medium;M28018;x
28130;Chief of Army;安塔纳斯 斯尼埃库斯 ;38;ST;Armoured Spearhead Doctrine;Medium;M28027;x
28131;Chief of Army;尤尔吉斯 特尔莱茨卡斯 ;41;ST;Guns and Butter Doctrine;Medium;M28098;x
28132;Chief of Navy;阿苏奥拉斯 库沙特 ;38;NS;Power Projection Doctrine;Medium;M28056;x
28135;Chief of Navy;尤尔吉斯 索利斯 ;38;SC;Indirect Approach Doctrine;Medium;M28107;x
28136;Chief of Navy;阿纳托利乌斯 凯里斯 ;41;SC;Base Control Doctrine;Medium;M28019;x
28137;Chief of Navy;弗拉达斯 卡尔韦利斯 ;38;ST;Indirect Approach Doctrine;Medium;M28029;x
28138;Chief of Navy;梅齐斯洛瓦斯 格德维拉斯 ;41;ST;Base Control Doctrine;Medium;M28024;x
28139;Chief of Air Force;卡济斯 斯基尔帕 ;38;NS;Army Aviation Doctrine;Medium;M28032;x
28142;Chief of Air Force;尤萨斯 安布拉泽维修斯 ;38;SC;Carpet Bombing Doctrine;Medium;M28020;x
28143;Chief of Air Force;米科拉斯 菲利帕维修斯 ;45;SC;Air Superiority Doctrine;Medium;M28093;x
28144;Chief of Air Force;亚历山德拉斯 古泽维修斯 ;38;ST;Vertical Envelopment Doctrine;Medium;M28030;x
28145;Chief of Air Force;尤萨斯 鲍卡尔斯卡斯 ;45;ST;Army Aviation Doctrine;Medium;M28145;x
