SPR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
11059;Head of Government;圣地亚哥 卡瑞罗 索拉莱斯 ;42;ST;Political Protege;High;M11059;x
11060;Head of Government;胡安 内格罗 莱兹 ;37;LWR;Naive Optimist;High;M11060;x
11061;Head of Government;华金 阿斯卡索 布德里奥 ;38;LE;Happy Amateur;High;M11061;x
11062;Head of Government;弗朗西斯科 拉哥 卡巴莱罗 ;36;LWR;Smiling Oilman;High;M11039;x
11063;Head of Government;路易斯 吉门雷兹 德 阿萨 ;39;LWR;Ambitious Union Boss;High;M11063;x
11064;Head of Government;曼努埃尔 阿扎莱 德兹 ;38;SD;Silent Workhorse;High;M11033;x
11065;Head of Government;英达伦西奥 彼尔托 图尔洛 ;39;SD;Political Protege;High;M11065;x
11066;Head of Government;圣地亚哥 卡萨莱斯 奎洛加 ;36;SD;Corporate Suit;High;M11066;x
11067;Head of Government;何塞 吉拉尔 佩雷拉 ;36;SD;Naive Optimist;High;M11067;x
11068;Head of Government;曼努埃尔 佩莱塔 巴拉德莱斯 ;36;SL;Naive Optimist;High;M11002;x
11069;Head of Government;迭戈 马丁兹 巴里奥 ;44;SL;Backroom Backstabber;High;M11069;x
11071;Head of Government;何塞 马里亚 希尔-罗夫莱斯 奎因内斯 ;36;SC;Political Protege;High;M11012;x
11072;Head of Government;克劳迪奥 桑切斯 阿尔伯诺兹 ;39;SC;Smiling Oilman;High;M11072;x
11073;Head of Government;米盖尔 马诺拉 加马佐 ;42;SC;Corporate Suit;High;M11073;x
11074;Head of Government;何塞 马里亚 希尔-罗夫莱斯 奎因内斯 ;36;PA;Flamboyant Tough Guy;NA;M11012;x
11075;Foreign Minister;何塞 赫尔南德兹 托莫 ;36;ST;Ideological Crusader;High;M11023;x
11076;Foreign Minister;德诺莱斯 伊波利 古兹 ;37;ST;Iron Fisted Brute;High;M11049;x
11077;Foreign Minister;玛格丽塔 内尔肯 ;39;ST;Biased Intellectual;Medium;M11077;x
11078;Foreign Minister;胡里奥 纳瓦雷斯 德尔 瓦约 ;40;ST;Ideological Crusader;High;M11078;x
11079;Foreign Minister;圣地亚哥 卡瑞罗 索拉莱斯 ;44;ST;The Cloak N Dagger Schemer;Very High;M11059;x
11080;Foreign Minister;安德雷努 宁 佩雷亚 ;36;LE;The Cloak N Dagger Schemer;High;M11080;x
11081;Foreign Minister;华金 马努莱兹 胡里奥 ;37;LE;Ideological Crusader;High;M11081;x
11082;Foreign Minister;埃东多 德 古兹曼 ;38;LE;Great Compromiser;High;M11082;x
11083;Foreign Minister;何塞 佩拉特斯 ;39;LE;Apologetic Clerk;High;M11083;x
11084;Foreign Minister;迭戈 阿巴德 德 圣蒂尔莱 ;40;LE;Biased Intellectual;High;M11084;x
11085;Foreign Minister;费尔南多 德 洛斯 莱斯 乌尔鲁蒂 ;36;LWR;The Cloak N Dagger Schemer;High;M11085;x
11086;Foreign Minister;维多利亚 肯特 ;38;LWR;Great Compromiser;High;M11086;x
11087;Foreign Minister;胡里奥 贝士德罗 菲尔南德兹 ;39;LWR;Apologetic Clerk;High;M11044;x
11088;Foreign Minister;阿尔瓦罗 德 阿尔伯诺兹 利米尼亚那 ;40;LWR;Biased Intellectual;Medium;M11045;x
11089;Foreign Minister;胡里奥 纳瓦雷斯 德尔 瓦约 ;38;LWR;Ideological Crusader;High;M11078;x
11090;Foreign Minister;曼努埃尔 阿扎莱 德兹 ;36;SD;Iron Fisted Brute;High;M11090;x
11091;Foreign Minister;路易斯 康帕尼斯 乔夫 ;37;SD;Iron Fisted Brute;High;M11091;x
11092;Foreign Minister;何塞 吉拉尔 佩雷拉 ;37;SD;Biased Intellectual;High;M11092;x
11093;Foreign Minister;塞巴斯蒂安 波扎斯 佩雷亚 ;39;SD;General Staffer;High;M11093;x
11094;Foreign Minister;圣地亚哥 卡萨莱斯 奎洛加 ;39;SD;Apologetic Clerk;High;M11066;x
11095;Foreign Minister;比比亚诺 菲尔南德兹 奥索里奥 ;40;SD;Great Compromiser;High;M11095;x
11096;Foreign Minister;埃古斯托 巴西亚 特瑞斯 ;36;SD;Ideological Crusader;High;M11034;x
11099;Foreign Minister;迭戈 马丁兹 巴里奥 ;36;SL;The Cloak N Dagger Schemer;High;M11069;x
11101;Foreign Minister;迭戈 海德尔格 迪安 ;39;SL;General Staffer;High;M11101;x
11102;Foreign Minister;萨尔瓦多 德 马达里亚加 ;40;SL;Great Compromiser;Medium;M11102;x
11103;Foreign Minister;F 莱兹 戈伊科切亚 ;41;SL;Ideological Crusader;High;M11103;x
11104;Foreign Minister;里卡多 桑普尔 伊班内兹 ;43;SL;Biased Intellectual;Medium;M11104;x
11105;Foreign Minister;安格尔 奥索里奥 加拉多 ;36;SC;Biased Intellectual;High;M11105;x
11106;Foreign Minister;克劳迪奥 桑切斯 阿尔伯诺兹 ;37;SC;Ideological Crusader;High;M11106;x
11107;Foreign Minister;曼努埃尔 德 伊鲁约 奥勒奥 ;38;SC;The Cloak N Dagger Schemer;Medium;M11107;x
11108;Foreign Minister;琼米 埃瓜德尔 米尔 ;39;SC;Apologetic Clerk;High;M11108;x
11109;Foreign Minister;尼塞托 阿尔卡拉 萨莫拉 ;39;SC;Great Compromiser;Low;M11109;x
11110;Foreign Minister;何塞 马丁兹 德 贝拉斯科 ;36;PA;Iron Fisted Brute;Low;M11110;x
11111;Foreign Minister;曼努埃尔 杰恩兹 菲尔南德兹 ;41;PA;The Cloak N Dagger Schemer;Medium;M11013;x
11112;Foreign Minister;艾米里奥 德 帕拉西奥斯 法乌 ;43;PA;Ideological Crusader;High;M11112;x
11113;Foreign Minister;路易斯 卢西奥 卢西奥 ;45;PA;Biased Intellectual;Low;M11113;x
11114;Minister of Armament;维森特 乌里维 加尔蒂诺 ;36;ST;Administrative Genius;Very High;M11114;x
11115;Minister of Armament;胡安 科莫莱拉 索勒 ;38;ST;Resource Industrialist;Medium;M11026;x
11116;Minister of Armament;埃特诺维诺 贝加 马丁兹 ;39;ST;Tank Proponent;Medium;M11116;x
11117;Minister of Armament;安里奎 卡斯特罗 德尔加多 ;41;ST;Infantry Proponent;High;M11024;x
11118;Minister of Armament;何塞 赫尔南德兹 托莫 ;44;ST;Theoretical Scientist;High;M11118;x
11119;Minister of Armament;胡安 莱兹 桑切斯 ;36;LE;Resource Industrialist;Medium;M11119;x
11120;Minister of Armament;安格尔 佩斯塔 ;37;LE;Air to Ground Proponent;High;M11120;x
11121;Minister of Armament;华金 马努莱兹 胡里奥 ;38;LE;Tank Proponent;High;M11081;x
11122;Minister of Armament;华金 阿斯卡索 布德里奥 ;39;LE;Military Entrepreneur;Very High;M11061;x
11123;Minister of Armament;胡安 贝里斯 ;42;LE;Administrative Genius;Medium;M11123;x
11124;Minister of Armament;费德里卡 蒙斯特尼 ;43;LE;Theoretical Scientist;Medium;M11124;x
11125;Minister of Armament;里卡多 桑斯 加西亚 ;44;LE;Infantry Proponent;Medium;M11125;x
11126;Minister of Armament;英达伦西奥 彼尔托 图尔洛 ;36;LWR;Military Entrepreneur;High;M11126;x
11127;Minister of Armament;博拉米诺 托莫 纳瓦雷斯 ;38;LWR;Resource Industrialist;High;M11127;x
11128;Minister of Armament;费尔南多 德 洛斯 莱斯 乌尔鲁蒂 ;39;LWR;Strategic Air Proponent;High;M11128;x
11129;Minister of Armament;胡安 内格罗 莱兹 ;40;LWR;Administrative Genius;High;M11046;x
11131;Minister of Armament;弗朗西斯科 拉哥 卡巴莱罗 ;41;LWR;Resource Industrialist;High;M11039;x
11132;Minister of Armament;菲利克斯 古尔德 奥尔德 ;43;LWR;Laissez Faires Capitalist;High;M11132;x
11133;Minister of Armament;图多尔弗 洛皮斯 费尔南德兹 ;44;LWR;Infantry Proponent;High;M11133;x
11134;Minister of Armament;何塞 吉拉尔 佩雷拉 ;36;SD;Battle Fleet Proponent;High;M11067;x
11135;Minister of Armament;弗朗西斯科 马德兹 阿斯皮 ;38;SD;Resource Industrialist;High;M11135;x
11136;Minister of Armament;比比亚诺 菲尔南德兹 奥索里奥 ;38;SD;Infantry Proponent;High;M11095;x
11137;Minister of Armament;圣地亚哥 卡萨莱斯 奎洛加 ;39;SD;Submarine Proponent;High;M11137;x
11138;Minister of Armament;曼努埃尔 阿扎莱 德兹 ;40;SD;Theoretical Scientist;Medium;M11033;x
11139;Minister of Armament;何塞 拉莱兹 洛佩兹 ;41;SD;Tank Proponent;High;M11139;x
11140;Minister of Armament;何塞 帕拉特 加西亚;42;SD;Laissez Faires Capitalist;High;M11140;x
11142;Minister of Armament;卡勒斯 皮 舒勒 ;45;SD;Administrative Genius;High;M11142;x
11143;Minister of Armament;米盖尔 努诺兹 德 佩拉多 ;36;SL;Air to Sea Proponent;Medium;M11143;x
11144;Minister of Armament;贝纳多 吉纳尔 德 洛斯 莱斯 加西亚 ;37;SL;Theoretical Scientist;High;M11144;x
11145;Minister of Armament;艾米里奥 赫雷拉 ;39;SL;Air Superiority Proponent;High;M11145;x
11146;Minister of Armament;路易斯 尼古拉乌 德奥尔维 ;40;SL;Resource Industrialist;High;M11146;x
11149;Minister of Armament;亚历桑德罗  莱尔罗克斯 加西亚 ;45;SL;Administrative Genius;High;M11051;x
11150;Minister of Armament;何塞 扬古拉斯 梅瑟 ;36;SC;Administrative Genius;High;M11150;x
11152;Minister of Armament;曼努埃尔 卡莱斯科 弗米古拉 ;38;SC;Laissez Faires Capitalist;High;M11152;x
11153;Minister of Armament;迭戈 海德尔格 迪安 ;39;SC;Military Entrepreneur;High;M11101;x
11154;Minister of Armament;安格尔 奥索里奥 加拉多 ;41;SC;Theoretical Scientist;High;M11105;x
11155;Minister of Armament;华金 查帕普莱塔 特雷古萨 ;45;SC;Resource Industrialist;High;M11155;x
11156;Minister of Armament;何塞 卡儿沃-索特罗 ;36;PA;Laissez Faires Capitalist;Very High;M11014;x
11157;Minister of Armament;路易斯 卢西奥 卢西奥 ;37;PA;Resource Industrialist;Low;M11113;x
11158;Minister of Armament;何塞 马里亚 希尔-罗夫莱斯 奎因内斯 ;37;PA;Military Entrepreneur;Medium;M11012;x
11159;Minister of Armament;何塞 马丁 奎纳斯 德 莱昂 ;38;PA;Tank Proponent;Medium;M11159;x
11160;Minister of Armament;胡安 马什 奥丁纳斯 ;39;PA;Administrative Genius;High;M11160;x
11161;Minister of Security;维森特 乌里维 加尔蒂诺 ;36;ST;Man of the People;Very High;M11114;x
11162;Minister of Security;德诺莱斯 伊波利 古兹 ;37;ST;Efficient Sociopath;High;M11162;x
11163;Minister of Security;巴伦特兹 冈萨雷斯 冈萨雷斯 ;38;ST;Back Stabber;Medium;M11163;x
11164;Minister of Security;玛格丽塔 内尔肯 ;38;ST;Compassionate Gentleman;Medium;M11077;x
11165;Minister of Security;何塞 德兹 拉莫斯 ;39;ST;Man of the People;High;M11021;x
11166;Minister of Security;安东尼奥 米杰 ;41;ST;Prince of Terror;Medium;M11166;x
11167;Minister of Security;华金 吉马努 加西亚 ;42;ST;Efficient Sociopath;High;M11167;x
11168;Minister of Security;圣地亚哥 卡瑞罗 索拉莱斯 ;42;ST;Prince of Terror;Very High;M11059;x
11169;Minister of Security;何塞 埃斯波西托 雷瓦 ;36;LE;Silent Lawyer;Medium;M11169;x
11170;Minister of Security;梅尔查 罗德里格斯 德 加尔蒂诺 ;37;LE;Crime Fighter;High;M11170;x
11171;Minister of Security;安德雷努 宁 佩雷亚 ;37;LE;Compassionate Gentleman;High;M11080;x
11172;Minister of Security;埃东多 德 古兹曼 ;38;LE;Silent Lawyer;High;M11082;x
11174;Minister of Security;胡安 加西亚 奥利弗 ;42;LE;Man of the People;High;M11174;x
11175;Minister of Security;布埃纳文图拉 杜鲁提 杜曼格 ;45;LE;Prince of Terror;High;M11175;x
11176;Minister of Security;胡里奥 祖加扎哥洛提亚 门迭塔 ;36;LWR;Compassionate Gentleman;High;M11176;x
11177;Minister of Security;安格尔 加拉扎 扎戈 ;36;LWR;Prince of Terror;High;M11177;x
11178;Minister of Security;安东尼奥 奥特加 古蒂纳雷斯 ;37;LWR;Efficient Sociopath;High;M11178;x
11179;Minister of Security;拉蒙 冈萨雷斯 佩雷拉 ;38;LWR;Crime Fighter;Medium;M11179;x
11180;Minister of Security;维多利亚 肯特 ;40;LWR;Man of the People;High;M11086;x
11181;Minister of Security;文策斯劳 卡瑞罗 弗加多尔 ;41;LWR;Man of the People;Medium;M11181;x
11182;Minister of Security;圣地亚哥 卡萨莱斯 奎洛加 ;36;SD;Prince of Terror;High;M11137;x
11183;Minister of Security;安姆 萨尔瓦多 卡雷拉斯 ;38;SD;Man of the People;High;M11183;x
11184;Minister of Security;塞巴斯蒂安 波扎斯 佩雷亚 ;40;SD;Crime Fighter;High;M11093;x
11185;Minister of Security;马塞力诺 多明戈 圣胡奥 ;43;SD;Compassionate Gentleman;Medium;M11185;x
11186;Minister of Security;亚历桑德罗  莱尔罗克斯 加西亚 ;36;SL;Crooked Kleptocrat;High;M11051;x
11187;Minister of Security;迭戈 马丁兹 巴里奥 ;37;SL;Prince of Terror;High;M11069;x
11188;Minister of Security;胡里奥 莱兹 奥利文 ;38;SL;Back Stabber;Medium;M11188;x
11189;Minister of Security;巴勃罗 德 阿兹塞特 弗洛伦斯 ;38;SL;Man of the People;Medium;M11189;x
11191;Minister of Security;何塞 马丁兹 德 贝拉斯科 ;36;SC;Crime Fighter;Low;M11110;x
11192;Minister of Security;曼努埃尔 德 伊鲁约 奥勒奥 ;38;SC;Man of the People;Medium;M11107;x
11193;Minister of Security;安格尔 奥索里奥 加拉多 ;40;SC;Prince of Terror;High;M11105;x
11194;Minister of Security;费德里克 埃斯科费特 阿尔西纳 ;41;SL;Crime Fighter;Medium;M11194;x
11195;Minister of Security;米盖尔 马诺拉 加马佐 ;43;SC;Compassionate Gentleman;Medium;M11073;x
11197;Minister of Security;马丽亚诺 古兹 ;46;SC;Crime Fighter;High;M11197;x
11198;Minister of Security;托莫 加西亚诺 古默 ;36;PA;Compassionate Gentleman;Medium;M11015;x
11199;Minister of Security;何塞 马丁 奎纳斯 德 莱昂 ;39;PA;Prince of Terror;Medium;M11199;x
11200;Head of Military Intelligence;拉菲尔 维德利亚 卢比奥 ;36;ST;Industrial Specialist;Medium;M11200;x
11201;Head of Military Intelligence;何塞 赫尔南德兹 托莫 ;38;ST;Technical Specialist;High;M11023;x
11202;Head of Military Intelligence;圣地亚哥 卡瑞罗 索拉莱斯 ;40;ST;Political Specialist;Medium;M11202;x
11203;Head of Military Intelligence;丹尼尔 奥特加 马丁兹 ;41;ST;Logistics Specialist;High;M11203;x
11204;Head of Military Intelligence;胡安 科莫莱拉 索勒 ;45;ST;Dismal Enigma;Medium;M11204;x
11205;Head of Military Intelligence;费德里卡 蒙斯特尼 ;36;LE;Technical Specialist;Medium;M11124;x
11206;Head of Military Intelligence;马丽亚诺 瓦奎兹 罗德里格斯 ;37;LE;Dismal Enigma;Very High;M11206;x
11207;Head of Military Intelligence;胡安 莱兹 桑切斯 ;38;LE;Industrial Specialist;Medium;M11119;x
11208;Head of Military Intelligence;安格尔 佩斯塔 ;41;LE;Political Specialist;Low;M11208;x
11209;Head of Military Intelligence;胡里安 格尔金 古兹 加西亚 ;43;LE;Naval Intelligence Specialist;Medium;M11209;x
11210;Head of Military Intelligence;里卡多 桑斯 加西亚 ;45;LE;Logistics Specialist;Medium;M11210;x
11211;Head of Military Intelligence;古斯塔沃 杜勒 马丁兹 ;36;LWR;Logistics Specialist;High;M11211;x
11212;Head of Military Intelligence;菲利克斯 古尔德 奥尔德 ;39;LWR;Industrial Specialist;High;M11132;x
11213;Head of Military Intelligence;胡安 赫尔南德兹 萨拉比亚 ;41;LWR;Technical Specialist;Medium;M11006;x
11214;Head of Military Intelligence;阿尔瓦罗 德 阿尔伯诺兹 利米尼亚那 ;43;LWR;Dismal Enigma;Medium;M11038;x
11215;Head of Military Intelligence;曼努埃尔 托雷斯 卡帕尼 ;36;SD;Industrial Specialist;Medium;M11215;x
11216;Head of Military Intelligence;弗朗西斯科 马德兹 阿斯皮 ;37;SD;Political Specialist;High;M11135;x
11217;Head of Military Intelligence;本杰明 巴伯阿 莱兹 ;38;SD;Naval Intelligence Specialist;Medium;M11217;x
11218;Head of Military Intelligence;何塞帕 塔拉德利亚斯 约安 ;39;SD;Industrial Specialist;Medium;M11218;x
11220;Head of Military Intelligence;何塞 吉拉尔 佩雷拉 ;43;SD;Technical Specialist;High;M11220;x
11221;Head of Military Intelligence;曼努埃尔 埃斯特拉达 曼查 ;36;SL;Logistics Specialist;Low;M11219;x
11222;Head of Military Intelligence;亚历桑德罗  莱尔罗克斯 加西亚 ;39;SL;Dismal Enigma;High;M11051;x
11225;Head of Military Intelligence;里卡多 桑普尔 伊班内兹 ;36;SC;Political Specialist;Medium;M11104;x
11226;Head of Military Intelligence;胡安 马什 奥丁纳斯 ;38;SC;Dismal Enigma;High;M11160;x
11227;Head of Military Intelligence;迭戈 海德尔格 迪安 ;39;SC;Technical Specialist;High;M11101;x
11228;Head of Military Intelligence;曼努埃尔 古兹 ;41;SC;Logistics Specialist;Medium;M11228;x
11229;Head of Military Intelligence;华金 查帕普莱塔 特雷古萨 ;45;SC;Industrial Specialist;High;M11155;x
11230;Head of Military Intelligence;路易斯 奥尔扎兹 约尔蒂 ;36;PA;Logistics Specialist;High;M11016;x
11231;Head of Military Intelligence;路易斯 卢西奥 卢西奥 ;37;PA;Industrial Specialist;Low;M11113;x
11234;Chief of Staff;弗兰克 雷恩 ;36;ST;School of Mass Combat;Very High;M11234;x
11235;Chief of Staff;艾米里奥 克洛泽 ;37;ST;School of Defence;Very High;M11235;x
11236;Chief of Staff;安里奎 利斯特尔 ;38;ST;School of Psychology;Very High;M11236;x
11237;Chief of Staff;胡安 莫德斯托 奎勒托 ;38;ST;School of Mass Combat;Very High;M11237;x
11238;Chief of Staff;安东尼奥 克尔德兹 加西亚 ;38;ST;School of Defence;Very High;M11238;x
11239;Chief of Staff;曼努埃尔 塔吉奥 拉科尔特 ;39;ST;School of Manoeuvre;Very High;M11027;x
11240;Chief of Staff;弗朗西斯科 加兰 罗德里格斯 ;39;ST;School of Fire Support;Very High;M11240;x
11241;Chief of Staff;维森特 瓜纳尔 维瓦克斯 ;36;LE;School of Fire Support;High;M11241;x
11242;Chief of Staff;米盖尔 加西亚 维瓦克斯 ;37;LE;School of Manoeuvre;High;M11242;x
11243;Chief of Staff;弗朗西斯科 阿斯卡索 布德莱 ;38;LE;School of Mass Combat;High;M11243;x
11244;Chief of Staff;西普里亚诺 桑斯 ;41;LE;School of Psychology;Medium;M11244;x
11245;Chief of Staff;布埃纳文图拉 杜鲁提 杜曼格 ;43;LE;School of Defence;Medium;M11245;x
11246;Chief of Staff;古斯塔沃 杜勒 马丁兹 ;36;LWR;School of Psychology;High;M11211;x
11247;Chief of Staff;维森特 罗约 柳齐 ;37;LWR;School of Manoeuvre;Very High;M11247;x
11248;Chief of Staff;胡安 赫尔南德兹 萨拉比亚 ;38;LWR;School of Fire Support;High;M11006;x
11249;Chief of Staff;阿图罗 莫纳 罗伊格 ;38;LWR;School of Mass Combat;Very High;M11249;x
11250;Chief of Staff;胡安 佩雷亚 卡普利诺 ;39;LWR;School of Defence;High;M11250;x
11251;Chief of Staff;塞巴斯蒂安 波扎斯 佩雷亚 ;36;SD;School of Defence;High;M11093;x
11253;Chief of Staff;安里奎 乔拉杜 巴里奥 ;38;SD;School of Fire Support;High;M11253;x
11254;Chief of Staff;卡洛斯 马斯奎勒特 拉卡西 ;41;SD;School of Defence;High;M11254;x
11255;Chief of Staff;路易斯 卡斯特罗 庞达隆 ;45;SD;School of Psychology;High;M11255;x
11256;Chief of Staff;托里维奥 马丁兹 堪培拉 ;36;SL;School of Mass Combat;Medium;M11252;x
11258;Chief of Staff;曼努埃尔 埃斯特拉达 曼查 ;38;SL;School of Psychology;High;M11219;x
11262;Chief of Staff;多明戈 巴特特 美斯特 ;40;SC;School of Psychology;Medium;M11262;x
11264;Chief of Staff;路易斯 奥尔扎兹 约尔蒂 ;42;PA;School of Defence;Medium;M11016;x
11265;Chief of Staff;华金 范朱尔 古默 ;43;PA;School of Psychology;Medium;M11265;x
11266;Chief of Army;曼努埃尔 塔吉奥 拉科尔特 ;36;ST;Elastic Defence Doctrine;Very High;M11266;x
11267;Chief of Army;安里奎 利斯特尔 ;37;ST;Decisive Battle Doctrine;Very High;M11028;x
11268;Chief of Army;胡安 莫德斯托 奎勒托 ;38;ST;Guns and Butter Doctrine;Very High;M11237;x
11269;Chief of Army;安东尼奥 克尔德兹 加西亚 ;38;ST;Static Defence Doctrine;Very High;M11238;x
11270;Chief of Army;埃特诺维诺 贝加 马丁兹 ;39;ST;Armoured Spearhead Doctrine;Medium;M11116;x
11271;Chief of Army;西普里亚诺 桑斯 ;36;LE;Static Defence Doctrine;Medium;M11244;x
11272;Chief of Army;维森特 瓜纳尔 维瓦克斯 ;37;LE;Elastic Defence Doctrine;High;M11241;x
11273;Chief of Army;米盖尔 加西亚 维瓦克斯 ;38;LE;Armoured Spearhead Doctrine;High;M11242;x
11274;Chief of Army;弗朗西斯科 阿斯卡索 布德莱 ;41;LE;Guns and Butter Doctrine;High;M11243;x
11275;Chief of Army;布埃纳文图拉 杜鲁提 杜曼格 ;43;LE;Decisive Battle Doctrine;Medium;M11245;x
11276;Chief of Army;胡安 赫尔南德兹 萨拉比亚 ;36;LWR;Guns and Butter Doctrine;High;M11006;x
11277;Chief of Army;维森特 罗约 柳齐 ;37;LWR;Decisive Battle Doctrine;Very High;M11247;x
11278;Chief of Army;古斯塔沃 杜勒 马丁兹 ;38;LWR;Armoured Spearhead Doctrine;High;M11211;x
11279;Chief of Army;阿图罗 莫纳 罗伊格 ;40;LWR;Elastic Defence Doctrine;Very High;M11249;x
11280;Chief of Army;胡安 佩雷亚 卡普利诺 ;40;LWR;Static Defence Doctrine;High;M11250;x
11281;Chief of Army;塞巴斯蒂安 波扎斯 佩雷亚 ;36;SD;Static Defence Doctrine;High;M11093;x
11282;Chief of Army;曼努埃尔 阿扎莱 德兹 ;36;SD;Guns and Butter Doctrine;Medium;M11033;x
11283;Chief of Army;安里奎 乔拉杜 巴里奥 ;38;SD;Decisive Battle Doctrine;High;M11253;x
11284;Chief of Army;路易斯 卡斯特罗 庞达隆 ;40;SD;Elastic Defence Doctrine;High;M11255;x
11286;Chief of Army;曼努埃尔 埃斯特拉达 曼查 ;36;SL;Elastic Defence Doctrine;High;M11219;x
11288;Chief of Army;卡洛斯 马斯奎勒特 拉卡西 ;41;SL;Static Defence Doctrine;High;M11254;x
11289;Chief of Army;托里维奥 马丁兹 堪培拉 ;43;SL;Guns and Butter Doctrine;Medium;M11252;x
11290;Chief of Army;穷赛 安东尼奥 德 阿吉雷 类库伯;36;SC;Guns and Butter Doctrine;High;M11290;x
11291;Chief of Army;何塞 米亚哈 蒙纳特 ;38;SC;Decisive Battle Doctrine;High;M11007;x
11292;Chief of Army;多明戈 巴特特 美斯特 ;40;SC;Armoured Spearhead Doctrine;Medium;M11262;x
11294;Chief of Army;安东尼奥 阿兰达  马塔 ;36;PA;Static Defence Doctrine;Low;M11018;x
11295;Chief of Army;何塞 马里亚 希尔-罗夫莱斯 奎因内斯 ;39;PA;Guns and Butter Doctrine;Medium;M11012;x
11296;Chief of Army;华金 范朱尔 古默 ;41;PA;Static Defence Doctrine;Medium;M11265;x
11298;Chief of Navy;维森特 乌里维 加尔蒂诺 ;36;ST;Base Control Doctrine;Medium;M11114;x
11299;Chief of Navy;佩德罗 菲尔南德兹 切卡 ;38;ST;Decisive Naval Battle Doctrine;Medium;M11299;x
11300;Chief of Navy;弗朗西斯科 加兰 罗德里格斯 ;38;ST;Open Seas Doctrine;Medium;M11029;x
11301;Chief of Navy;佩德罗 佩拉多 门迭巴尔 ;39;ST;Indirect Approach Doctrine;Medium;M11301;x
11302;Chief of Navy;胡安 贝里斯 ;36;LE;Base Control Doctrine;Medium;M11123;x
11303;Chief of Navy;胡安 莱兹 桑切斯 ;37;LE;Indirect Approach Doctrine;Medium;M11119;x
11304;Chief of Navy;布鲁诺 阿隆索 ;36;LWR;Base Control Doctrine;High;M11304;x
11305;Chief of Navy;华金 胡里奥 马努莱兹 ;37;LWR;Power Projection Doctrine;High;M11305;x
11306;Chief of Navy;卢克 冈萨雷斯 乌比埃塔 ;38;LWR;Indirect Approach Doctrine;High;M11306;x
11307;Chief of Navy;因达莱西奥 彼尔托 图尔洛 ;39;LWR;Open Seas Doctrine;High;M11307;x
11308;Chief of Navy;安德莱斯 萨博里特 库罗默 ;40;LWR;Decisive Naval Battle Doctrine;High;M11308;x
11309;Chief of Navy;何塞 吉拉尔 佩雷拉 ;36;SD;Open Seas Doctrine;High;M11220;x
11310;Chief of Navy;路易斯 康帕尼斯 乔夫 ;37;SD;Decisive Naval Battle Doctrine;Medium;M11310;x
11312;Chief of Navy;圣地亚哥 卡萨莱斯 奎洛加 ;41;SD;Power Projection Doctrine;High;M11137;x
