TUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
12049;Minister of Armament;卡齐姆 厄扎尔普 ;36;SC;Military Entrepreneur;Medium;M12049;x
12050;Minister of Armament;陶菲克 罗特 阿洛斯;39;ML;Theoretical Scientist;Medium;M12050;x
12051;Minister of Armament;穆罕默德 居纳尔塔纳 ;40;SC;Tank Proponent;Medium;M12051;x
12052;Minister of Armament;米尼尔 比尔森 ;46;ML;Laissez Faires Capitalist;Medium;M12052;x
12054;Minister of Armament;穆斯塔法 伦达 ;38;ML;Military Entrepreneur;Medium;M12054;x
12056;Minister of Security;许斯尼 卡基尔 ;43;ML;Crooked Kleptocrat;Medium;M12056;x
12057;Minister of Security;希勒米 乌兰 ;44;ML;Crime Fighter;Medium;M12057;x
12059;Minister of Security;梅姆杜赫 塔马奇 ;46;ML;Prince of Terror;Medium;M12059;x
12060;Minister of Security;阿德南 门德列斯 ;47;ML;Back Stabber;Medium;M12046;x
12061;Minister of Security;阿卜杜勒 纳吉 特纳兹 ;38;ML;Silent Lawyer;Medium;M12061;x
12062;Minister of Security;马哈茂德 杰拉勒 巴亚尔 ;36;SC;Back Stabber;Medium;M12032;x
12063;Minister of Security;阿巴斯 杰瓦特 ;39;SD;Crooked Kleptocrat;Medium;M12025;x
12064;Minister of Security;萨费特 阿勒坎 ;38;FA;Crime Fighter;High;M12058;x
12065;Minister of Security;阿里 里扎 蒂雷尔 ;40;ML;Efficient Sociopath;Medium;M12065;x
12066;Minister of Security;奥尔汗 格卡伊 ;41;ML;Silent Lawyer;Medium;M12015;x
12067;Minister of Security;穆罕默德 雷杰普 佩克 ;41;SC;Compassionate Gentleman;Medium;M12067;x
12068;Head of Military Intelligence;穆斯塔法 伦达 ;38;SC;Dismal Enigma;High;M12054;x
12069;Head of Military Intelligence;阿里 丽扎 阿屯卡;43;ML;Logistics Specialist;Medium;M12069;x
12070;Head of Military Intelligence;莫塔兹 门;46;ML;Industrial Specialist;Medium;M12070;x
12071;Head of Military Intelligence;穆罕默德 雷杰普 佩克 ;47;ML;Industrial Specialist;High;M12067;x
12072;Head of Military Intelligence;穆罕默德 福阿德 柯普吕律 ;38;ML;Naval Intelligence Specialist;Medium;M12026;x
12073;Chief of Staff;阿卜杜勒 纳吉 特纳兹 ;38;SC;School of Fire Support;Medium;M12061;x
12074;Chief of Staff;阿里 庞加特;43;ML;School of Mass Combat;Medium;M12010;x
12075;Chief of Staff;阿卜杜勒拉赫曼 居尔曼 ;46;ML;School of Manoeuvre;Medium;M12075;x
12077;Chief of Army;罗特 艾德坤;43;ML;Armoured Spearhead Doctrine;Medium;M12077;x
12078;Chief of Army;杰米尔 托德米尔;46;ML;Decisive Battle Doctrine;Medium;M12078;x
12079;Chief of Navy;阿里 福阿德 杰贝索伊 ;38;SC;Indirect Approach Doctrine;Medium;M12079;x
12080;Chief of Navy;韦赫比 戈 ;43;ML;Decisive Naval Battle Doctrine;Medium;M12080;x
12081;Chief of Navy;艾哈迈德 艾达姆 博拉克 ;46;ML;Base Control Doctrine;Medium;M12081;x
12083;Chief of Air Force;埃尔坎 加特力;43;ML;Army Aviation Doctrine;Medium;M12083;x
12084;Chief of Air Force;梅姆杜赫 塔马奇 ;46;ML;Air Superiority Doctrine;Medium;M12059;x
12012;Head of Government;扎基 韦利蒂 托安 ;36;FA;Old General;Very High;M12012;x
12013;Foreign Minister;阿里 费特希 奥克亚尔 ;36;PA;Ideological Crusader;Medium;M12013;x
12014;Minister of Armament;萨迪 厄兹贝克 ;36;FA;Administrative Genius;High;M12014;x
12016;Head of Military Intelligence;阿里 费蒂 奥克亚尔 ;36;SC;Dismal Enigma;Medium;M12013;x
12017;Chief of Staff;穆斯塔法 伊斯梅特 伊纳尼 ;36;PA;School of Defence;Medium;M12002;x
12018;Chief of Army;阿尔帕斯兰 蒂尔凯什 ;36;FA;Guns and Butter Doctrine;High;M12018;x
12019;Chief of Navy;劳夫 奥尔巴伊 ;36;FA;Decisive Naval Battle Doctrine;Very High;M12019;x
12020;Chief of Air Force;萨迪 厄兹贝克 ;36;PA;Naval Aviation Doctrine;Medium;M12014;x
12021;Head of State;谢菲克 许斯尼 ;36;ST;Stern Imperialist;High;M12021;x
12022;Head of Government;佩尔捷夫 纳伊利 博拉塔夫 ;36;ST;Naive Optimist;High;M12022;x
12023;Foreign Minister;纳齐姆 希克马特 拉恩 ;36;ST;The Cloak N Dagger Schemer;Medium;M12023;x
12024;Minister of Armament;雷菲克 萨伊达姆 ;36;LWR;Infantry Proponent;Medium;M12024;x
12027;Chief of Staff;阿巴斯 杰瓦特 ;36;LWR;School of Manoeuvre;Medium;M12025;x
12028;Chief of Army;佩尔捷夫 纳伊利 博拉塔夫 ;36;LWR;Elastic Defence Doctrine;Very Low;M12022;x
12029;Chief of Navy;伊斯梅尔 埃里姆 ;36;LE;Decisive Naval Battle Doctrine;Medium;M12029;x
12030;Chief of Air Force;雷菲克 萨伊达姆 ;36;LE;Air Superiority Doctrine;Medium;M12024;x
12085;Head of State;马哈茂德 杰拉勒 巴亚尔 ;50;ML;Barking Buffoon;High;M12032;x
12086;Head of Government;穆罕默德 雷杰普 佩克 ;46;SC;Political Protege;High;M12067;x
12087;Head of Government;哈桑 萨卡;47;SC;Happy Amateur;High;M12038;x
12088;Head of Government;穆罕默德 居纳尔塔纳 ;49;SC;Silent Workhorse;High;M12051;x
12089;Head of Government;阿德南 门德列斯 ;50;ML;Ambitious Union Boss;High;M12046;x
12090;Foreign Minister;穆罕默德 福阿德 柯普吕律 ;50;ML;Iron Fisted Brute;Medium;M12090;x
12091;Minister of Armament;法伊克 艾哈迈德 巴鲁特丘 ;47;SC;Battle Fleet Proponent;Medium;M12091;x
12092;Minister of Armament;伊斯梅尔 埃里姆 ;49;SC;Resource Industrialist;Medium;M12029;x
12093;Minister of Armament;萨梅特 阿阿奥卢 ;50;ML;Theoretical Scientist;Medium;M12093;x
12094;Minister of Armament;法京 罗特 佐鲁;52;ML;Administrative Genius;Medium;M12094;x
12095;Minister of Security;雷菲克 科拉尔坦 ;50;ML;Silent Lawyer;Medium;M12095;x
12104;Chief of Air Force;威其海 褐卡斯;36;PA;Air Superiority Doctrine;Very High;M12104;x
12105;Head of Government;阿尔斯兰 特克斯;41;NS;Ambitious Union Boss;Medium;M_TUR_Alparslan_Turkes;x
12106;Minister of Security;阿尔斯兰 特克斯;40;NS;Prince of Terror;Medium;M_TUR_Alparslan_Turkes;x
12107;Foreign Minister;阿尔斯兰 特克斯;39;NS;Iron Fisted Brute;Medium;M_TUR_Alparslan_Turkes;x
