COS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
47067;Minister of Armament;何塞 菲格雷斯 费雷尔 ;44;SD;Administrative Genius;Medium;M47041;x
47068;Minister of Armament;卡卢法 法拉斯 西纳亚 ;47;SD;Submarine Proponent;High;M47068;x
47070;Minister of Armament;基科 奥尔利奇 博尔马里奇 ;40;SL;Tank Proponent;High;M47058;x
47071;Minister of Armament;罗伯托 布雷内斯 梅森 ;44;SL;Infantry Proponent;Medium;M47056;x
47072;Minister of Armament;托比亚斯 苏尼亚加 蒙图法尔 ;47;SL;Air to Ground Proponent;High;M47033;x
47073;Minister of Armament;胡安 科尔特斯 卡斯特罗 ;36;SC;Laissez Faires Capitalist;Medium;M47073;x
47074;Minister of Armament;奥托 科尔特斯 费尔南德斯 ;38;SC;Administrative Genius;High;M47035;x
47075;Minister of Armament;托比亚斯 皮卡多 科尔特斯 ;41;SC;Battle Fleet Proponent;Very High;M47075;x
47076;Minister of Armament;伊格纳西奥 孟戴斯 阿利尼奥 ;36;PA;Corrupt Kleptocrat;High;M47014;x
47077;Minister of Armament;路易斯 费尔南德斯 罗德里格斯 ;40;LE;Air to Ground Proponent;Medium;M47024;x
47078;Minister of Armament;伊格纳西奥 孟戴斯 阿利尼奥 ;47;LWR;Corrupt Kleptocrat;High;M47014;x
47079;Minister of Security;卡卢法 法拉斯 西纳亚 ;44;SD;Silent Lawyer;Medium;M47068;x
47080;Minister of Security;何塞 菲格雷斯 费雷尔 ;47;SD;Man of the People;High;M47041;x
47082;Minister of Security;伊萨利诺 德 席尔瓦 隆德雷斯 ;40;SL;Crime Fighter;Low;M47040;x
47083;Minister of Security;托比亚斯 苏尼亚加 蒙图法尔 ;44;SL;Silent Lawyer;High;M47033;x
47084;Minister of Security;亚历杭德罗 德 卡斯特罗 洛佩斯 ;47;SL;Man of the People;High;M47034;x
47085;Minister of Security;阿道夫 乌里贝 卡斯特罗 ;36;SC;Compassionate Gentleman;Medium;M47044;x
47087;Minister of Security;托比亚斯 皮卡多 科尔特斯 ;46;SC;Prince of Terror;Very High;M47075;x
47088;Minister of Security;阿尔贝托 马滕 沙瓦里亚 ;36;PA;Crooked Kleptocrat;Very Low;M47015;x
47089;Minister of Security;伊萨利诺 德 席尔瓦 隆德雷斯 ;40;LWR;Crime Fighter;Low;M47040;x
47090;Minister of Security;卡门 吕拉 ;47;LWR;Prince of Terror;Low;M47025;x
47091;Head of Military Intelligence;何塞 菲格雷斯 费雷尔 ;44;SD;Political Specialist;Medium;M47041;x
47092;Head of Military Intelligence;罗穆阿尔多 希门尼斯 奥雷亚穆里奥 ;36;SL;Technical Specialist;High;M47001;x
47093;Head of Military Intelligence;劳尔 贡迪安 ;36;SL;Dismal Enigma;Medium;M47003;x
47094;Head of Military Intelligence;恩里克 迪亚兹 托莱多 ;44;SL;Logistics Specialist;Medium;M47066;x
47095;Head of Military Intelligence;托比亚斯 苏尼亚加 蒙图法尔 ;47;SL;Political Specialist;High;M47033;x
47096;Head of Military Intelligence;本杰明 努涅斯 瓦尔加斯 ;36;SC;Logistics Specialist;High;M47096;x
47098;Head of Military Intelligence;罗穆阿尔多 皮诺 罗亚 ;46;SC;Dismal Enigma;Low;M47011;x
47099;Head of Military Intelligence;若泽 孟戴斯 阿利尼奥 ;36;PA;Industrial Specialist;Medium;M47016;x
47100;Head of Military Intelligence;胡戈 蒙泰斯 拉米雷斯 ;40;LE;Logistics Specialist;Medium;M47100;x
47101;Head of Military Intelligence;米格尔 拉米雷斯 阿尔坎塔拉 ;47;LWR;Dismal Enigma;Medium;M47026;x
47102;Chief of Staff;费利佩 阿布雷乌 卡斯特罗 ;45;SD;School of Fire Support;High;M47102;x
47103;Chief of Staff;何塞 菲格雷斯 费雷尔 ;47;SD;School of Mass Combat;High;M47103;x
47105;Chief of Staff;亚历杭德罗 德 卡斯特罗 洛佩斯 ;47;SL;School of Mass Combat;High;M47034;x
47107;Chief of Staff;乔治 博略 希门尼斯 ;44;SC;School of Manoeuvre;Medium;M47107;x
47109;Chief of Staff;胡戈 蒙泰斯 拉米雷斯 ;40;LE;School of Psychology;Medium;M47100;x
47110;Chief of Staff;米格尔 拉米雷斯 阿尔坎塔拉 ;47;LWR;School of Fire Support;Medium;M47026;x
47112;Chief of Army;何塞 菲格雷斯 费雷尔 ;47;SD;Decisive Battle Doctrine;High;M47103;x
47114;Chief of Army;托比亚斯 苏尼亚加 蒙图法尔 ;47;SL;Elastic Defence Doctrine;High;M47033;x
47116;Chief of Army;唐 阿纳尔多 萨莫拉 ;40;SC;Guns and Butter Doctrine;Medium;M47111;x
47117;Chief of Army;乔治 博略 希门尼斯 ;44;SC;Armoured Spearhead Doctrine;High;M47107;x
47118;Chief of Army;巴普蒂斯塔 E 古铁雷斯 ;36;PA;Elastic Defence Doctrine;Medium;M47018;x
47119;Chief of Army;胡戈 蒙泰斯 拉米雷斯 ;40;LE;Decisive Battle Doctrine;Medium;M47100;x
47120;Chief of Army;弗朗西斯科 罗森多 阿尔盖洛 ;47;LWR;Guns and Butter Doctrine;Medium;M47028;x
47121;Chief of Navy;费利佩 阿布雷乌 卡斯特罗 ;44;SD;Power Projection Doctrine;High;M47102;x
47125;Chief of Navy;曼努埃尔 莫拉 瓦尔韦德 ;40;LE;Base Control Doctrine;Medium;M47021;x
47126;Chief of Navy;胡戈 西德勒 门多萨 ;47;LWR;Indirect Approach Doctrine;Medium;M47029;x
47127;Chief of Air Force;吉耶尔莫 马乔 努涅斯 ;44;SD;Air Superiority Doctrine;Medium;M47127;x
47129;Chief of Air Force;卡洛斯 乌里贝 阿尔波维达 ;36;SC;Carpet Bombing Doctrine;Medium;M47129;x
47131;Chief of Air Force;曼努埃尔 莫拉 瓦尔韦德 ;40;LE;Army Aviation Doctrine;Medium;M47021;x
47132;Chief of Air Force;奥斯卡 帕迪利亚 塞利恩 ;47;LWR;Naval Aviation Doctrine;Medium;M47030;x
47133;Head of State;桑托斯 莱昂 赫雷拉 ;47;SC;Pig-headed Isolationist;High;M47133;x
47134;Head of Government;桑托斯 莱昂 赫雷拉 ;47;SC;Corporate Suit;High;M47133;x
47030;Chief of Air Force;奥斯卡 帕迪利亚 塞利恩 ;36;LWR;Naval Aviation Doctrine;Medium;M47030;x
