CHL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
44093;Minister of Security;达里奥 穆希卡 甘博亚 ;42;SD;Efficient Sociopath;high;M44010;x
44094;Minister of Security;安东尼奥 J. 里奥斯 ;45;SD;Prince of Terror;high;M44032;x
44095;Minister of Security;安东尼奥 乌内乌斯 ;37;SL;Man of the People;high;M44095;x
44096;Minister of Security;米格尔 冈萨雷斯 里奥斯 ;38;SL;Crooked Kleptocrat;high;M44096;x
44097;Minister of Security;亚伯拉罕 奥尔特加 阿瓜约 ;38;SL;Crime Fighter;high;M44051;x
44098;Minister of Security;J.R.吉特雷斯 阿连德 ;42;SC;Crime Fighter;high;M44059;x
44099;Minister of Security;曼努埃尔 里瓦斯 维库纳 ;43;SC;Prince of Terror;high;M44099;x
44100;Minister of Security;埃内斯托 巴拉斯 哈尔帕 ;46;SC;Crooked Kleptocrat;high;M44056;x
44101;Minister of Security;卡洛斯 伊巴涅斯 德尔 坎波 ;39;PA;Man of the People;high;M44035;x
44102;Minister of Security;维森特 梅里诺 别利奇 ;42;PA;Prince of Terror;high;M44102;x
44103;Minister of Security;卡洛斯 凯勒 ;38;FA;Back Stabber;high;M44015;x
44104;Minister of Security;马默杜克 格罗夫 ;38;LE;Man of the People;high;M44021;x
44105;Minister of Security;克里斯托瓦尔 萨恩斯 塞尔达 ;45;LWR;Prince of Terror;high;M44052;x
44106;Head of Military Intelligence;费代里科 埃斯卡曼特 ;38;SD;Logistics Specialist;high;M44106;x
44108;Head of Military Intelligence;胡安 里奥斯 莫拉莱斯 ;41;SD;Dismal Enigma;high;M44069;x
44109;Head of Military Intelligence;爱德华多 希尔曼 ;42;SD;Naval Intelligence Specialist;high;M44004;x
44110;Head of Military Intelligence;萨尔瓦多 阿连德 ;43;SD;Industrial Specialist;high;M44039;x
44111;Head of Military Intelligence;达里奥 穆希卡 甘博亚 ;46;SD;Technical Specialist;high;M44010;x
44112;Head of Military Intelligence;卡洛斯 芬特斯 拉贝 ;38;SL;Industrial Specialist;high;M44072;x
44113;Head of Military Intelligence;卡洛斯 普加 蒙萨尔韦 ;40;SL;Technical Specialist;high;M44087;x
44114;Head of Military Intelligence;维克托 拉伦斯 基哈达 ;42;SC;Naval Intelligence Specialist;high;M44079;x
44115;Head of Military Intelligence;费代里科 克劳德 ;43;SL;Industrial Specialist;high;M44115;x
44116;Head of Military Intelligence;达里奥 切莱亚斯 罗雅斯 ;46;SC;Logistics Specialist;high;M44116;x
44117;Head of Military Intelligence;阿廖斯托 赫雷拉 ;38;FA;Logistics Specialist;high;M44016;x
44118;Head of Military Intelligence;彼得罗 坎波斯 瓦伦扎纳 ;44;PA;Industrial Specialist;high;M44118;x
44119;Head of Military Intelligence;朱利奥 阿拉德 平托 ;38;LE;Political Specialist;high;M44006;x
44121;Chief of Staff;埃内斯托 M. 奥兰多 ;38;SD;School of Mass Combat;high;M44121;x
44122;Chief of Staff;阿图罗 埃斯皮诺萨 穆希卡 ;45;SC;School of Fire Support;high;M44122;x
44123;Chief of Staff;卡洛斯 普加 蒙萨尔韦 ;38;SL;School of Mass Combat;high;M44087;x
44124;Chief of Staff;达里奥 切莱亚斯 罗雅斯 ;42;SC;School of Psychology;high;M44116;x
44125;Chief of Staff;劳尔 阿雷 什蒂格利奇 ;44;SC;School of Manoeuvre;high;M44125;x
44126;Chief of Staff;路易斯 维达尔 瓦尔加斯 ;46;SC;School of Fire Support;high;M44126;x
44127;Chief of Staff;E. 诺沃亚 芬特斯 ;42;PA;Static Defence Doctrine;high;M44008;x
44128;Chief of Staff;迪亚兹 巴尔德拉马 ;38;FA;School of Defence;high;M44017;x
44129;Chief of Staff;古斯塔沃 席尔瓦 ;38;LE;School of Manoeuvre;high;M44027;x
44130;Chief of Army;路易斯 奥特罗 穆希卡 ;38;SD;Armoured Spearhead Doctrine;high;M44130;x
44131;Chief of Army;萨尔瓦多 阿伦 加尔韦斯 ;44;SD;Guns and Butter Doctrine;high;M44131;x
44132;Chief of Army;卡洛斯 芬特斯 拉贝 ;38;SL;Decisive Battle Doctrine;high;M44072;x
44133;Chief of Army;阿图罗 埃斯皮诺萨 穆希卡 ;43;SC;Static Defence Doctrine;high;M44122;x
44134;Chief of Army;奥斯卡 伊苏列塔 莫利纳 ;46;SC;Guns and Butter Doctrine;high;M44134;x
44135;Chief of Army;拉斐尔 费尔南德斯 雷耶斯 ;42;PA;Elastic Defence Doctrine;high;M44135;x
44136;Chief of Army;迪亚兹 巴尔德拉马 ;38;FA;Static Defence Doctrine;high;M44017;x
44137;Chief of Army;朱利奥 阿拉德 平托 ;38;LE;Elastic Defence Doctrine;high;M44006;x
44138;Chief of Navy;胡安 罗德里格斯 ;38;SD;Open Seas Doctrine;high;M44138;x
44139;Chief of Navy;朱利奥 格肯 马恩 ;44;SD;Power Projection Doctrine;high;M44139;x
44140;Chief of Navy;弗朗西斯科 O'瑞安 奥雷戈 ;38;SL;Decisive Naval Battle Doctrine;high;M44062;x
44142;Chief of Navy;加斯顿 库尔切夫斯基 加西亚 ;46;SC;Base Control Doctrine;high;M44142;x
44144;Chief of Navy;埃尔南 萨拉泰亚 ;38;FA;Decisive Naval Battle Doctrine;high;M44019;x
44145;Chief of Navy;古斯塔沃 席尔瓦 ;38;LE;Indirect Approach Doctrine;high;M44027;x
44146;Chief of Air Force;迭戈 阿拉塞纳 ;38;SD;Air Superiority Doctrine;high;M44146;x
44147;Chief of Air Force;劳尔 冈萨雷斯 诺勒 ;46;SL;Army Aviation Doctrine;high;M44147;x
44148;Chief of Air Force;若泽 路易斯 桑切斯 贝萨 ;37;SL;Carpet Bombing Doctrine;high;M44076;x
44149;Chief of Air Force;伊斯梅尔 萨拉祖 特兰 ;42;SC;Vertical Envelopment Doctrine;high;M44149;x
44150;Chief of Air Force;曼努埃尔 托瓦里亚斯 ;46;SC;Army Aviation Doctrine;high;M44150;x
44151;Chief of Air Force;阿廖斯托 赫雷拉 ;38;FA;Air Superiority Doctrine;high;M44016;x
44152;Chief of Air Force;马默杜克 格罗夫 ;38;LE;Naval Aviation Doctrine;high;M44021;x
44153;Chief of Air Force;古斯塔沃 席尔瓦 ;45;LWR;Army Aviation Doctrine;high;M44027;x
44154;Head of State;古斯塔沃 罗斯 圣 马里亚 ;38;SC;Popular Figurehead;high;M44002;x
44155;Head of State;曼努埃尔 莫拉 米兰达 ;42;SC;Insignificant Layman;high;M44045;x
44156;Head of Government;卡洛斯 伊巴涅斯 德尔 坎波 ;46;SC;Old General;high;M44035;x
44157;Head of State;热罗尼莫 门德斯 阿兰西维亚 ;41;SD;Stern Imperialist;high;M44157;x
44158;Head of Government;热罗尼莫 门德斯 阿兰西维亚 ;41;SD;Silent Workhorse;high;M44157;x
44159;Head of State;阿尔弗雷多 杜阿尔德 瓦斯克斯 ;46;SD;Pig-headed Isolationist;high;M44159;x
44160;Head of Government;阿尔弗雷多 杜阿尔德 瓦斯克斯 ;46;SD;Naive Optimist;high;M44159;x
44161;Head of State;米萨埃尔 加列吉略斯 ;44;FA;Insignificant Layman;high;M44012;x
44162;Head of State;米格尔 克鲁查加 塔科马尔 ;38;SL;Autocratic Charmer;high;M44003;x
44163;Head of Government;米格尔 克鲁查加 塔科马尔 ;38;SL;Naive Optimist;high;M44003;x
44164;Head of Government;乔治 亚历山德里 罗德里格斯 ;52;SC;Corporate Suit;high;M44164;x
44165;Chief of Staff;卡洛斯 普拉茨;42;PA;School of Fire Support;High;M_CHL_CarlosPrats;x
44166;Chief of Army;卡洛斯 普拉茨;56;PA;Guns and Butter Doctrine;High;M_CHL_CarlosPrats;x
44167;Foreign Minister;卡洛斯 普拉茨;53;PA;General Staffer;High;M_CHL_CarlosPrats;x
44168;Chief of Staff;奥古斯托·皮诺切特;53;FA;School of Manoeuvre;High;L_CHL_Augusto_Pinochet;x
44169;Minister of Security;奥古斯托·皮诺切特;58;FA;Back Stabber;High;L_CHL_Augusto_Pinochet;x
