GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
42;Head of Government;马丁 鲍曼 ;41;NS;Silent Workhorse;High;Bormann_Martin_ger;x
43;Head of Government;阿尔伯特 施佩尔 ;45;NS;Corporate Suit;High;Speer_Albert_ger;x
44;Head of Government;奥斯卡 迈斯纳 ;36;PA;Naive Optimist;High;Mei遪er_Otto_ger;x
45;Head of Government;路德维希·富尔达;36;PA;Silent Workhorse;High;Bruening_Heinrich_ger;x
46;Head of Government;阿尔伯特 迪富尔-费龙斯 ;38;PA;Flamboyant Tough Guy;High;Dufour_von_Feronce_Albert_ger;x
47;Head of Government;弗朗茨 冯 巴本 ;39;PA;Happy Amateur;High;Papen_Franz_von_ger;x
48;Head of Government;卡尔 弗里德里克 格德勒 ;42;PA;Happy Amateur;High;Goerdeler_Carl_Friedrich_ger;x
49;Head of Government;约翰 什未林 冯 克罗西克 ;44;PA;Silent Workhorse;High;Krosigk_Johann_Lutz_Schwerin_von_ger;x
50;Head of Government;康拉德 阿登纳 ;46;SC;Silent Workhorse;High;Adenauer_Konrad_ger;x
51;Head of Government;恩斯特 台尔曼 ;36;ST;Backroom Backstabber;High;Thaelmann_Ernst_ger;x
52;Head of Government;恩斯特 托勒 ;39;ST;Ambitious Union Boss;High;Toller_Ernst_ger;x
53;Head of Government;瓦尔特 乌布利希 ;46;ST;Backroom Backstabber;High;Ulbricht_Walter_ger;x
55;Foreign Minister;约阿希姆 冯 里宾特洛甫 ;37;NS;Iron Fisted Brute;High;Ribbentrop_Joachim_von_ger;x
56;Foreign Minister;约瑟夫 戈培尔 ;42;NS;The Cloak N Dagger Schemer;Very High;Goebbels_Joseph_ger;x
57;Foreign Minister;阿尔弗雷德 罗森贝格 ;41;NS;Ideological Crusader;Very High;Rosenberg_Alfred_ger;x
58;Foreign Minister;亚瑟 赛斯-因夸特 ;45;NS;Iron Fisted Brute;Very High;Sey?Inquart_Artur_ger;x
59;Foreign Minister;约翰 什未林 冯 克罗西克 ;45;NS;Apologetic Clerk;Very High;Krosigk_Johann_Lutz_Schwerin_von_ger;x
60;Foreign Minister;路德维格 卡斯特尔 ;36;PA;Biased Intellectual;High;Kastl_Ludwig_ger;x
61;Foreign Minister;康斯坦丁 冯 牛赖特 ;39;PA;Great Compromiser;High;Neurath_Konstantin_von_ger;x
62;Foreign Minister;奥斯卡 迈斯纳 ;42;PA;The Cloak N Dagger Schemer;Low;Mei遪er_Otto_ger;x
63;Foreign Minister;约翰 什未林 冯 克罗西克 ;45;PA;Apologetic Clerk;High;Krosigk_Johann_Lutz_Schwerin_von_ger;x
64;Foreign Minister;托马斯 曼 ;36;PA;General Staffer;Medium;Mann_Thomas_ger;x
65;Foreign Minister;阿尔伯特 迪富尔-费龙斯 ;36;PA;Great Compromiser;Medium;Dufour_von_Feronce_Albert_ger;x
66;Foreign Minister;威廉 韦措尔特 ;38;PA;Apologetic Clerk;Medium;Waetzold_Wilhelm_ger;x
67;Foreign Minister;弗朗茨 冯 巴本 ;40;PA;Great Compromiser;Very High;Papen_Franz_von_ger;x
68;Foreign Minister;弗里德里克-维尔纳 冯 德尔 舒伦贝格 ;42;PA;Great Compromiser;Medium;Schulenburg_Friedrich-Werner_von_der;x
69;Foreign Minister;乌尔里希 冯 哈塞尔 ;43;PA;The Cloak N Dagger Schemer;Medium;Hassell_Ulrich_von_ger;x
70;Foreign Minister;卡尔 梅尔基奥尔 ;45;PA;Great Compromiser;Medium;Melchior_Carl_ger;x
71;Foreign Minister;特奥多尔 霍伊斯 ;46;SC;Apologetic Clerk;Very High;Heuss_Theodor_ger;x
72;Foreign Minister;康拉德 阿登纳 ;47;SC;Great Compromiser;Very High;Adenauer_Konrad_ger;x
73;Foreign Minister;瓦尔特 乌布利希 ;36;ST;The Cloak N Dagger Schemer;High;Ulbricht_Walter_ger;x
74;Foreign Minister;赫尔穆特 赫茨菲尔德 ;40;ST;Ideological Crusader;High;Herzfelde_Helmut_ger;x
76;Minister of Armament;鲁道夫 赫斯 ;36;NS;Strategic Air Proponent;High;He達Rudolf_ger;x
77;Minister of Armament;亚尔马 沙赫特 ;36;NS;Administrative Genius;Medium;Schacht_Hjalmar_ger;x
78;Minister of Armament;弗里德里克 弗利克 ;38;NS;Laissez Faires Capitalist;Medium;Flick_Friedrich_ger;x
79;Minister of Armament;赫尔曼 戈林 ;38;NS;Air to Ground Proponent;Very High;Goering_Hermann_ger;x
80;Minister of Armament;瓦尔特 丰克 ;38;NS;Resource Industrialist;Very High;Funk_Walter_ger;x
81;Minister of Armament;瓦尔特 达雷 ;39;NS;Military Entrepreneur;Very High;Darr開Walter_ger;x
82;Minister of Armament;库尔特 达略格 ;40;NS;Infantry Proponent;Very High;Daluege_Kurt_ger;x
83;Minister of Armament;马克斯 阿曼 ;41;NS;Battle Fleet Proponent;Very High;Amann_Max_ger;x
84;Minister of Armament;弗朗茨 泽维尔-施瓦茨 ;36;NS;Resource Industrialist;Very High;Schwarz_Franz_Xaver_ger;x
85;Minister of Armament;约翰 什未林 冯 克罗西克 ;36;NS;Resource Industrialist;Very High;Krosigk_Johann_Lutz_Schwerin_von_ger;x
86;Minister of Armament;阿尔伯特 施佩尔 ;42;NS;Administrative Genius;High;Speer_Albert_ger;x
87;Minister of Armament;奥斯瓦尔德 波尔 ;43;NS;Military Entrepreneur;High;Pohl_Oswald_ger;x
88;Minister of Armament;罗伯特 莱 ;36;NS;Corrupt Kleptocrat;High;Ley_Robert_ger;x
89;Minister of Armament;卡尔 奥托 绍尔 ;45;NS;Military Entrepreneur;High;Saur_Karl-Otto_ger;x
90;Minister of Armament;弗里茨 蒂森 ;36;FA;Laissez Faires Capitalist;Medium;Thyssen_Fritz_ger;x
91;Minister of Armament;弗里茨 托特 ;38;FA;Resource Industrialist;High;Todt_Fritz_ger;x
92;Minister of Armament;亚尔马 沙赫特 ;39;PA;Administrative Genius;High;Schacht_Hjalmar_ger;x
93;Minister of Armament;汉斯-格奥尔格 冯 弗里德堡 ;42;NS;Submarine Proponent;Very High;Friedeburg_Hans-Georg_von_ger;x
94;Minister of Security;艾尔弗雷德 梅耶;42;NS;Prince of Terror;Medium;Meyer_Alfred_ger;x
95;Minister of Armament;尤利乌斯 库尔提乌斯 ;36;PA;Resource Industrialist;Medium;Curtius_Julius_ger;x
96;Minister of Armament;保罗 勒热纳-容 ;38;PA;Laissez Faires Capitalist;Medium;Lejeune-Jung_Paul_ger;x
97;Minister of Armament;阿尔弗雷德 克虏伯 ;44;FA;Laissez Faires Capitalist;Medium;Krupp_Alfried_ger;x
98;Minister of Armament;格奥尔格 托马斯 ;40;PA;Theoretical Scientist;Low;Thomas_Georg_ger;x
99;Minister of Armament;卡尔 弗里德里克 格德勒 ;40;PA;Military Entrepreneur;High;Goerdeler_Carl_Friedrich_ger;x
100;Minister of Armament;阿尔伯特 施佩尔 ;42;PA;Administrative Genius;Medium;Speer_Albert_ger;x
101;Minister of Armament;约翰内斯 波皮茨 ;43;PA;Resource Industrialist;Very High;Popitz_Johannes_ger;x
102;Minister of Armament;克劳斯 冯 施陶芬贝格 ;44;PA;Infantry Proponent;High;Stauffenberg_Claus_von_ger;x
103;Minister of Armament;弗里茨 舍费尔 ;46;SC;Resource Industrialist;Very High;Schaeffer_Fritz_ger;x
104;Minister of Armament;路德维格 埃哈德 ;47;SC;Administrative Genius;Very High;Erhard_Ludwig_ger;x
105;Minister of Armament;阿尔伯特 孔茨 ;36;ST;Resource Industrialist;High;Kuntz_Albert_ger;x
106;Minister of Armament;维利 明岑贝格 ;42;ST;Administrative Genius;High;Muenzenberg_Willi_ger;x
108;Minister of Security;海因里希 希姆莱 ;36;NS;Prince of Terror;Very High;Himmler_Heinrich_ger;x
109;Minister of Security;维克托 卢策 ;39;NS;Compassionate Gentleman;Very High;Lutze_Viktor_ger;x
110;Minister of Security;约瑟夫 戈培尔 ;42;NS;Man of the People;Very High;Goebbels_Joseph_ger;x
111;Minister of Security;海因里希 米勒 ;43;NS;Prince of Terror;Very Low;Mueller_Heinrich_ger;x
112;Minister of Security;亚瑟 赛斯-因夸特 ;43;NS;Silent Lawyer;Very High;Sey?Inquart_Artur_ger;x
113;Minister of Security;卡尔 汉克 ;44;NS;Back Stabber;Very Low;Hanke_Karl_ger;x
114;Minister of Security;奥托 格奥尔格 蒂埃拉克 ;42;NS;Crime Fighter;Very High;Thierack_Otto-Georg_ger;x
115;Minister of Security;弗朗茨 冯 巴本 ;46;NS;Compassionate Gentleman;Very High;Papen_Franz_von_ger;x
116;Minister of Security;恩斯特 特伦德伦堡 ;36;PA;Compassionate Gentleman;Medium;Trendelenburg_Ernst_ger;x
117;Minister of Security;阿尔弗雷德 胡根贝格 ;36;PA;Compassionate Gentleman;Medium;Hugenberg_Alfred_ger;x
118;Minister of Security;海因里希 米勒 ;39;PA;Efficient Sociopath;Very Low;Mueller_Heinrich_ger;x
119;Minister of Security;亚瑟 内贝 ;42;FA;Crime Fighter;Low;Nebe_Arthur_ger;x
120;Minister of Security;亚瑟 阿克斯曼 ;45;FA;Man of the People;High;Axmann_Artur_ger;x
121;Minister of Security;约翰 冯 伯恩斯托夫 ;36;PA;Back Stabber;Medium;Bernstorff_Johann_Heinrich_von_ger;x
122;Minister of Security;卡尔 萨克 ;36;PA;Silent Lawyer;Medium;Sack_Karl_ger;x
123;Minister of Security;威廉 冯 盖尔 ;38;PA;Silent Lawyer;High;Gayl_Wilhelm_von_ger;x
124;Minister of Security;瓦尔特 舍伦贝格尔 ;39;NS;Efficient Sociopath;Low;Schellenberg_Walter_ger;x
125;Minister of Security;约瑟夫 维尔默 ;42;SC;Man of the People;Medium;Wirmer_Josef_ger;x
126;Minister of Security;弗里茨 冯 舒伦堡 ;42;PA;Compassionate Gentleman;Very High;M126;x
127;Minister of Security;亨宁 冯 特雷斯科 ;44;PA;Crime Fighter;Low;Tresckow_Henning_von_ger;x
128;Minister of Security;弗朗茨 冯 巴本 ;45;PA;Compassionate Gentleman;Very High;Papen_Franz_von_ger;x
129;Minister of Security;卡尔 阿诺德 ;46;SC;Crime Fighter;High;Arnold_Karl_ger;x
130;Minister of Security;古斯塔夫 海涅曼 ;47;SC;Man of the People;High;Heinemann_Gustav_ger;x
131;Minister of Security;恩斯特 托勒 ;36;ST;Man of the People;Low;Toller_Ernst_ger;x
132;Minister of Security;路德维格 雷恩 ;39;ST;Efficient Sociopath;Very High;Renn_Ludwig_ger;x
133;Minister of Security;尤利乌斯 莱贝尔 ;42;ST;Compassionate Gentleman;High;Leber_Julius_ger;x
134;Minister of Security;瓦尔特 乌布利希 ;44;ST;Prince of Terror;High;Ulbricht_Walter_ger;x
136;Head of Military Intelligence;汉斯-格奥尔格 冯 弗里德堡 ;42;NS;Naval Intelligence Specialist;Medium;Friedeburg_Hans-Georg_von_ger;x
137;Head of Military Intelligence;威廉 弗里克 ;44;NS;Technical Specialist;High;Frick_Wilhelm_ger;x
138;Head of Military Intelligence;恩斯特 卡尔滕布伦纳 ;44;NS;Logistics Specialist;High;Kaltenbrunner_Ernst_ger;x
139;Head of Military Intelligence;马丁 鲍曼 ;44;NS;Political Specialist;High;Bormann_Martin_ger;x
140;Head of Military Intelligence;亚尔马 沙赫特 ;45;NS;Industrial Specialist;Medium;Schacht_Hjalmar_ger;x
141;Head of Military Intelligence;奥斯卡 冯 兴登堡 ;36;PA;Political Specialist;Medium;Hindenburg_Oskar_von;x
142;Head of Military Intelligence;瓦尔特 舍伦贝格尔 ;40;NS;Dismal Enigma;High;Schellenberg_Walter_ger;x
143;Head of Military Intelligence;巴尔杜尔 冯 席拉赫 ;44;FA;Logistics Specialist;High;Schirach_Baldur_von_ger;x
144;Head of Military Intelligence;卡尔 冯 舒伯特 ;36;PA;Logistics Specialist;High;Schubert_Carl_von_ger;x
145;Head of Military Intelligence;奥托·斯特拉瑟;38;PA;Political Specialist;High;Strasser_Otto_ger;x
146;Head of Military Intelligence;汉斯 奥斯特 ;39;PA;Industrial Specialist;High;Oster_Hans_ger;x
147;Head of Military Intelligence;格奥尔格 汉森 ;40;PA;Technical Specialist;Low;Hansen_Georg_ger;x
148;Head of Military Intelligence;威廉 卡纳里斯 ;44;PA;Dismal Enigma;Medium;Canaris_Wilhelm_ger;x
149;Head of Military Intelligence;汉斯 埃哈德 ;46;SC;Political Specialist;High;Ehard_Hans_ger;x
150;Head of Military Intelligence;莱因哈德 格伦 ;42;NS;Dismal Enigma;High;Gehlen_Reinhard_ger;x
151;Head of Military Intelligence;恩斯特 台尔曼 ;36;ST;Industrial Specialist;High;Thaelmann_Ernst_ger;x
152;Head of Military Intelligence;埃里希 魏纳特 ;38;ST;Logistics Specialist;High;Weinert_Erich_ger;x
153;Head of Military Intelligence;海因里希 米勒 ;43;ST;Political Specialist;Very High;Mueller_Heinrich_ger;x
155;Chief of Staff;弗朗茨 哈德尔 ;38;FA;School of Fire Support;Medium;Halder_Franz_ger;x
156;Chief of Staff;阿尔弗雷德 约德尔 ;39;NS;School of Psychology;High;Jodl_Alfred_ger;x
157;Chief of Staff;海因茨 古德里安 ;44;PA;School of Mass Combat;High;Guderian_Heinz_ger;x
158;Chief of Staff;汉斯 克雷布斯 ;45;NS;School of Defence;Medium;Krebs_Hans1_ger;x
159;Chief of Staff;弗里茨 拜尔莱因 ;36;PA;School of Psychology;High;Bayerlein_Fritz_ger;x
160;Chief of Staff;埃里希 赫普纳 ;37;FA;School of Fire Support;Medium;Hoepner_Erich1_ger;x
162;Chief of Staff;欧文 冯 维茨莱本 ;41;PA;School of Fire Support;Medium;Witzleben_Erwin_von_ger;x
163;Chief of Staff;库尔特 蔡茨勒 ;42;FA;School of Defence;Medium;Zeitzler_Kurt_ger;x
165;Chief of Staff;欧文 隆美尔 ;43;PA;School of Manoeuvre;High;Rommel_Erwin_ger;x
166;Chief of Staff;威廉 格吕纳 ;36;PA;School of Defence;Medium;Groener_Wilhelm_ger;x
168;Chief of Staff;阿道夫 霍伊辛格 ;46;PA;School of Mass Combat;Low;Heusinger_Adolf_ger;x
169;Chief of Staff;尤利乌斯 林格尔 ;44;PA;School of Manoeuvre;Medium;Ringel_Julius_ger;x
170;Chief of Staff;汉斯 施派德尔 ;46;PA;School of Mass Combat;High;Speidel_Hans1_ger;x
171;Chief of Staff;恩斯特 沃尔韦伯 ;36;ST;School of Mass Combat;Very High;Wollweber_Ernst_ger;x
172;Chief of Staff;埃里希 魏纳特 ;44;ST;School of Psychology;High;Weinert_Erich_ger;x
174;Chief of Army;瓦尔特 冯 布劳希奇 ;38;FA;Armoured Spearhead Doctrine;High;Brauchitsch_Walther_von_ger;x
175;Chief of Army;库尔特 冯 哈默施泰因-埃克沃德 ;39;FA;Guns and Butter Doctrine;High;Hammerstein-Equord_Kurt_von_ger;x
176;Chief of Army;威廉 凯特尔 ;40;NS;Armoured Spearhead Doctrine;Very High;Keitel_Wilhelm1_ger;x
177;Chief of Army;阿道夫 希特勒 ;42;NS;Decisive Battle Doctrine;Very High;Hitler_Adolf_ger;x
178;Chief of Army;费迪南德 舍尔纳 ;45;NS;Elastic Defence Doctrine;Very High;Schoerner_Ferdinand1_ger;x
179;Chief of Army;埃里希 鲁登道夫 ;36;PA;Elastic Defence Doctrine;High;Ludendorff_Erich_ger;x
180;Chief of Army;维尔纳 冯 布隆贝格 ;37;NS;Guns and Butter Doctrine;High;Blomberg_Werner_von_ger;x
182;Chief of Army;费多尔 冯 博克 ;39;FA;Decisive Battle Doctrine;High;Bock_Fedor_von1_ger;x
183;Chief of Army;埃里希 赫普纳 ;42;FA;Armoured Spearhead Doctrine;Medium;Hoepner_Erich1_ger;x
184;Chief of Army;欧文 冯 维茨莱本 ;43;PA;Static Defence Doctrine;Medium;Witzleben_Erwin_von_ger;x
185;Chief of Army;瓦尔特 冯 吕特维茨 ;36;PA;Decisive Battle Doctrine;Low;Luettwitz_Walther_von_ger;x
187;Chief of Army;尤利乌斯 林格尔 ;42;PA;Guns and Butter Doctrine;Medium;Ringel_Julius_ger;x
188;Chief of Army;特奥多尔 布兰克 ;46;SC;Armoured Spearhead Doctrine;High;Blank_Theodor_ger;x
189;Chief of Army;汉斯 施派德尔 ;47;SC;Decisive Battle Doctrine;High;Speidel_Hans1_ger;x
190;Chief of Army;汉斯 卡勒 ;36;ST;Decisive Battle Doctrine;Very High;Kahle_Hans_ger;x
192;Chief of Navy;卡尔 邓尼茨 ;39;NS;Indirect Approach Doctrine;Very High;Doenitz_Karl_ger;x
193;Chief of Navy;汉斯-格奥尔格 冯 弗里德堡 ;44;NS;Indirect Approach Doctrine;Medium;Friedeburg_Hans-Georg_von_ger;x
194;Chief of Navy;库尔特 弗赖瓦尔德 ;41;NS;Base Control Doctrine;Medium;Witzell_Karl1_ger;x
195;Chief of Navy;阿尔弗雷德 萨尔瓦奇特 ;36;FA;Open Seas Doctrine;High;Saalwaechter_Alfred_ger;x
197;Chief of Navy;路德维格 富尔达 ;36;PA;Decisive Naval Battle Doctrine;Medium;Schniewind_Otto_ger;x
198;Chief of Navy;康拉德 阿尔布雷克特 ;39;PA;Open Seas Doctrine;Medium;Albrecht_Conrad_ger;x
199;Chief of Navy;古斯塔夫 基泽里茨基 ;40;PA;Base Control Doctrine;Medium;Kieseritzky_Gustav1_ger;x
200;Chief of Navy;埃里希 贝 ;46;SC;Open Seas Doctrine;High;Bey_Erich_ger;x
201;Chief of Navy;弗里茨 舍伦 ;36;ST;Base Control Doctrine;Very High;Verner_Waldemar_ger;x
203;Chief of Air Force;胡戈 斯佩尔勒 ;39;NS;Carpet Bombing Doctrine;High;Sperrle_Hugo_ger;x
204;Chief of Air Force;罗伯特 里特尔 冯 格雷姆 ;43;NS;Air Superiority Doctrine;Very High;Greim_Robert_von_ger;x
205;Chief of Air Force;卡尔 科勒 ;44;FA;Army Aviation Doctrine;Medium;Koller_Karl_ger;x
206;Chief of Air Force;埃伯哈德 米尔希 ;36;FA;Air Superiority Doctrine;Medium;Milch_Erhard_ger;x
207;Chief of Air Force;阿尔伯特 凯塞林 ;37;FA;Vertical Envelopment Doctrine;High;Kesselring_Albert_ger;x
208;Chief of Air Force;卡尔 弗里德里克 冯 西门子 ;36;PA;Air Superiority Doctrine;Medium;Siemens_Friedrich_Carl_von_ger;x
209;Chief of Air Force;恩斯特 乌德特 ;40;PA;Army Aviation Doctrine;High;Udet_Ernst_ger;x
210;Chief of Navy;威廉 奥克斯纽斯 ;42;NS;Open Seas Doctrine;Medium;Bonte_Friedrich_ger;x
23;Foreign Minister;赫尔穆特 赫茨菲尔德 ;36;ST;Ideological Crusader;High;Herzfelde_Helmut_ger;x
214;Head of Government;弗朗茨 克萨韦尔 里特尔 冯 埃普 ;36;NS;Old General;Very High;Epp_Franz_Xaver_von_ger;x
216;Head of Government;汉斯 海因里希 拉默斯 ;37;NS;Political Protege;Very High;Lammers_Hans_Heinrich_ger;x
217;Head of Government;弗里德里克 威廉 克里钦格 ;45;NS;Naive Optimist;Very High;M217;x
219;Minister of Armament;弗朗茨 克萨韦尔 里特尔 冯 埃普 ;36;NS;Infantry Proponent;Very High;Epp_Franz_Xaver_von_ger;x
220;Minister of Armament;弗朗茨 泽尔特 ;36;NS;Military Entrepreneur;Very High;Seldte_Franz_ger;x
221;Minister of Armament;康斯坦丁 希耶尔 ;36;NS;Resource Industrialist;Very High;Hierl_Konstantin_ger;x
222;Minister of Armament;克萨韦尔 多施 ;44;FA;Resource Industrialist;Very High;Dorsch_Xaver_ger;x
223;Minister of Security;弗朗茨 居特纳 ;36;FA;Silent Lawyer;Medium;Guertner_Franz_ger;x
224;Minister of Security;库尔特 达略格 ;36;NS;Prince of Terror;Very High;Daluege_Kurt_ger;x
226;Minister of Security;瓦尔特 布赫 ;37;NS;Silent Lawyer;High;Buch_Walter_ger;x
227;Minister of Security;汉斯 弗兰克 ;41;NS;Prince of Terror;High;Frank_Hans_ger;x
228;Minister of Security;罗兰 弗赖斯勒 ;42;NS;Crime Fighter;Very High;Freisler_Roland_ger;x
229;Chief of Staff;埃里希 冯 曼施泰因 ;42;PA;School of Manoeuvre;Medium;Manstein_Erich_von1_ger;x
230;Chief of Staff;恩斯特 布施 ;45;NS;School of Fire Support;High;Busch_Ernst1_ger;x
231;Chief of Army;云特 冯 克卢格 ;42;PA;Decisive Battle Doctrine;Medium;Kluge_Hans-Guenther_von1_ger;x
232;Chief of Army;保罗 豪塞尔 ;48;NS;Armoured Spearhead Doctrine;Very High;Hausser_Paul1_ger;x
233;Chief of Navy;威廉 马沙尔 ;41;NS;Open Seas Doctrine;High;Marschall_Wilhelm1_ger;x
234;Chief of Navy;瓦尔特 瓦热哈 ;42;PA;Indirect Approach Doctrine;Medium;Warzecha_Walter1_ger;x
235;Chief of Air Force;奥托 德斯罗奇 ;39;NS;Air Superiority Doctrine;High;De遧och_Otto2_ger;x
236;Chief of Air Force;乌尔里希 格劳尔特 ;36;FA;Air Superiority Doctrine;High;Grauert_Ulrich1_ger;x
237;Chief of Air Force;汉斯-于尔根 施通普夫 ;40;NS;Army Aviation Doctrine;Very High;Stumpff_Hans1_ger;x
238;Chief of Staff;瓦尔特 冯 赖歇瑙 ;41;NS;School of Fire Support;Very High;Reichenau_Walter_von1_ger;x
239;Head of Military Intelligence;恩斯特 沃尔韦伯 ;36;ST;Industrial Specialist;Very High;Wollweber_Ernst_ger;x
240;Minister of Armament;卡尔 邓尼茨 ;44;NS;Submarine Proponent;Very High;Doenitz_Karl2_ger;x
241;Minister of Armament;约翰 什未林 冯 克罗西克 ;45;NS;Resource Industrialist;High;Krosigk_Johann_Lutz_Schwerin_von_ger;x
242;Minister of Security;保罗 吉斯勒 ;45;NS;Efficient Sociopath;Very High;Giesler_Paul_ger;x
243;Minister of Security;维尔纳 瑙曼 ;45;NS;Compassionate Gentleman;Very High;Naumann_Werner_ger;x
244;Minister of Security;莱因哈德 海德里希 ;36;NS;Prince of Terror;Very High;Heydrich_Reinhard_ger;x
253;Minister of Armament;阿尔弗雷德 胡根贝格 ;36;PA;Resource Industrialist;High;Hugenberg_Alfred_ger;x
254;Minister of Security;赫尔穆特 冯 莫尔特克 ;39;SC;Compassionate Gentleman;High;Moltke_Helmuth_von_ger;x
247;Head of Military Intelligence;汉斯 吉泽菲乌斯 ;39;SC;Dismal Enigma;Medium;Gisevius_Hans_ger;x
248;Minister of Security;汉斯 多纳尼 ;36;SC;Silent Lawyer;Medium;Dohnanyi_Hans_von_ger;x
249;Head of Military Intelligence;汉斯 多纳尼 ;36;SC;Political Specialist;Medium;Dohnanyi_Hans_von_ger;x
250;Minister of Security;鲁道夫 迪尔斯 ;36;NS;Crime Fighter;Medium;Diels_Rudolf_ger;x
251;Minister of Armament;古斯塔夫 克虏伯 ;36;FA;Tank Proponent;High;Krupp_Gustv_ger;x
252;Minister of Armament;弗里茨 绍克尔 ;42;NS;Infantry Proponent;High;Sauckel_Fritz_ger;x
255;Chief of Air Force;汉斯 乌尔里希 鲁德尔 ;50;FA;Air Superiority Doctrine;High;Rudel_Hans-Ulrich1_ger;x
256;Foreign Minister;厄恩斯特 冯 魏茨泽克 ;36;NS;Great Compromiser;Medium;Weizsaecker_Ernst_von_ger;x
257;Chief of Air Force;库尔特 史 ;44;NS;Vertical Envelopment Doctrine;Medium;Student_Kurt1_ger;x
258;Minister of Security;阿道夫 瓦格纳;38;NS;Back Stabber;Medium;Wagner_Adolf_ger;x
259;Minister of Security;奥迪咯 格洛博奇尼克 ;39;NS;Prince of Terror;Medium;Globocnik_Odilo_ger;x
260;Chief of Staff;奥斯卡 孟泽尔;48;PA;School of Fire Support;Very High;M_GER_Oskar_Munzel;x
261;Head of Military Intelligence;卡尔·弗里德里希·奥托·沃尔夫;46;NS;Dismal Enigma;High;M_GER_karl Friedrich_O_Wolff;x
262;Chief of Staff;卡尔·弗里德里希·奥托·沃尔夫;46;NS;School of Defence;High;M_GER_karl Friedrich_O_Wolff;x
263;Minister of Security;埃米尔·莫里斯;36;FA;Back Stabber;Very High;M_GER_Emil_Maurice;x
264;Minister of Security;奥托·恩斯特·雷默;47;NS;Prince of Terror;High;M_GER_Otto_Ernst_Remer;x
265;Chief of Navy;埃里希·托普;47;PA;Indirect Approach Doctrine;High;M_GER_Erich_Topp;x
266;Chief of Air Force;阿道夫·加兰德;41;PA;Air Superiority Doctrine;High;M_GER_Adolf_Galland;x
267;Minister of Armament;阿道夫·加兰德;43;PA;Air Superiority Proponent;High;M_GER_Adolf_Galland;x
268;Chief of Staff;海因茨 - 古德里安;51;PA;School of Manoeuvre;High;M_GER_Heinz-G黱ther_Guderian;x
269;Minister of Security;弗朗兹 阿尔弗雷德六世;44;NS;Prince of Terror;High;M_GER_Franz_Alfred_Si;x
270;Chief of Staff;冈瑟 布鲁姆楚;43;PA;School of Psychology;High;M_GER_GuentherBlumentritt;x
271;Chief of Army;冈瑟 布鲁姆楚;45;PA;Elastic Defence Doctrine;High;M_GER_GuentherBlumentritt;x
272;Chief of Staff;恩斯特 布斯;40;PA;School of Mass Combat;High;M_GER_ErnstBusse;x
273;Chief of Navy;汉斯·威廉 朗多夫;40;FA;Decisive Naval Battle Doctrine;High;M_GER_HansLangsdorff;x
274;Chief of Staff;弗朗兹·拜尔;45;SC;School of Psychology;Very High;MIN_GER_DrFranzBeyer;x
275;Chief of Staff;瓦尔特 布赫;42;PA;School of Fire Support;High;M_GER_Walther_Buhle;x
