MODIFIER;    INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GARR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B; CAS;TRA P;FL B;FL R; BB; CL; CA; BC; DD;  CV; CVL;SUB;NSUB;TRA;X
DEF_DESERT;  -25;-25;-25; -25;    0;  0; -25;  0;-25;100;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_MOUNTAIN;  0;  0;  0;   0;  -50;-50;   0;  0; 75;100;  0;  0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_HILL;      0;-15;  0;   0;  -25;-25;   0;  0; 75;100;  0;  0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_FOREST;    0;  0;  0;   0;    0;  0;   0;  0;  0;100;  0;  0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_JUNGLE;  -25;-25;-25; -15;  -65;-65;  50; 50;-25;100;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_SWAMP;   -25;-25;-25; -15;  -50;-50;  50; 50;-25;100;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_URBAN;    50;  0; 50;  50;  -25;-25;  25; 25; 25;100; 50; 50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
DEF_PLAINS;    0;  0;  0;   0;    0;  0;   0;  0;  0;100;  0;  0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_BLIZZARD;-75;-75;-75; -50;  -75;-75; -75;-75;-50;  0;-75;-75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_SNOW;    -50;-50;-50; -35;  -35;-35; -50;-50;-35;  0;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_FROZEN;  -75;-75;-75; -50;  -50;-75;   0;-75;-50;  0;-75;-75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_RAIN;    -20;-20;-20;   0;    0;  0; -20;-20;  0;  0;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_STORM;   -75;-75;-75; -65;  -65;-75; -75;-75;-65;  0;-75;-75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_MUDDY;   -50;-50;-50; -35;  -50;-75;   0;-25;-50;  0;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_NIGHT;   -50;-50;-50; -35;  -35;-35; -50;-50;-50;  0;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_DESERT;  -35;-15;-35; -15;    0;  0;   0;-15;-35;  0;-35;-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_MOUNTAIN;-50;-50;-50; -35;  -75;-75;   0;-50; 25;  0;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_HILL;    -25;-25;-25; -10;  -35;-35;   0;-25; 50;  0;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_FOREST;  -10;-15;-10;   0;  -10;-15;   0;-10;-10;  0;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_JUNGLE;  -50;-50;-50; -35;  -75;-75;   0;  0;-50;  0;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_SWAMP;   -50;-50;-50; -35;  -65;-75;   0;-25;-50;  0;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_URBAN;     0;  0;  0;   0;    0;  0;   0;  0;  0;  0;  0;  0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
MOV_PLAINS;    0;  0;  0;   0;    0;  0;   0;  0;  0;  0;  0;  0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
