 ;HEARTS OF IRON! Doomsday;;;;;;;;;;x
EXPENSE_INTELLIGENCE_TOOLTIP;每天用于谍报活动的经费 ;;;;;;;;;;X
EXPENSE_MILITARY_ATTR_MOD;军费开支 百分之%.2f ;;;;;;;;;;X
EXPENSE_MILITARY;军费 ;;;;;;;;;;X
EXPENSE_MILITARY_TOOLTIP;军费开支 %.1f \n 军费开支影响部队组织度恢复和人员消耗 ;;;;;;;;;;X
#EXPENSE_NUCLEAR;核反应堆经费 ;;;;;;;;;;X
EXPENSE_NUCLEAR;核反应堆经费 ;;;;;;;;;;X
EXPENSE_NUCLEAR_POWER;核电站经费 ;;;;;;;;;;X
EXPENSE_NUCLEAR_POWER_TOOLTIP;核电站经费: 百分之%.2f ;;;;;;;;;;X
EXPENSE_NUCLEAR_TOOLTIP;核反应堆经费: 百分之%.2f ;;;;;;;;;;X
#EXPENSE_RESEARCH;研究经费 ;;;;;;;;;;X
EXPENSE_RESEARCH;研究经费 ;;;;;;;;;;X
EXPENSE_RESEARCH_TOOLTIP;研究速度: 百分之%.2f ;;;;;;;;;;X
EXPENSES_TOOLTIP;支出: %.2f ;;;;;;;;;;X
EXPENSE_SYNTHETIC_RARES;合成材料工厂 ;;;;;;;;;;X
EXPENSE_SYNTHETIC_RARES_TOOLTIP;合成材料工厂以百分之%.2f的效率工作 ;;;;;;;;;;X
EXPENSE_SYNTHETIC;合成燃料工厂 ;;;;;;;;;;X
#EXPENSE_SYNTHETIC;合成燃料工厂 ;;;;;;;;;;X
EXPENSE_SYNTHETIC_TOOLTIP;合成燃料工厂以百分之%.2f的效率工作 ;;;;;;;;;;X
EXPENSE_TITLE;支出 ;;;;;;;;;;X
AUTOADVSLIDERS;高级滑动条 ;;;;;;;;;;X
DOMESTIC_ARMY_SALARY;军费支出: %s%.1f\%%\n;;;;;;;;;;X
ENERGY_PRODUCTION;- 能源产量: %s%d\%%\n;;;;;;;;;;X
METAL_PRODUCTION;- 金属产量: %s%d\%%\n;;;;;;;;;;X
RARE_MATERIALS_PRODUCTION;- 稀有材料产量: %s%d\%%\n;;;;;;;;;;X
CG_NEED;消费品需求 ;;;;;;;;;;X
UPGRADE_COST;升级花费 ;;;;;;;;;;X
REINFORCEMENT_COST;增援花费 ;;;;;;;;;;X
INFRA_REBUILD_COST;基础设施重建花费 ;;;;;;;;;;X
ALLIANCE_W_CLOSE_DEMOCRACIES;-与亲民主国家结盟几率: %s%d\%%\n ;;;;;;;;;;X
ALLIANCE_W_CLOSE_DICTATORSHIPS;-与亲独裁国家结盟几率: %s%d\%%\n ;;;;;;;;;;X
FEOPT_MSGBOXBTNDELAY;消息框关闭迟延 ;;;;;;;;;;X
FEOPT_NOTIFIERDUR;通知图标显示持续时间 ;;;;;;;;;;X
FEOPT_DURATION_3;3天 ;;;;;;;;;;X
FEOPT_DURATION_7;1周 ;;;;;;;;;;X
FEOPT_DURATION_14;2周 ;;;;;;;;;;X
FEOPT_DURATION_30;1月 ;;;;;;;;;;X
FEOPT_DURATION_INFINITE;无限 ;;;;;;;;;;X
GOV_SAME;相同的政府 ;;;;;;;;;;X
GOV_OTHER;其它的政府 ;;;;;;;;;;X
GOV_WEAKER;更弱的政府 ;;;;;;;;;;X
GOV_NOT_WEAKER;不弱于 ;;;;;;;;;;X
T_INTEL_DIFF;情报优势 ;;;;;;;;;;X
BOMB_SYN;%.2f 级的合成燃料工厂 ;;;;;;;;;;X
BOMB_D01;%.2f 级的合成材料工厂 ;;;;;;;;;;X
BOMB_D02;%.2f 级的核电站 ;;;;;;;;;;X
BOMB_D03;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D04;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D05;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D06;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D07;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D08;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D09;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D10;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D11;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D12;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D13;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D14;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D15;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D16;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D17;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D18;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D19;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D20;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D21;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D22;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D23;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D24;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
BOMB_D25;%.2f levels of the disponible building in messages.csv ;;;;;;;;;;X
EVT_8020_DESC;一项秘密项目取得成果。火炮承包商和工程师们已经联手起来， 并且项目主管向总参谋部展示了理论结果。据信进一步的实证 研究会产生一系列的超重型列车炮。 ;;;;;;;;;;X
ESE_DISTANCE;距离修正 %.2f \n ;;;;;;;;;;X
ATTR_HOSTILE;敌方前线\n ;;;;;;;;;;X
ATTR_HOSTILE_RETREAT;从敌方前线撤退中\n ;;;;;;;;;;X
ATTR_HOSTILE_RETREAT_IN_PROVINCE;省份侵占\n ;;;;;;;;;;X
ATTR_MOVING;移动中\n ;;;;;;;;;;X
ATTR_MOVING_MUDDY;在泥泞中移动\n ;;;;;;;;;;X
NO_RETREAT;单位正在加入战斗，请稍后再试 ;;;;;;;;;;X
EYR_T_ESE;有效补给率 ;;;;;;;;;;X
EYR_T_BASE_IC;基础IC ;;;;;;;;;;X
EYR_T_EFF;IC效率 ;;;;;;;;;;X
EYRCOMLOSS;损失对比 ;;;;;;;;;;X
EYRCOMLOSS_MP;人力 ;;;;;;;;;;X
EYRCOMLOSS_FIGHTER_;战斗机 ;;;;;;;;;;X
EYRCOMLOSS_BOMBER_;轰炸机 ;;;;;;;;;;X
EYRCOMLOSS_TRUCKS;汽车 ;;;;;;;;;;X
EYRCOMLOSS_ARTILLERY;火炮 ;;;;;;;;;;X
EYRCOMLOSS_TANKS;坦克 ;;;;;;;;;;X
EYRCOMLOSS_CAPITALS;主力舰 ;;;;;;;;;;X
EYRCOMLOSS_SCREENS;辅助舰 ;;;;;;;;;;X
EYRCOMLOSS_SUBS;潜艇 ;;;;;;;;;;X
EYRCOMLOSS_DISP1;运输舰 ;;;;;;;;;;X
EYRCOMLOSS_CONVOYS;输送船 ;;;;;;;;;;X
EYRCOMLOSS_ESCORTS;护航船 ;;;;;;;;;;X
EYRCOMLOSS_ROCKETS;火箭 ;;;;;;;;;;X
EYRCOMLOSS_DISP2;核弹 ;;;;;;;;;;X
EYRCOMLOSS_DISP3;单位IC·天数 ;;;;;;;;;;X
EYRCOMLOSS_DISP4;省份IC·天数 ;;;;;;;;;;X
EYRCOMLOSS_DISP5; ;;;;;;;;;;X
EYRCOMLOSS_DISP6; ;;;;;;;;;;X
EYRCOMLOSS_DISP7; ;;;;;;;;;;X
EYRCOMLOSS_DISP8; ;;;;;;;;;;X
EYRCOMLOSS_DISP9; ;;;;;;;;;;X
EYRCOMLOSS_DISP10; ;;;;;;;;;;X
EYRCOMLOSS_DISP11; ;;;;;;;;;;X
EYRCOMLOSS_DISP12; ;;;;;;;;;;X
EYRCOMLOSS_DISP13; ;;;;;;;;;;X
EYRCOMLOSS_DISP14; ;;;;;;;;;;X
EYRCOMLOSS_DISP15; ;;;;;;;;;;X
EYRCOMLOSS_DISP16; ;;;;;;;;;;X
EYRCOMLOSS_DISP17; ;;;;;;;;;;X
EYRCOMLOSS_DISP18; ;;;;;;;;;;X
EYRCOMLOSS_DISP19; ;;;;;;;;;;X
EYRCOMLOSS_DISP20; ;;;;;;;;;;X
EYR_ANNEXED;被吞并国 ;;;;;;;;;;X
EYRCOMILOSS_SHIPS;对方船只 ;;;;;;;;;;X
EYRCOMILOSS_CEFF;战斗效率 ;;;;;;;;;;X
EYRCOMINFLOSS;战果对比 ;;;;;;;;;;X
EYRCOMLOSSCHART;损失对比图 ;;;;;;;;;;X
EYRCOMLOSSCHART1;人力损失 ;;;;;;;;;;X
EYRCOMLOSSCHART2;造成人力损失 ;;;;;;;;;;X
EYRCOMLOSSCHART3;战斗效率 ;;;;;;;;;;X
EYRCOMLOSSCHART4;核弹 ;;;;;;;;;;X
DISORG_LOWORG;我们的一支部队组织度太低而不能移动 ;;;;;;;;;;X
DWAREYOUSURE1;(任务将一直执行 ;;;;;;;;;;X
DWAREYOUSURE2;直到新的命令。) ;;;;;;;;;;X
DWAREYOUSURE3;立即生效且 ;;;;;;;;;;X
DWAREYOUSURE4;不能撤销 ;;;;;;;;;;X
DEV_DEPLOY_IRO;(按住shift键选择多个单位部署，使用control键同时选择 所有可能的单位) ;;;;;;;;;;X
RES_DRO_OFFSHORE;\n 海外利用量：%.2f ;;;;;;;;;;X
EYR_RES_OS;海外IC本地利用量 ;;;;;;;;;;X
DEL_SLIDER_CONSUMER;每日金钱：%+.2f\n - 来自工业：%+.2f\n - 来自空闲人力：%+.2f\n - 支出：%+.2f\n - 贸易：%+.2f\n ;;;;;;;;;;X
DEV_COMPLETE_PERC;已完成百分之%.1f ;;;;;;;;;;X
DEV_UPGRADE_LINE;把这条生产线升级到最新兵种等级，这会减少当前的流水线 加成，并暂停生产转而进行重组。 ;;;;;;;;;;X
RCDM_SEND_PROVINCE;把这个省份交给：%s ;;;;;;;;;;X
SUPPLY_STOCK_ROLLOVER;该单位当前拥有%.1f补给储备，最大%.1f ;;;;;;;;;;X
OIL_STOCK_ROLLOVER;该单位当前拥有%.1f石油储备，最大%.1f ;;;;;;;;;;X
PROV_ESE;你的军队在该地的有效补给效率是:%.2f\%%。 ;;;;;;;;;;X
ESE_NAME;有效补给效率 ;;;;;;;;;;X
ESE_TXT;有效补给率 ;;;;;;;;;;X
ESE_TXT2;补给率:%.2f\%% ;;;;;;;;;;X
RESEARCH_BASE_DIFF;基础难度：%.1f \n ;;;;;;;;;;X
RESEARCH_BASE_SKILL;基础技能等级：%.1f \n ;;;;;;;;;;X
RESEARCH_BASE_SPECIAL_SKILL;技能相符：+100\% \n ;;;;;;;;;;X
RESEARCH_HISTORICAL_MODIFIER;历史日期修正：%.2f \n ;;;;;;;;;;X
RESEARCH_BLUEPRINT_MODIFIER;拥有蓝图：%.2f \n ;;;;;;;;;;X
RESEARCH_TOTAL_SPEED;当前小组研究速度：%.1f \n ;;;;;;;;;;X
REINF_TITLE;增援： ;;;;;;;;;;X
REINF_AIR;空军数量：%d \n ;;;;;;;;;;X
REINF_LAND;陆军数量：%d \n ;;;;;;;;;;X
REINF_NAVAL;海军数量：%d \n ;;;;;;;;;;X
REINF_IDLE;不需要增援 \n ;;;;;;;;;;X
REINF_TOTAL;师的数量：%d \n ;;;;;;;;;;X
NOTEFIER_TECH;有一个科技格未使用 ;;;;;;;;;;X
NOTEFIERD_TECH; ;;;;;;;;;;X
NOTEFIER_MILITARYSPENDING;军费未达到满负荷 ;;;;;;;;;;X
NOTEFIERD_MILITARYSPENDING;没有全额军费的部队战力很糟糕，增加你的开支以发挥部队 的全部实力。 ;;;;;;;;;;X
NOTEFIER_SLIDERMOVE;一个滑动条可以移动了 ;;;;;;;;;;X
NOTEFIERD_SLIDERMOVE;你可以在外交窗口找到滑动条 ;;;;;;;;;;X
CONVERSIONS_TITLE;转换 ;;;;;;;;;;X
PROD_MAX;最大产量：%.1f ;;;;;;;;;;X
KPVALUE2;总胜利点：%d \n世界排名：%d \n----------\n第一名：%s ;;;;;;;;;;X
UNIT_STAND_GROUND;不成功便成仁 \n该单位会死战不退以拖延敌人，让其他部队有时间撤退。\n注意！该选项非常不受民众欢迎，会导致不满度的增加。 ;;;;;;;;;;X
UNIT_SCORCH_GROUND;焦土政策 \n该单位在撤退时会破坏所在省份，给敌人留下一片废墟。 ;;;;;;;;;;X
CONFIRMCOVESC;你确定要把该单位转换为护航舰吗？ ;;;;;;;;;;X
CONV_ESC_DESC;该单位将转换为%d护航舰。 ;;;;;;;;;;X
LEAD_SORT_TRAIT;按特性排序 ;;;;;;;;;;X
FEOPT_SCENARIO;使用剧本设置 ;;;;;;;;;;X
LB_COMBATLOSS;\n伤亡人员：\n我们损失了%.0f名英勇战士\n而对方损失了%.0f名 ;;;;;;;;;;X
HOIPP_SYNTHETIC_OIL;合成燃料厂 ;;;;;;;;;;X
HOIPP_D01;合成材料厂 ;;;;;;;;;;X
HOIPP_D02;核电站 ;;;;;;;;;;X
HOIPP_D03;大学 ;;;;;;;;;;X
HOIPP_D04;DISP text.csv ;;;;;;;;;;X
HOIPP_D05;DISP text.csv ;;;;;;;;;;X
HOIPP_D06;DISP text.csv ;;;;;;;;;;X
HOIPP_D07;DISP text.csv ;;;;;;;;;;X
HOIPP_D08;DISP text.csv ;;;;;;;;;;X
HOIPP_D09;DISP text.csv ;;;;;;;;;;X
HOIPP_D10;DISP text.csv ;;;;;;;;;;X
HOIPP_D11;DISP text.csv ;;;;;;;;;;X
HOIPP_D12;DISP text.csv ;;;;;;;;;;X
HOIPP_D13;DISP text.csv ;;;;;;;;;;X
HOIPP_D14;DISP text.csv ;;;;;;;;;;X
HOIPP_D15;DISP text.csv ;;;;;;;;;;X
HOIPP_D16;DISP text.csv ;;;;;;;;;;X
HOIPP_D17;DISP text.csv ;;;;;;;;;;X
HOIPP_D18;DISP text.csv ;;;;;;;;;;X
HOIPP_D19;DISP text.csv ;;;;;;;;;;X
HOIPP_D20;DISP text.csv ;;;;;;;;;;X
HOIPP_D21;DISP text.csv ;;;;;;;;;;X
HOIPP_D22;DISP text.csv ;;;;;;;;;;X
HOIPP_D23;DISP text.csv ;;;;;;;;;;X
HOIPP_D24;DISP text.csv ;;;;;;;;;;X
HOIPP_D25;DISP text.csv ;;;;;;;;;;X
ATTR_WEATHER;天气状况：%.2f ;;;;;;;;;;X
T_ESE;有效补给率加成 ;;;;;;;;;;X
T_LEADER_XP;将领经验增加 ;;;;;;;;;;X
T_DIVISION_XP;部队经验增加 ;;;;;;;;;;X
T_COLONIAL_MP;殖民地人力 ;;;;;;;;;;X
T_COLONIAL_IC;殖民地IC ;;;;;;;;;;X
T_STAND_GROUND_DISSENT;坚守死战不满度 ;;;;;;;;;;X
T_RETOOLING_TIME;重组时间 ;;;;;;;;;;X
T_RETOOLING_COST;重组花费 ;;;;;;;;;;X
T_GEARING_SPEED;流水线加成速度 ;;;;;;;;;;X
T_GEARING_MAX;最大流水线加成 ;;;;;;;;;;X
T_MILITARY_SALARIES;军费 ;;;;;;;;;;X
T_REMOTE_PLACEMENT_MIN_IC;偏远地区IC生产 ;;;;;;;;;;X
ESE_PROV;省份有效补给率：%.2f ;;;;;;;;;;X
DOMW_STEP;\n现在拉一格，会增加不满度 %.2f ;;;;;;;;;;X
IC_TOTALBASE;工业产值(IC)是工业的生产能力。基础IC是你所有省份的IC 总和，可用IC是基础IC乘以科技、部长等修正值，剩余IC是 超出需求的分配量。每点IC每天需2能源，1金属和1/2稀有材 料。\n 理论的基础IC：%.0f ;;;;;;;;;;X
IC_BASE;\n基础IC： %d ;;;;;;;;;;X
ROL_IC_REVOLTRISK;\n 叛乱风险影响： %.1f ( %.1f%% ) ;;;;;;;;;;X
ROL_IC_OCCUPIED;\n 占领省份影响： %.1f ( %.1f%% ) ;;;;;;;;;;X
ROL_IC_INFRA;\n 基础设施影响： %.1f ( %.1f%% ) ;;;;;;;;;;X
ROL_IC_CONCENTRATION;\n 集中度影响： %.1f ( %.1f%% ) ;;;;;;;;;;X
ROL_IC_EFFICIENCY;\n 省份效率影响： %.1f ( %.1f%% ) ;;;;;;;;;;X
UIW_PRIORITIZED_PROVINCE_DELAYED;设定该省份是否优先修复 ;;;;;;;;;;X
EYR_RESULT_WIN;胜利 ;;;;;;;;;;X
EYR_RESULT_LOSS;失败 ;;;;;;;;;;X
EYR_RESULT_ATTACK;攻击 ;;;;;;;;;;X
EYR_RESULT_DEFENSE;防御 ;;;;;;;;;;X
HIST_PROMOTE;%s晋升为%s，在%s ;;;;;;;;;;X
HIST_SKILL;%s技能提高%d，在%s ;;;;;;;;;;X
HIST_GAIN_TRAIT;%s获得特性%s，在%s ;;;;;;;;;;X
HIST_LOOSE_TRAIT;%s失去特性%s，%s ;;;;;;;;;;X
DELAY_MINISTER; 到任日期： %s ;;;;;;;;;;X
DELAY_IDEA; 完成日期： %s ;;;;;;;;;;X
DELAY_LEADER; 到任日期： %s ;;;;;;;;;;X
TRADE_AUTO_SLIDER;进口： %.2f ;;;;;;;;;;X
TA_CONV_REQ;需要输送船： %d\n ;;;;;;;;;;X
TA_CONV_TO;%s --> %s (贸易到:%s，%s) ;;;;;;;;;;X
TA_BLOCKED;封锁 ;;;;;;;;;;X
DESC_ESCORTS;护航舰适合保护输送船，当遭受攻击时可以减少它 们的损失并对攻击者造成间接伤害。 ;;;;;;;;;;X
DESC_INDUSTRY;工厂是经济的心脏，用于生产各种战 时平时物资。 ;;;;;;;;;;X
DESC_BUILDING_FORT_COASTAL;海岸要塞是建立在岸边的碉堡，可以 提供海滩防御加成。 ;;;;;;;;;;X
DESC_BUILDING_FORT_LAND;陆上要塞是为防御方提供强大优势的 强化碉堡群。 ;;;;;;;;;;X
DESC_BUILDING_AA;防空火炮(AAA)将会对经过该省份的 飞机造成伤害。 ;;;;;;;;;;X
DESC_INFRA;公路、铁路和市民设施能改善经济状 况，提高贸易和物资的吞吐量。 ;;;;;;;;;;X
DESC_BUILDING_RADAR;雷达站指引友军飞机迎击敌机，同时 增加防空火炮的效率。 ;;;;;;;;;;X
DESC_BUILDING_PORT_AIR;更大的机场能为更多的飞机提供补给 并更快的恢复组织度。 ;;;;;;;;;;X
DESC_BUILDING_PORT_NAVAL;更大的港口能供给、修理和改装更多 的单位，同时实际补给吞吐量和贸易 效率也会提高。 ;;;;;;;;;;X
DESC_BUILDING_SITE_ROCKET;火箭试验场能够增加火箭学领域的理 论与实践技能等级。 ;;;;;;;;;;X
DESC_BUILDING_SITE_NUKE;核试验设施旨在制造出核弹，附带提 供市民用电。 ;;;;;;;;;;X
DESC_BUILDING_PLANT_NUCLEAR;核电站能提供各种用途的廉价能源。 ;;;;;;;;;;X
