#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
#;;;;;;;;;;;x
U14;东北国民军 ;;;;;;;;;;X
U15;川蜀军 ;;;;;;;;;;X
U16;川陕军 ;;;;;;;;;;X
U17;镇嵩军 ;;;;;;;;;;X
U18;宁夏马家军 ;;;;;;;;;;X
U19;滇桂联军 ;;;;;;;;;;X
#;;;;;;;;;;;x
U70;乌干达 ;;;;;;;;;;X
U71;北爱尔兰 ;;;;;;;;;;X
U72;越南民主共和国 ;;;;;;;;;;X
U73;英格兰 ;;;;;;;;;;X
U74;华北政务委员会 ;;;;;;;;;;X
U75;新加坡 ;;;;;;;;;;X
U76;威尔士 ;;;;;;;;;;X
U77;大哥伦比亚 ;;;;;;;;;;X
U78;中美洲联邦 ;;;;;;;;;;X
U79;西印度群岛联邦 ;;;;;;;;;;X
U80;克什米尔 ;;;;;;;;;;X
U81;上沃尔特 ;;;;;;;;;;X
U82;中非 ;;;;;;;;;;X
U83;锡兰 ;;;;;;;;;;X
U84;乍得 ;;;;;;;;;;X
U85;刚果(布) ;;;;;;;;;;X
U86;冈比亚 ;;;;;;;;;;X
U87;中华民国(汪伪政府) ;;;;;;;;;;X
U88;象牙海岸 ;;;;;;;;;;X
U89;牙买加 ;;;;;;;;;;X
U90;肯尼亚 ;;;;;;;;;;X
U91;科威特 ;;;;;;;;;;X
U92;马耳他 ;;;;;;;;;;X
U93;毛里塔尼亚 ;;;;;;;;;;X
U94;尼日尔 ;;;;;;;;;;X
U95;卢旺达 ;;;;;;;;;;X
U96;塞内加尔 ;;;;;;;;;;X
U97;坦噶尼喀 ;;;;;;;;;;X
U98;特立尼达和多巴哥 ;;;;;;;;;;X
U99;联合国 ;;;;;;;;;;X
#;;;;;;;;;;;x
USN; 美洲合众国 ;;;;;;;;;;X
UAU; 澳大拉西亚 ;;;;;;;;;;X
UCH; 中华民国 ;;;;;;;;;;X
UBO; 波旁王国 ;;;;;;;;;;X
UTC; 哥萨克王国 ;;;;;;;;;;X
UGS; 瑞典王国 ;;;;;;;;;;X
UCS; 加勒比邦联 ;;;;;;;;;;X
UIC; 中南王国 ;;;;;;;;;;X
UPR; 普鲁士帝国 ;;;;;;;;;;X
UER; 俄罗斯帝国 ;;;;;;;;;;X
UTO; 奥斯曼帝国 ;;;;;;;;;;X
UIR; 印度共和国 ;;;;;;;;;;X
UTL; 美洲解放联盟 ;;;;;;;;;;X
UPS; 日本苏维埃 ;;;;;;;;;;X
UES; 欧罗巴苏维埃 ;;;;;;;;;;X
URO; 罗马共和国 ;;;;;;;;;;X
UAP; 非洲民众国 ;;;;;;;;;;X
UPE; 波斯共和国 ;;;;;;;;;;X
##;;;;;;;;;;;x
#  Generic Descs for those lacking scenario specific.;;;;;;;;;;;x
##;;;;;;;;;;;x
ENG_DESC;在经受了１９１４－１９１８年一战的战火洗礼之后，大英帝国 变得比以前任何时候更加幅员辽阔，但维多利亚时代轻松的政治 环境以及的强大的经济保障已经一去不复返了。此时的英国的工 业基础虽然还相对强大，但正逐渐丧失其领先优势。这个国家也 不断受着内忧外患的困扰：内有英国本土的民族主义者，外有东 山再起的法西斯强国——德国、意大利和日本的巨大威胁。与此 同时，日渐空虚的国库迫使英国不得不紧缩开支，而这也意味着 英国必须同时大规模缩减国防开支。处在困境之下的英军已无法 为英帝国过度膨胀的扩张野心提供足够的支持，无论是在苏伊士 运河以西还是以东的广大地区，英军都在承受着缩减国防预算所 带来的恶果。在政治上，英国过度依赖国联的仲裁力量，但是国 联对１９３１年的满洲事件的苍白无力的裁决已经严重打击了国 联的权威性。对欧洲大陆传统力量的平衡异常敏感的英国依然与 法国保持着亲密盟友的关系，而此时的英国已经成为一个在国际 舞台上扮演着多种角色的风雨飘摇的帝国，等待她去完成的目标 还有很多很多。 ;;;;;;;;;;X
FRA_DESC;法国在第一次世界大战中人员损失的比例比其他各主要交战国都 要大，这个人口统计数字上的灾难也完全体现在两战之间法国严 重短缺的兵源给每年的征兵带来的困难。跟法国接壤的邻国有复 苏的德国、自我膨胀的意大利和动荡不安的西班牙，在这样的情 况下，作为一个超级大国的法国完全无法接受军事上存在着如此 重大的弱点。３０年代初，法国开始在法德边境开始修筑巨大的 工事以弥补这一缺陷，并且试图以外交上的努力重新在中欧和东 欧重新建立一个“小协约国”组织。这一举措有利有弊。法国的 国家安全问题暂时通过马其诺防线得到了部分解决（但未受保护 的法比边境又该如何呢？），但西方国家在捷克斯洛伐克的危机 关头未能提供有效帮助，这使得和平的希望变得非常渺茫。内部 四分五裂的第三共和国发现自己又一次面临着与德国的军事挑战 ，它是否还能象１９１４年一样度过难关呢。 ;;;;;;;;;;X
GER_DESC;德国在一战中的战败直接产生了德国的第一个民主政府，这个政 府也继承了德国破败的经济状况以及民族主义者对凡尔赛条约这 个“奴隶条约”的忿怒情绪。德国丧失了很多殖民地，又给波兰 割让了几个省份，战争赔款和被人为削弱的军队把这个国家压的 喘不过气来，德国人民背负着在一战中挑起战争的巨大罪责，像 下等民族一样受到别国歧视。在这种情况底下，魏玛共和国的政 治历程充满着悲剧性的极端主义和暴力冲突。阿道夫·希特勒领 导的国家社会主义工人党在１９３３年上台，这标志着德国历史 发展中的一个重大转折点。纳粹党徒们开始着手镇压所谓“不受 欢迎的”犹太人、共产主义者、工会成员以及其他纳粹政权的反 对者，而议会民主、广泛的公民权利和新闻自由也很快被纳粹党 一扫而光。但是，希特勒也使凋敝的德国经济重新充满活力，并 许诺尽快结束不平等的凡尔赛条约。德国在外交上的胜利接踵而 至：德国的重新军事化，期待以久的德奥合并，吞并捷克斯洛伐 克。但是在对德国在波兰问题的挑战面前，英国和法国拒不屈服 。现在德意志帝国处于三大强国的包围之中，开始了与这些强大 势力的战争。略显劣势的德国战争机器能够打败如此强大的敌人 吗？这一切，只有身处柏林的高深莫测的元首才有确切的答案。 ;;;;;;;;;;X
ITA_DESC;意大利渴望在阿尔卑斯山地区获取新的地盘，意大利人同时也觊 觎着奥匈帝国在亚德里亚海沿岸的领土，他们甚至还想在瓜分垂 死的奥斯曼帝国的行动中分一杯羹。满怀着这样的期待，意大利 参加了第一次世界大战。然而意大利在一战中的表现十分令人失 望，而她从停战之后签署的凡尔赛条约中所获取的利益也不如预 期的那么令人满意。这也进一步削弱了这个国家本来就不甚牢固 的议会民主制，为墨索里尼在１９２２年发动的臭名昭著的“进 军罗马”政变铺平了道路。这次政变之后出现了欧洲第一个法西 斯独裁统治。为了巩固他的专制统治，墨索里尼发誓要让意大利 重新回到超级大国的行列，建立强大的陆海空军事力量，并扩张 意大利的殖民帝国。１９３６年他泰然自若地迈出了他整个计划 的第一步：意大利发动了对阿比尼西亚人的进攻，并成功地洗刷 了１８９８年在阿多瓦惨败给同一对手的耻辱。但这次进攻也使 意大利人永远地被西方国家排除在外。当战争乌云笼罩欧洲的时 候，意大利应该参加这场前所未有的大竞争吗？一旦意大利赢得 了胜利，将会有丰厚的战利品等待着他们，但人们并不清楚，意 大利人相对贫弱的工业资源到底能否承受扩大化的战争带来的压 力。意大利人在法西斯主义这条道路上的前途不甚明朗。 ;;;;;;;;;;X
SOV_DESC;没有任何其他国家像一战中的俄国一样遭受着那么严重的政治内 乱的折磨，罗曼诺夫王朝的最后一任沙皇亚历山大二世丢掉了古 老的皇冠，彼得大帝的巨大帝国在大规模的革命运动之后落在了 马克思主义者列宁这个老布尔什维克手中。在被改名为苏维埃社 会主义共和国联盟之后，这个国家立即投身于向全世界输出其革 命性的共产主义理想的事业中，而这也使苏联成为腐化堕落的欧 洲资本主义国家的所唾弃的对象。列宁死后，他的副手约瑟夫· 斯大林通过一系列幕后的阴谋诡计成为了这个布尔什维克国家新 的领导人。斯大林对这个国家工业化建设的决心坚定不移，而他 对政敌的手段更是十分残忍，就这样在１９３６年时斯大林已经 成为苏联不可动摇的最高统治者，而苏联这个曾经破败不堪的国 家也重新回到了外交大国的行列。尽管如此，他还是被很多战略 困难困扰着。苏联应该寻求向西收回其在东欧失去的领土？还是 应该南下向着印度洋的广阔蓝水海域进发？她跟英法，甚至跟希 特勒和墨索里尼能达成令人满意的交易吗？对日本及其战略计划 又该如何应对呢？ ;;;;;;;;;;X
JAP_DESC;日本是唯一一个成功完成从传统经济和社会形态转型到先进工业 国家的非西方国家。日本在第一次世界大战中获取了很多利益， 占领了本属于德国的一系列太平洋岛屿，并明确宣告了其在亚洲 的压倒性优势力量。但２０年代的严重经济危机动摇了日本的议 会制政府，极端民族主义的军方通过一系列的血腥政变和暗杀活 动取得了这个国家的领导权。获取资源是日本攫取更多殖民地至 关重要的原因，对这个国家的薄弱的资源基础的担忧导致了日本 军政府１９３１年对满洲的进攻，而这也是日本妄图统治中国的 长远目标的一部分。此举为日本带来了不少物质利益，但同时也 引起了西方民主国家的不满，他们对日本的战略目标显示出日益 高涨的敌意。日本于１９３７年发动了对中国的全面战争。尽管 日本在战场上取得了很多的辉煌胜利，但这场战争的完结仍然显 得那么遥远。当遥远的欧洲爆发战争时，日本处在一个历史的十 字路口，摆在它面前的是许多前途不明的选择。日本应不惜一切 代价向中国全力进攻吗？抑或对苏联的西伯利亚地区采取攻势是 一个更好的长期计划？或者他们应该直接向东南亚的富产石油与 橡胶的英属殖民地进攻吗？ ;;;;;;;;;;X
USA_DESC;在１９００年，人们并不认为美国是主导世界格局的国家之一， 它在超级大国之间外交的重要性也非常有限。１９１７年，站在 协约国这边的美国对第一次世界大战的决定性干涉永远地改变了 这一印象：美国成为了世界经济和政治舞台上的主角之一。她那 似乎永不枯竭的人力及原材料资源让那些饱受战乱之苦的欧洲国 家相形见绌。在战事结束以后，美国又回到了外交上相对的孤立 状态，美国的经济优势也被１９２９年的华尔街大崩溃以及接踵 而来的大萧条扫荡殆尽，而这场经济大地震的震中——纽约的股 市又给了这个国家致命的一击。罗斯福总统在１９３３年试图以 其“新经济政策”扭转这个国家的颓势并在１９３６年取得了一 定成功。但罗斯福变得比以前更加担心渐渐复活的欧洲法西斯国 家和日本军方的军国主义势力。美国公众对向外发展势力表示明 确的反对，这成为他要面对的最大问题，似乎没有任何因素可以 成为民众的动力。联邦政府可以在团结美国民众的同时支援英国 和法国吗？ ;;;;;;;;;;X
POL_DESC;大战结束之前，波兰并不存在，波兰人所在的领土被奥地利，俄 罗斯和普鲁士在１８世纪末所瓜分，而面对整个１９世纪分散的 起义，这三个国家继续守着他们的波兰领土。然而到１９１８年 ，波兰人发现他们处于千载难逢的机会，他们所有的前统治者都 在周围崩溃，俄罗斯陷入了革命中，而德国和奥地利被同盟国击 败。不浪费任何时间，波兰领导约泽夫·毕苏斯基在１９１８年 １１月宣布波兰独立，然后在同新建立的苏联一番苦战之后，波 兰正式成为一个自由的国家。虽然它在１９２６年的一次政变中 丧失了民主政权，波兰在１９３６年开始兴起，以标准的生活改 善，事业人口下降，以及经济的良好恢复。然而，波兰的命运更 加的不确定，因为被夹在苏联和复活的德国之间，两者都会很乐 意看到波兰从地图上消失。 ;;;;;;;;;;X
CHI_DESC;1925年初，孫中山先生應馮玉祥之?，北上商?國事，不料肝癌復 發，於3月12日死於北京。3月，大元?府改組為國民政府。5 月23日，中國國民黨第一屆中央執行委員會第三次全體會議發布 時局宣言，謂北京政府（?時段祺瑞為臨時執政）不?民?利益 ，勾結帝國主義，決不與合作。6月14日，中國國民黨中央執行委 員會政治委員會第十四次會議決議改組大元?府為國民政府，並   於7月1日公布國民政府組?法，國民政府遂於同日在廣州宣告 成立。6月28日，中國國民黨中央政治委員會通過《國民政府及 省政府組?大綱》。7月1日在廣州正式成立國民政府。 ;;;;;;;;;;X
CHC_DESC;1921年7月23日，全國13名代表與2名共產國際代表於上海召開中 國共產黨第一次全國代表大會，最後一天會議移至嘉興南湖舉行 ，選舉??秀、?國燾、李達三人組成的中央局為領導機?。1922 年7月，中共第二次全國代表大會明確提出了黨的最高綱領和最 低綱領，通過了加入共產國際的決議，接受俄國共產黨 (布?什 維克)的指導。1923年1月12日，共產國際作出《共產國際執行委 員會關於中國共產黨與國民黨關係?題的決議》，系統地闡述了 對國共合作?題的指導性意?。1923年6月12日至20日在廣州召開 的中國共產黨第三次全國代表大會提出全體共產黨員以?人名義 加入中國國民黨，並與國民黨建立「革命統一戰?」的方?。次 年1月20日至30日召開的國民黨第一次全國代表大會也確定了「 ?俄、容共、扶助農工」的三大政策，10名中共黨員入選國民黨   中央執行委員或候補執行委員，至此形成第一次國共合作。 ;;;;;;;;;;X
PHI_DESC;菲律宾在１９３６年还没有完全从美国的控制中取得独立，但已 经非常接近了。泰丁斯·麦杜菲法案在１９３４年被通过，建立 了菲律宾联邦，成立一个曼努伊昆仲领导的选举政府，以及制定 了一部基于美国的宪法。虽然从外表看菲律宾已经是一个独立国 家，但是美国仍然继续控制着它的外交和军事，直到１９４６年 ６月４日，菲律宾联邦才变成了菲律宾共和国并真正取得了独立 。然而此时，他们还无法看的太清楚，在太平洋上暴风雨正在形 成，作为美国保护国的菲律宾在将来可能会面临可怕的结果…… ;;;;;;;;;;X
MEX_DESC;在经历了长年对腐败的政府的革命、叛乱和一再的政变破坏后， 墨西哥终于回到了国家恢复的道路上。在普卢塔科·埃利亚斯· 卡列斯的领导下，在过去的十年中，墨西哥名义上是在国家改革 党建立的稳定但腐朽的政府的统治之下，实际上，它是普卢塔科 ·埃利亚斯·卡列斯的囊中之物，其继承总统几乎完全控制于卡 列斯的手中。到１９３４年，日益保守的卡列斯被迫对政党中的 左翼分子做出让步，同意任命拉扎罗·卡德纳斯为国家改革党的 总统候选人。那是个决定命运的选择，卡德纳斯是个严谨的诚实 的政治家，他拒绝受到控制，而且在无数问题上与卡列斯争议。 到１９３６年初，前强权者和新竞争对手之间权利竞争的政治环 境愈发恶劣。唯一的问题是，谁将会先下手…… ;;;;;;;;;;X
BEL_DESC;当二战即将爆发时，比利时面临着重大的威胁。作为一站的战胜 国，比利时也从德意志帝国得到了赔款。那些赔款从来没有兑现 ，比利时的经济一片萧条。现任的保罗凡泽兰的自由主义者政府 无法改变这种趋势，人民的不满日益加重。独裁主义和国家主义 政党，如???、???，得到了越来越多的选票，公开开始向 纳粹德国示好。 ;;;;;;;;;;X
OMN_DESC;当艾哈迈德·阿尔·赛义德在１７４９年取得政权，阿曼开始了 扩张的岁月。１００多年来，在英国容许下，他们经营着自己的 海上贸易帝国，从东非海岸一直到中国。奴隶贸易和香料的出口 是主要的收入来源。在１７８９年到１８０５年之间，阿尔·赛 义德王朝内部各派别对王位的争夺导致了阿曼的消亡。它越来越 受到英帝国的影响，却从未成为一贯的正式的殖民地。在此争斗 期间马斯喀特在海岸建立了苏丹的统治，而内陆成为了宗教性质 的伊斯兰教长国。英国不断增长的统治增加了阿曼在政治和经济 上的依赖性。他们不仅失去富裕的圣斯巴岛给英国，作为交换他 们得到了圣斯巴经济补贴，而苏伊士运河的开放和奴隶以及武器 贸易的禁止完全削弱了他们的经济。 ;;;;;;;;;;X
SIK_DESC;位于中国西北边陲的新疆，地处俄罗斯和英属印度之间，为英、 俄两国垂涎。鸦片战争之后，双方都试图通过疆独分裂势力控制 广袤的新疆地区。最终沙皇俄国通过不平等条约攫取了大量领土 ，其势力逐步渗入新疆地区。沙俄又借口伊犁农民起义和阿古柏 势力威胁到俄国安全，打着保护和代守的旗号，公然出兵占领伊 犁。新疆面临为外国瓜分侵占的危险。光绪元年，陕甘总督左宗 棠受令以钦差大臣督办新疆军务。至光绪三年底，清军已陆续收 复到天山南部诸地，阿古柏的侵略政权覆没。在光绪七年中俄双 方签订《中俄伊犁条约》，沙俄军队撤出伊犁。光绪十年，清政 府在新疆建省。清朝被推翻后，新疆陷入军阀割据的状态。１９ ３３年封建军阀盛世才接任都督。１９３３末，俄军助盛世才击 溃马仲英取迪化，由此，俄军便常驻新疆，并逐渐扩展其在新疆 势力。１９４０年１１月２６日，俄胁迫盛世才背着中央签订《 新疆锡矿租约密约》，将包括铁道、公路的敷设权、采矿、居住 、“武装警备队驻留权”等等全部纳入了俄国的控制之下。１９ ４１年６月，俄进一步偷偷将外蒙的一部唐努乌梁海非法纳入其 版图。在达成了对外蒙的控制之后，彻底控制新疆，提到了议事 日程上来了。国民政府意识到新疆的危险状态，即刻将新疆划归 第八战区，并派４２军入疆，牵制赖在哈密的俄军，同时巩固了 行政，逐步完成了对新疆的回收工作。与此同时，德军从６月２ ８日起，发起蓝色行动直逼高加索与斯大林格勒，俄军无暇东顾 ，无力对我国回收新疆的工作加以有效的阻挠，到４３年４月， 终于撤走了驻于哈密的第８团以及武装警备队，中国完全取回了 新疆控制权。 ;;;;;;;;;;X
TIB_DESC;１８８８年英国侵略者借口边界纠纷，悍然发动了第一次武装侵 略西藏的野蛮战争。西藏人民的被迫进行了英勇的反击。英国通 过中曲会议签订的“藏印条约”和“藏印续约”，占西藏属部哲 孟雄为其保护国并开亚东为商埠。１９世纪末和２０世纪初，英 帝国主义为了独霸西藏，并把西藏从中国分裂出去，以“华官无 权，不能整治西藏”为借口，企图抛开清朝中央政府，直接与西 藏地方政府交涉。１９１１年民国政府建立。清朝驻藏大臣衙门 无形中撤销，驻藏官员和军队发生了分裂，西藏政局一时呈现混 乱。英国利用这种混乱局势用尽一切手段策动“西藏独立”。由 于中原局势混乱，西藏事实处于分裂的状况。在十三世达赖的晚 年，他认清了帝国主义对西藏的阴谋，在经历一二十年的曲折后 ，逐渐开始向中央政府靠拢。１９２９年国民党在南京建立国民 政府，九世班禅在南京设立了办事处。十三世达赖喇嘛即派贡觉 仲尼等到南京，将达赖喇嘛的信交给国民政府，表示希望恢复与 中央的联系。１９３３年４月，九世班禅派安钦活佛等到拉萨会 见达赖喇嘛，达赖喇嘛表示欢迎班禅返藏，并答应班禅返藏后将 其原来的辖地交还，但是此事还未实行，十三世达赖喇嘛于１９ ３３年藏历１０月３０日在拉萨病逝。由于达赖的转世问题，西 藏各方势力争夺激烈，而民国政府内乱外忧，西藏问题解决的前 景仍然一片模糊。 ;;;;;;;;;;X
NEP_DESC;在１８世纪晚期战胜了西藏之后，统治尼泊尔的廓尔喀人在１８ １４到１８１６年间进攻英国印度时左支右绌，这使他们不得不 承认其领土实际上成为英国的保护国。塞哥里和约后，一个永久 居住的英国王室成员被派到尼泊尔，他在那里一直留到１９２３ 年。做为对等条件，英国承认了至今依然有效的尼泊尔边界以及 廓尔喀人的统治权。从１８５０年，尼泊尔向英国殖民军队提供 了著名的廓尔喀军团，最初在１８５７年印度起义中参与服役。 廓尔喀人还在一次大战中与英国部队一起作战，并且两国之间通 过１９２３年的友好条约紧密联系在一起。１７７５年后的国内 政治为国王和贵族间的权利争斗而支配。三个未成年的国王（１ ７７５－１８３２）被贵族家族控制来争夺削弱的沙阿王朝的权 力。起初在拉纳家族成功前最有影响力的家族是塔帕（１８０６ －１８３７）。１８４６年，国王的侄子屠杀了敌对者，拉纳家 族取得了接下来１０４年的统治权，宣布首相世袭，将国王的权 力缩小到了极限。 ;;;;;;;;;;X
