country;main color;leader language;ArmyNationalitySprite;END
U87;brown;CHI;MIN;X
U88;Yellow;FRA;MIN;X
U89;Green ;ENG;MIN;X
U90;LightBrown;ENG;MIN;X
U91;DarkGreen;TUR;MIN;X
U92;White;ITA;MIN;X
U93;LightGreen;SPA;MIN;X
U94;Orange;FRA;MIN;X
U95;Gray;FRA;MIN;X
U96;LightYellow;ENG;MIN;X
U97;DarkGreen;ENG;MIN;X
U98;DarkRed;ENG;MIN;X
U99;LightGreen;ENG;MIN;X
USN;DarkBlue;USA;MIN;X
UAU;LightGray;AST;MIN;X
UCH;DarkBrown;CHI;MIN;X
UBO;Blue;FRA;MIN;X
UTC;DarkOrange;ROM;MIN;X
UGS;LightBlue;SWE;MIN;X
UCS;DarkGray;USA;MIN;X
UIC;LightGreen;ENG;MIN;X
UPR;Gray;GER;MIN;X
UER;Red;SOV;MIN;X
UTO;Green;TUR;MIN;X
UIR;DarkYellow;ENG;MIN;X
UTL;LightBrown;POR;MIN;X
UPS;LightOrange;JAP;MIN;X
UES;LightRed;ENG;MIN;X
URO;DarkGreen;ITA;MIN;X
UAP;LightYellow;ENG;MIN;X
UPE;DarkRed;ENG;MIN;X
END;DarkRed;ENG;MIN;X
