From;To;Type;Through;Comment
511;3129;River;0;尼曼河(涅曼河) Nemunas
511;209;River;0;尼曼河(涅曼河) Nemunas
509;209;River;0;尼曼河(涅曼河) Nemunas
508;209;River;0;尼曼河(涅曼河) Nemunas
507;209;River;0;尼曼河(涅曼河) Nemunas
210;211;River;0;尼曼河(涅曼河) Nemunas
210;213;River;0;尼曼河(涅曼河) Nemunas
206;3112;River;0;尼曼河(涅曼河) Nemunas
207;1892;River;0;涅里斯河 Neris
208;214;River;0;涅里斯河 Neris
214;211;River;0;涅里斯河 Neris
211;3130;River;0;涅里斯河 Neris
213;3130;River;0;涅里斯河 Neris
197;204;River;0;道加瓦河(西德维纳河) Daugava
197;203;River;0;道加瓦河(西德维纳河) Daugava
203;3124;River;0;道加瓦河(西德维纳河) Daugava
202;3126;River;0;道加瓦河(西德维纳河) Daugava
202;3130;River;0;道加瓦河(西德维纳河) Daugava
1874;3130;River;0;道加瓦河(西德维纳河) Daugava
1874;1891;River;0;道加瓦河(西德维纳河) Daugava
217;1891;River;0;道加瓦河(西德维纳河) Daugava
217;218;River;0;道加瓦河(西德维纳河) Daugava
287;218;River;0;道加瓦河(西德维纳河) Daugava
287;3490;River;0;道加瓦河(西德维纳河) Daugava
193;188;River;0;纳尔瓦河 Narva
##############################################################################;;;;
# Rivers in Spain;;;;
##############################################################################;;;;
355;356;River;0;埃布罗河 Ebro
355;537;River;0;埃布罗河 Ebro
355;329;River;0;埃布罗河 Ebro
329;3262;River;0;埃布罗河 Ebro
329;330;River;0;埃布罗河 Ebro
3274;3275;River;0;埃布罗河 Ebro
3274;331;River;0;埃布罗河 Ebro
333;3272;River;0;杜罗河 Douro
339;3272;River;0;杜罗河 Douro
339;338;River;0;杜罗河 Douro
338;3273;River;0;杜罗河 Douro
338;3277;River;0;杜罗河 Douro
3277;337;River;0;杜罗河 Douro
3277;3278;River;0;杜罗河 Douro
335;3278;River;0;杜罗河 Douro
341;342;River;0;塔古斯河 Tagus
341;3267;River;0;塔古斯河 Tagus
341;3268;River;0;塔古斯河 Tagus
3268;3269;River;0;塔古斯河 Tagus
3270;3269;River;0;塔古斯河 Tagus
3270;3271;River;0;塔古斯河 Tagus
3270;337;River;0;塔古斯河 Tagus
337;344;River;0;塔古斯河 Tagus
336;344;River;0;塔古斯河 Tagus
336;3281;River;0;塔古斯河 Tagus
3266;3267;River;0;瓜迪亚纳河 Guadiana
3266;3268;River;0;瓜迪亚纳河 Guadiana
343;3268;River;0;瓜迪亚纳河 Guadiana
343;3270;River;0;瓜迪亚纳河 Guadiana
343;344;River;0;瓜迪亚纳河 Guadiana
3279;344;River;0;瓜迪亚纳河 Guadiana
3279;3280;River;0;瓜迪亚纳河 Guadiana
345;346;River;0;瓜迪亚纳河 Guadiana
347;3265;River;0;瓜达尔基维尔河 Guadalquivir
347;346;River;0;瓜达尔基维尔河 Guadalquivir
346;3264;River;0;瓜达尔基维尔河 Guadalquivir
##############################################################################;;;;
# Rivers in Italy;;;;
##############################################################################;;;;
531;3193;River;0;波河 Po
531;3195;River;0;波河 Po
3195;3194;River;0;波河 Po
3195;370;River;0;波河 Po
370;3194;River;0;波河 Po
370;1897;River;0;波河 Po
370;3197;River;0;波河 Po
3196;370;River;0;波河 Po
3196;3197;River;0;波河 Po
512;3197;River;0;波河 Po
512;1896;River;0;波河 Po
3197;1896;River;0;波河 Po
379;1896;River;0;波河 Po
378;379;River;0;波河 Po
514;3203;River;0;卢比孔河 Rubicon
516;3203;River;0;特韦雷河(台伯河) Tevere
516;3205;River;0;特韦雷河(台伯河) Tevere
3205;3204;River;0;特韦雷河(台伯河) Tevere
519;3204;River;0;特韦雷河(台伯河) Tevere
517;4083;River;0;比费尔诺河 Biferno
520;4083;River;0;比费尔诺河 Biferno
520;522;River;0;奥凡托河 Ofanto
520;3576;River;0;奥凡托河 Ofanto
521;3228;River;0;沙诺河 Sarno
3206;3228;River;0;沙诺河 Sarno
##############################################################################;;;;
# 易北河 Elbe;;;;
##############################################################################;;;;
470;468;River;0;易北河 Elbe
468;3168;River;0;易北河 Elbe
469;3168;River;0;易北河 Elbe
3168;3167;River;0;易北河 Elbe
471;472;River;0;易北河 Elbe
471;3087;River;0;易北河 Elbe
311;3087;River;0;易北河 Elbe
310;3088;River;0;易北河 Elbe
3088;3091;River;0;易北河 Elbe
3089;3091;River;0;易北河 Elbe
3089;298;River;0;易北河 Elbe
3089;3090;River;0;易北河 Elbe
3089;3075;River;0;哈弗尔河 Havel
3089;3076;River;0;哈弗尔河 Havel
299;3076;River;0;哈弗尔河 Havel
3076;3077;River;0;哈弗尔河 Havel
3076;3080;River;0;哈弗尔河 Havel
300;3076;River;0;哈弗尔河 Havel
300;3077;River;0;施普雷河 Spree
3077;3078;River;0;施普雷河 Spree
3079;3078;River;0;施普雷河 Spree
3079;309;River;0;施普雷河 Spree
3075;3090;River;0;易北河 Elbe
3070;3073;River;0;易北河 Elbe
3070;88;River;0;易北河 Elbe
87;88;River;0;易北河 Elbe
87;90;River;0;易北河 Elbe
87;3072;Sea;2473;易北河 Elbe
90;3072;River;0;基尔运河 Kiel Canal
##############################################################################;;;;
# 多瑙河 Danube;;;;
##############################################################################;;;;
374;3097;River;0;多瑙河 Danube
3097;3099;River;0;多瑙河 Danube
3099;3098;River;0;多瑙河 Danube
376;3098;River;0;多瑙河 Danube
376;3099;River;0;莱希河 Lech
3100;3102;River;0;伊萨尔河 Isar
376;3102;River;0;伊萨尔河 Isar
376;3103;River;0;伊萨尔河 Isar
3104;3103;River;0;伊萨尔河 Isar
3104;3098;River;0;多瑙河 Danube
3104;375;River;0;多瑙河 Danube
3104;3105;River;0;多瑙河 Danube
3103;3105;River;0;多瑙河 Danube
465;3105;River;0;多瑙河 Danube
465;3188;River;0;多瑙河 Danube
465;3187;River;0;恩斯河 Enns
3189;3190;River;0;恩斯河 Enns
3187;3189;River;0;恩斯河 Enns
3187;3188;River;0;多瑙河 Danube
3187;464;River;0;多瑙河 Danube
463;464;River;0;多瑙河 Danube
464;476;River;0;摩拉瓦河 Morava
475;476;River;0;摩拉瓦河 Morava
475;474;River;0;摩拉瓦河 Morava
475;3163;River;0;摩拉瓦河 Morava
3165;3163;River;0;摩拉瓦河 Morava
475;3164;River;0;摩拉瓦河 Morava
475;467;River;0;摩拉瓦河 Morava
476;3186;River;0;多瑙河 Danube
3171;458;River;0;多瑙河 Danube
3171;3182;River;0;多瑙河 Danube
3171;3181;River;0;多瑙河 Danube
3181;3182;River;0;多瑙河 Danube
457;3180;River;0;多瑙河 Danube
4086;3178;River;0;多瑙河 Danube
456;3178;River;0;多瑙河 Danube
456;493;River;0;多瑙河 Danube
456;454;River;0;德拉瓦河 Drava
455;3184;River;0;德拉瓦河 Drava
382;3184;River;0;德拉瓦河 Drava
382;3185;River;0;德拉瓦河 Drava
459;3185;River;0;德拉瓦河 Drava
459;4084;River;0;德拉瓦河 Drava
459;460;River;0;德拉瓦河 Drava
454;493;River;0;多瑙河 Danube
494;493;River;0;蒂萨河 Tisza
494;492;River;0;蒂萨河 Tisza
494;3177;River;0;穆列什河 Mures
495;3177;River;0;穆列什河 Mures
495;496;River;0;穆列什河 Mures
3250;496;River;0;穆列什河 Mures
3250;4088;River;0;穆列什河 Mures
427;4088;River;0;穆列什河 Mures
427;3251;River;0;穆列什河 Mures
428;3252;River;0;穆列什河 Mures
492;3177;River;0;蒂萨河 Tisza
492;497;River;0;蒂萨河 Tisza
496;3254;River;0;克勒什河 Koros
497;3177;River;0;克勒什河 Koros
497;3179;River;0;蒂萨河 Tisza
497;491;River;0;蒂萨河 Tisza
3176;491;River;0;蒂萨河 Tisza
3176;490;River;0;蒂萨河 Tisza
3176;3175;River;0;蒂萨河 Tisza
493;3215;River;0;多瑙河 Danube
3215;3216;River;0;多瑙河 Danube
459;380;River;0;萨瓦河 Sava
382;3211;River;0;萨瓦河 Sava
455;3211;River;0;萨瓦河 Sava
455;383;River;0;萨瓦河 Sava
383;3211;River;0;萨瓦河 Sava
3211;3212;River;0;萨瓦河 Sava
381;3212;River;0;萨瓦河 Sava
383;3213;River;0;萨瓦河 Sava
454;383;River;0;萨瓦河 Sava
454;3213;River;0;萨瓦河 Sava
3215;3213;River;0;萨瓦河 Sava
3215;3214;River;0;萨瓦河 Sava
3213;3214;River;0;德里纳河 Drina
386;3214;River;0;德里纳河 Drina
386;452;River;0;德里纳河 Drina
387;451;River;0;德里纳河 Drina
453;3215;River;0;萨瓦河 Sava
453;3216;River;0;多瑙河 Danube
453;3217;River;0;大摩拉瓦河 Great Morava
3217;3218;River;0;大摩拉瓦河 Great Morava
3219;3218;River;0;大摩拉瓦河 Great Morava
3219;3220;River;0;大摩拉瓦河 Great Morava
418;3220;River;0;大摩拉瓦河 Great Morava
3216;3217;River;0;多瑙河 Danube
3249;3217;River;0;多瑙河 Danube
3249;3219;River;0;多瑙河 Danube
3248;3219;River;0;多瑙河 Danube
3248;419;River;0;多瑙河 Danube
426;419;River;0;多瑙河 Danube
426;420;River;0;多瑙河 Danube
425;3247;River;0;奥尔特河 Olt
426;3246;River;0;奥尔特河 Olt
420;3246;River;0;多瑙河 Danube
420;3245;River;0;多瑙河 Danube
420;3240;River;0;多瑙河 Danube
3240;3245;River;0;多瑙河 Danube
3241;3245;River;0;多瑙河 Danube
424;3245;River;0;阿尔杰什河 Arges
3243;3245;River;0;阿尔杰什河 Arges
3241;3243;River;0;多瑙河 Danube
424;431;River;0;雅洛米察河 Ialomita
425;431;River;0;雅洛米察河 Ialomita
424;432;River;0;雅洛米察河 Ialomita
3243;432;River;0;雅洛米察河 Ialomita
432;423;River;0;多瑙河 Danube
3256;3259;River;0;锡雷特河 Siret
429;433;River;0;锡雷特河 Siret
429;3260;River;0;锡雷特河 Siret
3244;3260;River;0;锡雷特河 Siret
432;3260;River;0;锡雷特河 Siret
3259;3258;River;0;普鲁特河 Prut
3259;230;River;0;普鲁特河 Prut
433;230;River;0;普鲁特河 Prut
433;434;River;0;普鲁特河 Prut
433;3261;River;0;普鲁特河 Prut
3260;3261;River;0;普鲁特河 Prut
3260;435;River;0;普鲁特河 Prut
3260;436;River;0;多瑙河 Danube
435;436;River;0;多瑙河 Danube
##############################################################################;;;;
# 莱茵河 Rhine;;;;
##############################################################################;;;;
372;533;River;0;莱茵河 Rhine
373;533;River;0;莱茵河 Rhine
374;533;River;0;莱茵河 Rhine
315;533;River;0;莱茵河 Rhine
315;3192;River;0;莱茵河 Rhine
315;316;River;0;莱茵河 Rhine
1168;316;River;0;莱茵河 Rhine
1168;73;River;0;莱茵河 Rhine
1168;3062;River;0;莱茵河 Rhine
314;3097;River;0;内卡河 Neckar
314;3096;River;0;内卡河 Neckar
1169;3096;River;0;内卡河 Neckar
1169;3095;River;0;内卡河 Neckar
1169;3062;River;0;莱茵河 Rhine
3062;3095;River;0;莱茵河 Rhine
3106;83;River;0;美因河 Main
312;83;River;0;美因河 Main
312;1057;River;0;美因河 Main
3095;1057;River;0;美因河 Main
3095;313;River;0;美因河 Main
3095;3094;River;0;美因河 Main
3095;223;River;0;莱茵河 Rhine
223;3094;River;0;莱茵河 Rhine
3052;3053;River;0;摩泽尔河 Mosel
3054;3053;River;0;摩泽尔河 Mosel
3054;72;River;0;摩泽尔河 Mosel
71;72;River;0;摩泽尔河 Mosel
71;74;River;0;摩泽尔河 Mosel
71;3061;River;0;摩泽尔河 Mosel
224;3061;River;0;摩泽尔河 Mosel
3061;3094;River;0;莱茵河 Rhine
224;3094;River;0;莱茵河 Rhine
224;3063;River;0;莱茵河 Rhine
3060;3063;River;0;莱茵河 Rhine
75;3063;River;0;莱茵河 Rhine
75;76;River;0;莱茵河 Rhine
3059;76;River;0;莱茵河 Rhine
3059;67;River;0;莱茵河 Rhine
3059;77;River;0;莱茵河 Rhine
67;76;River;0;莱茵河 Rhine
3054;64;River;0;马斯河(默兹河) Meuse
3054;3107;River;0;马斯河(默兹河) Meuse
70;3107;River;0;马斯河(默兹河) Meuse
70;65;River;0;马斯河(默兹河) Meuse
70;68;River;0;马斯河(默兹河) Meuse
70;3101;River;0;马斯河(默兹河) Meuse
68;3101;River;0;马斯河(默兹河) Meuse
68;3057;River;0;马斯河(默兹河) Meuse
69;3057;River;0;马斯河(默兹河) Meuse
49;3057;River;0;马斯河(默兹河) Meuse
49;3059;River;0;马斯河(默兹河) Meuse
49;77;River;0;莱茵河 Rhine
49;48;River;0;莱茵河 Rhine
49;46;River;0;莱茵河 Rhine
46;48;River;0;莱茵河 Rhine
46;47;River;0;莱茵河 Rhine
46;3056;River;0;莱茵河 Rhine
47;48;River;0;莱茵河 Rhine
##############################################################################;;;;
# 威悉河 Weser River;;;;
##############################################################################;;;;
80;87;River;0;威悉河 Weser
3068;87;River;0;威悉河 Weser
3067;87;River;0;威悉河 Weser
86;87;River;0;阿勒尔河 Aller
86;3070;River;0;阿勒尔河 Aller
297;3070;River;0;阿勒尔河 Aller
297;3090;River;0;阿勒尔河 Aller
86;3067;River;0;威悉河 Weser
86;3065;River;0;威悉河 Weser
85;3065;River;0;威悉河 Weser
82;85;River;0;威悉河 Weser
4089;84;River;0;威悉河 Weser
4089;3093;River;0;威悉河 Weser
83;3093;River;0;威悉河 Weser
##############################################################################;;;;
# Polish Rivers;;;;
##############################################################################;;;;
303;304;River;0;维斯瓦河 Wisla
3157;304;River;0;维斯瓦河 Wisla
3157;305;River;0;维斯瓦河 Wisla
306;305;River;0;维斯瓦河 Wisla
2602;3151;River;0;维斯瓦河 Wisla
2602;3152;River;0;维斯瓦河 Wisla
3152;3154;River;0;维斯瓦河 Wisla
485;3154;River;0;维斯瓦河 Wisla
485;3153;River;0;维斯瓦河 Wisla
485;4090;River;0;维斯瓦河 Wisla
485;484;River;0;皮利察河 Pilica
3152;484;River;0;皮利察河 Pilica
3152;3147;River;0;皮利察河 Pilica
483;3147;River;0;皮利察河 Pilica
3148;3147;River;0;皮利察河 Pilica
484;4090;River;0;维斯瓦河 Wisla
484;487;River;0;维斯瓦河 Wisla
3146;487;River;0;维斯瓦河 Wisla
3146;3143;River;0;维斯瓦河 Wisla
3146;3145;River;0;维斯瓦河 Wisla
480;3145;River;0;维斯瓦河 Wisla
480;479;River;0;维斯瓦河 Wisla
481;479;River;0;维斯瓦河 Wisla
3162;479;River;0;维斯瓦河 Wisla
487;3143;River;0;维斯瓦河 Wisla
488;3143;River;0;维斯瓦河 Wisla
488;489;River;0;维斯瓦河 Wisla
501;489;River;0;维斯瓦河 Wisla
3142;489;River;0;维斯瓦河 Wisla
3142;3573;River;0;维斯瓦河 Wisla
486;3154;River;0;纳雷夫河 Narew
486;3155;River;0;纳雷夫河 Narew
486;3131;River;0;纳雷夫河 Narew
505;508;River;0;纳雷夫河 Narew
3153;3154;River;0;布格河 Bug
486;3153;River;0;布格河 Bug
486;3132;River;0;布格河 Bug
505;3132;River;0;布格河 Bug
505;3133;River;0;布格河 Bug
504;3133;River;0;布格河 Bug
504;3134;River;0;布格河 Bug
506;3134;River;0;布格河 Bug
488;506;River;0;布格河 Bug
3138;501;River;0;布格河 Bug
302;3081;River;0;奥得河 Oder
3085;3079;River;0;奥得河 Oder
3085;308;River;0;瓦尔塔河 Warta
307;3158;River;0;瓦尔塔河 Warta
307;3159;River;0;瓦尔塔河 Warta
3160;3159;River;0;瓦尔塔河 Warta
3161;3159;River;0;瓦尔塔河 Warta
3149;3150;River;0;瓦尔塔河 Warta
3149;483;River;0;瓦尔塔河 Warta
3149;3148;River;0;瓦尔塔河 Warta
481;3148;River;0;瓦尔塔河 Warta
3079;308;River;0;奥得河 Oder
309;308;River;0;奥得河 Oder
3086;308;River;0;奥得河 Oder
3086;309;River;0;奥得河 Oder
3086;3087;River;0;奥得河 Oder
291;3087;River;0;奥得河 Oder
291;308;River;0;奥得河 Oder
291;3110;River;0;奥得河 Oder
473;3110;River;0;奥得河 Oder
3109;482;River;0;奥得河 Oder
3109;3162;River;0;奥得河 Oder
3163;3139;River;0;奥得河 Oder
##############################################################################;;;;
# Romanian Rivers;;;;
##############################################################################;;;;
500;501;River;0;德涅斯特河 Dniester
500;3141;River;0;德涅斯特河 Dniester
3141;229;River;0;德涅斯特河 Dniester
502;229;River;0;德涅斯特河 Dniester
502;3257;River;0;德涅斯特河 Dniester
502;3258;River;0;德涅斯特河 Dniester
231;3258;River;0;德涅斯特河 Dniester
3407;3258;River;0;德涅斯特河 Dniester
3407;230;River;0;德涅斯特河 Dniester
3416;230;River;0;德涅斯特河 Dniester
3416;434;River;0;德涅斯特河 Dniester
3571;434;River;0;德涅斯特河 Dniester
3571;3575;River;0;德涅斯特河 Dniester
233;3575;River;0;德涅斯特河 Dniester
##############################################################################;;;;
# Rivers in Bulgaria;;;;
##############################################################################;;;;
421;3235;River;0;梅里奇河 Meric
3235;3236;River;0;梅里奇河 Meric
3236;3238;River;0;梅里奇河 Meric
3236;3239;River;0;梅里奇河 Meric
3236;3234;River;0;梅里奇河 Meric
3236;3284;River;0;梅里奇河 Meric
3234;3284;River;0;梅里奇河 Meric
3234;3285;River;0;梅里奇河 Meric
##############################################################################;;;;
# American Rivers;;;;
##############################################################################;;;;
614;628;River;0;俄亥俄河 Ohio
630;628;River;0;俄亥俄河 Ohio
629;628;River;0;俄亥俄河 Ohio
4002;629;River;0;俄亥俄河 Ohio
628;3995;River;0;俄亥俄河 Ohio
628;4002;River;0;俄亥俄河 Ohio
3995;4002;River;0;俄亥俄河 Ohio
4002;627;River;0;俄亥俄河 Ohio
640;627;River;0;俄亥俄河 Ohio
641;627;River;0;俄亥俄河 Ohio
3998;619;River;0;俄亥俄河 Ohio
626;619;River;0;俄亥俄河 Ohio
3999;619;River;0;俄亥俄河 Ohio
3999;627;River;0;俄亥俄河 Ohio
3999;641;River;0;俄亥俄河 Ohio
3999;4003;River;0;俄亥俄河 Ohio
641;4003;River;0;俄亥俄河 Ohio
642;4003;River;0;俄亥俄河 Ohio
642;673;River;0;俄亥俄河 Ohio
642;674;River;0;俄亥俄河 Ohio
642;672;River;0;俄亥俄河 Ohio
671;672;River;0;俄亥俄河 Ohio
678;680;Sea;2533;密西西比河 Mississippi
678;679;River;0;珀尔河 Pearl
680;679;River;0;密西西比河 Mississippi
4010;679;River;0;密西西比河 Mississippi
4010;675;River;0;密西西比河 Mississippi
682;675;River;0;密西西比河 Mississippi
682;674;River;0;密西西比河 Mississippi
683;674;River;0;密西西比河 Mississippi
685;674;River;0;密西西比河 Mississippi
685;673;River;0;密西西比河 Mississippi
687;673;River;0;密西西比河 Mississippi
687;4003;River;0;密西西比河 Mississippi
687;3999;River;0;密西西比河 Mississippi
689;3999;River;0;密西西比河 Mississippi
689;625;River;0;密西西比河 Mississippi
625;3999;River;0;密西西比河 Mississippi
625;793;River;0;密西西比河 Mississippi
625;692;River;0;密西西比河 Mississippi
625;691;River;0;密西西比河 Mississippi
625;626;River;0;密西西比河 Mississippi
620;626;River;0;密西西比河 Mississippi
620;691;River;0;密西西比河 Mississippi
624;691;River;0;密西西比河 Mississippi
624;696;River;0;密西西比河 Mississippi
4077;696;River;0;密西西比河 Mississippi
4077;694;River;0;密西西比河 Mississippi
4077;693;River;0;密西西比河 Mississippi
693;696;River;0;密西西比河 Mississippi
693;4006;River;0;密西西比河 Mississippi
695;697;River;0;密西西比河 Mississippi
695;772;River;0;密西西比河 Mississippi
689;793;River;0;密苏里河 Missouri
689;690;River;0;密苏里河 Missouri
688;690;River;0;密苏里河 Missouri
690;792;River;0;密苏里河 Missouri
690;793;River;0;密苏里河 Missouri
791;792;River;0;密苏里河 Missouri
791;710;River;0;堪萨斯河 Kansas
791;711;River;0;堪萨斯河 Kansas
790;710;River;0;堪萨斯河 Kansas
789;710;River;0;堪萨斯河 Kansas
789;792;River;0;密苏里河 Missouri
789;692;River;0;密苏里河 Missouri
789;4004;River;0;密苏里河 Missouri
789;788;River;0;密苏里河 Missouri
788;4004;River;0;密苏里河 Missouri
788;696;River;0;密苏里河 Missouri
788;787;River;0;密苏里河 Missouri
787;4005;River;0;密苏里河 Missouri
4006;4005;River;0;密苏里河 Missouri
698;697;River;0;密苏里河 Missouri
698;699;River;0;密苏里河 Missouri
699;702;River;0;密苏里河 Missouri
700;701;River;0;密苏里河 Missouri
700;703;River;0;密苏里河 Missouri
703;774;River;0;密苏里河 Missouri
703;775;River;0;密苏里河 Missouri
773;770;River;0;密苏里河 Missouri
683;685;River;0;阿肯色河 Arkansas
684;685;River;0;阿肯色河 Arkansas
684;686;River;0;阿肯色河 Arkansas
711;713;River;0;阿肯色河 Arkansas
711;712;River;0;阿肯色河 Arkansas
710;712;River;0;阿肯色河 Arkansas
709;712;River;0;阿肯色河 Arkansas
709;707;River;0;阿肯色河 Arkansas
713;708;River;0;加拿大人河 Canadian
713;714;River;0;加拿大人河 Canadian
712;714;River;0;加拿大人河 Canadian
712;720;River;0;加拿大人河 Canadian
682;4010;River;0;雷德河 Red
682;681;River;0;雷德河 Red
683;681;River;0;雷德河 Red
684;681;River;0;雷德河 Red
684;715;River;0;雷德河 Red
708;715;River;0;雷德河 Red
721;714;River;0;雷德河 Red
721;720;River;0;雷德河 Red
716;4010;River;0;萨宾河 Sabine
716;681;River;0;萨宾河 Sabine
716;748;River;0;布拉索斯河 Brazos
716;726;River;0;布拉索斯河 Brazos
715;726;River;0;布拉索斯河 Brazos
715;719;River;0;布拉索斯河 Brazos
721;719;River;0;布拉索斯河 Brazos
748;4015;River;0;格兰德河 Rio Grande
748;747;River;0;格兰德河 Rio Grande
747;717;River;0;格兰德河 Rio Grande
717;745;River;0;格兰德河 Rio Grande
717;718;River;0;格兰德河 Rio Grande
746;718;River;0;格兰德河 Rio Grande
745;718;River;0;格兰德河 Rio Grande
718;742;River;0;格兰德河 Rio Grande
718;741;River;0;格兰德河 Rio Grande
718;727;River;0;格兰德河 Rio Grande
723;727;River;0;格兰德河 Rio Grande
723;724;River;0;格兰德河 Rio Grande
725;724;River;0;格兰德河 Rio Grande
732;4011;river;0;科罗拉多河 Colorado
731;4011;river;0;科罗拉多河 Colorado
729;731;river;0;科罗拉多河 Colorado
729;734;river;0;科罗拉多河 Colorado
729;735;river;0;科罗拉多河 Colorado
729;761;river;0;科罗拉多河 Colorado
730;761;river;0;科罗拉多河 Colorado
730;737;river;0;科罗拉多河 Colorado
739;737;river;0;科罗拉多河 Colorado
765;4012;River;0;旧金山湾区 San Francisco Bay
764;4012;River;0;旧金山湾区 San Francisco Bay
765;764;River;0;旧金山湾区 San Francisco Bay
765;763;River;0;沙加缅度河
782;783;River;0;哥伦比亚河 Columbia
781;783;River;0;哥伦比亚河 Columbia
781;784;River;0;哥伦比亚河 Columbia
781;778;River;0;哥伦比亚河 Columbia
781;779;River;0;哥伦比亚河 Columbia
785;779;River;0;哥伦比亚河 Columbia
778;779;River;0;斯内克河 Snake
778;776;River;0;斯内克河 Snake
778;777;River;0;斯内克河 Snake
778;771;River;0;斯内克河 Snake
670;4008;River;0;查特胡奇河 Chattahoochee
647;4008;River;0;查特胡奇河 Chattahoochee
647;4007;River;0;查特胡奇河 Chattahoochee
677;4007;River;0;查特胡奇河 Chattahoochee
676;678;River;0;亚拉巴马河 Alabama
676;4007;River;0;亚拉巴马河 Alabama
4009;4008;River;0;亚拉巴马河 Alabama
641;4003;River;0;田纳西河 Tennessee
642;4003;River;0;田纳西河 Tennessee
642;673;River;0;田纳西河 Tennessee
642;674;River;0;田纳西河 Tennessee
642;672;River;0;田纳西河 Tennessee
671;672;River;0;田纳西河 Tennessee
604;605;River;0;特拉华河 Delaware
604;608;River;0;特拉华河 Delaware
608;603;River;0;特拉华河 Delaware
603;610;River;0;特拉华河 Delaware
610;3989;River;0;特拉华河 Delaware
602;3991;Sea;2347;NewYork
602;601;Sea;2347;NewYork
602;603;River;0;哈德逊河 Hudson
602;3988;River;0;哈德逊河 Hudson
3988;603;River;0;哈德逊河 Hudson
3988;3989;River;0;哈德逊河 Hudson
3991;601;River;0;康涅狄格河 Connecticut
3990;599;River;0;康涅狄格河 Connecticut
597;596;River;0;康涅狄格河 Connecticut
597;595;River;0;康涅狄格河 Connecticut
594;595;River;0;康涅狄格河 Connecticut
550;549;River;0;育空河 Yukon
550;551;River;0;育空河 Yukon
548;551;River;0;阿拉斯加湾 Alaska
547;548;Sea;1918;Alaska
546;547;Sea;1901;Alaska
545;546;Sea;1901;Alaska
543;1407;Sea;1901;Alaska
646;644;River;0;萨凡纳河 Savannah
669;644;River;0;萨凡纳河 Savannah
669;635;River;0;萨凡纳河 Savannah
670;635;River;0;萨凡纳河 Savannah
631;607;River;0;波托马克河 Potomac
631;606;River;0;波托马克河 Potomac
632;606;River;0;波托马克河 Potomac
632;633;River;0;詹姆斯河 James River
632;639;River;0;詹姆斯河 James River
631;639;River;0;詹姆斯河 James River
610;3994;River;0;萨斯奎哈纳河 Susquehanna
609;3994;River;0;萨斯奎哈纳河 Susquehanna
609;611;River;0;萨斯奎哈纳河 Susquehanna
607;3993;River;0;萨斯奎哈纳河 Susquehanna
606;3993;Sea;3650;Baltimore
632;3993;Sea;3650;Baltimore
622;623;River;0;绿湾 GreenBay
##############################################################################;;;;
# Mexican rivers;;;;
