USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x 
107;凯利·约翰逊的臭鼬工厂 ;T107;9;1941;1999;TECHNICAL_EFFICIENCY;aeronautics;electronics;aircraft_testing;FIGHTER_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
131;格鲁曼飞机工程公司 ;T10500;7;1940;1999;aeronautics;aircraft_testing;BOMBER_TACTICS;SMALL_TASKFORCE_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
112;诺福克海军船厂 ;T112;9;1930;1999;naval_engineering;NAVAL_TRAINING;electronics;naval_artillery;SEAMANSHIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
129;费城海军造船厂 ;T10307;9;1930;1999;NAVAL_ENGINEERING;aircraft_testing;electronics;NAVAL_TRAINING;CARRIER_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
109;新港造船厂 ;T109;7;1930;1999;naval_engineering;NAVAL_ARTILLERY;electronics;NAVAL_TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110;纽约海军造船厂 ;T110;7;1930;1999;naval_engineering;general_equipment;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
106;约翰·冯·纽曼 ;T106;8;1941;1999;INDUSTRIAL_ENGINEERING;electronics;mathematics;MANAGEMENT;GENERAL_EQUIPMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
115;罗伯特·查克斯 ;T115;5;1930;1999;rocketry;AERONAUTICS;ELECTRONICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
126;海曼·里科弗 ;T126;7;1945;1999;nuclear_engineering;chemistry;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
111;尼尔斯·波尔 ;T111;8;1943;1999;nuclear_physics;nuclear_engineering;mathematics;MANAGEMENT;CHEMISTRY;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
114;罗伯特·奥本海默 ;T114;9;1930;1999;nuclear_physics;nuclear_engineering;mathematics;chemistry;ELECTRONICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
123;德怀特·艾森豪威尔 ;T123;9;1930;1999;LARGE_UNIT_TACTICS;centralized_execution;combined_arms_focus;training;ARTILLERY;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
127;奥马尔·布雷德利 ;T127;9;1930;1999;small_unit_tactics;decentralized_execution;training;INFANTRY_FOCUS;CENTRALIZED_EXECUTION;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
130;乔治·巴顿 ;T10500;9;1941;1999;combined_arms_focus;small_unit_tactics;centralized_execution;INDIVIDUAL_COURAGE;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
121;切斯特·威廉·尼米兹 ;T121;9;1930;1999;small_taskforce_tactics;CARRIER_TACTICS;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
124;欧内斯特·金 ;T124;7;1930;1999;large_taskforce_tactics;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105;威廉·哈尔西 ;T105;9;1942;1999;CARRIER_TACTICS;LARGE_TASKFORCE_TACTICS;NAVAL_TRAINING;SEAMANSHIP;INDIVIDUAL_COURAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120;卡尔·斯帕兹 ;T120;7;1930;1999;FIGHTER_TACTICS;TRAINING;centralized_execution;SMALL_TASKFORCE_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
122;柯蒂斯·李梅 ;T122;8;1942;1999;centralized_execution;bomber_tactics;LARGE_TASKFORCE_TACTICS;piloting;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125;亨利·阿诺德 ;T125;9;1938;1999;centralized_execution;LARGE_TASKFORCE_TACTICS;bomber_tactics;fighter_tactics;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
128;通用电气 ;T102;8;1999;1999;aeronautics;aircraft_testing;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
133;费城海军造船厂 ;T129;6;1999;1999;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
