ENG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x 
302;艾弗罗航空 ;T302;8;1940;1999;aeronautics;electronics;aircraft_testing;BOMBER_TACTICS;LARGE_TASKFORCE_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
304;德·哈维兰公司 ;T304;8;1941;1999;aeronautics;TECHNICAL_EFFICIENCY;BOMBER_TACTICS;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
303;坎默·莱尔德船厂 ;T303;9;1930;1999;naval_engineering;electronics;NAVAL_ARTILLERY;NAVAL_TRAINING;SEAMANSHIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
307;哈兰德沃尔夫船厂 ;T307;9;1930;1999;naval_engineering;ELECTRONICS;NAVAL_TRAINING;AIRCRAFT_TESTING;CARRIER_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
310;约翰·布朗公司 ;T310;7;1930;1999;naval_engineering;naval_artillery;SEAMANSHIP;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
300;阿兰·图林 ;T300;9;1930;1999;mathematics;electronics;mechanics;INDIVIDUAL_COURAGE;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
312;罗伯特·沃森-瓦特 ;T312;7;1930;1999;electronics;management;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
329;弗兰克·怀特 ;T329;7;1930;1999;rocketry;aeronautics;ELECTRONICS;MECHANICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
330;乔治·帕吉特·汤姆森 ;T330;5;1930;1999;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
309;詹姆斯·查德威克 ;T309;7;1941;1999;nuclear_physics;nuclear_engineering;chemistry;MATHEMATICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
320;李德·哈特 ;T320;7;1938;1999;CENTRALIZED_EXECUTION;small_unit_tactics;combined_arms_focus;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
317;艾伦·布鲁克 ;T317;6;1930;1999;DECENTRALIZED_EXECUTION;SMALL_UNIT_TACTICS;INFANTRY_FOCUS;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
322;达德利·克拉克 ;T322;7;1939;1999;decentralized_execution;small_unit_tactics;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
326;珀西·霍巴特 ;T326;6;1938;1999;combined_arms_focus;large_unit_tactics;centralized_execution;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
318;安德鲁·坎宁安 ;T318;9;1930;1999;naval_training;large_taskforce_tactics;centralized_execution;seamanship;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
323;达德利·庞德 ;T323;7;1930;1999;large_taskforce_tactics;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325;马克斯·霍顿 ;T325;6;1942;1999;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
327;珀西·诺贝尔 ;T327;6;1930;1999;small_taskforce_tactics;naval_training;SUBMARINE_TACTICS;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
319;阿瑟·哈里斯 ;T319;8;1941;1999;bomber_tactics;training;piloting;centralized_execution;LARGE_TASKFORCE_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
321;查尔斯·波特尔 ;T321;6;1930;1999;bomber_tactics;training;decentralized_execution;SMALL_TASKFORCE_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
324;休·道丁 ;T324;9;1930;1999;fighter_tactics;training;SMALL_TASKFORCE_TACTICS;decentralized_execution;CENTRALIZED_EXECUTION;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
328;特拉福德·利·马洛里 ;T328;6;1930;1999;fighter_tactics;training;SMALL_TASKFORCE_TACTICS;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x




