GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
20;威廉港海军造船厂 ;T6;7;1930;1999;naval_engineering;NAVAL_TRAINING;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
33;阿尔伯特·斯佩尔 ;T604;9;1999;1999;MECHANICS;INDUSTRIAL_ENGINEERING;MATHEMATICS;CHEMISTRY;MANAGEMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21;康拉德·楚泽 ;T5;7;1935;1999;mathematics;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22;沃纳·海森堡 ;T16;7;1927;1999;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23;韦恩赫·冯·布劳恩 ;T17;9;1932;1999;rocketry;aeronautics;electronics;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24;卡尔·邓尼茨 ;T25;9;1930;1999;submarine_tactics;small_taskforce_tactics;seamanship;DECENTRALIZED_EXECUTION;NAVAL_TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25;埃里希·雷德尔 ;T19;7;1930;1999;LARGE_TASKFORCE_TACTICS;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
26;埃里希·冯·曼施坦因 ;T20;9;1930;1999;combined_arms_focus;large_unit_tactics;DECENTRALIZED_EXECUTION;training;SMALL_UNIT_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
27;海因茨·古德里安 ;T22;9;1930;1999;combined_arms_focus;small_unit_tactics;centralized_execution;training;INDIVIDUAL_COURAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12;埃尔温·隆美尔 ;T6003;9;1999;1999;INFANTRY_FOCUS;combined_arms_focus;small_unit_tactics;DECENTRALIZED_EXECUTION;INDIVIDUAL_COURAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
28;雨果·斯佩尔 ;T24;7;1999;1999;LARGE_TASKFORCE_TACTICS;bomber_tactics;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
29;恩斯特·乌德特 ;T21;6;1930;1948;TRAINING;decentralized_execution;SMALL_TASKFORCE_TACTICS;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30;沃尔夫姆·冯·里奇特霍芬 ;T26;7;1999;1999;centralized_execution;fighter_tactics;training;SMALL_TASKFORCE_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31;阿道夫·格兰德 ;T18;8;1940;1999;fighter_tactics;SMALL_TASKFORCE_TACTICS;training;DECENTRALIZED_EXECUTION;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32;赫尔曼·戈林 ;T23;4;1930;1999;bomber_tactics;piloting;LARGE_TASKFORCE_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
