CYU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
93815;Kvarnersko Brodogradiliste;T_YUG_Kvarnersko;3;1930;1970;naval_artillery;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93816;Memorandum Teleoptik;T3803;5;1930;1970;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93817;Mihailo Petrovic;T_YUG_Mihailo_Petrovic;4;1930;1943;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93818;Mikron;T3804;4;1930;1970;electronics;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93819;Pavle Savic;T_YUG_Pavle_Savic;5;1930;1970;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93820;Prvi Partizan;T_YUG_PrviPartizan;5;1930;1970;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93821;Rafinerija Nafte Bosanski Brod;T_BOS_BosanskiBrod;4;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93822;SOKO;T_BOS_SOKO;5;1950;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93823;TRZH;T_BOS_TRZH;4;1955;1970;general_equipment;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93824;UNIS Pretis;T_BOS_PRETIS;3;1948;1970;technical_efficiency;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93825;VRZ Moma Stanojlovic;T_YUG_MomaStanojlovic;5;1944;1970;aeronautics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93826;VZ Kosmos;T_BOS_Kosmos;4;1949;1970;general_equipment;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93827;VZ ORAO;T_BOS_ORAO;4;1944;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93828;Yugoimport SDPR;T_YUG_YUGIMPORT;5;1949;1970;artillery;electronics;mechanics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93829;Yugoslavian Navy;T3808;3;1930;1970;centralized_execution;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93830;Yugoslavian State Railroads;T3805;5;1930;1970;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93831;Zastava;T_YUG_Zastava;4;1945;1970;management;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93832;Zastava oruzje;T_YUG_ZastavaArsenal;5;1930;1970;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93833;Zenica Zeljezara;T_BOS_ZenicaZeljezara;5;1948;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93834;ZMAJ;T3807;4;1930;1970;aeronautics;electronics;mechanics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93835;Zorka;T_YUG_Zorka;4;1938;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93836;ZRAK;T_BOS_ZRAK;4;1948;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x

