AVI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
614321;Nha Trang Maritime Academy;T_VIE_Nha_Trang_Maritime_Academy;4;1952;1970;small_taskforce_tactics;naval_engineering;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614322;Republic of Vietnam Navy;T_VIE_Republic_of_Vietnam_Navy_Forces;4;1952;1970;small_taskforce_tactics;centralized_execution;naval_engineering;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614323;The University of Saigon;T_VIE_The_University_of_Saigon;4;1957;1970;management;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614324;Thu Duc Military Academy;T_VIE_Thu_Duc_Military_Academy;3;1955;1970;combined_arms_focus;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614325;U.S. Agency for International Development, Viet Nam;T_VIE_U.S._Agency_for_International_Development_Viet_Nam;6;1961;1970;industrial_engineering;general_equipment;chemistry;management;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614326;U.S. Army Construction Agency, Viet Nam;T_VIE_U.S._Army_Construction_Agency_Viet_Nam;6;1963;1970;management;technical_efficiency;general_equipment;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614327;U.S. Military Assistance Command, Viet Nam;T_VIE_U.S._Military_Assistance_Command_Viet_Nam;4;1962;1970;combined_arms_focus;small_unit_tactics;bomber_tactics;piloting;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614328;U.S. Pacific Air Forces;T_VIE_U.S._Pacific_Air_Forces;5;1961;1970;rocketry;aeronautics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614329;Viet Nam National Bank;T_VIE_Viet_Nam_National_Bank;4;1955;1970;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614330;Viet Nam National Military Academy;T_VIE_Viet_Nam_National_Military_Academy;4;1955;1970;small_unit_tactics;piloting;training;naval_training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614331;Vu Quoc Thuc;T_VIE_Vu_Quoc_Thuc;4;1956;1962;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
