TIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
73060;Chief of Army;阿旺晋美 ;36;LE;Elastic Defence Doctrine;High;M73051_Ngapoi Ngawang Jigme;x
73061;Chief of Army;安得克 昆布扎西 ;46;PA;Elastic Defence Doctrine;High;M73072_Gompo Tashi Andrugtsang;x
73062;Chief of Army;巴帕谢森 ;46;SC;Armoured Spearhead Doctrine;High;M73020;x
73063;Chief of Air Force;阿旺晋美 ;36;LE;Air Superiority Doctrine;High;M73051_Ngapoi Ngawang Jigme;x
73064;Chief of Air Force;塔东 萨佩 ;38;PA;Air Superiority Doctrine;Medium;M73067_Tendong Shappe;x
73065;Chief of Air Force;塔荣 札西 ;36;SC;Army Aviation Doctrine;High;M73068_Tsarong;x
73066;Chief of Air Force;晋美图灵 ;38;SC;Air Superiority Doctrine;High;M73030_Jigme Taring uniforme;x
73067;Chief of Air Force;多布加 潘大善 ;38;SD;Army Aviation Doctrine;High;;x
73068;Chief of Air Force;宇妥 ;36;SD;Air Superiority Doctrine;High;M73070_Yuthok;x
73069;Chief of Air Force;古亚托 旺堆;46;PA;Vertical Envelopment Doctrine;High;M73029_Gyato Wangdu;x
73070;Chief of Navy;阿旺晋美 ;36;LE;Open Seas Doctrine;High;M73051_Ngapoi Ngawang Jigme;x
73071;Chief of Navy;塔东 萨佩 ;38;PA;Base Control Doctrine;Medium;M73067_Tendong Shappe;x
73072;Chief of Navy;塔荣 札西 ;36;SC;Decisive Naval Battle Doctrine;High;M73068_Tsarong;x
73073;Chief of Navy;晋美图灵 ;38;SC;Open Seas Doctrine;High;M73030_Jigme Taring uniforme;x
73074;Chief of Navy;多布加 潘大善 ;38;SD;Power Projection Doctrine;High;;x
73075;Chief of Navy;宇妥 ;36;SD;Base Control Doctrine;High;M73070_Yuthok;x
73076;Chief of Navy;安得克 昆布扎西 ;46;PA;Power Projection Doctrine;High;M73072_Gompo Tashi Andrugtsang;x
