UIR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65731;Minister of Security;阿卜杜勒 马吉德 扎布利 ;36;NS;Crooked Kleptocrat;High;M54004;x
65732;Head of Military Intelligence;杰汉吉尔 巴巴 霍米 ;36;NS;Technical Specialist;Very High;M59079;x
65733;Head of Military Intelligence;拉什贝哈里 巴苏 ;36;NS;Logistics Specialist;Very High;M59016;x
65734;Head of Military Intelligence;什里 贾格吉凡 拉姆 ;36;NS;Political Specialist;Very High;M59077;x
65735;Head of Military Intelligence;拉菲 艾哈迈德 基德瓦伊 ;36;NS;Dismal Enigma;Medium;M59068;x
65736;Head of Military Intelligence;西尔 布瓦哈杜尔 孔德劳 ;36;NS;Industrial Specialist;Medium;M59083;x
65737;Head of Military Intelligence;斯蒂芬 霍普-卡利尔 ;36;NS;Naval Intelligence Specialist;Medium;L1356;x
65738;Chief of Staff;沙阿 纳瓦兹 汗 ;36;NS;School of Manoeuvre;Very High;M59017;x
65739;Chief of Staff;科丹德拉 卡里阿帕 ;36;NS;School of Fire Support;High;M59093;x
65740;Chief of Staff;莫汉 辛格 ;36;NS;School of Mass Combat;Very Low;M59028;x
65741;Chief of Staff;阿南塔萨亚南 阿扬加尔 ;36;NS;School of Defence;High;M59044;x
65742;Chief of Staff;萨达尔 巴尔德夫 辛格 ;36;NS;School of Psychology;Medium;M59092;x
65743;Chief of Army;科丹德拉 卡里阿帕 ;36;NS;Elastic Defence Doctrine;Low;M59093;x
65744;Chief of Army;巴瓦拉普的 库雷希 ;36;NS;Static Defence Doctrine;Medium;M59040;x
65745;Chief of Army;纳西鲁拉 侯赛因 ;36;NS;Decisive Battle Doctrine;Medium;M54019;x
65746;Chief of Army;雷纳托 巴多路希 ;36;NS;Armoured Spearhead Doctrine;Medium;M54065;x
65747;Chief of Army;拉姆 辛格 塔库尔 ;36;NS;Guns and Butter Doctrine;Very High;M59099;x
65748;Chief of Navy;沙阿 瓦利 汗 ;36;NS;Open Seas Doctrine;Medium;M54042;x
65749;Chief of Navy;巴斯卡尔 苏曼 ;36;NS;Decisive Naval Battle Doctrine;Medium;M59107;x
65750;Chief of Navy;拉姆 达斯 卡塔里 ;36;NS;Power Projection Doctrine;Medium;M59019;x
65751;Chief of Navy;哈林德尔 辛格 ;36;NS;Indirect Approach Doctrine;Medium;M59112;x
65752;Chief of Navy;鲁德拉 拉纳 ;36;NS;Base Control Doctrine;Medium;M75009;x
65753;Chief of Air Force;阿尔热 辛格 维布桑 ;36;NS;Air Superiority Doctrine;medium;M59113;x
65754;Chief of Air Force;阿斯派 梅尔万 工程师 ;36;NS;Naval Aviation Doctrine;medium;M59117;x
65755;Chief of Air Force;梅哈尔 辛格 ;36;NS;Army Aviation Doctrine;medium;M59114;x
65756;Chief of Air Force;拉温德拉 达尔尚 辛格 ;36;NS;Carpet Bombing Doctrine;High;M59118;x
65757;Chief of Air Force;吴拉姆 瓦利 ;36;NS;Vertical Envelopment Doctrine;Medium;M54063;x
