SOV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
4062;Chief of Navy;尼古拉 库兹涅佐夫 ;39;ST;Decisive Naval Battle Doctrine;Medium;M4029;x
4063;Chief of Navy;伊万 S 伊沙科夫 ;40;LE;Base Control Doctrine;High;M4063;x
4064;Chief of Air Force;亚历山大 D 洛克托诺夫 ;37;ST;Army Aviation Doctrine;Low;M4064;x
4065;Chief of Air Force;帕威尔 V 雷恰戈夫 ;38;ST;Naval Aviation Doctrine;Medium;M4030;x
4066;Chief of Air Force;雅科夫 V 斯莫契科维奇 ;36;LE;Army Aviation Doctrine;Medium;M4066;x
4067;Chief of Air Force;亚历山大 E 格罗瓦诺夫 ;40;LE;Army Aviation Doctrine;High;M4067;x
4068;Chief of Air Force;亚历山大 诺维克夫 ;42;ST;Air Superiority Doctrine;Medium;M4068;x
4069;Chief of Air Force;伊 V 弗拉基米诺维奇 ;43;ST;Carpet Bombing Doctrine;High;M4069;x
4011;Head of State;安德列 弗拉索夫 ;36;PA;Resigned Generalissimo;Medium;M4011;x
4012;Head of Government;格利高里 泽伦科夫 ;36;PA;Political Protege;Medium;M4012;x
4013;Foreign Minister;费多尔 巴达托尔契科 ;36;PA;Great Compromiser;Medium;M4013;x
4014;Minister of Armament;安东 斯切格诺夫 ;36;PA;Military Entrepreneur;Medium;M4014;x
4015;Minister of Security;弗拉基米尔 马雷伊什金 ;36;PA;Back Stabber;High;M4015;x
4016;Head of Military Intelligence;米哈伊 门德洛夫 ;36;PA;Dismal Enigma;Medium;M4016;x
4017;Chief of Staff;费多尔 托尔金 ;36;PA;School of Mass Combat;Medium;M4017;x
4018;Chief of Army;维塔利 马尔采夫 ;36;PA;Decisive Battle Doctrine;Medium;M4018;x
4019;Chief of Navy;P 杜鲁斯特 ;36;PA;Power Projection Doctrine;Medium;M4019;x
4020;Chief of Air Force;S A 车尔尼克 ;36;PA;Army Aviation Doctrine;Medium;M4020;x
4023;Foreign Minister;德米特里 帕夫洛维奇 ;36;SC;Biased Intellectual;Medium;M4023;x
4024;Minister of Armament;弗拉基米尔 斯米尔诺夫 ;36;SL;Laissez Faires Capitalist;Medium;M4024;x
4025;Minister of Security;伊格尔 特鲁别茨柯依 ;36;SC;Man of the People;Medium;M4025;x
4026;Head of Military Intelligence;伊格尔 特鲁别茨柯依 ;36;SC;Technical Specialist;Low;M4025;x
4027;Chief of Staff;康斯坦丁 K 洛克索夫斯基 ;40;LWR;School of Manoeuvre;High;M4027;x
4028;Chief of Army;格奥尔基 K 朱可夫 ;36;PA;Decisive Battle Doctrine;Medium;M4028;x
4029;Chief of Navy;尼古拉 库兹涅佐夫 ;36;PA;Decisive Naval Battle Doctrine;Medium;M4029;x
4030;Chief of Air Force;帕威尔 V 雷恰戈夫 ;36;PA;Army Aviation Doctrine;Medium;M4030;x
4071;Minister of Armament;尼古拉 布尔加宁 ;53;ST;Resource Industrialist;Medium;M4071;x
4073;Minister of Armament;约瑟夫 斯大林 ;36;ST;Military Entrepreneur;High;M4002;x
4083;Head of State;克利门特 叶 伏罗希洛夫 ;53;ST;Resigned Generalissimo;High;M4008;x
4081;Head of Government;尼基塔 赫鲁晓夫 ;58;ST;Flamboyant Tough Guy;High;M4075;x
4108;Head of State;尼基塔 赫鲁晓夫 ;53;LE;Die-hard Reformer;High;M4075;x
4082;Minister of Armament;亚历山大 M 华西列夫斯基 ;49;ST;Infantry Proponent;Medium;M4076;x
4077;Minister of Security;谢尔盖 克鲁格洛夫 ;53;ST;Back Stabber;High;M4077;x
4078;Head of Military Intelligence;维克托 阿巴库莫夫 ;46;ST;Logistics Specialist;High;M4078;x
4079;Head of Military Intelligence;谢苗 伊格纳托夫 ;51;ST;Political Specialist;High;M4079;x
4080;Head of Military Intelligence;伊万 谢罗夫 ;53;ST;Technical Specialist;High;M4080;x
4084;Head of State;利奥尼德 勃列日涅夫 ;60;ST;Stern Imperialist;Medium;M4084;x
4085;Head of Government;格奥尔基 马林科夫 ;53;ST;Political Protege;High;M4085;x
4086;Head of Government;尼古拉 布尔加宁 ;55;ST;Old General;Medium;M4071;x
4087;Foreign Minister;迪米特里 谢皮洛夫 ;56;ST;Apologetic Clerk;High;M4087;x
4088;Foreign Minister;安德烈 葛罗米柯 ;57;ST;The Cloak N Dagger Schemer;High;M4088;x
4089;Minister of Armament;格奥尔基 K 朱可夫 ;55;ST;Military Entrepreneur;High;M4028;x
4090;Minister of Armament;罗迪安 马林诺夫斯基 ;59;ST;Tank Proponent;High;L10102;x
4091;Minister of Security;尼古拉 杜多罗夫 ;56;ST;Back Stabber;Medium;M4091;x
4092;Head of Military Intelligence;亚历山大 谢列平 ;58;ST;Political Specialist;High;M4092;x
4093;Head of Military Intelligence;弗拉迪米尔 谢米恰斯内 ;61;ST;Dismal Enigma;Medium;M4093;x
4094;Minister of Security;米哈伊尔 P. 弗里诺夫斯基;37;ST;Efficient Sociopath;Medium;M_SOV_MikhailPFrinovsky;x
4095;Head of State;拉夫连季 贝利亚 ;40;FA;Powerhungry Demagogue;Low;M_SOV_LavrentiBeria;x
4109;Head of State;拉夫连季 贝利亚 ;53;LWR;Ruthless Powermonger;Medium;M_SOV_LavrentiBeria;x
4096;Head of Government;拉夫连季 贝利亚 ;39;FA;Backroom Backstabber;Low;M_SOV_LavrentiBeria;x
4097;Chief of Navy;伊凡 斯捷潘诺维奇 尤马舍夫;38;LE;Open Seas Doctrine;Medium;M_SOV_IvanSYumashev;x
4098;Chief of Staff;罗季翁 Y. 马利诺夫斯基;40;ST;School of Fire Support;High;L10102;x
4099;Chief of Army;安德烈 格列奇科;59;ST;Elastic Defence Doctrine;High;M_SOV_AndreiGrechko;x
4100;Chief of Staff;安德烈 格列奇科;53;ST;School of Manoeuvre;High;M_SOV_AndreiGrechko;x
4101;Minister of Armament;阿列克谢 柯西金;59;LE;Administrative Genius;High;M_SOV_AlexeiKosygin;x
4102;Minister of Security;拉夫连季 贝利亚 ;38;FA;Prince of Terror;Low;M_SOV_LavrentiBeria;x
4103;Foreign Minister;阿那斯塔斯 范斯特斯基;39;FA;Iron Fisted Brute;Medium;M_RUS_Anastase_Vonsiatsky;x
4104;Minister of Security;康斯坦丁 V. 罗扎耶夫斯基;43;NS;Prince of Terror;Medium;M_RUS_Konstantin_Rodzaevsky;x
4105;Head of Government;康斯坦丁 V. 罗扎耶夫斯基;46;NS;Naive Optimist;Medium;M_RUS_Konstantin_Rodzaevsky;x
4106;Foreign Minister;鲍里斯 利奥 布鲁索;44;FA;Biased Intellectual;Medium;M_RUS_BorisBrasol;x
4107;Minister of Armament;安德烈 萨哈罗夫;51;LWR;Theoretical Scientist;Medium;M_SOV_AndreiSakharov;x
