AFG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
54038;Minister of Armament;费鲁乔 塞拉菲尼 ;40;SC;Air Superiority Proponent;Medium;M54038;x
54039;Minister of Armament;阿马努拉 ;36;SC;Corrupt Kleptocrat;Low;M54011;x
54040;Minister of Armament;马西莫 皮洛蒂 ;41;SC;Theoretical Scientist;Medium;M54040;x
54041;Minister of Armament;蓬佩奥 阿卢瓦西 ;43;SC;Military Entrepreneur;Medium;M54041;x
54042;Minister of Armament;沙阿 瓦利 汗 ;44;SC;Strategic Air Proponent;Medium;M54042;x
54043;Minister of Armament;穆罕默德 埃特马迪 汗 ;45;PA;Submarine Proponent;Medium;M54016;x
54044;Minister of Armament;穆罕默德 诺罗兹 ;46;PA;Resource Industrialist;High;M54044;x
54045;Minister of Armament;阿里 穆罕默德 汗 ;47;PA;Air to Sea Proponent;Medium;M54020;x
54046;Minister of Security;卡洛 加尔巴索 ;38;FA;Prince of Terror;High;M54046;x
54047;Minister of Security;吴拉姆 法鲁克 奥斯曼 ;39;FA;Crime Fighter;High;M54047;x
54048;Minister of Security;阿里 穆罕默德 汗 ;39;SC;Efficient Sociopath;Medium;M54020;x
54049;Minister of Security;穆罕默德 查希尔 ;41;SC;Man of the People;Medium;M54009;x
54050;Minister of Security;里奇 A. 布萨蒂 ;43;SC;Silent Lawyer;High;M54050;x
54051;Minister of Security;阿卜杜勒 马吉德 扎布利 ;45;PA;Crooked Kleptocrat;High;M54004;x
54052;Minister of Security;穆罕默德 戈巴尔 ;46;PA;Back Stabber;Medium;M54015;x
54053;Minister of Security;阿萨杜拉赫 萨拉杰 汗 ;47;PA;Compassionate Gentleman;High;M54031;x
54054;Head of Military Intelligence;彼得罗 斯托帕尼 ;37;FA;Industrial Specialist;Medium;M54054;x
54055;Head of Military Intelligence;卡洛 尚策 ;38;FA;Technical Specialist;Medium;M54055;x
54056;Head of Military Intelligence;卡洛 恩里科 巴尔杜齐 ;39;SC;Political Specialist;Medium;M54056;x
54057;Head of Military Intelligence;阿里 穆罕默德 汗 ;40;SC;Naval Intelligence Specialist;Medium;M54020;x
54058;Head of Military Intelligence;阿卜杜勒 马吉德 扎布利 ;43;SC;Dismal Enigma;High;M54004;x
54059;Head of Military Intelligence;穆罕默德 埃特马迪 汗 ;45;PA;Logistics Specialist;Medium;M54016;x
54060;Chief of Staff;沙阿 马哈茂德 加齐 ;36;FA;School of Psychology;Medium;M54006;x
54061;Chief of Staff;瓦齐尔 阿克巴尔 汗 ;39;SC;School of Defence;Medium;M54018;x
54062;Chief of Staff;纳西鲁拉 侯赛因 ;43;SC;School of Fire Support;Medium;M54019;x
54063;Chief of Staff;吴拉姆 瓦利 ;44;SC;School of Manoeuvre;Medium;M54063;x
54065;Chief of Army;雷纳托 巴多路希 ;37;FA;Armoured Spearhead Doctrine;Medium;M54065;x
54066;Chief of Army;阿萨杜拉赫 萨拉杰 汗 ;39;SC;Elastic Defence Doctrine;Medium;M54031;x
54067;Chief of Army;瓦齐尔 阿克巴尔 汗 ;42;SC;Static Defence Doctrine;Medium;M54018;x
54068;Chief of Army;吴拉姆 瓦利 ;43;SC;Guns and Butter Doctrine;Medium;M54063;x
54069;Chief of Army;纳西鲁拉 侯赛因 ;45;PA;Decisive Battle Doctrine;Medium;M54019;x
54070;Chief of Navy;穆罕默德 哈希姆 ;39;SC;Base Control Doctrine;Medium;M54002;x
54071;Chief of Navy;穆罕默德 埃特马迪 汗 ;43;SC;Indirect Approach Doctrine;Medium;M54016;x
54072;Chief of Navy;阿里 穆罕默德 汗 ;44;SC;Power Projection Doctrine;Medium;M54020;x
54073;Chief of Navy;纳西鲁拉 侯赛因 ;45;PA;Decisive Naval Battle Doctrine;Medium;M54019;x
54074;Chief of Navy;沙阿 瓦利 汗 ;46;PA;Open Seas Doctrine;Medium;M54042;x
54075;Chief of Air Force;吴拉姆 瓦利 ;37;FA;Vertical Envelopment Doctrine;Medium;M54063;x
54076;Chief of Air Force;沙阿 瓦利 汗 ;38;FA;Carpet Bombing Doctrine;Medium;M54042;x
54077;Chief of Air Force;费鲁乔 塞拉菲尼 ;39;FA;Air Superiority Doctrine;Medium;M54038;x
54078;Chief of Air Force;穆罕默德 查希尔 ;39;SC;Army Aviation Doctrine;Medium;M54009;x
54079;Chief of Air Force;阿里 穆罕默德 汗 ;45;PA;Naval Aviation Doctrine;Medium;M54020;x
54011;Head of State;阿马努拉 ;36;PA;Resigned Generalissimo;High;M54011;x
54012;Head of Government;穆罕默德 戈巴尔 ;36;PA;Backroom Backstabber;High;M54012;x
54014;Minister of Armament;阿卜杜勒 哈迪 达外 ;36;PA;Laissez-Faire Capitalist;Medium;M54014;x
54080;Foreign Minister;穆罕默德 迈万德瓦尔 ;51;PA;Ideological Crusader;Medium;M54080;x
