SAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
70058;Minister of Security;C F 斯塔莱德 ;38;ML;Silent Lawyer;high;M70058;x
70059;Minister of Security;T E 狄更斯 ;38;SC;Man of the People;high;M70059;x
70060;Minister of Security;D F 马伦 ;38;SC;Crime Fighter;high;M70029;x
70061;Minister of Security;E G 简森 ;39;ML;Silent Lawyer;high;M70036;x
70062;Minister of Security;J G 斯特里基多姆 ;40;SC;Back Stabber;high;M70041;x
70063;Minister of Security;F C 伊拉兹马斯 ;41;SC;Efficient Sociopath;high;M70063;x
70064;Minister of Security;C 德 温伯格 杜托特 ;43;PA;Crime Fighter;high;M70015;x
70065;Head of Military Intelligence;B J 舒曼 ;36;SC;Logistics Specialist;high;M70065;x
70066;Head of Military Intelligence;吉诺特 德 拉 托利尔 ;39;SC;Naval Intelligence Specialist;high;M70066;x
70067;Head of Military Intelligence;西摩 杰克林 ;40;PA;Political Specialist;high;M70016;x
70068;Head of Military Intelligence;埃里克 拉尔文 ;43;SC;Technical Specialist;high;M70032;x
70069;Head of Military Intelligence;C R 斯沃特 ;43;SC;Dismal Enigma;high;M70057;x
70070;Head of Military Intelligence;尼古拉斯 哈文加 ;45;SC;Industrial Specialist;high;M70004;x
70071;Chief of Staff;詹姆斯 米切尔-贝克 ;37;SC;School of Manoeuvre;high;M70071;x
70072;Chief of Staff;伦纳德 贝耶斯 ;40;SC;School of Defence;high;M70072;x
70073;Chief of Staff;C 德 温伯格 杜托特 ;43;PA;School of Fire Support;high;M70015;x
70074;Chief of Staff;扬 C 史末资 ;44;ML;School of Mass Combat;high;M70005;x
70075;Chief of Staff;罗伯特 帕默 ;44;SC;School of Psychology;high;M70075;x
70076;Chief of Army;乔舒亚 F 诺德 ;36;SC;Guns and Butter Doctrine;high;M70076;x
70077;Chief of Army;詹姆斯 米切尔-贝克 ;39;ML;Decisive Battle Doctrine;high;M70071;x
70078;Chief of Army;C 德 温伯格 杜托特 ;42;PA;Armoured Spearhead Doctrine;high;M70015;x
70079;Chief of Army;伦纳德 贝耶斯 ;43;SC;Static Defence Doctrine;high;M70072;x
70080;Chief of Army;皮埃尔 范 莱茵维尔 ;43;ML;Elastic Defence Doctrine;high;M70007;x
70081;Chief of Army;佛朗哥斯 瑟伦 ;46;SC;Armoured Spearhead Doctrine;high;M70081;x
70082;Chief of Navy;吉诺特 德 拉 托利尔 ;36;SC;Decisive Naval Battle Doctrine;high;M70066;x
70083;Chief of Navy;戈尼列斯 范 戈尼列斯 ;38;SC;Indirect Approach Doctrine;high;M70050;x
70084;Chief of Air Force;克利斯托菲尔 文特 ;40;ML;Vertical Envelopment Doctrine;high;M70084;x
70085;Chief of Air Force;阿道夫 马伦 ;41;SC;Army Aviation Doctrine;high;M70047;x
70086;Chief of Air Force;马力诺斯 范 奥斯特克普 ;41;SC;Naval Aviation Doctrine;high;M70053;x
70087;Chief of Air Force;S P 勒 罗克斯 ;43;ML;Vertical Envelopment Doctrine;high;M70043;x
70011;Head of State;J F 范 任斯伯格 ;36;FA;Resigned Generalissimo;high;M70011;x
70012;Head of Government;J F 范 任斯伯格 ;36;FA;Old General;high;M70011;x
70088;Head of State;E G 简森 ;51;SL;Autocratic Charmer;high;M70036;x
70089;Head of State;E G 简森 ;51;SC;Autocratic Charmer;high;M70036;x
70090;Minister of Armament;扬 C 史末资 ;39;ML;Military Entrepreneur;high;M70005;x
70091;Minister of Armament;F C 伊拉兹马斯 ;48;SC;Submarine Proponent;high;M70063;x
70092;Minister of Security;H G 劳伦斯 ;43;ML;Prince of Terror;high;M70092;x
70093;Head of State;C R 斯沃特 ;59;SC;Pig-headed Isolationist;high;M70057;x
70094;Head of State;C R 斯沃特 ;59;SL;Pig-headed Isolationist;high;M70057;x
70095;Head of Government;J G 斯特里基多姆 ;54;SC;Backroom Backstabber;high;M70041;x
70096;Head of Government;亨德利 F 维活德 ;58;SC;Ambitious Union Boss;high;M70055;x
70097;Head of Government;德 维利尔斯 格拉夫 男爵 ;50;SL;Happy Amateur;high;M70097;x
70098;Foreign Minister;雅克布斯 德 比尔 ;50;SL;Great Compromiser;high;M70098;x
70099;Minister of Armament;F C 伊拉兹马斯 ;52;SC;Laissez Faires Capitalist;high;M70063;x
70100;Minister of Armament;约翰尼斯 J 福歇 ;59;SC;Resource Industrialist;high;M70100;x
70101;Minister of Security;乔舒亚 F 诺德 ;58;SC;Compassionate Gentleman;high;M70076;x
70102;Minister of Security;约翰尼斯 德 克拉克 ;61;SC;Silent Lawyer;high;M70102;x
70103;Minister of Security;乔舒亚 F 诺德 ;61;SL;Man of the People;high;M70076;x
70104;Foreign Minister;巴尔萨泽 J. 福斯特;44;FA;Great Compromiser;Medium;M_SAF_BalthazarVorster;x
70105;Head of Government;巴尔萨泽 J. 福斯特;50;FA;Ambitious Union Boss;Medium;M_SAF_BalthazarVorster;x
