ALB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
32082;Minister of Armament;伊斯梅尔 加克萨 ;42;PA;Battle Fleet Proponent;Medium;M32029;x
32083;Minister of Armament;菲契里 戴恩 ;43;PA;Corrupt Kleptocrat;Medium;M32043;x
32085;Minister of Armament;哈奇 列希 ;30;SC;Laissez Faires Capitalist;Medium;M32014;x
32086;Minister of Armament;谢夫克特 什库皮 ;40;SL;Battle Fleet Proponent;Medium;M32071;x
32087;Minister of Armament;雷杰普 米特罗维卡 ;41;SC;Air to Sea Proponent;Medium;M32046;x
32088;Minister of Armament;科斯塔克 科塔 ;42;SC;Strategic Air Proponent;Medium;M32052;x
32089;Minister of Armament;查费尔 伊皮 ;43;SC;Tank Proponent;Medium;M32056;x
32090;Minister of Armament;哈伊雷 迪兹达里 ;44;SC;Military Entrepreneur;Medium;M32090;x
32091;Minister of Armament;杰拉尔 米特罗维卡 ;45;SC;Infantry Proponent;Medium;M32091;x
32092;Minister of Armament;马利奇 布沙蒂 ;39;FA;Corrupt Kleptocrat;High;M32024;x
32093;Minister of Armament;谢夫克特 韦拉奇 ;41;FA;Laissez Faires Capitalist;High;M32047;x
32094;Minister of Armament;奥梅 比卡库 ;42;FA;Resource Industrialist;Medium;M32084;x
32095;Minister of Armament;埃克雷姆 利博霍瓦 ;43;FA;Tank Proponent;High;M32048;x
32096;Minister of Armament;埃萨德 帕夏 ;39;ST;Corrupt Kleptocrat;Medium;M32036;x
32097;Minister of Armament;恩维尔 霍查 ;42;ST;Infantry Proponent;Very High;M32097;x
32098;Minister of Armament;内诺 扎纳 ;43;ST;Air to Sea Proponent;Low;M32098;x
32099;Minister of Armament;塞富拉 马勒斯霍瓦 ;44;ST;Submarine Proponent;Low;M32050;x
32102;Minister of Security;迈扎特 贝日 弗拉谢里 ;40;PA;Compassionate Gentleman;Very High;M32002;x
32103;Minister of Security;奥梅 尼沙尼 ;41;PA;Back Stabber;Very High;M32032;x
32104;Minister of Security;易卜拉欣 比卡库 ;43;PA;Prince of Terror;Medium;M32042;x
32105;Minister of Security;纳齐姆 德多利 ;44;PA;Efficient Sociopath;Medium;M32066;x
32106;Minister of Security;科斯塔克 科塔 ;45;PA;Crime Fighter;High;M32052;x
32107;Minister of Security;内克希普 德瓦 ;46;PA;Silent Lawyer;Medium;M32107;x
32108;Minister of Security;尤普 卡扎齐 ;30;SC;Crooked Kleptocrat;Low;M32015;x
32109;Minister of Security;哈利勒 内古蒂 ;41;SL;Crime Fighter;Low;M32109;x
32110;Minister of Security;迈扎特 贝日 弗拉谢里 ;42;SC;Compassionate Gentleman;Very High;M32002;x
32111;Minister of Security;谢夫克特 什库皮 ;43;SL;Man of the People;Medium;M32071;x
32112;Minister of Security;穆斯塔法 梅利卡 ;44;SL;Back Stabber;Medium;M32057;x
32113;Minister of Security;杰拉尔 米特罗维卡 ;46;SC;Crooked Kleptocrat;Medium;M32091;x
32114;Minister of Security;马利奇 布沙蒂 ;39;FA;Crooked Kleptocrat;High;M32024;x
32115;Minister of Security;埃克雷姆 利博霍瓦 ;41;FA;Man of the People;High;M32048;x
32116;Minister of Security;科尔 比贝 米拉卡伊 ;42;FA;Crooked Kleptocrat;High;M32074;x
32117;Minister of Security;努希 贝里沙 ;43;FA;Compassionate Gentleman;High;M32075;x
32118;Minister of Security;潘迪 克里斯托 ;39;ST;Prince of Terror;Medium;M32035;x
32119;Minister of Security;哈桑 什卡比 ;41;ST;Compassionate Gentleman;High;M32077;x
32120;Minister of Security;哈奇 列希 ;42;ST;Efficient Sociopath;Medium;M32014;x
32121;Minister of Security;祖赫迪 沙巴尼 ;43;ST;Crime Fighter;Low;M32121;x
32122;Minister of Security;阿齐兹 苏莱曼尼 ;44;ST;Crooked Kleptocrat;Low;M32040;x
32123;Minister of Security;哈伊雷 费塔胡 ;45;ST;Man of the People;Very High;M32039;x
32125;Head of Military Intelligence;夸马尔 帕卡济 ;39;PA;Naval Intelligence Specialist;Medium;M32009;x
32126;Head of Military Intelligence;福阿德 阿斯拉姆 ;42;PA;Logistics Specialist;Medium;M32003;x
32127;Head of Military Intelligence;艾哈迈德 扎希尔 ;44;PA;Technical Specialist;Medium;M32127;x
32130;Head of Military Intelligence;查费尔 伊皮 ;41;SC;Logistics Specialist;Medium;M32056;x
32131;Head of Military Intelligence;雷杰普 米特罗维卡 ;42;SC;Political Specialist;Medium;M32046;x
32132;Head of Military Intelligence;哈伊雷 迪兹达里 ;44;SC;Technical Specialist;Medium;M32090;x
32133;Head of Military Intelligence;杰拉尔 米特罗维卡 ;45;SC;Dismal Enigma;Medium;M32091;x
32134;Head of Military Intelligence;切马尔 科马尼 ;39;FA;Dismal Enigma;Medium;M32007;x
32135;Head of Military Intelligence;马利奇 布沙蒂 ;42;FA;Logistics Specialist;High;M32024;x
32136;Head of Military Intelligence;哈桑 贝戈利 ;43;FA;Political Specialist;High;M32073;x
32137;Head of Military Intelligence;努希 贝里沙 ;44;FA;Industrial Specialist;High;M32075;x
32138;Head of Military Intelligence;埃萨德 帕夏 ;39;ST;Dismal Enigma;Medium;M32036;x
32139;Head of Military Intelligence;祖赫迪 沙巴尼 ;41;ST;Political Specialist;Low;M32121;x
32140;Head of Military Intelligence;阿巴兹 库皮 ;42;ST;Industrial Specialist;Medium;M32129;x
32141;Head of Military Intelligence;尤普 卡扎齐 ;44;ST;Naval Intelligence Specialist;Low;M32015;x
32142;Head of Military Intelligence;内诺 扎纳 ;45;ST;Logistics Specialist;Low;M32098;x
32143;Chief of Staff;雷杰普 米特罗维卡 ;39;PA;School of Mass Combat;Medium;M32046;x
32144;Chief of Staff;纳齐姆 德多利 ;42;PA;School of Fire Support;Medium;M32066;x
32147;Chief of Staff;哈伊雷 迪兹达里 ;42;SC;School of Defence;Medium;M32090;x
32148;Chief of Staff;杰拉尔 米特罗维卡 ;43;SC;School of Manoeuvre;Medium;M32091;x
32149;Chief of Staff;索克拉特 阿戈利 ;44;SC;School of Psychology;Medium;M32149;x
32151;Chief of Staff;谢夫克特 韦拉奇 ;40;FA;School of Psychology;High;M32047;x
32152;Chief of Staff;科尔 比贝 米拉卡伊 ;41;FA;School of Manoeuvre;High;M32074;x
32153;Chief of Staff;克里斯托 卡尤比 ;42;FA;School of Mass Combat;Medium;M32145;x
32154;Chief of Staff;穆罕默德 谢胡 ;39;ST;School of Mass Combat;Very High;M32017;x
32155;Chief of Staff;祖赫迪 沙巴尼 ;42;ST;School of Manoeuvre;Low;M32121;x
32156;Chief of Staff;普伦克 佩尔维兹 ;44;ST;School of Fire Support;Very High;M32156;x
32157;Chief of Army;塞利姆 莫伊希欧 ;38;PA;Elastic Defence Doctrine;Medium;M32018;x
32158;Chief of Army;克里斯托 卡尤比 ;39;PA;Static Defence Doctrine;Medium;M32145;x
32160;Chief of Army;索克拉特 阿戈利 ;42;PA;Guns and Butter Doctrine;Medium;M32149;x
32161;Chief of Army;亚历山大 莫里 ;44;PA;Decisive Battle Doctrine;Medium;M32161;x
32164;Chief of Army;哈伊雷 迪兹达里 ;42;SC;Decisive Battle Doctrine;Medium;M32090;x
32165;Chief of Army;杰拉尔 米特罗维卡 ;44;SC;Guns and Butter Doctrine;Medium;M32091;x
32166;Chief of Army;穆斯塔法 梅利卡 ;45;SL;Static Defence Doctrine;Medium;M32057;x
32167;Chief of Army;切马尔 科马尼 ;30;FA;Armoured Spearhead Doctrine;Medium;M32007;x
32168;Chief of Army;科尔 比贝 米拉卡伊 ;42;FA;Elastic Defence Doctrine;High;M32074;x
32169;Chief of Army;穆罕默德 谢胡 ;39;ST;Guns and Butter Doctrine;Very High;M32017;x
32170;Chief of Army;哈桑 什卡比 ;42;ST;Decisive Battle Doctrine;High;M32077;x
32171;Chief of Army;普伦克 佩尔维兹 ;44;ST;Elastic Defence Doctrine;Very High;M32156;x
32172;Chief of Army;阿齐兹 苏莱曼尼 ;45;ST;Armoured Spearhead Doctrine;Low;M32040;x
32174;Chief of Navy;雷杰普 米特罗维卡 ;40;PA;Indirect Approach Doctrine;Medium;M32046;x
32175;Chief of Navy;斯特芬 德尔维涅 ;41;PA;Base Control Doctrine;Medium;M32020;x
32176;Chief of Navy;纳齐姆 德多利 ;42;PA;Decisive Naval Battle Doctrine;Medium;M32066;x
32177;Chief of Navy;内克希普 德瓦 ;44;PA;Power Projection Doctrine;Medium;M32107;x
32179;Chief of Navy;杰拉尔 米特罗维卡 ;42;SC;Base Control Doctrine;Medium;M32091;x
32180;Chief of Navy;哈伊雷 迪兹达里 ;44;SC;Decisive Naval Battle Doctrine;Medium;M32090;x
32181;Chief of Navy;伊斯梅尔 加克萨 ;39;FA;Open Seas Doctrine;Medium;M32029;x
32182;Chief of Navy;哈桑 贝戈利 ;42;FA;Power Projection Doctrine;High;M32073;x
32183;Chief of Navy;哈伊雷 费塔胡 ;39;ST;Decisive Naval Battle Doctrine;Very High;M32039;x
32184;Chief of Navy;恩维尔 霍查 ;42;ST;Open Seas Doctrine;Medium;M32034;x
32185;Chief of Navy;哈利勒 内古蒂 ;44;ST;Power Projection Doctrine;Medium;M32109;x
32187;Chief of Air Force;菲契里 戴恩 ;42;PA;Army Aviation Doctrine;Medium;M32043;x
32188;Chief of Air Force;内克希普 德瓦 ;44;PA;Carpet Bombing Doctrine;Medium;M32107;x
32189;Chief of Air Force;艾哈迈德 扎希尔 ;45;PA;Air Superiority Doctrine;Medium;M32127;x
32191;Chief of Air Force;杰拉尔 米特罗维卡 ;42;SC;Air Superiority Doctrine;Medium;M32091;x
32192;Chief of Air Force;索克拉特 阿戈利 ;44;SC;Army Aviation Doctrine;Medium;M32149;x
32193;Chief of Air Force;斯特芬 德尔维涅 ;39;FA;Naval Aviation Doctrine;Medium;M32020;x
32194;Chief of Air Force;埃克雷姆 利博霍瓦 ;40;FA;Carpet Bombing Doctrine;High;M32048;x
32195;Chief of Air Force;努希 贝里沙 ;41;FA;Army Aviation Doctrine;High;M32075;x
32196;Chief of Air Force;哈桑 贝戈利 ;42;FA;Vertical Envelopment Doctrine;High;M32073;x
32197;Chief of Air Force;阿齐兹 苏莱曼尼 ;39;ST;Vertical Envelopment Doctrine;Low;M32040;x
32198;Chief of Air Force;恩维尔 霍查 ;42;ST;Carpet Bombing Doctrine;Medium;M32034;x
32199;Chief of Air Force;哈伊雷 费塔胡 ;43;ST;Air Superiority Doctrine;Very High;M32039;x
32200;Chief of Air Force;普伦克 佩尔维兹 ;44;ST;Naval Aviation Doctrine;Very High;M32156;x
32201;Chief of Air Force;祖赫迪 沙巴尼 ;45;ST;Army Aviation Doctrine;Low;M32121;x
32202;Head of Government;涅奇米叶 霍查;45;ST;Political Protege;Medium;M32202;x
32203;Chief of Staff;切梅尔 萨塔法;39;ST;School of Manoeuvre;Medium;M32203;x
32204;Minister of Armament;斯皮罗 科列加;39;ST;Infantry Proponent;Medium;M32204;x
32205;Chief of Army;维塞利 尚托;39;ST;Guns and Butter Doctrine;Medium;M32205;x
32206;Chief of Air Force;拉马丹 塔库;39;ST;Vertical Envelopment Doctrine;Medium;M32206;x
32207;Foreign Minister;萨米 巴哈利;39;ST;Ideological Crusader;Medium;M32207;x
32208;Head of State;穆斯塔法 哈利;39;ST;Popular Figurehead;Medium;M32208;x
32209;Chief of Navy;麦斯利 皮扎;39;ST;Base Control Doctrine;Medium;M32209;x
32210;Head of Government;阿巴斯 库皮;30;SC;Old General;Medium;M32210;x
32211;Minister of Security;托马 奥洛加;44;PA;Silent Lawyer;High;M_ALB_ThomaOrollogaj;x
32212;Chief of Staff;阿里 库齐亚;43;PA;School of Psychology;High;M_ALB_AliK雔cyra;x
32213;Minister of Security;阿里 库齐亚;44;PA;Efficient Sociopath;High;M_ALB_AliK雔cyra;x
