DEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
16055;Foreign Minister;阿尔伯特 奥尔森 ;38;LWR;General Staffer;High;M16023;x
16056;Foreign Minister;伊布 内隆 ;45;ST;Iron Fisted Brute;High;M16056;x
16057;Foreign Minister;亨里克 豪赫 ;43;PA;Apologetic Clerk;Low;M16057;x
16059;Minister of Armament;威廉 布尔 ;40;SD;Battle Fleet Proponent;High;M16039;x
16060;Minister of Armament;汉斯 赫托夫 ;42;SD;Resource Industrialist;Very High;M16049;x
16061;Minister of Armament;贡纳尔 拉森 ;42;SL;Administrative Genius;Very High;M16061;x
16062;Minister of Armament;维戈 坎普曼 ;53;SD;Administrative Genius;Very High;M16062;x
16063;Minister of Armament;瑟伦 布罗尔森 ;38;SC;Theoretical Scientist;High;M16063;x
16064;Minister of Armament;克努兹 克里斯滕森 ;41;ML;Infantry Proponent;High;M16043;x
16065;Minister of Armament;哈夫丹 亨里克森 ;42;ML;Air to Ground Proponent;High;M16065;x
16066;Minister of Armament;奥利 比约恩 克拉夫特 ;45;SC;Resource Industrialist;Medium;M16042;x
16067;Minister of Armament;克里斯滕 尼尔森 豪格 ;45;ML;Laissez Faires Capitalist;Medium;M16067;x
16068;Minister of Armament;约恩 塞赫斯泰德 ;38;NS;Infantry Proponent;High;M16014;x
16069;Minister of Armament;C V 布拉姆斯纳斯 ;43;PA;Laissez Faires Capitalist;High;M16069;x
16070;Minister of Armament;阿尔弗雷德 詹森 ;38;ST;Tank Proponent;High;M16024;x
16071;Minister of Armament;尼尔斯 博尔 ;45;LWR;Theoretical Scientist;Very High;M16071;x
16072;Minister of Security;托瓦尔 斯陶宁 ;37;SD;Crime Fighter;Very High;M16002;x
16074;Minister of Security;彼得 克里斯蒂安 斯科 ;40;SL;Back Stabber;High;M16074;x
16076;Minister of Security;艾伊尔 图恩 雅各布森 ;41;SL;Compassionate Gentleman;High;M16076;x
16077;Minister of Security;J C 约恩森 ;45;SL;Man of the People;High;M16077;x
16078;Minister of Security;哈拉尔德 彼得森 ;38;SC;Crime Fighter;Very High;M16078;x
16079;Minister of Security;迪德里克 G 尼霍姆 ;42;ML;Compassionate Gentleman;High;M16079;x
16080;Minister of Security;伊瓦尔 施塔姆 ;45;ML;Crime Fighter;High;M16080;x
16081;Minister of Security;斯文 阿斯比约恩 霍尔滕 ;46;SC;Prince of Terror;High;M16081;x
16082;Minister of Security;克努兹 巴赫 ;38;NS;Prince of Terror;Very Low;M16015;x
16083;Minister of Security;奥托 博芬西彭 ;43;PA;Prince of Terror;Medium;M16045;x
16084;Minister of Security;亚瑟 达尔 ;44;PA;Man of the People;Very High;M16084;x
16085;Minister of Security;伯厄 霍曼 ;38;LWR;Efficient Sociopath;High;M16025;x
16086;Minister of Security;克努兹 耶斯佩森 ;45;ST;Man of the People;High;M16086;x
16087;Head of Military Intelligence;劳斯特 詹森 莫尔特森 ;38;SL;Industrial Specialist;Very High;M16087;x
16088;Head of Military Intelligence;埃纳尔 瓦鲁姆 ;42;SD;Dismal Enigma;Very High;M16088;x
16089;Head of Military Intelligence;哈尔沃 派特森 ;42;SL;Political Specialist;Very High;M16089;x
16090;Head of Military Intelligence;H M 伦丁 ;45;SL;Logistics Specialist;High;M16090;x
16091;Head of Military Intelligence;H C 汉森 ;45;SD;Technical Specialist;Very High;M16091;x
16092;Head of Military Intelligence;尼尔斯 弗雷德里克森 ;38;ML;Political Specialist;High;M16092;x
16093;Head of Military Intelligence;阿克塞尔 林瓦尔 ;42;ML;Dismal Enigma;High;M16093;x
16095;Head of Military Intelligence;波尔 佐默 ;38;NS;Dismal Enigma;High;M16016;x
16096;Head of Military Intelligence;格奥尔格 弗雷德里克森 ;43;PA;Industrial Specialist;High;M16096;x
16097;Head of Military Intelligence;艾伊尔 拉森 ;38;ST;Naval Intelligence Specialist;High;M16026;x
16098;Head of Military Intelligence;尼尔斯 博尔 ;45;LWR;Technical Specialist;Very High;M16071;x
16100;Chief of Staff;汉斯 A 罗尔斯特 ;42;SD;School of Mass Combat;High;M16100;x
16101;Chief of Staff;威廉 内本达赫 ;42;SL;School of Manoeuvre;High;M16101;x
16102;Chief of Staff;威廉 拉 库尔 ;45;SD;School of Psychology;High;M16102;x
16103;Chief of Staff;埃贝 约尔茨 ;38;ML;School of Psychology;Very High;M16103;x
16105;Chief of Staff;C P 克吕兴 ;38;NS;School of Fire Support;Medium;M16017;x
16106;Chief of Staff;威廉 内本达赫 ;44;PA;School of Manoeuvre;High;M16101;x
16107;Chief of Staff;斯文 瓦格纳 ;38;LWR;School of Psychology;Low;M16027;x
16109;Chief of Army;威廉 W 普里奥尔 ;39;SL;Elastic Defence Doctrine;Medium;M16007;x
16110;Chief of Army;克里斯蒂安 十世 ;42;SD;Decisive Battle Doctrine;Low;M16001;x
16111;Chief of Army;彼得 克里斯蒂安 斯科 ;45;SD;Guns and Butter Doctrine;High;M16074;x
16112;Chief of Army;埃贝 约尔茨 ;38;ML;Static Defence Doctrine;Very High;M16103;x
16114;Chief of Army;亨里克 考夫曼 ;45;SC;Guns and Butter Doctrine;Low;M16114;x
16115;Chief of Army;F 冯 沙尔堡 ;38;NS;Guns and Butter Doctrine;Low;M16018;x
16116;Chief of Army;亚瑟 达尔 ;43;PA;Guns and Butter Doctrine;Very High;M16084;x
16117;Chief of Army;伯厄 廷 ;38;LWR;Elastic Defence Doctrine;High;M16028;x
16119;Chief of Navy;奥格 H 费德尔 ;42;SL;Open Seas Doctrine;Very High;M16119;x
16120;Chief of Navy;E B 德 克雷弗克 ;43;SL;Power Projection Doctrine;High;M16120;x
16121;Chief of Navy;卡尔 哈梅里希 ;38;ML;Decisive Naval Battle Doctrine;Very High;M16121;x
16123;Chief of Navy;亚尔马 雷希尼策 ;38;PA;Indirect Approach Doctrine;High;M16009;x
16124;Chief of Navy;瑟伦 布罗尔森 ;43;PA;Open Seas Doctrine;High;M16063;x
16126;Chief of Navy;克努兹 耶斯佩森 ;45;ST;Power Projection Doctrine;High;M16086;x
16128;Chief of Air Force;延斯 奥托 克拉格 ;42;SD;Vertical Envelopment Doctrine;Very High;M16128;x
16129;Chief of Air Force;卡伊 比克斯滕 ;45;SD;Air Superiority Doctrine;Very High;M16129;x
16131;Chief of Air Force;斯文 阿斯比约恩 霍尔滕 ;42;ML;Carpet Bombing Doctrine;High;M16081;x
16134;Chief of Air Force;弗里茨 克劳森 ;43;PA;Naval Aviation Doctrine;Very High;M16011;x
16135;Chief of Air Force;阿克塞尔 拉森 ;38;ST;Air Superiority Doctrine;Very High;M16021;x
16137;Head of State;克里斯蒂安 十世 ;36;ML;Weary Stiffneck;High;M16001;x
16138;Head of State;弗雷德里克 九世 ;47;SD;Autocratic Charmer;High;M16138;x
16139;Head of State;弗雷德里克 九世 ;47;ML;Autocratic Charmer;High;M16138;x
16140;Head of State;克努兹 巴赫 ;45;FA;Pig-headed Isolationist;High;M16015;x
16141;Head of Government;克努兹 巴赫 ;45;FA;Smiling Oilman;High;M16015;x
16142;Chief of Air Force;波尔 佐默 ;45;FA;Army Aviation Doctrine;Very Low;M16016;x
16143;Head of Government;汉斯 赫托夫 ;47;SD;Happy Amateur;High;M16049;x
16144;Foreign Minister;古斯塔夫 拉斯穆森 ;47;SD;Biased Intellectual;Medium;M16053;x
16145;Minister of Armament;H C 汉森 ;47;SD;Submarine Proponent;High;M16091;x
16146;Minister of Security;阿尔辛 安德森 ;47;SD;Compassionate Gentleman;High;M16004;x
16147;Head of Government;埃里克 埃里克森 ;50;ML;Naive Optimist;High;M16147;x
16148;Minister of Armament;托基尔 克里斯滕森 ;50;ML;Administrative Genius;High;M16148;x
16149;Minister of Security;阿克塞尔 穆勒 ;50;SC;Silent Lawyer;High;M16149;x
16150;Foreign Minister;H C 汉森 ;53;SD;Ideological Crusader;Medium;M16091;x
16151;Minister of Armament;约翰内斯 基亚波尔 ;53;SD;Military Entrepreneur;High;M16151;x
16152;Minister of Security;凯 莱姆卡;36;NS;Crooked Kleptocrat;Medium;M_DEN_CayLembcke;x
16153;Chief of Staff;撒森 凯姆;44;NS;School of Manoeuvre;Medium;M_DEN_S鴕enKam;x
16154;Minister of Security;撒森 凯姆;48;NS;Back Stabber;Medium;M_DEN_S鴕enKam;x
16155;Minister of Security;埃里克 埃里克森 ;44;SL;Man of the People;High;M_DEN_ErikEriksen;x
16156;Head of Government;埃里克 埃里克森 ;50;SL;Ambitious Union Boss;High;M_DEN_ErikEriksen;x
16157;Foreign Minister;保罗·哈特林;59;SL;Great Compromiser;High;M_DEN_PoulHartling;x
16158;Foreign Minister;阿恩·蒙克 - 彼得森;37;LE;Ideological Crusader;High;M_DEN_ArneMPetersen;x
16159;Minister of Security;阿恩·蒙克 - 彼得森;36;LE;Silent Lawyer;High;M_DEN_ArneMPetersen;x
