CSA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
573028;Minister of Security;弗兰克 默里 迪克逊 ;38;SC;Back Stabber;Medium;M573028;x
573029;Minister of Security;詹姆斯 H. 普赖斯 ;39;SC;Prince of Terror;Medium;M573029;x
573030;Minister of Security;普伦蒂斯 库珀 ;41;SC;Crime Fighter;Medium;M573030;x
573031;Minister of Security;米勒德 菲尔莫尔 考德威尔 吉尔. ;43;SC;Man of the People;Medium;M573031;x
573032;Minister of Security;劳埃德 克罗 斯塔克 ;43;SC;Efficient Sociopath;Medium;M573032;x
573033;Minister of Security;约瑟夫 梅尔维尔 布劳顿 ;44;SC;Compassionate Gentleman;Medium;M573033;x
573034;Minister of Security;福里斯特 C 唐奈 ;45;SC;Crooked Kleptocrat;Medium;M573034;x
573035;Head of Military Intelligence;欧里斯 迪金森 里弗斯 ;38;SC;Political Specialist;Medium;M573035;x
573036;Head of Military Intelligence;盖伊 布拉斯费尔德 帕克 ;40;SC;Dismal Enigma;Medium;M573036;x
573037;Head of Military Intelligence;戈登 韦弗 勃朗宁 ;42;SC;Logistics Specialist;Medium;M573037;x
573038;Head of Military Intelligence;本杰明 特拉维斯 莱尼 ;44;SC;Naval Intelligence Specialist;Medium;M573038;x
573039;Head of Military Intelligence;霍默 M 阿德金斯 ;45;SC;Technical Specialist;Medium;M573039;x
573040;Chief of Staff;丹尼斯 J 默弗里 ;38;SC;School of Psychology;Medium;M573040;x
573041;Chief of Staff;罗斯科 默里 ;40;SC;School of Fire Support;Medium;M573041;x
573042;Chief of Staff;威廉 W 奥斯汀 ;44;SC;School of Manoeuvre;Medium;M573042;x
573043;Chief of Army;约翰 波林 ;40;SC;Decisive Battle Doctrine;Medium;M573043;x
573044;Chief of Army;菲尔丁 刘易斯 赖特 ;41;SC;Guns and Butter Doctrine;Medium;M573044;x
573045;Chief of Army;约翰 J 威廉斯 ;43;SC;Armoured Spearhead Doctrine;Medium;M573045;x
573046;Chief of Navy;哈罗德 艾泽特 ;40;SC;Open Seas Doctrine;Medium;M573046;x
573047;Chief of Navy;西梅翁 斯莱文斯 维利斯 ;41;SC;Base Control Doctrine;Medium;M573047;x
573048;Chief of Navy;理查德 鲍尔斯 ;42;SC;Power Projection Doctrine;Medium;M573048;x
573049;Chief of Air Force;菲利普 阿德里 ;40;SC;Carpet Bombing Doctrine;Medium;M573049;x
573050;Chief of Air Force;托马斯 劳里 贝利 ;41;SC;Vertical Envelopment Doctrine;Medium;M573050;x
573051;Chief of Air Force;约翰 福肯贝利 ;43;SC;Air Superiority Doctrine;Medium;M573051;x
573052;Minister of Armament;威廉·皮尔斯 ;58;FA;Theoretical Scientist;Medium;William_Pierce;x
573053;Minister of Armament;詹姆斯 T·赫夫林;36;FA;Military Entrepreneur;Medium;James_T_Heflin;x
573054;Minister of Armament;罗斯 R 巴尼特;36;FA;Corrupt Kleptocrat;Medium;Ross_R_Barnett;x
573055;Minister of Armament;大卫 比布 格雷夫斯 ;37;FA;Laissez Faires Capitalist;Medium;M573018;x
573056;Minister of Security;布尔 康奈;36;FA;Prince of Terror;Medium;Bull_Connor;x
573057;Minister of Security;大卫 比布 格雷夫斯 ;36;FA;Man of the People;Medium;M_CSA_Graves;x
573058;Minister of Security;罗斯 R 巴尼特;36;FA;Silent Lawyer;Medium;Ross_R_Barnett;x
573059;Minister of Security;约翰·马尔科姆·帕特森;36;FA;Compassionate Gentleman;Medium;John_M_Patterson;x
573060;Minister of Security;乔治·华莱士;56;FA;Man of the People;Medium;George_Wallace;x
573061;Foreign Minister;阿萨·卡特;52;FA;Ideological Crusader;Medium;Asa_Carter;x
573062;Foreign Minister;布尔 康奈;39;FA;The Cloak N Dagger Schemer;Medium;Bull_Connor;x
573063;Foreign Minister;罗斯 R 巴尼特;40;FA;Biased Intellectual;Medium;Ross_R_Barnett;x
573064;Head of Government;约翰·马尔科姆·帕特森;58;FA;Happy Amateur;Medium;John_M_Patterson;x
573065;Head of Government;乔治·华莱士;60;FA;Flamboyant Tough Guy;Medium;George_Wallace;x
573066;Head of State;约翰 M 帕特森;58;FA;Autocratic Charmer;Medium;John_M_Patterson;x
573067;Head of State;乔治·华莱士;60;FA;Benevolent Gentleman;Medium;George_Wallace;x
573068;Head of State;威廉·约瑟夫·西蒙斯 ;36;FA;Powerhungry Demagogue;Medium;William_Joseph_Simmons;x
573069;Head of State;西奥多·比尔博;36;FA;Autocratic Charmer;Medium;Theodore_Bilbo;x
