BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
34157;Chief of Staff;加斯帕 杜特拉 ;43;SC;School of Mass Combat;Medium;M34011;x
34158;Chief of Staff;若昂 内维斯 达 丰托拉 ;45;SC;School of Defence;High;M34008;x
34160;Chief of Staff;牛顿 卡瓦尔坎蒂 ;37;FA;School of Psychology;Medium;M34047;x
34161;Chief of Staff;托马斯 塞比斯陶 德 门东萨 ;43;FA;School of Mass Combat;Medium;M34161;x
34162;Chief of Army;加斯帕 杜特拉 ;37;LWR;Static Defence Doctrine;Medium;M34011;x
34163;Chief of Army;西洛 梅雷莱斯 ;43;LWR;Elastic Defence Doctrine;Very Low;M34058;x
34165;Chief of Army;马里奥 达 席尔瓦 卡马戈 ;41;ST;Guns and Butter Doctrine;High;M34165;x
34166;Chief of Army;马加良斯 巴兰塔 德 阿塞韦多 ;39;SD;Armoured Spearhead Doctrine;Medium;M34037;x
34167;Chief of Army;内罗 菲乌萨 德 卡斯特罗 ;45;SD;Elastic Defence Doctrine;Medium;M34031;x
34168;Chief of Army;恩里克 特谢拉 洛特 ;37;ML;Decisive Battle Doctrine;Medium;M34027;x
34169;Chief of Army;阿热米罗 阿西斯 ;39;ML;Static Defence Doctrine;Medium;M34154;x
34170;Chief of Army;奥古斯托 达 伽马 莱罗斯 ;43;ML;Armoured Spearhead Doctrine;Medium;M34155;x
34171;Chief of Army;梅斯基托 达 科斯塔 ;45;ML;Elastic Defence Doctrine;Medium;M34025;x
34172;Chief of Army;格斯 蒙泰罗 ;43;SC;Guns and Butter Doctrine;High;M34018;x
34173;Chief of Army;加斯帕 杜特拉 ;45;SC;Static Defence Doctrine;Medium;M34011;x
34174;Chief of Army;托马斯 塞比斯陶 德 门东萨 ;37;FA;Guns and Butter Doctrine;Medium;M34161;x
34175;Chief of Army;牛顿 卡瓦尔坎蒂 ;43;FA;Decisive Battle Doctrine;Medium;M34047;x
34176;Chief of Navy;阿尔瓦罗 德 苏扎 ;37;LWR;Indirect Approach Doctrine;Very Low;M34059;x
34179;Chief of Navy;莫雷拉 利马 ;39;SD;Power Projection Doctrine;Low;M34039;x
34180;Chief of Navy;乔治 马丁斯 ;37;ML;Base Control Doctrine;Medium;M34029;x
34181;Chief of Navy;西尔维奥 德 诺罗尼亚 ;43;SC;Open Seas Doctrine;High;M34019;x
34182;Chief of Navy;弗洛里亚诺 佩肖托 ;45;SC;Decisive Naval Battle Doctrine;High;M34182;x
34183;Chief of Navy;塔尔奇西奥 帕迪利亚 ;37;FA;Decisive Naval Battle Doctrine;Medium;M34049;x
34185;Chief of Air Force;伊巴密浓达 多斯 桑托斯 ;43;LWR;Air Superiority Doctrine;Medium;M34040;x
34186;Chief of Air Force;阿利贝托 维埃拉 ;39;ST;Naval Aviation Doctrine;Very High;M34060;x
34187;Chief of Air Force;莱昂内尔 贝内维德斯 德 雷森德 ;44;ST;Vertical Envelopment Doctrine;Very High;M34187;x
34190;Chief of Air Force;内罗 穆拉 ;37;ML;Vertical Envelopment Doctrine;Medium;M34030;x
34191;Chief of Air Force;菲盖拉 德 阿尔梅达 ;43;SC;Army Aviation Doctrine;Medium;M34020;x
34192;Chief of Air Force;爱德华多 戈梅斯 ;45;SC;Army Aviation Doctrine;Medium;M34021;x
34193;Chief of Air Force;小莫朗 ;37;FA;Carpet Bombing Doctrine;Very High;M34050;x
34194;Head of State;小若泽 林哈里斯 ;45;SC;Popular Figurehead;High;M34104;x
34013;Foreign Minister;拉乌尔 费尔南德斯 ;36;SC;Great Compromiser;Medium;M34013;x
34195;Head of State;热图利奥 瓦尔加斯 ;51;SC;Die-hard Reformer;High;M34001;x
34196;Head of State;阿弗拉尼奥 德 梅洛 弗朗哥 ;51;SD;Benevolent Gentleman;High;M34083;x
34197;Head of Government;小卡费 ;51;SC;Silent Workhorse;High;M34004;x
34198;Head of Government;阿弗拉尼奥 德 梅洛 弗朗哥 ;51;SD;Naive Optimist;High;M34083;x
34199;Foreign Minister;曼努埃尔 A 韦南西奥 ;51;SD;Biased Intellectual;Medium;M34035;x
34200;Minister of Armament;维森特 朗 ;51;SC;Laissez Faires Capitalist;Medium;M34200;x
34201;Minister of Armament;S. 劳利奥诺 德 奥利维耶拉 ;51;SD;Resource Industrialist;Medium;M34201;x
34202;Minister of Security;若泽 德 马塞多 苏亚雷斯 ;51;SC;Compassionate Gentleman;Medium;M34202;x
34203;Minister of Security;奥拉西奥 拉费尔 ;51;SD;Crime Fighter;Medium;M34203;x
34204;Head of Military Intelligence;拉乌尔 费尔南德斯 ;51;SC;Political Specialist;High;M34013;x
34205;Head of Military Intelligence;奥拉西奥 拉费尔 ;51;SD;Dismal Enigma;High;M34203;x
34206;Chief of Staff;阿莫里 克鲁埃尔 ;51;SC;School of Manoeuvre;Medium;L31091;x
34207;Chief of Army;阿图尔 达 科斯塔-席尔瓦 ;51;SC;Decisive Battle Doctrine;Medium;L31012;x
34208;Chief of Air Force;伊斯梅尔 莫塔 佩斯 ;45;SC;Air Superiority Doctrine;Medium;L31078;x
34209;Minister of Security;古斯塔沃 巴罗索 ;39;NS;Prince of Terror;Medium;M34044;x
34210;Chief of Navy;奥古斯托·拉德马克;38;FA;Indirect Approach Doctrine;Medium;M_BRA_AugustoRademaker;x
34211;Chief of Air Force;梅洛;39;PA;Air Superiority Doctrine;Medium;M_BRA_M醨cioMelo;x
34212;Chief of Staff;弗朗西斯科G. C.布兰科;41;PA;School of Defence;High;M_BRAFranciscoG.C.B;x
34213;Chief of Army;弗朗西斯科G. C.布兰科;44;PA;Static Defence Doctrine;High;M_BRAFranciscoG.C.B;x
34214;Foreign Minister;雷诺尔 布扎达;58;SD;Ideological Crusader;Very High;M_BRALeonelBrizola;x
34215;Chief of Staff;皮托 古德斯;39;PA;School of Psychology;High;M_BRAPintoGuedes;x
34216;Chief of Army;皮托 古德斯;44;PA;Guns and Butter Doctrine;High;M_BRAPintoGuedes;x
34217;Chief of Staff;马萨卡哈斯 莫莱斯;37;SC;School of Fire Support;High;M_BRA_Morais;x
34218;Chief of Army;马萨卡哈斯 莫莱斯;43;SC;Elastic Defence Doctrine;High;M_BRA_Morais;x
34219;Chief of Army;埃内斯托 B. 吉赛尔;50;ML;Decisive Battle Doctrine;Medium;M_BRA_Ernesto;x
34220;Chief of Staff;埃内斯托 B. 吉赛尔;51;ML;School of Mass Combat;Medium;M_BRA_Ernesto;x
34221;Chief of Staff;乔 亚马孙;42;LE;School of Mass Combat;Medium;M_BRA_Jo鉶Amazonasde;x
34222;Minister of Security;乔 亚马孙;48;LE;Efficient Sociopath;Medium;M_BRA_Jo鉶Amazonasde;x
34223;Head of Government;马里奥 乔布斯;46;LE;Corporate Suit;High;M_BRA_Maur韈ioGrabois;x
34224;Foreign Minister;马里奥 乔布斯;44;LE;The Cloak N Dagger Schemer;High;M_BRA_Maur韈ioGrabois;x
34225;Chief of Staff;阿图尔 达 科斯塔-席尔瓦 ;52;FA;School of Manoeuvre;Medium;M_BRA_Silva;x
34226;Head of State;阿图尔 达 科斯塔-席尔瓦 ;58;FA;Powerhungry Demagogue;High;M_BRA_Silva;x
34227;Head of Government;阿图尔 达 科斯塔-席尔瓦 ;53;FA;Old General;High;M_BRA_Silva;x
34228;Minister of Security;奥米利奥·梅迪西;55;FA;Efficient Sociopath;Medium;M_BRA_M閐ici;x
34229;Chief of Staff;蒙蒂罗;41;PA;School of Defence;Medium;M_BRA_G骵sMonteiro;x
