SLV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
545024;Minister of Security;乌尔班 弗雷利赫 ;41;LE;Silent Lawyer;Medium;M545024;x
545025;Head of Military Intelligence;洛夫罗 米克拉弗茨 ;36;SC;Industrial Specialist;Medium;M545025;x
545026;Head of Military Intelligence;普里莫茨 耶日克 ;36;LE;Political Specialist;Medium;M545026;x
545027;Head of Military Intelligence;维尔希耶姆 多纳斯 ;42;LE;Technical Specialist;Medium;M545027;x
545028;Chief of Staff;弗朗茨 冯 乌尔姆 ;36;SC;School of Mass Combat;Medium;M545028;x
545029;Chief of Staff;亚历山大 布罗施 冯 奥勒纳乌 ;36;LE;School of Psychology;Medium;M545029;x
545030;Chief of Army;格雷戈尔 朗 ;36;SC;Static Defence Doctrine;Medium;M545030;x
545031;Chief of Army;恩斯特 冯 雅各布斯 ;36;SC;Guns and Butter Doctrine;Medium;M545031;x
545032;Chief of Navy;亚瑟 丹内克尔 ;36;SC;Decisive Naval Battle Doctrine;Medium;M545032;x
545033;Chief of Navy;勒内 因佩尔 ;36;LE;Indirect Approach Doctrine;Medium;M545033;x
545034;Chief of Air Force;阿尔贝托 冯 科多利特施 ;36;SC;Army Aviation Doctrine;Medium;M545034;x
545035;Chief of Air Force;弗里德里克 马扎尔 ;36;LE;Air Superiority Doctrine;Medium;M545035;x
545036;Chief of Staff;利昂 鲁普尼克;34;NS;School of Fire Support;Medium;M_SLV_Leon_Rupnik;x
545037;Chief of Staff;欧内斯特 彼得林;40;FA;School of Mass Combat;High;M_SLV_ErnestPeterlin;x
545038;Chief of Army;欧内斯特 彼得林;44;FA;Decisive Battle Doctrine;High;M_SLV_ErnestPeterlin;x
545039;Foreign Minister;伦克 伍斑慈克;39;NS;The Cloak N Dagger Schemer;High;M_SLV_LyenkoUrbanchich;x
545040;Minister of Security;伦克 伍斑慈克;41;NS;Prince of Terror;High;M_SLV_LyenkoUrbanchich;x
545041;Foreign Minister;斯坦科 迈森;36;FA;Biased Intellectual;High;M_SLV_StankoMajcen;x
545042;Minister of Security;尤罗 阿德拉斯科;30;PA;Compassionate Gentleman;Very high;M_SLV_JuroAdlesic;x
545043;Minister of Armament;约瑟普 普勒密;36;ML;Theoretical Scientist;High;M_SLV_JosipPlemelj;x
545044;Head of Government;利昂 鲁普尼克;40;NS;Old General;Medium;M_SLV_Leon_Rupnik;x
545045;Head of State;利昂 鲁普尼克;40;NS;Stern Imperialist;Medium;M_SLV_Leon_Rupnik;x
545046;Head of Government;斯坦科 迈森;44;FA;Silent Workhorse;High;M_SLV_StankoMajcen;x
545047;Minister of Security;斯坦科 迈森;40;FA;Silent Lawyer;High;M_SLV_StankoMajcen;x
545048;Chief of Staff;弗朗克 罗兹曼;41;LWR;School of Mass Combat;Very high;M_SLV_FrancRozman;x
545049;Chief of Army;弗朗克 罗兹曼;42;LWR;Elastic Defence Doctrine;Very high;M_SLV_FrancRozman;x
545050;Foreign Minister;弗朗克 罗兹曼;45;LWR;General Staffer;Very high;M_SLV_FrancRozman;x
545051;Chief of Staff;吾克 鲁普尼克;44;FA;School of Defence;High;M_SLV_VukRupnik;x
545052;Chief of Staff;安东 科卡利;41;FA;School of Manoeuvre;High;M_SLV_AntonKokalj;x
545053;Minister of Security;安东 科卡利;43;FA;Back Stabber;High;M_SLV_AntonKokalj;x
