YUG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
20042;Foreign Minister;米兰 格罗尔 ;43;NS;Apologetic Clerk;High;M20042;x
20043;Foreign Minister;博日达尔 普里奇 ;43;NS;Ideological Crusader;High;M20043;x
20044;Foreign Minister;伊万 苏巴西奇 ;44;ML;Apologetic Clerk;Medium;M20014;x
20045;Foreign Minister;斯塔诺耶 西米奇 ;36;LWR;Great Compromiser;Medium;M20023;x
20046;Foreign Minister;弗拉特科 梅塞克 ;36;SD;Apologetic Clerk;Medium;M20038;x
20047;Foreign Minister;爱德华 卡尔德耶 ;41;SD;Ideological Crusader;Very High;M20047;x
20048;Foreign Minister;迪米特里耶 约蒂奇 ;36;NS;Iron Fisted Brute;Medium;M20048;x
20049;Minister of Armament;埃多 博戈丹 马尔科维奇 ;38;PA;Resource Industrialist;Medium;M20049;x
20050;Minister of Armament;拉迪斯拉夫 博利奇 ;41;SC;Laissez Faires Capitalist;Medium;M20050;x
20051;Minister of Armament;安东 科扎雷夫 ;42;FA;Tank Proponent;Medium;M20051;x
20052;Minister of Armament;塔纳西耶 塔沙 蒂尼奇 ;43;NS;Corrupt Kleptocrat;Medium;M20052;x
20053;Minister of Armament;佩塔尔 耶夫利奇 ;44;ML;Theoretical Scientist;Medium;M20053;x
20054;Minister of Armament;米伦蒂耶 波波维奇 ;36;LWR;Resource Industrialist;High;M20024;x
20055;Minister of Armament;德拉戈柳布 德拉沙 米哈伊洛维奇 ;36;SD;Tank Proponent;Medium;M20055;x
20056;Minister of Security;米哈伊洛 约万诺维奇 ;39;PA;Compassionate Gentleman;Low;M20056;x
20057;Minister of Security;莫姆契洛 杜基奇 ;41;SC;Silent Lawyer;Low;M20015;x
20058;Minister of Security;佩塔尔 格拉博弗斯基 ;42;FA;Efficient Sociopath;Low;M20058;x
20059;Minister of Security;米兰 勒蒂奇 ;36;NS;Prince of Terror;Medium;M20059;x
20060;Minister of Security;斯皮罗 凯伦塞夫 ;44;NS;Back Stabber;Medium;M20060;x
20061;Minister of Security;德拉格约布 斯蒂法尼奇 ;44;ML;Crime Fighter;Medium;M20061;x
20062;Minister of Security;科卡 波波维奇 ;36;SD;Silent Lawyer;Medium;M20025;x
20063;Head of Military Intelligence;安德烈亚 斯塔姆帕尔 ;39;PA;Technical Specialist;Medium;M20063;x
20064;Head of Military Intelligence;德约尔德 佩特雷利奇 ;41;SC;Industrial Specialist;Medium;M20064;x
20065;Head of Military Intelligence;迪米塔尔 卡特罗夫 ;42;FA;Dismal Enigma;Medium;M20065;x
20066;Head of Military Intelligence;科斯塔 皮凯尔克 ;36;FA;Logistics Specialist;Medium;M20066;x
20067;Head of Military Intelligence;德拉戈柳布 约万诺维奇 ;43;NS;Political Specialist;Medium;M20067;x
20068;Head of Military Intelligence;米哈伊 米洛萨耶维奇 ;44;ML;Technical Specialist;Medium;M20068;x
20069;Head of Military Intelligence;亚历山大 兰科维奇 ;36;SD;Dismal Enigma;High;M20026;x
20071;Chief of Staff;拉迪沃耶 扬科维奇 ;41;SC;School of Fire Support;Low;L46012;x
20072;Chief of Staff;迪米塔尔 杜泽洛夫 ;42;FA;School of Manoeuvre;Low;M20072;x
20073;Chief of Staff;马尔科 博佐维奇 ;43;NS;School of Mass Combat;Low;L46002;x
20074;Chief of Staff;约万 尼克利奇 ;44;ML;School of Psychology;Low;M20074;x
20075;Chief of Staff;阿尔沙 约瓦诺维奇 ;36;LWR;School of Mass Combat;Medium;M20075;x
20076;Chief of Staff;德拉戈柳布 德拉沙 米哈伊洛维奇 ;36;SD;School of Defence;Medium;M20012;x
20078;Chief of Army;米兰 勒蒂奇 ;41;SC;Decisive Battle Doctrine;Very High;L46026;x
20079;Chief of Army;迪米塔尔 杜泽洛夫 ;42;FA;Armoured Spearhead Doctrine;Very High;M20072;x
20080;Chief of Army;马尔科 博佐维奇 ;43;NS;Elastic Defence Doctrine;Very High;L46002;x
20081;Chief of Army;约万 尼克利奇 ;44;ML;Guns and Butter Doctrine;Very High;M20074;x
20082;Chief of Army;德拉戈柳布 德拉沙 米哈伊洛维奇 ;36;SD;Static Defence Doctrine;Medium;M20012;x
20084;Chief of Navy;米兰 勒蒂奇 ;41;SC;Decisive Naval Battle Doctrine;High;L46026;x
20085;Chief of Navy;佩特拉 杜梅夫 ;42;FA;Indirect Approach Doctrine;High;M20085;x
20086;Chief of Navy;尼科拉 曼蒂奇 ;43;NS;Base Control Doctrine;High;M20086;x
20087;Chief of Navy;帕夫拉 卡拉乔治维奇 ;44;ML;Power Projection Doctrine;Very High;M20001;x
20090;Chief of Air Force;佩特拉 杜梅夫 ;42;FA;Vertical Envelopment Doctrine;Medium;M20085;x
20091;Chief of Air Force;阿德马加 梅西奇 ;43;NS;Army Aviation Doctrine;Medium;M20091;x
20092;Chief of Air Force;佩塔尔 武克塞维奇 ;44;ML;Naval Aviation Doctrine;Medium;L46062;x
20093;Chief of Air Force;伊万 罗拉 里巴尔 ;36;LWR;Air Superiority Doctrine;High;M20093;x
20094;Head of State;佩塔尔二世 ;41;SC;Benevolent Gentleman;High;M20011;x
20095;Head of State;佩塔尔二世 ;41;FA;Barking Buffoon;High;M20011;x
20096;Head of State;佩塔尔二世 ;41;NS;Popular Figurehead;High;M20011;x
20097;Foreign Minister;莫姆契洛 林契奇 ;41;FA;The Cloak N Dagger Schemer;Medium;M20013;x
20100;Chief of Staff;科卡 波波维奇 ;36;LWR;School of Mass Combat;High;M20025;x
20101;Chief of Army;约瑟普·布罗兹·铁托 ;36;LWR;Armoured Spearhead Doctrine;High;M20028;x
20102;Chief of Navy;约瑟普·布罗兹·铁托 ;36;LWR;Indirect Approach Doctrine;High;M20029;x
20011;Head of State;佩特尔二世 ;36;ML;Autocratic Charmer;High;M20011;x
20012;Head of Government;德拉沙 米哈伊洛维奇 ;36;ML;Naive Optimist;High;M20012;x
20014;Minister of Armament;伊万 苏巴西奇 ;36;ML;Infantry Proponent;Medium;M20014;x
20016;Head of Military Intelligence;米罗斯拉夫 斯帕莱科维奇 ;36;ML;Technical Specialist;High;M20016;x
20017;Chief of Staff;米哈伊奥 卢基奇 ;36;ML;School of Manoeuvre;High;L46020;x
20030;Chief of Air Force;约瑟普·布罗兹·铁托 ;36;LWR;Army Aviation Doctrine;Medium;M20028;x
20103;Foreign Minister;科卡 波波维奇 ;53;LWR;The Cloak N Dagger Schemer;Very High;M20025;x
20104;Minister of Armament;伊万 格欣亚克 ;53;LWR;Infantry Proponent;High;M20104;x
20105;Minister of Security;弗拉迪米尔 西米奇 ;53;LWR;Compassionate Gentleman;Medium;M20105;x
20106;Head of Military Intelligence;米洛万 德伊拉斯 ;53;SD;Political Specialist;High;M20106;x
20107;Head of Government;迪米特里耶 约蒂奇 ;36;FA;Political Protege;High;M20048;x
20120;Head of State;亚历山大一世 ;30;PA;Benevolent Gentleman;High;M20120;x
20121;Minister of Security;米兰 阿西莫维奇 ;41;NS;Efficient Sociopath;Medium;M_YUG_MilanAcimovic;x
20122;Foreign Minister;米兰 阿西莫维奇 ;41;NS;The Cloak N Dagger Schemer;Medium;M_YUG_MilanAcimovic;x
20123;Foreign Minister;米哈伊洛 奥卡尔 ;42;NS;Ideological Crusader;Medium;M_SER_MihailoOlcan;x
20124;Minister of Armament;米哈伊洛 奥卡尔 ;41;NS;Laissez Faires Capitalist;Medium;M_SER_MihailoOlcan;x
