SPA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
10092;Minister of Armament;尼古拉斯 弗朗哥 巴哈蒙德 ;36;PA;Battle Fleet Proponent;Very High;M10092;x
10093;Minister of Armament;华金 本胡梅亚 布林 ;41;FA;Resource Industrialist;High;M10093;x
10094;Minister of Armament;若泽 拉腊斯 洛佩斯 ;39;FA;Laissez Faires Capitalist;High;M11139;x
10096;Minister of Armament;马里亚诺 安索 ;46;PA;Air to Ground Proponent;Medium;M10096;x
10097;Minister of Armament;华金 鲍 诺拉 ;37;FA;Administrative Genius;Medium;M10095;x
10098;Minister of Armament;路易斯 埃尔南多 德 拉腊门迪 ;39;FA;Resource Industrialist;High;M10067;x
10102;Minister of Armament;若泽 马里亚 拉马米亚 ;45;FA;Laissez Faires Capitalist;Medium;M10102;x
10103;Minister of Armament;维克托 普拉德拉 ;46;FA;Theoretical Scientist;High;M10066;x
10047;Minister of Armament;J A 普里莫 德 里韦拉 德 埃雷迪亚 ;36;FA;Resource Industrialist;High;M10036;x
10105;Minister of Armament;雷蒙多 费尔南德斯 奎斯塔 ;37;FA;Laissez Faires Capitalist;High;M10105;x
10106;Minister of Armament;曼努埃尔 埃迪利亚 拉雷 ;38;FA;Military Entrepreneur;High;M10050;x
10107;Minister of Armament;奥内西莫 雷东多 奥尔特加 ;39;FA;Tank Proponent;High;M10107;x
10109;Minister of Armament;桑乔 戴维拉 ;41;FA;Infantry Proponent;Medium;M10109;x
10110;Minister of Armament;阿古斯丁 阿兹纳尔 盖尔内 ;42;FA;Air to Ground Proponent;Medium;M10110;x
10111;Minister of Armament;琼斯卡夫-索特罗;36;PA;Laissez Faires Capitalist;Very High;M11014;x
10112;Minister of Armament;若泽 恩里克 瓦雷拉 伊格莱西亚斯 ;36;SC;Military Entrepreneur;High;M10014;x
10113;Minister of Armament;胡安 马奇 奥迪纳斯 ;36;SC;Administrative Genius;High;M10113;x
10115;Minister of Armament;胡安 伊格纳西奥 卢卡 德 特纳 ;39;SC;Laissez Faires Capitalist;Medium;M10115;x
10117;Minister of Armament;阿尔弗雷多 金德兰 杜阿尼 ;37;PA;Strategic Air Proponent;High;M10010;x
10118;Minister of Armament;胡安 比贡 苏埃罗迪亚斯 ;38;SC;Theoretical Scientist;High;M10118;x
10120;Minister of Armament;弗朗西斯科 德 博尔冯 德 拉 托雷 ;38;SC;Tank Proponent;Medium;M10077;x
10121;Minister of Armament;迭戈 伊达尔戈 杜兰 ;36;ML;Military Entrepreneur;High;M11101;x
10123;Minister of Armament;埃米利奥 赫雷拉 ;41;ML;Air Superiority Proponent;High;M11145;x
10124;Minister of Armament;华金 查帕普列塔 托雷戈萨 ;42;ML;Resource Industrialist;High;M11155;x
10125;Minister of Armament;若泽 马里亚 吉尔-罗布尔斯 基尼奥内斯 ;43;ML;Resource Industrialist;High;M10012;x
10126;Minister of Armament;路易斯 卢西亚 卢西亚 ;44;ML;Theoretical Scientist;Low;M11113;x
10127;Minister of Security;佩德罗 赛恩斯 罗德里格斯 ;36;FA;Man of the People;High;M10127;x
10128;Minister of Security;塞韦里亚诺 马丁内斯 阿尼多 ;39;PA;Prince of Terror;Medium;M10128;x
10129;Minister of Security;迪奥尼西奥 里德鲁埃霍 ;38;PA;Back Stabber;Medium;M10129;x
10130;Minister of Security;布拉斯 佩雷斯 冈萨雷斯 ;42;PA;Silent Lawyer;High;M10130;x
10131;Minister of Security;若泽 米连 阿斯特莱 ;41;PA;Efficient Sociopath;Medium;M10131;x
10132;Minister of Security;巴伦廷 加拉尔萨 莫兰特 ;40;PA;Man of the People;High;M10132;x
10134;Minister of Security;路易斯 巴尔德斯 卡瓦尼利亚斯 ;42;PA;Prince of Terror;High;M10134;x
10135;Minister of Security;托马斯 加西亚诺 戈尼 ;36;PA;Compassionate Gentleman;Medium;M10135;x
10137;Minister of Security;雷德兹诺伯爵 托马斯 ;37;FA;Prince of Terror;High;M10099;x
10139;Minister of Security;曼努埃尔 法尔 康德 ;42;FA;Man of the People;High;M10049;x
10140;Minister of Security;若泽 马里亚 拉马米亚 ;44;FA;Efficient Sociopath;Medium;M10102;x
10141;Minister of Security;阿古斯丁 阿兹纳尔 盖尔内 ;36;FA;Back Stabber;Medium;M10110;x
10142;Minister of Security;拉米罗 莱德斯马 拉莫斯 ;38;FA;Silent Lawyer;High;M10069;x
10143;Minister of Security;皮拉尔 普里莫 德 里韦拉 ;42;FA;Prince of Terror;High;M10037;x
10146;Minister of Security;雷蒙多 费尔南德斯 奎斯塔 ;45;FA;Man of the People;High;M10074;x
10147;Minister of Security;若泽 路易斯 阿雷斯 马格拉 ;46;FA;Crime Fighter;High;M10072;x
10148;Minister of Security;哈科沃 菲茨-詹姆斯 斯图尔特 ;36;SC;Compassionate Gentleman;Medium;M10080;x
10149;Minister of Security;若泽 扬瓜斯 梅西亚 ;39;SC;Efficient Sociopath;High;M11150;x
10150;Minister of Security;若泽 马丁内斯 德 韦拉斯科 ;41;SC;Crime Fighter;Low;M11110;x
10151;Minister of Security;安德烈斯 萨利克特 苏梅塔 ;42;SC;Man of the People;Medium;M10015;x
10154;Minister of Security;米格尔 卡瓦内利亚斯 费雷尔 ;36;SC;Crime Fighter;High;M10001;x
10156;Minister of Security;贡萨洛 凯波 德 利亚诺 ;37;ML;Man of the People;High;M10055;x
10157;Minister of Security;米格尔 毛拉 加马索 ;44;ML;Compassionate Gentleman;High;M11073;x
10159;Head of Military Intelligence;安东尼奥 巴罗索 桑切斯-格拉 ;39;PA;Logistics Specialist;High;M10159;x
10160;Head of Military Intelligence;胡安 比贡 苏埃罗迪亚斯 ;39;PA;Technical Specialist;High;M10118;x
10162;Head of Military Intelligence;若泽 温格里亚 日默内 ;36;PA;Industrial Specialist;High;M10085;x
10163;Head of Military Intelligence;伊西德罗 戈马 托马斯 ;36;FA;Dismal Enigma;High;M10065;x
10164;Head of Military Intelligence;华金 鲍 诺拉 ;41;FA;Political Specialist;Medium;M10095;x
10165;Head of Military Intelligence;路易斯 埃尔南多 德 拉腊门迪 ;43;FA;Technical Specialist;High;M10067;x
10166;Head of Military Intelligence;里卡多 德 拉达 ;37;FA;Logistics Specialist;High;M10166;x
10168;Head of Military Intelligence;曼努埃尔 埃迪利亚 拉雷 ;36;FA;Political Specialist;High;M10050;x
10169;Head of Military Intelligence;若泽 路易斯 阿雷斯 马格拉 ;39;FA;Dismal Enigma;High;M10072;x
10170;Head of Military Intelligence;迪奥尼西奥 里德鲁埃霍 ;42;FA;Technical Specialist;Medium;M10129;x
10171;Head of Military Intelligence;奥内西莫 雷东多 奥尔特加 ;43;FA;Logistics Specialist;High;M10107;x
10173;Head of Military Intelligence;恩里克 波拉 德尼埃尔 ;36;SC;Political Specialist;Medium;M10063;x
10177;Head of Military Intelligence;路易斯 奥尔加斯 约尔迪 ;36;SC;Logistics Specialist;High;M10016;x
10178;Head of Military Intelligence;里卡多 桑佩尔 伊瓦涅斯 ;36;ML;Political Specialist;Medium;M11104;x
10179;Head of Military Intelligence;胡安 马奇 奥迪纳斯 ;39;ML;Dismal Enigma;High;M10113;x
10180;Head of Military Intelligence;迭戈 伊达尔戈 杜兰 ;40;ML;Logistics Specialist;High;M11101;x
10181;Head of Military Intelligence;路易斯 卢西亚 卢西亚 ;41;ML;Technical Specialist;Low;M11113;x
10182;Head of Military Intelligence;华金 查帕普列塔 托雷戈萨 ;43;ML;Industrial Specialist;High;M11155;x
10183;Chief of Staff;弗朗西斯科 弗朗哥 巴哈蒙德 ;36;PA;School of Psychology;Very High;L3426;x
10184;Chief of Staff;胡安 亚格 布兰科 ;37;PA;School of Manoeuvre;Medium;M10184;x
10186;Chief of Staff;若泽 恩里克 瓦雷拉 伊格莱西亚斯 ;39;PA;School of Fire Support;High;M10014;x
10187;Chief of Staff;卡洛斯 阿森西奥 卡瓦尼利亚斯 ;45;PA;School of Mass Combat;High;M10187;x
10188;Chief of Staff;若泽 圣胡尔霍 萨卡内利 ;36;FA;School of Psychology;High;M10040;x
10189;Chief of Staff;埃米利奥 莫拉 维达尔 ;36;FA;School of Manoeuvre;High;M10008;x
10190;Chief of Staff;雅维耶 德 博尔冯-帕尔马 ;39;FA;School of Defence;High;M10034;x
10191;Chief of Staff;里卡多 德 拉达 ;40;FA;School of Mass Combat;High;M10166;x
10193;Chief of Staff;阿古斯丁 阿兹纳尔 盖尔内 ;38;FA;School of Psychology;High;M10070;x
10194;Chief of Staff;阿古斯丁 穆尼奥斯 格兰德斯 ;39;FA;School of Fire Support;High;M10194;x
10196;Chief of Staff;桑乔 戴维拉 ;41;FA;School of Defence;Medium;M10109;x
10197;Chief of Staff;奥内西莫 雷东多 奥尔特加 ;43;FA;School of Mass Combat;High;M10107;x
10200;Chief of Staff;贡萨洛 凯波 德 利亚诺 ;38;SC;School of Mass Combat;High;M10055;x
10202;Chief of Staff;华金 凡胡尔 戈尼 ;43;SC;School of Fire Support;Medium;M10202;x
10204;Chief of Staff;米格尔 卡瓦内利亚斯 费雷尔 ;38;ML;School of Psychology;High;M10001;x
10206;Chief of Army;菲德尔 戴维拉 阿隆多 ;36;PA;Static Defence Doctrine;High;M10002;x
10207;Chief of Army;拉斐尔 加西亚 巴利尼奥 ;39;PA;Decisive Battle Doctrine;High;M10207;x
10208;Chief of Army;卡洛斯 阿森西奥 卡瓦尼利亚斯 ;39;PA;Armoured Spearhead Doctrine;High;M10208;x
10209;Chief of Army;胡安 亚格 布兰科 ;39;PA;Elastic Defence Doctrine;Medium;M10184;x
10210;Chief of Army;若泽 恩里克 瓦雷拉 伊格莱西亚斯 ;39;PA;Guns and Butter Doctrine;High;M10014;x
10211;Chief of Army;若泽 圣胡尔霍 萨卡内利 ;36;FA;Armoured Spearhead Doctrine;High;M10040;x
10214;Chief of Army;里卡多 德 拉达 ;37;FA;Static Defence Doctrine;High;M10166;x
10216;Chief of Army;阿古斯丁 阿兹纳尔 盖尔内 ;38;FA;Guns and Butter Doctrine;High;M10070;x
10217;Chief of Army;阿古斯丁 穆尼奥斯 格兰德斯 ;39;FA;Armoured Spearhead Doctrine;High;M10194;x
10219;Chief of Army;奥内西莫 雷东多 奥尔特加 ;41;FA;Static Defence Doctrine;High;M10107;x
10220;Chief of Army;桑乔 戴维拉 ;41;FA;Decisive Battle Doctrine;Medium;M10109;x
10225;Chief of Army;安东尼奥 阿兰达 马塔 ;42;SC;Static Defence Doctrine;Low;M10018;x
10227;Chief of Army;米格尔 卡瓦内利亚斯 费雷尔 ;38;ML;Static Defence Doctrine;High;M10001;x
10228;Chief of Army;贡萨洛 凯波 德 利亚诺 ;39;ML;Guns and Butter Doctrine;High;M10055;x
10229;Chief of Navy;卡洛斯 巴雷达 特里 ;36;PA;Indirect Approach Doctrine;High;M10229;x
10230;Chief of Navy;萨尔瓦多 莫雷诺 费尔南德斯 ;38;PA;Decisive Naval Battle Doctrine;High;M10230;x
10231;Chief of Navy;尼古拉斯 弗朗哥 巴哈蒙德 ;41;PA;Power Projection Doctrine;Very High;M10092;x
10232;Chief of Navy;路易斯 卡雷罗 布兰科 ;44;PA;Base Control Doctrine;High;M10232;x
10233;Chief of Navy;弗朗西斯科 雷格拉多 罗德里格斯 ;44;PA;Open Seas Doctrine;High;M10233;x
10235;Chief of Navy;若泽 马里亚 拉马米亚 ;42;FA;Indirect Approach Doctrine;Medium;M10102;x
10236;Chief of Navy;托马斯 多明格斯 阿雷瓦洛 ;43;FA;Base Control Doctrine;High;M10048;x
10237;Chief of Navy;J 德 阿雷尔萨 马丁内斯-罗达斯 ;36;FA;Decisive Naval Battle Doctrine;High;M10071;x
10239;Chief of Navy;若泽 米连 阿斯特莱 ;41;SC;Base Control Doctrine;Medium;M10131;x
10240;Chief of Navy;拉米罗 莱德斯马 拉莫斯 ;43;FA;Open Seas Doctrine;High;M10069;x
10242;Chief of Navy;弗朗西斯科 尼涅斯 德 奥拉涅塔 ;36;PA;Base Control Doctrine;High;M10019;x
10245;Chief of Navy;安东尼奥 阿萨罗拉 格雷西永 ;36;ML;Open Seas Doctrine;High;M11009;x
10246;Chief of Navy;米格尔 毛拉 加马索 ;40;ML;Decisive Naval Battle Doctrine;High;M11073;x
10247;Chief of Air Force;拉蒙 弗朗哥 巴哈蒙德 ;36;PA;Naval Aviation Doctrine;High;M10089;x
10249;Chief of Air Force;胡安 亚格 布兰科 ;39;PA;Air Superiority Doctrine;Medium;M10184;x
10250;Chief of Air Force;爱德华多 冈萨雷斯 加利亚萨 ;44;PA;Vertical Envelopment Doctrine;High;M10250;x
10251;Chief of Air Force;胡安 比贡 苏埃罗迪亚斯 ;40;PA;Army Aviation Doctrine;High;M10118;x
10252;Chief of Air Force;J 德 克莱拉克 德拉科利纳 ;36;FA;Vertical Envelopment Doctrine;Medium;M10252;x
10254;Chief of Air Force;托马斯 多明格斯 阿雷瓦洛 ;41;FA;Air Superiority Doctrine;High;M10048;x
10255;Chief of Air Force;曼努埃尔 法尔 康德 ;42;FA;Naval Aviation Doctrine;High;M10049;x
10257;Chief of Air Force;若泽 路易斯 阿雷斯 马格拉 ;38;FA;Army Aviation Doctrine;High;M10072;x
10258;Chief of Air Force;J 德 阿雷尔萨 马丁内斯-罗达斯 ;41;FA;Carpet Bombing Doctrine;High;M10071;x
10259;Chief of Air Force;拉米罗 莱德斯马 拉莫斯 ;43;FA;Air Superiority Doctrine;High;M10069;x
10260;Chief of Air Force;弗朗西斯科 雷格拉多 罗德里格斯 ;45;FA;Naval Aviation Doctrine;High;M10233;x
10262;Chief of Air Force;胡安 I L 德特纳 加西亚 ;38;SC;Vertical Envelopment Doctrine;Low;M10262;x
10263;Chief of Air Force;胡安 安萨尔多 贝哈拉诺 ;37;SC;Air Superiority Doctrine;High;M10263;x
10266;Chief of Air Force;安德烈斯 萨利克特 苏梅塔 ;36;ML;Naval Aviation Doctrine;High;M10266;x
10267;Chief of Air Force;埃米利奥 赫雷拉 ;38;ML;Army Aviation Doctrine;High;M11145;x
10268;Chief of Air Force;迭戈 伊达尔戈 杜兰 ;40;ML;Air Superiority Doctrine;High;M11101;x
10269;Chief of Air Force;鲁道夫 冯 莫罗 ;42;ML;Carpet Bombing Doctrine;High;M10269;x
10270;Chief of Air Force;卡米洛 阿隆索 维加 ;44;ML;Vertical Envelopment Doctrine;High;M10270;x
10272;Minister of Armament;托马斯 多明格斯 阿雷瓦洛 ;36;PA;Air to Ground Proponent;High;M10271;x
10273;Minister of Armament;迭戈 伊达尔戈 杜兰 ;38;SC;Military Entrepreneur;High;M11101;x
10274;Minister of Security;托马斯 多明格斯 阿雷瓦洛 ;36;PA;Prince of Terror;High;M10271;x
10275;Minister of Security;埃米利奥 莫拉 维达尔 ;37;PA;Prince of Terror;Medium;M10008;x
10276;Chief of Army;弗朗西斯科 弗朗哥 巴哈蒙德 ;36;PA;Decisive Battle Doctrine;Very High;L3426;x
10277;Chief of Navy;J 德 克莱拉克 德拉科利纳 ;36;FA;Indirect Approach Doctrine;High;M10252;x
10278;Head of State;埃米利奥 莫拉 维达尔 ;36;FA;Resigned Generalissimo;Very High;M10008;x
10279;Head of State;若泽 圣胡尔霍 萨卡内利 ;36;PA;Resigned Generalissimo;Very High;M10040;x
10280;Head of State;琼斯卡夫-索特罗;36;SC;Insignificant Layman;Very High;M11014;x
10281;Head of Government;若泽 圣胡尔霍 萨卡内利 ;36;PA;Old General;Very High;M10040;x
10282;Head of Government;若泽 安东尼奥 普里莫 德 里韦拉 ;36;FA;Silent Workhorse;Very High;M10036;x
10283;Minister of Security;若泽 安东尼奥 普里莫 德 里韦拉 ;36;FA;Man of the People;Very High;M10036;x
10013;Foreign Minister;胡安 贝格韦德尔 阿蒂恩萨 ;36;PA;Apologetic Clerk;Medium;M10013;x
10017;Chief of Staff;路易斯 奥尔加斯 约尔迪 ;36;PA;School of Defence;Medium;M10016;x
10019;Chief of Navy;弗朗西斯科 尼涅斯 德 奥拉涅塔 ;36;PA;Indirect Approach Doctrine;High;M10019;x
10020;Chief of Air Force;阿尔弗雷多 肯德尔 多内;36;PA;Carpet Bombing Doctrine;High;M10010;x
10021;Head of State;若泽 迪亚兹 拉莫斯 ;36;ST;Powerhungry Demagogue;High;M10021;x
10022;Head of Government;若泽 迪亚兹 拉莫斯 ;36;ST;Backroom Backstabber;High;M10021;x
10023;Foreign Minister;朱利奥 阿尔瓦雷兹 德尔 巴约 ;36;ST;Ideological Crusader;High;M10023;x
10024;Minister of Armament;恩里克 卡斯特罗 德尔加多 ;36;ST;Infantry Proponent;High;M10024;x
10025;Minister of Security;圣地亚哥 卡利洛 索拉雷斯 ;36;LE;Prince of Terror;Very High;M10025;x
10026;Head of Military Intelligence;若泽 迪亚兹 拉莫斯 ;36;LE;Technical Specialist;Medium;M10021;x
10027;Chief of Staff;米格尔 塔格伊纳 拉科特 ;36;LE;School of Manoeuvre;Very High;M10027;x
10028;Chief of Army;恩里克 利斯特 福里扬 ;36;LE;Decisive Battle Doctrine;Very High;M10028;x
10029;Chief of Navy;弗朗西斯科 加兰 罗德里格斯 ;36;LE;Open Seas Doctrine;Medium;M10029;x
10030;Chief of Air Force;伊格纳西奥 伊达尔戈 德 西斯内罗斯 ;36;LE;Air Superiority Doctrine;High;M10030;x
10040;Head of State;拉蒙 塞拉诺 苏涅尔 ;40;NS;Powerhungry Demagogue;High;M10059;x
10041;Head of State;J.A. 海斯曼 德 里韦拉;36;SC;Benevolent Gentleman;High;M10036;x
10038;Head of State;胡安三世 ;34;PA;Benevolent Gentleman;High;M10011;x
10286;Chief of Staff;埃米利奥 埃斯特班 亲王;44;PA;School of Defence;High;M_SPA_Emilio_Esteban_Infantes;x
10287;Head of State;胡安卡洛斯一世;62;SC;Popular Figurehead;Very high;M_SPA_Juan_Carlos_I;x
10288;Chief of Army;埃米利奥 埃斯特班 亲王;45;PA;Decisive Battle Doctrine;High;M_SPA_Emilio_Esteban_Infantes;x
10289;Foreign Minister;欧内斯托 吉梅内斯 卡瓦列罗;38;FA;Biased Intellectual;High;M_SPA_ErnestoCaballero;x
10290;Minister of Security;欧内斯托 吉梅内斯 卡瓦列罗;40;FA;Back Stabber;High;M_SPA_ErnestoCaballero;x
