FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
29073;Foreign Minister;朱诺 E. 恩科;38;ML;Biased Intellectual;Medium;M29073;x
29074;Foreign Minister;罗尔夫 J 维廷 ;40;SC;The Cloak N Dagger Schemer;Medium;Witting_Rolf_fin;x
29075;Foreign Minister;卡尔 J 恩克尔 ;44;SD;Great Compromiser;Medium;M29070;x
29076;Foreign Minister;阿尔维 A 奥克萨拉 ;36;SC;General Staffer;Medium;M29004;x
29077;Foreign Minister;卡尔·拉姆齐;43;SC;Iron Fisted Brute;Medium;M29077;x
29078;Foreign Minister;约翰 W 兰盖尔 ;46;SC;Biased Intellectual;High;M29059;x
29079;Foreign Minister;齐嘉 里本宁;36;FA;Ideological Crusader;High;M29013;x
29080;Foreign Minister;奥托 维莱 库西宁 ;39;ST;Apologetic Clerk;Low;M29021;x
29081;Foreign Minister;赫拉 沃利约基 ;42;ST;Great Compromiser;Low;M29081;x
29082;Minister of Armament;维嘉 辛尼萨诺;36;SD;Strategic Air Proponent;Medium;M29082;x
29083;Minister of Armament;卡尔 A 法格霍尔姆 ;43;SD;Laissez Faires Capitalist;Medium;M29083;x
29084;Minister of Armament;毛诺 佩卡拉 ;44;SD;Theoretical Scientist;Medium;M29052;x
29085;Minister of Armament;奥托·托伊沃宁;46;SD;Military Entrepreneur;Medium;M29085;x
29086;Minister of Armament;尤霍 纽卡宁 ;36;ML;Administrative Genius;Medium;M29014;x
29087;Minister of Armament;艾莫 卡扬德 ;39;ML;Resource Industrialist;Medium;Cajander_Aimo_fin;x
29088;Minister of Armament;屈厄斯蒂 卡利奥 ;41;ML;Laissez Faires Capitalist;High;M29032;x
29089;Minister of Armament;韦伊内 L 瓦尔韦 ;44;ML;Military Entrepreneur;Medium;M29009;x
29090;Minister of Armament;亚尔 伦德奎斯特 ;46;ML;Air to Sea Proponent;Very High;M29010;x
29091;Minister of Armament;安蒂 V 哈克塞尔 ;36;SC;Battle Fleet Proponent;Medium;M29003;x
29092;Minister of Armament;佩尔 E 斯温胡武德 ;36;SC;Tank Proponent;High;M29001;x
29093;Minister of Armament;莱昂纳德 格兰德尔 ;39;SC;Laissez Faires Capitalist;Medium;M29093;x
29094;Minister of Armament;尤霍 K 巴锡基维 ;41;SC;Resource Industrialist;High;M29035;x
29095;Minister of Armament;乌尔霍 J 卡斯特伦 ;43;SC;Infantry Proponent;NA;M29064;x
29096;Minister of Armament;埃德温 H 林科梅斯 ;44;SC;Administrative Genius;Medium;M29063;x
29097;Minister of Armament;乔治 A. 德 格里本堡;46;SC;Strategic Air Proponent;High;M29097;x
29098;Minister of Armament;查尔斯· R·瓦尔登;40;PA;Resource Industrialist;Medium;M29098;x
29099;Minister of Armament;尤霍 纽卡宁 ;36;FA;Tank Proponent;Medium;M29014;x
29100;Minister of Armament;维托利 科索拉;41;FA;Infantry Proponent;Low;M29012;x
29101;Minister of Armament;毛里茨 罗森贝格 ;39;ST;Resource Industrialist;Low;M29024;x
29102;Minister of Security;乌尔霍 K 凯科宁 ;36;ML;Compassionate Gentleman;Medium;M29051;x
29103;Minister of Security;雨果 伊米 安提拉;43;SD;Prince of Terror;Medium;M29103;x
29104;Minister of Security;瓦尔弗里德 埃斯科拉 ;44;SD;Back Stabber;Medium;M29104;x
29105;Minister of Security;奥拉维 I. 科嘉拉;46;SD;Crime Fighter;Medium;M29105;x
29106;Minister of Security;理查德 洛伦茨 ;36;ML;Crime Fighter;Medium;M29106;x
29107;Minister of Security;恩斯特 V L 冯博恩 ;41;ML;Silent Lawyer;Medium;M29107;x
29108;Minister of Security;韦伊内 L 瓦尔韦 ;43;ML;Compassionate Gentleman;Medium;M29009;x
29109;Minister of Security;利奥 R 埃恩罗特 ;44;ML;Man of the People;Medium;M29109;x
29110;Minister of Security;于尔约 K 莱伊诺 ;45;ML;Efficient Sociopath;Medium;Leino_Yrj鯻fin;x
29111;Minister of Security;卡诺 H. 希里 ;46;ML;Prince of Terror;Medium;M29111;x
29112;Minister of Security;托伊沃 J 霍雷利 ;36;SC;Compassionate Gentleman;Medium;M29112;x
29113;Minister of Security;埃斯科 列基 ;37;SC;Crime Fighter;High;M29006;x
29114;Minister of Security;约翰 W 兰盖尔 ;39;SC;Man of the People;High;M29059;x
29115;Minister of Security;科约提 杰维宁;43;SC;Silent Lawyer;Medium;M29062;x
29116;Minister of Security;里斯托 吕蒂 ;46;SC;Back Stabber;High;M29033;x
29117;Minister of Security;周科 艾图 ;36;FA;Prince of Terror;Low;M29015;x
29118;Minister of Security;布鲁诺 萨尔米亚拉 ;43;FA;Back Stabber;Medium;M29011;x
29119;Minister of Security;伊尔 莱诺 ;39;ST;Man of the People;Low;Leino_Yrj鯻fin;x
29120;Head of Military Intelligence;爱德华 卡亚拉 ;36;SD;Naval Intelligence Specialist;High;M29120;x
29121;Head of Military Intelligence;布鲁诺 苏维兰塔 ;44;SD;Dismal Enigma;High;M29121;x
29123;Head of Military Intelligence;亚尔马 F 普罗科佩 ;41;ML;Political Specialist;High;M29123;x
29124;Head of Military Intelligence;贝恩特 R 冯菲安特 ;43;ML;Technical Specialist;High;M29124;x
29125;Head of Military Intelligence;于尔约 W 普哈卡 ;36;SC;Dismal Enigma;Medium;M29005;x
29126;Head of Military Intelligence;韦伊内 瓦尔韦 ;39;SC;Naval Intelligence Specialist;High;M29009;x
29127;Head of Military Intelligence;托伊沃 M 基维迈基 ;43;SC;Logistics Specialist;High;M29002;x
29128;Head of Military Intelligence;乔治 A. 德 格里本堡;44;SC;Industrial Specialist;High;M29097;x
29129;Head of Military Intelligence;维赫托里 科索拉 ;36;FA;Dismal Enigma;Medium;M29016;x
29130;Head of Military Intelligence;维赫托里 科索拉;44;FA;Industrial Specialist;Medium;M29012;x
29131;Head of Military Intelligence;图雷 莱恩 ;39;ST;Political Specialist;High;M29026;x
29132;Chief of Staff;莱昂纳德 格兰德尔 ;36;SD;School of Fire Support;Very High;M29093;x
29136;Chief of Staff;胡戈 奥斯特曼 ;36;SC;School of Mass Combat;Medium;M29008;x
29137;Chief of Staff;卡尔 G 曼纳海姆 ;39;SC;School of Defence;Very High;M29034;x
29138;Chief of Staff;库尔特 华轮;36;FA;School of Psychology;High;M29017;x
29139;Chief of Staff;阿克塞利 安蒂拉 ;39;ST;School of Mass Combat;Very High;Anttila_Akseli_fin;x
29140;Chief of Army;凯勒 沃罗马;36;SD;Guns and Butter Doctrine;Very High;Voionmaa_V鋓n鯻fin;x
29144;Chief of Army;阿尔维 A 奥克萨拉 ;36;SC;Elastic Defence Doctrine;High;M29007;x
29145;Chief of Army;卡尔 G 曼纳海姆 ;39;SC;Decisive Battle Doctrine;Very High;M29034;x
29146;Chief of Army;维赫托里 科索拉 ;36;FA;Static Defence Doctrine;High;M29018;x
29147;Chief of Army;阿克塞利 安蒂拉 ;39;ST;Guns and Butter Doctrine;Very High;Anttila_Akseli_fin;x
29148;Chief of Navy;克拉斯 柯罗拉;36;SD;Open Seas Doctrine;High;M29148;x
29150;Chief of Navy;埃罗 拉霍拉 ;36;SC;Power Projection Doctrine;High;M29150;x
29151;Chief of Navy;劳里 提埃拿;36;FA;Decisive Naval Battle Doctrine;Medium;M29019;x
29152;Chief of Navy;埃罗 拉霍拉 ;39;ST;Indirect Approach Doctrine;Very High;M29029;x
29153;Chief of Air Force;瓦里奥 波瓦里;36;SD;Army Aviation Doctrine;Very High;M29153;x
29155;Chief of Air Force;托伊沃 索默托 ;36;SC;Air Superiority Doctrine;Very High;M29155;x
29156;Chief of Air Force;陶诺 威间轮;36;FA;Army Aviation Doctrine;Medium;M29020;x
29157;Chief of Air Force;阿克塞利 安蒂拉 ;39;ST;Army Aviation Doctrine;Very High;Anttila_Akseli_fin;x
29158;Foreign Minister;卡尔 J 恩克尔 ;44;PA;Biased Intellectual;Medium;M29070;x
29160;Head of Government;查尔斯· R·瓦尔登;40;SC;Happy Amateur;Medium;M29098;x
29161;Head of Government;埃德温 H 林科梅斯 ;43;PA;Naive Optimist;High;M29063;x
29162;Head of State;屈厄斯蒂 卡利奥 ;37;ML;Stern Imperialist;High;M29032;x
29163;Head of State;卡尔 G 曼纳海姆 ;44;ML;Resigned Generalissimo;High;M29034;x
29164;Head of Government;卡尔 A 法格霍尔姆 ;48;SD;Ambitious Union Boss;High;M29083;x
29165;Minister of Armament;拉尔夫 约翰 特恩格伦 ;48;SD;Military Entrepreneur;Medium;M29165;x
29166;Minister of Security;卡尔 A 法格霍尔姆 ;48;SD;Man of the People;Medium;M29083;x
29167;Foreign Minister;奥克 亨里克 加尔茨 ;50;ML;Apologetic Clerk;Medium;M29167;x
29168;Foreign Minister;萨卡里 S 图奥米奥雅 ;51;ML;Biased Intellectual;Medium;Tuomioja_Sakari_fin;x
29169;Foreign Minister;乌尔霍 K 凯科宁 ;52;ML;Iron Fisted Brute;Medium;M29051;x
29170;Minister of Armament;翁尼 A 希尔图宁 ;50;ML;Infantry Proponent;Very High;M29170;x
29171;Minister of Armament;瓦伊诺 J 苏克舍拉宁 ;51;ML;Administrative Genius;Very High;M29171;x
29172;Minister of Armament;维尔约 兰塔拉 ;52;ML;Laissez Faires Capitalist;Very High;M29172;x
29173;Chief of Staff;约翰内斯 斯霍;48;SL;School of Psychology;Very High;L9738;x
29174;Chief of Army;凯罗 马里堡;47;SL;Armoured Spearhead Doctrine;Very High;L9723;x
29175;Chief of Navy;奥拉维 阿尔霍 ;48;SL;Indirect Approach Doctrine;Medium;L9757;x
29176;Chief of Air Force;瓦利奥 波尔瓦里 ;48;SL;Vertical Envelopment Doctrine;Very High;L9777;x
29177;Chief of Army;卡洛 马尔姆伯格 ;46;SL;Armoured Spearhead Doctrine;Very high;Sihvo_Aarne_fin;x
29187;Minister of Security;奥拉维 I 科亚拉 ;46;SD;Crime Fighter;Medium;Simonen_Aarre_fin;x
29197;Chief of Navy;阿克塞利 安蒂拉 ;39;ST;Indirect Approach Doctrine;Very high;Anttila_Akseli_fin;x
29207;Chief of Air Force;维尔霍 安纳拉 ;36;FA;Army Aviation Doctrine;Medium;Somersalo_Arne_fin;x
29217;Head of Military Intelligence;维尔霍 安纳拉 ;36;FA;Dismal Enigma;Medium;Somersalo_Arne_fin;x
29227;Minister of Security;于尔约 K 莱伊诺 ;39;ST;Efficient Sociopath;Medium;Kilpi_Eino_fin;x
29237;Minister of Security;约科 伊泰莱 ;36;FA;Man of the People;Low;Tuomivaara_Eino_fin;x
29247;Foreign Minister;希利亚 里皮宁 ;36;FA;Ideological Crusader;High;Simojoki_Elias_fin;x
29257;Foreign Minister;尤霍 E 埃尔科 ;38;ML;Biased Intellectual;Medium;Erkko_Eljas_fin;x
29267;Chief of Staff;约翰内斯 西赫沃 ;45;SL;School of Psychology;Very high;Heinrichs_Axel_Erik_fin;x
29277;Chief of Air Force;奥拉维 沙尔科 ;45;SL;Air Superiority Doctrine;Very high;Helminen_Frans_fin;x
29287;Foreign Minister;卡尔 拉姆齐 ;43;SC;Iron Fisted Brute;Medium;Ramsay_Carl_fin;x
29297;Chief of Navy;克莱斯 霍罗拉 ;41;SD;Indirect Approach Doctrine;High;Pakkala_Kaarlo_fin;x
29307;Chief of Army;卡勒 沃伊农马 ;36;SL;Guns and Butter Doctrine;Very high;Malmberg_Kaarlo_Lauri_fin;x
29317;Chief of Staff;库尔特 瓦勒纽斯 ;36;FA;School of Psychology;High;Susitaival_Paavo_fin;x
29327;Chief of Army;库尔特 瓦勒纽斯 ;36;FA;Static Defence Doctrine;High;Susitaival_Paavo_fin;x
29337;Foreign Minister;安塞尔米 皮特凯西尔塔 ;48;SD;Apologetic Clerk;Medium;Paasio_Rafael_fin;x
29347;Minister of Armament;安塞尔米 皮特凯西尔塔 ;46;SD;Military Entrepreneur;Medium;Paasio_Rafael_fin;x
29357;Minister of Armament;尤霍 纽卡宁 ;36;FA;Theoretical Scientist;Medium;Nevanlinna_Rolf_fin;x
29367;Foreign Minister;埃伊诺 R 霍尔斯蒂 ;36;ML;Great Compromiser;Medium;Holsti_Rudolf_fin;x
29377;Chief of Staff;卡尔 R 瓦尔登 ;36;SL;School of Fire Support;Very high;Walden_Karl_Rudolf_fin;x
29387;Head of Government;卡尔 R 瓦尔登 ;40;SC;Corporate Suit;Medium;Walden_Karl_Rudolf_fin;x
29397;Minister of Armament;卡尔 R 瓦尔登 ;44;PA;Resource Industrialist;Medium;Walden_Karl_Rudolf_fin;x
29407;Minister of Armament;维尔亚姆 西尼萨洛 ;36;SD;Resource Industrialist;Medium;Takki_Uuno_fin;x
29417;Head of Government;维赫托里 科索拉 ;36;FA;Weary Stiffneck;High;M29016;x
29427;Head of Military Intelligence;维赫托里 科索拉 ;44;FA;Industrial Specialist;Medium;Helanen_Vilho_fin;x
29437;Head of Government;韦伊内 基维萨洛 ;36;SD;Naive Optimist;High;Tanner_V鋓n鯻fin;x
29447;Minister of Security;胡戈 埃米尔 阿特拉 ;37;SD;Crime Fighter;Medium;Salovaara_V鋓n鯻fin;x
