IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
25059;Foreign Minister;理查德 穆尔卡希 ;41;SC;Apologetic Clerk;Undying;M25039;x
25060;Foreign Minister;约翰 A 科斯特洛 ;44;SC;Great Compromiser;High;M25048;x
25061;Foreign Minister;肖恩 麦克布赖德 ;47;SC;Iron Fisted Brute;High;M25061;x
25062;Foreign Minister;奥利弗 J 弗拉纳根 ;36;PA;Biased Intellectual;Low;M25011;x
25063;Foreign Minister;吉姆 拉尔金爵士 ;36;LE;Iron Fisted Brute;Low;M25021;x
25064;Foreign Minister;比尔 甘农 ;41;LWR;Ideological Crusader;High;M25023;x
25065;Minister of Armament;肖恩 勒马斯 ;36;SD;Resource Industrialist;High;M25033;x
25066;Minister of Armament;威廉 加拉赫 ;37;SD;Air Superiority Proponent;High;M25066;x
25067;Minister of Armament;肖恩 默里 ;39;SD;Air to Ground Proponent;High;M25026;x
25068;Minister of Armament;肖恩 莱斯特 ;43;SD;Battle Fleet Proponent;High;M25068;x
25069;Minister of Armament;塞西尔 莱弗里 ;44;SD;Administrative Genius;High;M25069;x
25070;Minister of Armament;帕特里克 奥布赖恩 ;47;SD;Tank Proponent;High;M25070;x
25072;Minister of Armament;道格拉斯 海德 ;36;ML;Military Entrepreneur;High;M25035;x
25073;Minister of Armament;肖恩 T 奥恰莱伊 ;39;ML;Military Entrepreneur;High;M25036;x
25074;Minister of Armament;弗兰克 艾肯 ;44;ML;Resource Industrialist;High;M25074;x
25075;Minister of Armament;埃德蒙 诺埃尔 穆尔卡希 ;47;ML;Theoretical Scientist;High;M25075;x
25076;Minister of Armament;弗兰克 麦克德莫特 ;36;SC;Strategic Air Proponent;High;M25076;x
25077;Minister of Armament;约翰 A 科斯特洛 ;37;SC;Air to Ground Proponent;High;M25077;x
25078;Minister of Armament;理查德 穆尔卡希 ;39;SC;Military Entrepreneur;High;M25039;x
25079;Minister of Armament;肖恩 莫伊伦 ;41;SC;Infantry Proponent;High;M25079;x
25080;Minister of Armament;帕特里克 林奇 ;42;SC;Submarine Proponent;High;M25080;x
25081;Minister of Armament;约翰 奥伯恩 ;44;SC;Laissez Faires Capitalist;High;M25081;x
25082;Minister of Armament;帕特里克 麦吉利根 ;47;SC;Resource Industrialist;High;M25082;x
25083;Minister of Armament;多纳尔 布拉克利 ;36;PA;Battle Fleet Proponent;High;M25014;x
25084;Minister of Armament;约恩 奥达菲 ;41;FA;Infantry Proponent;High;M25018;x
25085;Minister of Armament;詹姆斯 康诺利 ;36;LWR;Administrative Genius;High;M25024;x
25086;Minister of Armament;詹姆斯 拉尔金 吉尔. ;41;LWR;Air Superiority Proponent;Very High;M25022;x
25087;Minister of Armament;比尔 甘农 ;42;LE;Tank Proponent;Very Low;M25023;x
25088;Minister of Security;阿拉斯代尔 麦凯布 ;36;SD;Back Stabber;High;M25032;x
25089;Minister of Security;杰克 托马斯 ;37;SD;Man of the People;High;M25089;x
25090;Minister of Security;詹姆斯 盖根 ;41;SD;Silent Lawyer;High;M25090;x
25091;Minister of Security;爱德华 J 费伦 ;42;SD;Prince of Terror;High;M25091;x
25092;Minister of Security;卡福尔 奥达莱格 ;44;SD;Compassionate Gentleman;High;M25092;x
25093;Minister of Security;凯文 迪克逊 ;47;SD;Efficient Sociopath;High;M25093;x
25095;Minister of Security;格拉尔德 博兰 ;39;ML;Crime Fighter;High;M25006;x
25096;Minister of Security;约恩 麦克尼尔 ;36;SC;Efficient Sociopath;High;M25038;x
25097;Minister of Security;约翰 W 杜兰蒂 ;37;SC;Crime Fighter;High;M25097;x
25098;Minister of Security;弗兰克 麦克德莫特 ;38;SC;Man of the People;High;M25076;x
25099;Minister of Security;路德维格 比勒尔 ;41;SC;Prince of Terror;High;M25099;x
25100;Minister of Security;凯文 豪格 ;44;SC;Silent Lawyer;High;M25100;x
25101;Minister of Security;肖恩 麦克约恩 ;47;SC;Compassionate Gentleman;High;M25028;x
25102;Minister of Security;埃蒙 布罗伊 ;36;FA;Crime Fighter;High;M25015;x
25103;Minister of Security;比尔 斯科特 ;36;LE;Man of the People;High;M25025;x
25104;Minister of Security;贝蒂 辛克莱 ;39;LE;Back Stabber;High;M25104;x
25105;Head of Military Intelligence;丹尼斯 麦卡洛 ;36;SD;Naval Intelligence Specialist;Medium;M25105;x
25106;Head of Military Intelligence;约瑟夫 康诺利 ;37;SD;Political Specialist;High;M25106;x
25107;Head of Military Intelligence;帕德里克 奥康纳 ;41;SD;Industrial Specialist;High;M25107;x
25108;Head of Military Intelligence;休 肯尼迪 ;47;SD;Technical Specialist;High;M25108;x
25109;Head of Military Intelligence;弗兰克 艾肯 ;36;ML;Industrial Specialist;High;M25074;x
25110;Head of Military Intelligence;达恩 麦克纳 ;38;ML;Technical Specialist;High;M25110;x
25111;Head of Military Intelligence;奥斯卡 特雷纳 ;39;ML;Logistics Specialist;High;M25111;x
25112;Head of Military Intelligence;杰克 林奇 ;47;ML;Political Specialist;High;M25112;x
25113;Head of Military Intelligence;利亚姆 阿彻 ;36;SC;Dismal Enigma;High;M25113;x
25114;Head of Military Intelligence;约瑟夫 沃尔什 ;41;SC;Industrial Specialist;High;M25114;x
25115;Head of Military Intelligence;托马斯 蒂凡 ;44;SC;Naval Intelligence Specialist;High;M25115;x
25116;Head of Military Intelligence;肖恩 麦克约恩 ;47;SC;Political Specialist;High;M25028;x
25117;Head of Military Intelligence;多纳尔 布拉克利 ;36;FA;Industrial Specialist;High;M25014;x
25118;Head of Military Intelligence;帕特里克 斯威尼 ;39;FA;Dismal Enigma;Medium;M25012;x
25119;Head of Military Intelligence;肖恩 默里 ;36;LE;Naval Intelligence Specialist;High;M25026;x
25120;Head of Military Intelligence;贝蒂 辛克莱 ;39;LE;Technical Specialist;High;M25104;x
25121;Chief of Staff;诺曼 德夫林 ;36;SD;School of Manoeuvre;Very Low;M25121;x
25122;Chief of Staff;肖恩 奥格雷迪 ;44;SD;School of Psychology;High;M25122;x
25123;Chief of Staff;迈克尔 布伦南 ;36;ML;School of Defence;High;M25123;x
25124;Chief of Staff;达恩 布赖恩 ;39;ML;School of Fire Support;High;M25124;x
25125;Chief of Staff;达恩 麦克纳 ;42;ML;School of Mass Combat;High;M25125;x
25126;Chief of Staff;理查德 穆尔卡希 ;36;SC;School of Psychology;High;M25126;x
25127;Chief of Staff;康纳 马圭尔 ;41;SC;School of Mass Combat;High;M25127;x
25128;Chief of Staff;利亚姆 阿彻 ;47;SC;School of Fire Support;High;M25113;x
25129;Chief of Staff;胡贝特 德拉普尔 高夫 ;36;PA;School of Mass Combat;High;M25017;x
25130;Chief of Staff;帕德里克 奥康纳 ;36;LE;School of Psychology;High;M25027;x
25131;Chief of Staff;弗兰克 林奇 ;41;LWR;School of Mass Combat;High;M25131;x
25132;Chief of Army;塞西尔 莱弗里 ;36;SD;Decisive Battle Doctrine;High;M25069;x
25133;Chief of Army;威廉 诺顿 ;41;SD;Guns and Butter Doctrine;High;M25044;x
25134;Chief of Army;埃米特 达尔顿 ;47;ML;Elastic Defence Doctrine;High;M25134;x
25135;Chief of Army;弗兰克 法伊 ;36;ML;Static Defence Doctrine;High;M25031;x
25136;Chief of Army;M J 科斯特洛 ;37;ML;Elastic Defence Doctrine;High;M25007;x
25137;Chief of Army;利亚姆 阿彻 ;36;SC;Armoured Spearhead Doctrine;High;M25113;x
25138;Chief of Army;约恩 奥达菲 ;36;FA;Elastic Defence Doctrine;High;M25138;x
25139;Chief of Army;肖恩 麦克约恩 ;36;LWR;Decisive Battle Doctrine;High;M25028;x
25140;Chief of Navy;A T 劳勒 ;36;SD;Open Seas Doctrine;High;M25140;x
25141;Chief of Navy;S 奥穆伊里斯 ;41;SD;Decisive Naval Battle Doctrine;High;M25141;x
25142;Chief of Navy;肖恩 麦肯蒂 ;36;ML;Open Seas Doctrine;High;M25004;x
25143;Chief of Navy;托马斯 德里格 ;41;ML;Power Projection Doctrine;High;M25143;x
25144;Chief of Navy;肖恩 T 奥恰莱伊 ;44;ML;Base Control Doctrine;High;M25036;x
25145;Chief of Navy;A H J 杰尔姆 ;47;ML;Indirect Approach Doctrine;High;M25145;x
25146;Chief of Navy;约翰 奥伯恩 ;36;SC;Power Projection Doctrine;High;M25081;x
25148;Chief of Navy;埃蒙 布罗伊 ;36;FA;Power Projection Doctrine;High;M25015;x
25149;Chief of Navy;威廉 麦卡洛 ;36;LWR;Decisive Naval Battle Doctrine;High;M25029;x
25150;Chief of Air Force;卡福尔 奥达莱格 ;36;SD;Vertical Envelopment Doctrine;High;M25092;x
25151;Chief of Air Force;M J 科斯特洛 ;36;ML;Army Aviation Doctrine;High;M25007;x
25152;Chief of Air Force;奥斯卡 特雷纳 ;39;ML;Vertical Envelopment Doctrine;High;M25152;x
25153;Chief of Air Force;查尔斯 凯西 ;41;ML;Air Superiority Doctrine;High;M25153;x
25154;Chief of Air Force;W 德拉米尔 ;44;ML;Naval Aviation Doctrine;High;M25154;x
25155;Chief of Air Force;H T 格林 ;36;SC;Naval Aviation Doctrine;High;M25009;x
25156;Chief of Air Force;P 奎因 ;44;SC;Carpet Bombing Doctrine;High;M25156;x
25157;Chief of Air Force;杰克 怀特 ;36;FA;Army Aviation Doctrine;High;M25020;x
25158;Chief of Air Force;皮耶拉斯 贝亚斯莱 ;36;LWR;Air Superiority Doctrine;High;M25030;x
25159;Head of State;肖恩 T 奥恰莱伊 ;47;SC;Autocratic Charmer;High;M25036;x
25160;Foreign Minister;弗兰克 艾肯 ;51;ML;Great Compromiser;High;M25074;x
25161;Minister of Armament;奥斯卡 特雷纳 ;39;ML;Infantry Proponent;High;M25111;x
25162;Minister of Armament;凯文 奥希金斯 ;48;SC;Military Entrepreneur;High;M25058;x
25163;Chief of Staff;奥斯卡 特雷纳 ;39;ML;School of Mass Combat;High;M_IRE_Oscar_Traynor;x
25164;Chief of Staff;托马斯·F 奥希金斯;36;FA;School of Psychology;Medium;M_IRE_TFO_Higgens;x
25165;Head of State;托马斯 F·奥希金斯;40;FA;Die-hard Reformer;Medium;M_IRE_TFO_Higgens;x
25166;Minister of Security;托马斯·奥希金斯;50;SC;Silent Lawyer;Medium;M_IRE_TomOHiggins;x
