PAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
557030;Minister of Security;德克尔 舒凯里 ;36;LWR;Back Stabber;Medium;M557030;x
557031;Head of Military Intelligence;阿布 索 奥德 博士 ;36;NS;Technical Specialist;Medium;M557031;x
557032;Head of Military Intelligence;马苏德 阿尔-真纳 ;36;PA;Industrial Specialist;Medium;M557032;x
557033;Head of Military Intelligence;法鲁克 海达尔 ;36;SD;Logistics Specialist;Medium;M557033;x
557034;Head of Military Intelligence;马吉德 阿布德-埃尔-哈克 ;36;LWR;Dismal Enigma;Medium;M557034;x
557035;Chief of Staff;阿里 杰马尔 帕夏 ;36;NS;School of Fire Support;Medium;M557035;x
557036;Chief of Staff;赫伯特 普卢默 爵士 ;36;PA;School of Defence;Medium;M557016;x
557037;Chief of Staff;阿兰 G 库宁汉姆 ;41;ML;School of Manoeuvre;Medium;M557037;x
557038;Chief of Staff;法鲁克 海达尔 ;36;SD;School of Psychology;Medium;M557033;x
557039;Chief of Staff;加弗拉 帕夏 ;36;LWR;School of Defence;Medium;M557039;x
557040;Chief of Army;阿利 阿尔-穆塔利布 ;36;NS;Guns and Butter Doctrine;Medium;M557040;x
557041;Chief of Army;西尔 格林菲尔德 沃科普 爵士 ;36;PA;Static Defence Doctrine;Medium;M557020;x
557042;Chief of Army;约翰 戈特 勋爵 ;42;ML;Armoured Spearhead Doctrine;Medium;L1138;x
557043;Chief of Army;利瓦 阿尔-莫瓦维 ;36;SD;Elastic Defence Doctrine;Medium;M557043;x
557044;Chief of Army;谢里夫 纳西尔 阿尔-卡格利 ;36;LWR;Guns and Butter Doctrine;Medium;M557026;x
557045;Chief of Navy;阿里 杰马尔 帕夏 ;36;NS;Base Control Doctrine;Medium;M557035;x
557046;Chief of Navy;罗德尼 塔顿-赛克斯 ;36;PA;Decisive Naval Battle Doctrine;Medium;L300023;x
557047;Chief of Navy;阿尔弗雷德 霍华德 ;36;SD;Open Seas Doctrine;Medium;M557047;x
557048;Chief of Navy;艾哈迈德 瓦西 帕夏 ;36;LWR;Power Projection Doctrine;Medium;M557048;x
557049;Chief of Air Force;穆罕默德 阿兹米 帕夏 ;36;NS;Army Aviation Doctrine;Medium;M512096;x
557050;Chief of Air Force;阿卜杜拉 加法尔 达拉赫 ;36;PA;Air Superiority Doctrine;Medium;M557024;x
557051;Chief of Air Force;詹姆斯 罗杰斯 ;36;SD;Carpet Bombing Doctrine;Medium;M557051;x
557052;Chief of Air Force;穆罕默德 阿尔-塔伊夫 ;36;LWR;Naval Aviation Doctrine;Medium;M557052;x
557053;Chief of Staff;哈桑 萨拉马;48;ML;School of Defence;High;M_PAL_Hasan_Salama;x
557054;Chief of Staff;亚西尔 阿拉法特;59;LWR;School of Mass Combat;High;M_PAL_Yasser_Arafat;x
