GEO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
519041;Head of Military Intelligence;尼科洛兹 卡尔齐瓦泽 ;36;SD;Political Specialist;Medium;M519041;x
519042;Head of Military Intelligence;米哈埃尔 艾哈迈特里 ;36;SL;Logistics Specialist;Medium;M519042;x
519043;Head of Military Intelligence;马尔科茨 图古希 ;36;SC;Dismal Enigma;Medium;M519043;x
519044;Head of Military Intelligence;迈拉卜 科斯塔瓦 ;36;NS;Industrial Specialist;Medium;M519044;x
519045;Chief of Staff;谢赫尼亚 乌恰什维利 ;36;ST;School of Defence;Medium;M519045;x
519046;Chief of Staff;卡库撒 乔洛卡什维利 ;36;SD;School of Manoeuvre;Medium;M519046;x
519047;Chief of Staff;沙尔瓦 卡鲁米泽 ;36;SL;School of Mass Combat;Medium;M519047;x
519048;Chief of Staff;康斯坦丁 阿布卡兹 ;36;SC;School of Fire Support;Medium;M519048;x
519049;Chief of Staff;加古卡 德 巴格拉蒂翁 ;36;NS;School of Manoeuvre;Medium;M519049;x
519050;Chief of Army;阿列克谢 布鲁西洛夫 ;36;ST;Static Defence Doctrine;Medium;M519050;x
519051;Chief of Army;莱文 拉济卡什维利 ;36;SD;Decisive Battle Doctrine;Medium;M519051;x
519052;Chief of Army;瓦尔丹 楚卢基泽 ;36;SL;Elastic Defence Doctrine;Medium;M519052;x
519053;Chief of Army;尼科 尼古拉泽 ;36;SC;Guns and Butter Doctrine;Medium;M519053;x
519054;Chief of Army;沙尔瓦 马格拉克利泽 ;36;NS;Static Defence Doctrine;Medium;M519054;x
519055;Chief of Navy;瓦莱里安 巴克拉哲 ;36;ST;Base Control Doctrine;Medium;M519055;x
519056;Chief of Navy;萨姆森 皮尔茨哈拉瓦博士 ;36;SD;Power Projection Doctrine;Medium;M519056;x
519057;Chief of Navy;格里戈尔 T 罗巴基泽 ;36;SL;Open Seas Doctrine;Medium;M519057;x
519058;Chief of Navy;吉格拉 德姆纳哲 ;36;SC;Decisive Naval Battle Doctrine;Medium;M519058;x
519059;Chief of Navy;弗朗茨 比韦尔 ;36;NS;Indirect Approach Doctrine;Medium;M519059;x
519060;Chief of Air Force;贾巴 韦普赫瓦泽 ;36;ST;Army Aviation Doctrine;Medium;M519060;x
519061;Chief of Air Force;萨姆森 皮尔茨哈拉瓦博士 ;36;SD;Air Superiority Doctrine;Medium;M519056;x
519062;Chief of Air Force;科特 安德罗尼卡什维利 ;36;SL;Naval Aviation Doctrine;Medium;M519062;x
519063;Chief of Air Force;埃里希 冯 法尔肯海因 ;36;SC;Carpet Bombing Doctrine;Medium;M519063;x
519064;Chief of Air Force;爱德华 穆尔 ;36;NS;Air Superiority Doctrine;Medium;M519064;x
